isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.48803546e-08,1.00000000e-09,9.99999366e-10,1.00000000e-09,1.95617738e-17,1.00000000e-09,2.84518309e-19,1.00000000e-09,4.06482605e-21,1.00000000e-09,-9.12436900e-20,1.00000000e-09,2.12819164e-19,1.00000000e-09,2.67823610e-21,1.00000000e-09,1.12529256e-09,1.00000000e-09,4.33363852e-01,1.00000000e-09,1.80217861e-01,1.00000000e-09,2.77295764e-01,1.00000000e-09,2.77295764e-01,1.00000000e-09,8.88657788e+08,1.00000000e-09,1.78308751e+09,1.00000000e-09,2.83787191e+08,1.00000000e-09,3.48803767e+01,1.00,0.150u,ihp-sg13g2
1.50000000e-09,5.25508998e-08,1.50000000e-09,1.50648760e-09,1.50000000e-09,1.95706446e-17,1.50000000e-09,4.13343159e-19,1.50000000e-09,5.85466173e-21,1.50000000e-09,-1.33720700e-19,1.50000000e-09,3.14426597e-19,1.50000000e-09,3.85655877e-21,1.50000000e-09,1.67275958e-09,1.50000000e-09,4.33363846e-01,1.50000000e-09,1.91577311e-01,1.50000000e-09,2.88678338e-01,1.50000000e-09,2.88678338e-01,1.50000000e-09,5.97814541e+08,1.50000000e-09,2.68519003e+09,1.50000000e-09,4.27361266e+08,1.50000000e-09,3.48830615e+01,1.00,0.150u,ihp-sg13g2
2.00000000e-09,6.98162806e-08,2.00000000e-09,2.00191492e-09,2.00000000e-09,1.96080821e-17,2.00000000e-09,5.36944673e-19,2.00000000e-09,7.55578699e-21,2.00000000e-09,-1.74272353e-19,2.00000000e-09,4.11991850e-19,2.00000000e-09,4.96870137e-21,2.00000000e-09,2.20227034e-09,2.00000000e-09,4.33363843e-01,2.00000000e-09,1.99456115e-01,2.00000000e-09,2.96579513e-01,2.00000000e-09,2.96579513e-01,2.00000000e-09,4.54076859e+08,2.00000000e-09,3.56058691e+09,2.00000000e-09,5.66685007e+08,2.00000000e-09,3.48747491e+01,1.00,0.150u,ihp-sg13g2
2.50000000e-09,8.71817327e-08,2.50000000e-09,2.50086881e-09,2.50000000e-09,1.96608198e-17,2.50000000e-09,6.59537015e-19,2.50000000e-09,9.23244164e-21,2.50000000e-09,-2.14354055e-19,2.50000000e-09,5.08812766e-19,2.50000000e-09,6.05966493e-21,2.50000000e-09,2.73107315e-09,2.50000000e-09,4.33363840e-01,2.50000000e-09,2.05621396e-01,2.50000000e-09,3.02767139e-01,2.50000000e-09,3.02767139e-01,2.50000000e-09,3.66156432e+08,2.50000000e-09,4.43428777e+09,2.50000000e-09,7.05738818e+08,2.50000000e-09,3.48605782e+01,1.00,0.150u,ihp-sg13g2
3.00000000e-09,1.04544301e-07,3.00000000e-09,3.00045582e-09,3.00000000e-09,1.97227679e-17,3.00000000e-09,7.80690885e-19,3.00000000e-09,1.08820629e-20,3.00000000e-09,-2.53862110e-19,3.00000000e-09,6.04535004e-19,3.00000000e-09,7.12919117e-21,3.00000000e-09,3.25693597e-09,3.00000000e-09,4.33363838e-01,3.00000000e-09,2.10666539e-01,3.00000000e-09,3.07834505e-01,3.00000000e-09,3.07834505e-01,3.00000000e-09,3.07037046e+08,3.00000000e-09,5.30069115e+09,3.00000000e-09,8.43631199e+08,3.00000000e-09,3.48428064e+01,1.00,0.150u,ihp-sg13g2
3.50000000e-09,1.21888493e-07,3.50000000e-09,3.50026684e-09,3.50000000e-09,1.97907553e-17,3.50000000e-09,9.00505867e-19,3.50000000e-09,1.25082371e-20,3.50000000e-09,-2.92853432e-19,3.50000000e-09,6.99226807e-19,3.50000000e-09,8.18050184e-21,3.50000000e-09,3.78000793e-09,3.50000000e-09,4.33363836e-01,3.50000000e-09,2.14934321e-01,3.50000000e-09,3.12124394e-01,3.50000000e-09,3.12124394e-01,3.50000000e-09,2.64549709e+08,3.50000000e-09,6.15886009e+09,3.50000000e-09,9.80213028e+08,3.50000000e-09,3.48226289e+01,1.00,0.150u,ihp-sg13g2
4.00000000e-09,1.40491130e-07,4.00000000e-09,4.03720859e-09,4.00000000e-09,1.98684032e-17,4.00000000e-09,1.02783366e-18,4.00000000e-09,1.42322737e-20,4.00000000e-09,-3.34218725e-19,4.00000000e-09,7.99878610e-19,4.00000000e-09,9.29236238e-21,4.00000000e-09,4.33903986e-09,4.00000000e-09,4.33363834e-01,4.00000000e-09,2.18887285e-01,4.00000000e-09,3.16100985e-01,4.00000000e-09,3.16100985e-01,4.00000000e-09,2.30465733e+08,4.00000000e-09,7.07108309e+09,4.00000000e-09,1.12539783e+09,4.00000000e-09,3.47990763e+01,1.00,0.150u,ihp-sg13g2
4.50000000e-09,1.57445576e-07,4.50000000e-09,4.52737721e-09,4.50000000e-09,1.99422714e-17,4.50000000e-09,1.14292519e-18,4.50000000e-09,1.57880381e-20,4.50000000e-09,-3.71556647e-19,4.50000000e-09,8.90872771e-19,4.50000000e-09,1.02936533e-20,4.50000000e-09,4.84706942e-09,4.50000000e-09,4.33363833e-01,4.50000000e-09,2.22061215e-01,4.50000000e-09,3.19296385e-01,4.50000000e-09,3.19296385e-01,4.50000000e-09,2.06310229e+08,4.50000000e-09,7.89506738e+09,4.50000000e-09,1.25653900e+09,4.50000000e-09,3.47763327e+01,1.00,0.150u,ihp-sg13g2
5.00000000e-09,1.74642516e-07,5.00000000e-09,5.02534975e-09,5.00000000e-09,2.00194595e-17,5.00000000e-09,1.25881458e-18,5.00000000e-09,1.73528841e-20,5.00000000e-09,-4.09111312e-19,5.00000000e-09,9.82508503e-19,5.00000000e-09,1.12990863e-20,5.00000000e-09,5.36117325e-09,5.00000000e-09,4.33363832e-01,5.00000000e-09,2.24951645e-01,5.00000000e-09,3.22208543e-01,5.00000000e-09,3.22208543e-01,5.00000000e-09,1.86526335e+08,5.00000000e-09,8.72363792e+09,5.00000000e-09,1.38841010e+09,5.00000000e-09,3.47523108e+01,1.00,0.150u,ihp-sg13g2
5.50000000e-09,1.91798253e-07,5.50000000e-09,5.52293576e-09,5.50000000e-09,2.00982164e-17,5.50000000e-09,1.37363906e-18,5.50000000e-09,1.89022694e-20,5.50000000e-09,-4.46285299e-19,5.50000000e-09,1.07330999e-18,5.50000000e-09,1.22930980e-20,5.50000000e-09,5.87303679e-09,5.50000000e-09,4.33363831e-01,5.50000000e-09,2.27566900e-01,5.50000000e-09,3.24845429e-01,5.50000000e-09,3.24845429e-01,5.50000000e-09,1.70269664e+08,5.50000000e-09,9.54304848e+09,5.50000000e-09,1.51882334e+09,5.50000000e-09,3.47275908e+01,1.00,0.150u,ihp-sg13g2
6.00000000e-09,2.08942635e-07,6.00000000e-09,6.02100569e-09,6.00000000e-09,2.01782918e-17,6.00000000e-09,1.48765457e-18,6.00000000e-09,2.04401678e-20,6.00000000e-09,-4.83167258e-19,6.00000000e-09,1.16347713e-18,6.00000000e-09,1.32784330e-20,6.00000000e-09,6.38370832e-09,6.00000000e-09,4.33363830e-01,6.00000000e-09,2.29958738e-01,6.00000000e-09,3.27258846e-01,6.00000000e-09,3.27258846e-01,6.00000000e-09,1.56648761e+08,6.00000000e-09,1.03548228e+10,6.00000000e-09,1.64802123e+09,6.00000000e-09,3.47022816e+01,1.00,0.150u,ihp-sg13g2
6.50000000e-09,2.26068704e-07,6.50000000e-09,6.51936216e-09,6.50000000e-09,2.02593659e-17,6.50000000e-09,1.60086052e-18,6.50000000e-09,2.19669913e-20,6.50000000e-09,-5.19761672e-19,6.50000000e-09,1.25300742e-18,6.50000000e-09,1.42555122e-20,6.50000000e-09,6.89310945e-09,6.50000000e-09,4.33363829e-01,6.50000000e-09,2.32161713e-01,6.50000000e-09,3.29483345e-01,6.50000000e-09,3.29483345e-01,6.50000000e-09,1.45072410e+08,6.50000000e-09,1.11587256e+10,6.50000000e-09,1.77596633e+09,6.50000000e-09,3.46765064e+01,1.00,0.150u,ihp-sg13g2
