isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.71705256e-08,1.00000000e-09,9.99998454e-10,1.00000000e-09,1.64296744e-17,1.00000000e-09,1.51637254e-19,1.00000000e-09,4.52653080e-21,1.00000000e-09,-5.23939345e-20,1.00000000e-09,1.08606479e-19,1.00000000e-09,3.27804381e-21,1.00000000e-09,1.47923044e-09,1.00000000e-09,3.63935453e-01,1.00000000e-09,2.62891726e-02,1.00000000e-09,1.47190346e-01,1.00000000e-09,1.47190346e-01,1.00000000e-09,6.76027193e+08,1.00000000e-09,1.65374705e+09,1.00000000e-09,2.63202018e+08,1.00000000e-09,2.71705676e+01,1.00,.130u,ihp-sg13g2
1.50000000e-09,4.10129632e-08,1.50000000e-09,1.50646898e-09,1.50000000e-09,1.63205687e-17,1.50000000e-09,2.16078134e-19,1.50000000e-09,6.03978612e-21,1.50000000e-09,-7.55427576e-20,1.50000000e-09,1.59014948e-19,1.50000000e-09,4.37909134e-21,1.50000000e-09,2.11485406e-09,1.50000000e-09,3.63935439e-01,1.50000000e-09,4.05805334e-02,1.50000000e-09,1.61499225e-01,1.50000000e-09,1.61499225e-01,1.50000000e-09,4.72845866e+08,1.50000000e-09,2.51296165e+09,1.50000000e-09,3.99950268e+08,1.50000000e-09,2.72245654e+01,1.00,.130u,ihp-sg13g2
2.00000000e-09,5.45645653e-08,2.00000000e-09,2.00192108e-09,2.00000000e-09,1.62625350e-17,2.00000000e-09,2.77562210e-19,2.00000000e-09,7.48397796e-21,2.00000000e-09,-9.74178329e-20,2.00000000e-09,2.07196824e-19,2.00000000e-09,5.41419101e-21,2.00000000e-09,2.73324333e-09,2.00000000e-09,3.63935431e-01,2.00000000e-09,5.04970013e-02,2.00000000e-09,1.71432581e-01,2.00000000e-09,1.71432581e-01,2.00000000e-09,3.65865706e+08,2.00000000e-09,3.35523123e+09,2.00000000e-09,5.34001636e+08,2.00000000e-09,2.72561020e+01,1.00,.130u,ihp-sg13g2
2.50000000e-09,6.82151676e-08,2.50000000e-09,2.50087373e-09,2.50000000e-09,1.62298396e-17,2.50000000e-09,3.38310294e-19,2.50000000e-09,8.90530678e-21,2.50000000e-09,-1.18884286e-19,2.50000000e-09,2.54863497e-19,2.50000000e-09,6.42342518e-21,2.50000000e-09,3.35225325e-09,2.50000000e-09,3.63935425e-01,2.50000000e-09,5.82558261e-02,2.50000000e-09,1.79208230e-01,2.50000000e-09,1.79208230e-01,2.50000000e-09,2.98306818e+08,2.50000000e-09,4.20307097e+09,2.50000000e-09,6.68939520e+08,2.50000000e-09,2.72765341e+01,1.00,.130u,ihp-sg13g2
3.00000000e-09,8.18823291e-08,3.00000000e-09,3.00045887e-09,3.00000000e-09,1.62130383e-17,3.00000000e-09,3.98182356e-19,3.00000000e-09,1.02999027e-20,3.00000000e-09,-1.39929714e-19,3.00000000e-09,3.01890114e-19,3.00000000e-09,7.40694405e-21,3.00000000e-09,3.96854896e-09,3.00000000e-09,3.63935421e-01,3.00000000e-09,6.46038276e-02,3.00000000e-09,1.85572929e-01,3.00000000e-09,1.85572929e-01,3.00000000e-09,2.51981268e+08,3.00000000e-09,5.05040002e+09,3.00000000e-09,8.03796128e+08,3.00000000e-09,2.72899355e+01,1.00,.130u,ihp-sg13g2
3.50000000e-09,9.55522970e-08,3.50000000e-09,3.50026855e-09,3.50000000e-09,1.62069527e-17,3.50000000e-09,4.57274462e-19,3.50000000e-09,1.16705681e-20,3.50000000e-09,-1.60612384e-19,3.50000000e-09,3.48341867e-19,3.50000000e-09,8.36842711e-21,3.50000000e-09,4.58195747e-09,3.50000000e-09,3.63935417e-01,3.50000000e-09,6.99725419e-02,3.50000000e-09,1.90958225e-01,3.50000000e-09,1.90958225e-01,3.50000000e-09,2.18247333e+08,3.50000000e-09,5.89575961e+09,3.50000000e-09,9.38339285e+08,3.50000000e-09,2.72985617e+01,1.00,.130u,ihp-sg13g2
4.00000000e-09,1.09219638e-07,4.00000000e-09,4.00016973e-09,4.00000000e-09,1.62085227e-17,4.00000000e-09,5.15674323e-19,4.00000000e-09,1.30201090e-20,4.00000000e-09,-1.80979954e-19,4.00000000e-09,3.94280416e-19,4.00000000e-09,9.31094086e-21,4.00000000e-09,5.19262236e-09,4.00000000e-09,3.63935414e-01,4.00000000e-09,7.46230024e-02,4.00000000e-09,1.95625164e-01,4.00000000e-09,1.95625164e-01,4.00000000e-09,1.92580922e+08,4.00000000e-09,6.73840791e+09,4.00000000e-09,1.07245093e+09,4.00000000e-09,2.73037509e+01,1.00,.130u,ihp-sg13g2
4.50000000e-09,1.22881709e-07,4.50000000e-09,4.50011352e-09,4.50000000e-09,1.62158012e-17,4.50000000e-09,5.73453486e-19,4.50000000e-09,1.43509207e-20,4.50000000e-09,-2.01069736e-19,4.50000000e-09,4.39756633e-19,4.50000000e-09,1.02369207e-20,4.50000000e-09,5.80074812e-09,4.50000000e-09,3.63935412e-01,4.50000000e-09,7.87244826e-02,4.50000000e-09,1.99743033e-01,4.50000000e-09,1.99743033e-01,4.50000000e-09,1.72391557e+08,4.50000000e-09,7.57789932e+09,4.50000000e-09,1.20606013e+09,4.50000000e-09,2.73063575e+01,1.00,.130u,ihp-sg13g2
5.00000000e-09,1.37319715e-07,5.00000000e-09,5.02874747e-09,5.00000000e-09,1.62282588e-17,5.00000000e-09,6.33934075e-19,5.00000000e-09,1.57398577e-20,5.00000000e-09,-2.22041750e-19,5.00000000e-09,4.87382969e-19,5.00000000e-09,1.12001518e-20,5.00000000e-09,6.44120175e-09,5.00000000e-09,3.63935410e-01,5.00000000e-09,8.25918752e-02,5.00000000e-09,2.03627664e-01,5.00000000e-09,2.03627664e-01,5.00000000e-09,1.55250532e+08,5.00000000e-09,8.46176518e+09,5.00000000e-09,1.34673176e+09,5.00000000e-09,2.73069419e+01,1.00,.130u,ihp-sg13g2
5.50000000e-09,1.50802673e-07,5.50000000e-09,5.52271683e-09,5.50000000e-09,1.62433834e-17,5.50000000e-09,6.89926742e-19,5.50000000e-09,1.70224637e-20,5.50000000e-09,-2.41411488e-19,5.50000000e-09,5.31494310e-19,5.50000000e-09,1.20870719e-20,5.50000000e-09,7.03746437e-09,5.50000000e-09,3.63935408e-01,5.50000000e-09,8.58538530e-02,5.50000000e-09,2.06905675e-01,5.50000000e-09,2.06905675e-01,5.50000000e-09,1.42096634e+08,5.50000000e-09,9.28394467e+09,5.50000000e-09,1.47758569e+09,5.50000000e-09,2.73058854e+01,1.00,.130u,ihp-sg13g2
6.00000000e-09,1.64398881e-07,6.00000000e-09,6.02115493e-09,6.00000000e-09,1.62613884e-17,6.00000000e-09,7.45953646e-19,6.00000000e-09,1.83031089e-20,6.00000000e-09,-2.60753400e-19,6.00000000e-09,5.75648847e-19,6.00000000e-09,1.29704226e-20,6.00000000e-09,7.63713432e-09,6.00000000e-09,3.63935406e-01,6.00000000e-09,8.88615634e-02,6.00000000e-09,2.09929497e-01,6.00000000e-09,2.09929497e-01,6.00000000e-09,1.30939166e+08,6.00000000e-09,1.01097691e+10,6.00000000e-09,1.60901972e+09,6.00000000e-09,2.73035461e+01,1.00,.130u,ihp-sg13g2
