isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.83136787e-08,1.00000000e-09,9.99999500e-10,1.00000000e-09,2.98404055e-17,1.00000000e-09,6.78382721e-19,1.00000000e-09,6.12220730e-21,1.00000000e-09,-2.21346564e-19,1.00000000e-09,5.10158508e-19,1.00000000e-09,4.02063972e-21,1.00000000e-09,9.05684341e-10,1.00000000e-09,4.65812267e-01,1.00000000e-09,2.45701734e-01,1.00000000e-09,3.35030239e-01,1.00000000e-09,3.35030239e-01,1.00000000e-09,1.10413745e+09,1.00000000e-09,1.28395302e+09,1.00000000e-09,2.04347470e+08,1.00000000e-09,3.83136979e+01,1.00,.200u,ihp-sg13g2
1.50000000e-09,5.76734739e-08,1.50000000e-09,1.50644825e-09,1.50000000e-09,3.00014286e-17,1.50000000e-09,9.95303773e-19,1.50000000e-09,8.89064760e-21,1.50000000e-09,-3.26657167e-19,1.50000000e-09,7.56423885e-19,1.50000000e-09,5.85148152e-21,1.50000000e-09,1.34803970e-09,1.50000000e-09,4.65812262e-01,1.50000000e-09,2.56122015e-01,1.50000000e-09,3.45482847e-01,1.50000000e-09,3.45482847e-01,1.50000000e-09,7.41817913e+08,1.50000000e-09,1.92235759e+09,1.50000000e-09,3.05952712e+08,1.50000000e-09,3.82844044e+01,1.00,.200u,ihp-sg13g2
2.00000000e-09,7.65688736e-08,2.00000000e-09,2.00190199e-09,2.00000000e-09,3.01893023e-17,2.00000000e-09,1.30000651e-18,2.00000000e-09,1.15352409e-20,2.00000000e-09,-4.27640314e-19,2.00000000e-09,9.93260690e-19,2.00000000e-09,7.59293873e-21,2.00000000e-09,1.77645266e-09,2.00000000e-09,4.65812259e-01,2.00000000e-09,2.63351982e-01,2.00000000e-09,3.52744158e-01,2.00000000e-09,3.52744158e-01,2.00000000e-09,5.62919587e+08,2.00000000e-09,2.53629159e+09,2.00000000e-09,4.03663344e+08,2.00000000e-09,3.82480630e+01,1.00,.200u,ihp-sg13g2
2.50000000e-09,9.55516604e-08,2.50000000e-09,2.50086181e-09,2.50000000e-09,3.03936492e-17,2.50000000e-09,1.60246599e-18,2.50000000e-09,1.41508469e-20,2.50000000e-09,-5.27711659e-19,2.50000000e-09,1.22838208e-18,2.50000000e-09,9.31042836e-21,2.50000000e-09,2.20466781e-09,2.50000000e-09,4.65812257e-01,2.50000000e-09,2.69010205e-01,2.50000000e-09,3.58433731e-01,2.50000000e-09,3.58433731e-01,2.50000000e-09,4.53583072e+08,2.50000000e-09,3.14380349e+09,2.50000000e-09,5.00351866e+08,2.50000000e-09,3.82074931e+01,1.00,.200u,ihp-sg13g2
3.00000000e-09,1.14510745e-07,3.00000000e-09,3.00045171e-09,3.00000000e-09,3.06068965e-17,3.00000000e-09,1.90144366e-18,3.00000000e-09,1.67311890e-20,3.00000000e-09,-6.26517707e-19,3.00000000e-09,1.46080330e-18,3.00000000e-09,1.10012246e-20,3.00000000e-09,2.63082242e-09,3.00000000e-09,4.65812255e-01,3.00000000e-09,2.73641042e-01,3.00000000e-09,3.63095778e-01,3.00000000e-09,3.63095778e-01,3.00000000e-09,3.80109274e+08,3.00000000e-09,3.74133801e+09,3.00000000e-09,5.95452439e+08,3.00000000e-09,3.81645021e+01,1.00,.200u,ihp-sg13g2
3.50000000e-09,1.35068255e-07,3.50000000e-09,3.54360465e-09,3.50000000e-09,3.08445737e-17,3.50000000e-09,2.22254423e-18,3.50000000e-09,1.94999325e-20,3.50000000e-09,-7.32547862e-19,3.50000000e-09,1.71041356e-18,3.50000000e-09,1.28124324e-20,3.50000000e-09,3.09167643e-09,3.50000000e-09,4.65812253e-01,3.50000000e-09,2.77871764e-01,3.50000000e-09,3.67360256e-01,3.50000000e-09,3.67360256e-01,3.50000000e-09,3.23449113e+08,3.50000000e-09,4.37899566e+09,3.50000000e-09,6.96938806e+08,3.50000000e-09,3.81160620e+01,1.00,.200u,ihp-sg13g2
4.00000000e-09,1.53443320e-07,4.00000000e-09,4.03038238e-09,4.00000000e-09,3.10607293e-17,4.00000000e-09,2.50710254e-18,4.00000000e-09,2.19533472e-20,4.00000000e-09,-8.26459329e-19,4.00000000e-09,1.93159958e-18,4.00000000e-09,1.44152441e-20,4.00000000e-09,3.50282395e-09,4.00000000e-09,4.65812252e-01,4.00000000e-09,2.81145028e-01,4.00000000e-09,3.70663636e-01,4.00000000e-09,3.70663636e-01,4.00000000e-09,2.85483945e+08,4.00000000e-09,4.94010679e+09,4.00000000e-09,7.86242415e+08,4.00000000e-09,3.80716531e+01,1.00,.200u,ihp-sg13g2
4.50000000e-09,1.72184680e-07,4.50000000e-09,4.52812726e-09,4.50000000e-09,3.12836018e-17,4.50000000e-09,2.79513896e-18,4.50000000e-09,2.44379306e-20,4.50000000e-09,-9.21485283e-19,4.50000000e-09,2.15546490e-18,4.50000000e-09,1.60367439e-20,4.50000000e-09,3.92162393e-09,4.50000000e-09,4.65812251e-01,4.50000000e-09,2.84106571e-01,4.50000000e-09,3.73655853e-01,4.50000000e-09,3.73655853e-01,4.50000000e-09,2.54996404e+08,4.50000000e-09,5.50399155e+09,4.50000000e-09,8.75987461e+08,4.50000000e-09,3.80255832e+01,1.00,.200u,ihp-sg13g2
5.00000000e-09,1.90850300e-07,5.00000000e-09,5.02513741e-09,5.00000000e-09,3.15072143e-17,5.00000000e-09,3.07995394e-18,5.00000000e-09,2.68969519e-20,5.00000000e-09,-1.01542766e-18,5.00000000e-09,2.37679713e-18,5.00000000e-09,1.76401619e-20,5.00000000e-09,4.33834674e-09,5.00000000e-09,4.65812249e-01,5.00000000e-09,2.86755526e-01,5.00000000e-09,3.76335326e-01,5.00000000e-09,3.76335326e-01,5.00000000e-09,2.30502553e+08,5.00000000e-09,6.05735240e+09,5.00000000e-09,9.64057576e+08,5.00000000e-09,3.79791206e+01,1.00,.200u,ihp-sg13g2
5.50000000e-09,2.09493661e-07,5.50000000e-09,5.52283350e-09,5.50000000e-09,3.17316484e-17,5.50000000e-09,3.36249767e-18,5.50000000e-09,2.93393996e-20,5.50000000e-09,-1.10861013e-18,5.50000000e-09,2.59633122e-18,5.50000000e-09,1.92315984e-20,5.50000000e-09,4.75431752e-09,5.50000000e-09,4.65812249e-01,5.50000000e-09,2.89157906e-01,5.50000000e-09,3.78768162e-01,5.50000000e-09,3.78768162e-01,5.50000000e-09,2.10335131e+08,5.50000000e-09,6.60204153e+09,5.50000000e-09,1.05074754e+09,5.50000000e-09,3.79322789e+01,1.00,.200u,ihp-sg13g2
6.00000000e-09,2.28102701e-07,6.00000000e-09,6.02089301e-09,6.00000000e-09,3.19563606e-17,6.00000000e-09,3.64269340e-18,6.00000000e-09,3.17652284e-20,6.00000000e-09,-1.20101545e-18,6.00000000e-09,2.81400486e-18,6.00000000e-09,2.08112106e-20,6.00000000e-09,5.16937180e-09,6.00000000e-09,4.65812248e-01,6.00000000e-09,2.91354691e-01,6.00000000e-09,3.80995328e-01,6.00000000e-09,3.80995328e-01,6.00000000e-09,1.93447103e+08,6.00000000e-09,7.13794363e+09,6.00000000e-09,1.13603901e+09,6.00000000e-09,3.78851942e+01,1.00,.200u,ihp-sg13g2
6.50000000e-09,2.46675116e-07,6.50000000e-09,6.51925124e-09,6.50000000e-09,3.21810280e-17,6.50000000e-09,3.92059864e-18,6.50000000e-09,3.41754218e-20,6.50000000e-09,-1.29266902e-18,6.50000000e-09,3.02986074e-18,6.50000000e-09,2.23797912e-20,6.50000000e-09,5.58354423e-09,6.50000000e-09,4.65812247e-01,6.50000000e-09,2.93378235e-01,6.50000000e-09,3.83049180e-01,6.50000000e-09,3.83049180e-01,6.50000000e-09,1.79097713e+08,6.50000000e-09,7.66523419e+09,6.50000000e-09,1.21995991e+09,6.50000000e-09,3.78379521e+01,1.00,.200u,ihp-sg13g2
7.00000000e-09,2.65208648e-07,7.00000000e-09,7.01784332e-09,7.00000000e-09,3.24054008e-17,7.00000000e-09,4.19625999e-18,7.00000000e-09,3.65707690e-20,7.00000000e-09,-1.38359145e-18,7.00000000e-09,3.24393358e-18,7.00000000e-09,2.39379799e-20,7.00000000e-09,5.99685599e-09,7.00000000e-09,4.65812246e-01,7.00000000e-09,2.95253774e-01,7.00000000e-09,3.84954954e-01,7.00000000e-09,3.84954954e-01,7.00000000e-09,1.66754046e+08,7.00000000e-09,8.18408789e+09,7.00000000e-09,1.30253804e+09,7.00000000e-09,3.77906197e+01,1.00,.200u,ihp-sg13g2
7.50000000e-09,2.83701778e-07,7.50000000e-09,7.51662316e-09,7.50000000e-09,3.26292900e-17,7.50000000e-09,4.46972589e-18,7.50000000e-09,3.89519983e-20,7.50000000e-09,-1.47380297e-18,7.50000000e-09,3.45625993e-18,7.50000000e-09,2.54863560e-20,7.50000000e-09,6.40933334e-09,7.50000000e-09,4.65812246e-01,7.50000000e-09,2.97001436e-01,7.50000000e-09,3.86732780e-01,7.50000000e-09,3.86732780e-01,7.50000000e-09,1.56022467e+08,7.50000000e-09,8.69469664e+09,7.50000000e-09,1.38380395e+09,7.50000000e-09,3.77432489e+01,1.00,.200u,ihp-sg13g2
8.00000000e-09,3.02153433e-07,8.00000000e-09,8.01555578e-09,8.00000000e-09,3.28525506e-17,8.00000000e-09,4.74104385e-18,8.00000000e-09,4.13197686e-20,8.00000000e-09,-1.56332277e-18,8.00000000e-09,3.66687590e-18,8.00000000e-09,2.70254375e-20,8.00000000e-09,6.82100331e-09,8.00000000e-09,4.65812245e-01,8.00000000e-09,2.98637518e-01,8.00000000e-09,3.88398955e-01,8.00000000e-09,3.88398955e-01,8.00000000e-09,1.46605998e+08,8.00000000e-09,9.19725949e+09,8.00000000e-09,1.46378931e+09,8.00000000e-09,3.76958805e+01,1.00,.200u,ihp-sg13g2
