isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.70525360e-08,1.00000000e-09,9.99999111e-10,1.00000000e-09,4.59330499e-17,1.00000000e-09,1.40942218e-18,1.00000000e-09,2.08617896e-20,1.00000000e-09,-5.12907792e-19,1.00000000e-09,1.02798265e-18,1.00000000e-09,1.48317937e-20,1.00000000e-09,1.10805875e-09,1.00000000e-09,2.63917195e-01,1.00000000e-09,4.33904462e-02,1.00000000e-09,1.35063976e-01,1.00000000e-09,1.35063976e-01,1.00000000e-09,9.02479221e+08,1.00000000e-09,8.06663961e+08,1.00000000e-09,1.28384557e+08,1.00000000e-09,3.70525689e+01,1.00,.250u,ihp-sg13g2
1.50000000e-09,5.57630446e-08,1.50000000e-09,1.50638407e-09,1.50000000e-09,4.63029043e-17,1.50000000e-09,2.06628718e-18,1.50000000e-09,2.78524885e-20,1.50000000e-09,-7.53464999e-19,1.50000000e-09,1.51965286e-18,1.50000000e-09,2.00149737e-20,1.50000000e-09,1.59611700e-09,1.50000000e-09,2.63917173e-01,1.50000000e-09,5.40962131e-02,1.50000000e-09,1.45811956e-01,1.50000000e-09,1.45811956e-01,1.50000000e-09,6.26520486e+08,1.50000000e-09,1.20430987e+09,1.50000000e-09,1.91671868e+08,1.50000000e-09,3.70178136e+01,1.00,.250u,ihp-sg13g2
2.00000000e-09,7.40197683e-08,2.00000000e-09,2.00188700e-09,2.00000000e-09,4.67152135e-17,2.00000000e-09,2.69605003e-18,2.00000000e-09,3.44786260e-20,2.00000000e-09,-9.83400111e-19,2.00000000e-09,1.99130044e-18,2.00000000e-09,2.48830729e-20,2.00000000e-09,2.06878875e-09,2.00000000e-09,2.63917159e-01,2.00000000e-09,6.15302944e-02,2.00000000e-09,1.53286941e-01,2.00000000e-09,1.53286941e-01,2.00000000e-09,4.83374631e+08,2.00000000e-09,1.58448956e+09,2.00000000e-09,2.52179346e+08,2.00000000e-09,3.69749983e+01,1.00,.250u,ihp-sg13g2
2.50000000e-09,9.23500681e-08,2.50000000e-09,2.50085463e-09,2.50000000e-09,4.71544734e-17,2.50000000e-09,3.31945403e-18,2.50000000e-09,4.09813087e-20,2.50000000e-09,-1.21058285e-18,2.50000000e-09,2.45830467e-18,2.50000000e-09,2.96364088e-20,2.50000000e-09,2.54100027e-09,2.50000000e-09,2.63917149e-01,2.50000000e-09,6.73493588e-02,2.50000000e-09,1.59146880e-01,2.50000000e-09,1.59146880e-01,2.50000000e-09,3.93545806e+08,2.50000000e-09,1.95845826e+09,2.50000000e-09,3.11698313e+08,2.50000000e-09,3.69274035e+01,1.00,.250u,ihp-sg13g2
3.00000000e-09,1.10647899e-07,3.00000000e-09,3.00044759e-09,3.00000000e-09,4.76071629e-17,3.00000000e-09,3.93414629e-18,3.00000000e-09,4.73530570e-20,3.00000000e-09,-1.43430741e-18,3.00000000e-09,2.91882445e-18,3.00000000e-09,3.42786021e-20,3.00000000e-09,3.01076019e-09,3.00000000e-09,2.63917141e-01,3.00000000e-09,7.21125819e-02,3.00000000e-09,1.63950768e-01,3.00000000e-09,1.63950768e-01,3.00000000e-09,3.32142030e+08,3.00000000e-09,2.32418595e+09,3.00000000e-09,3.69905683e+08,3.00000000e-09,3.68771311e+01,1.00,.250u,ihp-sg13g2
3.50000000e-09,1.28897856e-07,3.50000000e-09,3.50026147e-09,3.50000000e-09,4.80670813e-17,3.50000000e-09,4.54050794e-18,3.50000000e-09,5.36107616e-20,3.50000000e-09,-1.65481133e-18,3.50000000e-09,3.37309673e-18,3.50000000e-09,3.88269130e-20,3.50000000e-09,3.47819261e-09,3.50000000e-09,2.63917135e-01,3.50000000e-09,7.61427863e-02,3.50000000e-09,1.68021426e-01,3.50000000e-09,1.68021426e-01,3.50000000e-09,2.87505642e+08,3.50000000e-09,2.68162435e+09,3.50000000e-09,4.26793772e+08,3.50000000e-09,3.68252078e+01,1.00,.250u,ihp-sg13g2
4.00000000e-09,1.47094980e-07,4.00000000e-09,4.00016511e-09,4.00000000e-09,4.85307357e-17,4.00000000e-09,5.13903329e-18,4.00000000e-09,5.97690313e-20,4.00000000e-09,-1.87234183e-18,4.00000000e-09,3.82146013e-18,4.00000000e-09,4.32949610e-20,4.00000000e-09,3.94354197e-09,4.00000000e-09,2.63917130e-01,4.00000000e-09,7.96352398e-02,4.00000000e-09,1.71554137e-01,4.00000000e-09,1.71554137e-01,4.00000000e-09,2.53579145e+08,4.00000000e-09,3.03096538e+09,4.00000000e-09,4.82393123e+08,4.00000000e-09,3.67722271e+01,1.00,.250u,ihp-sg13g2
4.50000000e-09,1.65237580e-07,4.50000000e-09,4.50011044e-09,4.50000000e-09,4.89959880e-17,4.50000000e-09,5.73017302e-18,4.50000000e-09,6.58395929e-20,4.50000000e-09,-2.08711088e-18,4.50000000e-09,4.26423061e-18,4.50000000e-09,4.76932303e-20,4.50000000e-09,4.40703990e-09,4.50000000e-09,2.63917125e-01,4.50000000e-09,8.27165776e-02,4.50000000e-09,1.74675551e-01,4.50000000e-09,1.74675551e-01,4.50000000e-09,2.26909677e+08,4.50000000e-09,3.37247164e+09,4.50000000e-09,5.36745533e+08,4.50000000e-09,3.67185611e+01,1.00,.250u,ihp-sg13g2
5.00000000e-09,1.84346706e-07,5.00000000e-09,5.02836146e-09,5.00000000e-09,4.94877679e-17,5.00000000e-09,6.34715661e-18,5.00000000e-09,7.21686096e-20,5.00000000e-09,-2.31122371e-18,5.00000000e-09,4.72627546e-18,5.00000000e-09,5.22735079e-20,5.00000000e-09,4.89496295e-09,5.00000000e-09,2.63917121e-01,5.00000000e-09,8.56210958e-02,5.00000000e-09,1.77622230e-01,5.00000000e-09,1.77622230e-01,5.00000000e-09,2.04291638e+08,5.00000000e-09,3.72509639e+09,5.00000000e-09,5.92867504e+08,5.00000000e-09,3.66613870e+01,1.00,.250u,ihp-sg13g2
5.50000000e-09,2.02163134e-07,5.50000000e-09,5.52242865e-09,5.50000000e-09,4.99469510e-17,5.50000000e-09,6.91747207e-18,5.50000000e-09,7.80166224e-20,5.50000000e-09,-2.51836935e-18,5.50000000e-09,5.15328253e-18,5.50000000e-09,5.65017678e-20,5.50000000e-09,5.34979619e-09,5.50000000e-09,2.63917118e-01,5.50000000e-09,8.80740715e-02,5.50000000e-09,1.80114477e-01,5.50000000e-09,1.80114477e-01,5.50000000e-09,1.86923009e+08,5.50000000e-09,4.04755706e+09,5.50000000e-09,6.44188713e+08,5.50000000e-09,3.66076497e+01,1.00,.250u,ihp-sg13g2
