isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.11194662e-08,1.00000000e-09,1.00000080e-09,1.00000000e-09,4.53764388e-17,1.00000000e-09,1.04805753e-18,1.00000000e-09,1.68675181e-20,1.00000000e-09,-3.80114420e-19,1.00000000e-09,7.65235433e-19,1.00000000e-09,1.20679577e-20,1.00000000e-09,1.06985539e-09,1.00000000e-09,3.18642889e-01,1.00000000e-09,4.78622610e-02,1.00000000e-09,1.56290514e-01,1.00000000e-09,1.56290514e-01,1.00000000e-09,9.34705765e+08,1.00000000e-09,6.85806710e+08,1.00000000e-09,1.09149528e+08,1.00000000e-09,3.11194413e+01,1.00,.250u,ihp-sg13g2
1.50000000e-09,4.68649734e-08,1.50000000e-09,1.50640918e-09,1.50000000e-09,4.55457830e-17,1.50000000e-09,1.53126185e-18,1.50000000e-09,2.25087189e-20,1.50000000e-09,-5.57390269e-19,1.50000000e-09,1.13026995e-18,1.50000000e-09,1.62502581e-20,1.50000000e-09,1.54013879e-09,1.50000000e-09,3.18642868e-01,1.50000000e-09,6.05640713e-02,1.50000000e-09,1.69030247e-01,1.50000000e-09,1.69030247e-01,1.50000000e-09,6.49292134e+08,1.50000000e-09,1.02896405e+09,1.50000000e-09,1.63764715e+08,1.50000000e-09,3.11103876e+01,1.00,.250u,ihp-sg13g2
2.00000000e-09,6.22414104e-08,2.00000000e-09,2.00189634e-09,2.00000000e-09,4.57788045e-17,2.00000000e-09,1.99479621e-18,2.00000000e-09,2.78557646e-20,2.00000000e-09,-7.26796696e-19,2.00000000e-09,1.48068390e-18,2.00000000e-09,2.01757749e-20,2.00000000e-09,1.99461613e-09,2.00000000e-09,3.18642855e-01,2.00000000e-09,6.93831207e-02,2.00000000e-09,1.77886016e-01,2.00000000e-09,1.77886016e-01,2.00000000e-09,5.01349601e+08,2.00000000e-09,1.35961197e+09,2.00000000e-09,2.16388965e+08,2.00000000e-09,3.10912254e+01,1.00,.250u,ihp-sg13g2
2.50000000e-09,7.76930305e-08,2.50000000e-09,2.50086011e-09,2.50000000e-09,4.60477341e-17,2.50000000e-09,2.45412890e-18,2.50000000e-09,3.31028547e-20,2.50000000e-09,-8.94239724e-19,2.50000000e-09,1.82805342e-18,2.50000000e-09,2.40066039e-20,2.50000000e-09,2.44786275e-09,2.50000000e-09,3.18642846e-01,2.50000000e-09,7.62862580e-02,2.50000000e-09,1.84825838e-01,2.50000000e-09,1.84825838e-01,2.50000000e-09,4.08519637e+08,2.50000000e-09,1.68722809e+09,2.50000000e-09,2.68530691e+08,2.50000000e-09,3.10665240e+01,1.00,.250u,ihp-sg13g2
3.00000000e-09,9.31295075e-08,3.00000000e-09,3.00045114e-09,3.00000000e-09,4.63371402e-17,3.00000000e-09,2.90760112e-18,3.00000000e-09,3.82439477e-20,3.00000000e-09,-1.05924312e-18,3.00000000e-09,2.17106474e-18,3.00000000e-09,2.77460364e-20,3.00000000e-09,2.89805790e-09,3.00000000e-09,3.18642839e-01,3.00000000e-09,8.19367521e-02,3.00000000e-09,1.90512823e-01,3.00000000e-09,1.90512823e-01,3.00000000e-09,3.45058668e+08,3.00000000e-09,2.00982424e+09,3.00000000e-09,3.19873462e+08,3.00000000e-09,3.10385016e+01,1.00,.250u,ihp-sg13g2
3.50000000e-09,1.08537260e-07,3.50000000e-09,3.50026400e-09,3.50000000e-09,4.66393410e-17,3.50000000e-09,3.35553593e-18,3.50000000e-09,4.32929329e-20,3.50000000e-09,-1.22200916e-18,3.50000000e-09,2.50992449e-18,3.50000000e-09,3.14084220e-20,3.50000000e-09,3.34539854e-09,3.50000000e-09,3.18642834e-01,3.50000000e-09,8.67176216e-02,3.50000000e-09,1.95329994e-01,3.50000000e-09,1.95329994e-01,3.50000000e-09,2.98918048e+08,3.50000000e-09,2.32716109e+09,3.50000000e-09,3.70379191e+08,3.50000000e-09,3.10083067e+01,1.00,.250u,ihp-sg13g2
4.00000000e-09,1.23911630e-07,4.00000000e-09,4.00016706e-09,4.00000000e-09,4.69498958e-17,4.00000000e-09,3.79831982e-18,4.00000000e-09,4.82618598e-20,4.00000000e-09,-1.38273673e-18,4.00000000e-09,2.84489964e-18,4.00000000e-09,3.50051015e-20,4.00000000e-09,3.79017918e-09,4.00000000e-09,3.18642829e-01,4.00000000e-09,9.08605450e-02,4.00000000e-09,1.99509045e-01,4.00000000e-09,1.99509045e-01,4.00000000e-09,2.63839769e+08,4.00000000e-09,2.63923119e+09,4.00000000e-09,4.20046691e+08,4.00000000e-09,3.09766137e+01,1.00,.250u,ihp-sg13g2
4.50000000e-09,1.39250794e-07,4.50000000e-09,4.50011203e-09,4.50000000e-09,4.72660251e-17,4.50000000e-09,4.23629541e-18,4.50000000e-09,5.31604181e-20,4.50000000e-09,-1.54159255e-18,4.50000000e-09,3.17623155e-18,4.50000000e-09,3.85448173e-20,4.50000000e-09,4.23266943e-09,4.50000000e-09,3.18642825e-01,4.50000000e-09,9.45157683e-02,4.50000000e-09,2.03200238e-01,4.50000000e-09,2.03200238e-01,4.50000000e-09,2.36257524e+08,4.50000000e-09,2.94610755e+09,4.50000000e-09,4.68887580e+08,4.50000000e-09,3.09438504e+01,1.00,.250u,ihp-sg13g2
5.00000000e-09,1.55421610e-07,5.00000000e-09,5.02846164e-09,5.00000000e-09,4.76041261e-17,5.00000000e-09,4.69422683e-18,5.00000000e-09,5.82691312e-20,5.00000000e-09,-1.70758267e-18,5.00000000e-09,3.52263963e-18,5.00000000e-09,4.22310925e-20,5.00000000e-09,4.69804000e-09,5.00000000e-09,3.18642821e-01,5.00000000e-09,9.79618500e-02,5.00000000e-09,2.06684173e-01,5.00000000e-09,2.06684173e-01,5.00000000e-09,2.12854723e+08,5.00000000e-09,3.26487686e+09,5.00000000e-09,5.19621291e+08,5.00000000e-09,3.09083813e+01,1.00,.250u,ihp-sg13g2
5.50000000e-09,1.70505302e-07,5.50000000e-09,5.52250415e-09,5.50000000e-09,4.79227068e-17,5.50000000e-09,5.11809717e-18,5.50000000e-09,6.29892292e-20,5.50000000e-09,-1.86115391e-18,5.50000000e-09,3.84325254e-18,5.50000000e-09,4.56328820e-20,5.50000000e-09,5.13129130e-09,5.50000000e-09,3.18642818e-01,5.50000000e-09,1.00871498e-01,5.50000000e-09,2.09629080e-01,5.50000000e-09,2.09629080e-01,5.50000000e-09,1.94882719e+08,5.50000000e-09,3.55792303e+09,5.50000000e-09,5.66261037e+08,5.50000000e-09,3.08746354e+01,1.00,.250u,ihp-sg13g2
