isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.08755132e-08,1.00000000e-09,9.99994121e-10,1.00000000e-09,8.91988250e-17,1.00000000e-09,4.67786987e-19,1.00000000e-09,-2.09827975e-19,1.00000000e-09,-7.93771604e-20,1.00000000e-09,1.57485799e-19,1.00000000e-09,1.36341350e-21,1.00000000e-09,2.46379454e-09,1.00000000e-09,4.19748614e-01,1.00000000e-09,7.30745264e-02,1.00000000e-09,1.83645345e-01,1.00000000e-09,1.83645345e-01,1.00000000e-09,4.05878000e+08,1.00000000e-09,3.46142599e+08,1.00000000e-09,5.50903057e+07,1.00000000e-09,3.08756947e+01,1.00,.130u,ihp-sg13g2
1.50000000e-09,4.65790553e-08,1.50000000e-09,1.50652079e-09,1.50000000e-09,8.87392119e-17,1.50000000e-09,5.64573644e-19,1.50000000e-09,-2.11238049e-19,1.50000000e-09,-1.15187451e-19,1.50000000e-09,2.29571234e-19,1.50000000e-09,1.78538687e-21,1.50000000e-09,3.66441806e-09,1.50000000e-09,4.19719062e-01,1.50000000e-09,8.53607760e-02,1.50000000e-09,1.95935179e-01,1.50000000e-09,1.95935179e-01,1.50000000e-09,2.72894627e+08,1.50000000e-09,5.24898230e+08,1.50000000e-09,8.35401480e+07,1.50000000e-09,3.09182958e+01,1.00,.130u,ihp-sg13g2
2.00000000e-09,6.19501990e-08,2.00000000e-09,2.00192268e-09,2.00000000e-09,8.84485937e-17,2.00000000e-09,6.56478173e-19,2.00000000e-09,-2.11847011e-19,2.00000000e-09,-1.49177169e-19,2.00000000e-09,2.98204979e-19,2.00000000e-09,2.16957106e-21,2.00000000e-09,4.82597826e-09,2.00000000e-09,4.19698330e-01,2.00000000e-09,9.38813419e-02,2.00000000e-09,2.04459164e-01,2.00000000e-09,2.04459164e-01,2.00000000e-09,2.07211874e+08,2.00000000e-09,7.00409090e+08,2.00000000e-09,1.11473569e+08,2.00000000e-09,3.09453506e+01,1.00,.130u,ihp-sg13g2
2.50000000e-09,7.74387959e-08,2.50000000e-09,2.50086985e-09,2.50000000e-09,8.82411916e-17,2.50000000e-09,7.47157549e-19,2.50000000e-09,-2.12119431e-19,2.50000000e-09,-1.82664918e-19,2.50000000e-09,3.65974078e-19,2.50000000e-09,2.53699464e-21,2.50000000e-09,5.98590126e-09,2.50000000e-09,4.19681984e-01,2.50000000e-09,1.00549078e-01,2.50000000e-09,2.11130283e-01,2.50000000e-09,2.11130283e-01,2.50000000e-09,1.67059221e+08,2.50000000e-09,8.77581030e+08,2.50000000e-09,1.39671359e+08,2.50000000e-09,3.09647444e+01,1.00,.130u,ihp-sg13g2
3.00000000e-09,9.29517251e-08,3.00000000e-09,3.00045323e-09,3.00000000e-09,8.80870515e-17,3.00000000e-09,8.36507221e-19,3.00000000e-09,-2.12208997e-19,3.00000000e-09,-2.15610882e-19,3.00000000e-09,4.32760488e-19,3.00000000e-09,2.89020592e-21,3.00000000e-09,7.13904419e-09,3.00000000e-09,4.19668534e-01,3.00000000e-09,1.06005353e-01,3.00000000e-09,2.16589897e-01,3.00000000e-09,2.16589897e-01,3.00000000e-09,1.40074774e+08,3.00000000e-09,1.05522575e+09,3.00000000e-09,1.67944394e+08,3.00000000e-09,3.09792281e+01,1.00,.130u,ihp-sg13g2
3.50000000e-09,1.08474346e-07,3.50000000e-09,3.50026215e-09,3.50000000e-09,8.79693432e-17,3.50000000e-09,9.24725516e-19,3.50000000e-09,-2.12189514e-19,3.50000000e-09,-2.48093461e-19,3.50000000e-09,4.98698290e-19,3.50000000e-09,3.23197264e-21,3.50000000e-09,8.28565421e-09,3.50000000e-09,4.19657108e-01,3.50000000e-09,1.10620852e-01,3.50000000e-09,2.21208696e-01,3.50000000e-09,2.21208696e-01,3.50000000e-09,1.20690530e+08,3.50000000e-09,1.23309260e+09,3.50000000e-09,1.96252782e+08,3.50000000e-09,3.09903491e+01,1.00,.130u,ihp-sg13g2
4.00000000e-09,1.24001175e-07,4.00000000e-09,4.00016289e-09,4.00000000e-09,8.78780228e-17,4.00000000e-09,1.01197434e-18,4.00000000e-09,-2.12100262e-19,4.00000000e-09,-2.80178207e-19,4.00000000e-09,5.63903317e-19,4.00000000e-09,3.56429108e-21,4.00000000e-09,9.42631254e-09,4.00000000e-09,4.19647173e-01,4.00000000e-09,1.14619708e-01,4.00000000e-09,2.25210819e-01,4.00000000e-09,2.25210819e-01,4.00000000e-09,1.06086022e+08,4.00000000e-09,1.41106014e+09,4.00000000e-09,2.24577196e+08,4.00000000e-09,3.09990315e+01,1.00,.130u,ihp-sg13g2
4.50000000e-09,1.39529705e-07,4.50000000e-09,4.50010635e-09,4.50000000e-09,8.78066469e-17,4.50000000e-09,1.09837966e-18,4.50000000e-09,-2.11964057e-19,4.50000000e-09,-3.11916786e-19,4.50000000e-09,6.28467989e-19,4.50000000e-09,3.88863062e-21,4.50000000e-09,1.05615906e-08,4.50000000e-09,4.19638384e-01,4.50000000e-09,1.18147231e-01,4.50000000e-09,2.28741582e-01,4.50000000e-09,2.28741582e-01,4.50000000e-09,9.46827079e+07,4.50000000e-09,1.58905630e+09,4.50000000e-09,2.52906164e+08,4.50000000e-09,3.10058684e+01,1.00,.130u,ihp-sg13g2
5.00000000e-09,1.55950299e-07,5.00000000e-09,5.02878372e-09,5.00000000e-09,8.77480453e-17,5.00000000e-09,1.18893816e-18,5.00000000e-09,-2.11784553e-19,5.00000000e-09,-3.45146444e-19,5.00000000e-09,6.96124811e-19,5.00000000e-09,4.22414538e-21,5.00000000e-09,1.17567588e-08,5.00000000e-09,4.19630073e-01,5.00000000e-09,1.21474362e-01,5.00000000e-09,2.32072110e-01,5.00000000e-09,2.32072110e-01,5.00000000e-09,8.50574567e+07,5.00000000e-09,1.77725098e+09,5.00000000e-09,2.82858278e+08,5.00000000e-09,3.10115344e+01,1.00,.130u,ihp-sg13g2
5.50000000e-09,1.71291609e-07,5.50000000e-09,5.52274476e-09,5.50000000e-09,8.77058159e-17,5.50000000e-09,1.27287657e-18,5.50000000e-09,-2.11593261e-19,5.50000000e-09,-3.75918517e-19,5.50000000e-09,7.58825538e-19,5.50000000e-09,4.53158204e-21,5.50000000e-09,1.28689159e-08,5.50000000e-09,4.19623047e-01,5.50000000e-09,1.24280904e-01,5.50000000e-09,2.34881805e-01,5.50000000e-09,2.34881805e-01,5.50000000e-09,7.77066232e+07,5.50000000e-09,1.95302452e+09,5.50000000e-09,3.10833507e+08,5.50000000e-09,3.10156664e+01,1.00,.130u,ihp-sg13g2
