isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.91281139e-08,1.00000000e-09,9.99997055e-10,1.00000000e-09,3.02766134e-16,1.00000000e-09,1.23243258e-18,1.00000000e-09,1.33710765e-19,1.00000000e-09,-4.06177379e-19,1.00000000e-09,7.64741830e-19,1.00000000e-09,9.11077909e-20,1.00000000e-09,6.05037508e-09,1.00000000e-09,2.96254767e-01,1.00000000e-09,-5.63843558e-02,1.00000000e-09,5.85483192e-02,1.00000000e-09,5.85483192e-02,1.00000000e-09,1.65279010e+08,1.00000000e-09,9.62066446e+07,1.00000000e-09,1.53117631e+07,1.00000000e-09,2.91281997e+01,1.00,.250u,ihp-sg13g2
1.50000000e-09,4.37499497e-08,1.50000000e-09,1.50000205e-09,1.50000000e-09,3.01308154e-16,1.50000000e-09,1.66280606e-18,1.50000000e-09,1.21214155e-19,1.50000000e-09,-5.72833609e-19,1.50000000e-09,1.07893572e-18,1.50000000e-09,8.64016029e-20,1.50000000e-09,6.63937506e-09,1.50000000e-09,2.96254336e-01,1.50000000e-09,-4.45707007e-02,1.50000000e-09,7.03670178e-02,1.50000000e-09,7.03670178e-02,1.50000000e-09,1.50616585e+08,1.50000000e-09,1.45200019e+08,1.50000000e-09,2.31093008e+07,1.50000000e-09,2.91665933e+01,1.00,.250u,ihp-sg13g2
2.00000000e-09,5.84331711e-08,2.00000000e-09,2.00159915e-09,2.00000000e-09,3.00352597e-16,2.00000000e-09,2.08429318e-18,2.00000000e-09,1.15303317e-19,2.00000000e-09,-7.36010525e-19,2.00000000e-09,1.38877601e-18,2.00000000e-09,8.45185665e-20,2.00000000e-09,7.40925742e-09,2.00000000e-09,2.96254007e-01,2.00000000e-09,-3.58916676e-02,2.00000000e-09,7.90510445e-02,2.00000000e-09,7.90510445e-02,2.00000000e-09,1.34966292e+08,2.00000000e-09,1.94548580e+08,2.00000000e-09,3.09633681e+07,2.00000000e-09,2.91932434e+01,1.00,.250u,ihp-sg13g2
2.50000000e-09,7.30536252e-08,2.50000000e-09,2.50073713e-09,2.50000000e-09,2.99687987e-16,2.50000000e-09,2.49618597e-18,2.50000000e-09,1.12445780e-19,2.50000000e-09,-8.95257231e-19,2.50000000e-09,1.69250762e-18,2.50000000e-09,8.39974180e-20,2.50000000e-09,8.26359257e-09,2.50000000e-09,2.96253740e-01,2.50000000e-09,-2.90872279e-02,2.50000000e-09,8.58603932e-02,2.50000000e-09,8.58603932e-02,2.50000000e-09,1.21012742e+08,2.50000000e-09,2.43765611e+08,2.50000000e-09,3.87965020e+07,2.50000000e-09,2.92128366e+01,1.00,.250u,ihp-sg13g2
3.00000000e-09,8.76954872e-08,3.00000000e-09,3.00040208e-09,3.00000000e-09,2.99205744e-16,3.00000000e-09,2.90252792e-18,3.00000000e-09,1.11211381e-19,3.00000000e-09,-1.05213871e-18,3.00000000e-09,1.99264785e-18,3.00000000e-09,8.42134415e-20,3.00000000e-09,9.16872695e-09,3.00000000e-09,2.96253516e-01,3.00000000e-09,-2.34690682e-02,3.00000000e-09,9.14834149e-02,3.00000000e-09,9.14834149e-02,3.00000000e-09,1.09066396e+08,3.00000000e-09,2.93094263e+08,3.00000000e-09,4.66474008e+07,3.00000000e-09,2.92279117e+01,1.00,.250u,ihp-sg13g2
3.50000000e-09,1.02346282e-07,3.50000000e-09,3.50024039e-09,3.50000000e-09,2.98850157e-16,3.50000000e-09,3.30402609e-18,3.50000000e-09,1.10946291e-19,3.50000000e-09,-1.20695540e-18,3.50000000e-09,2.28950867e-18,3.50000000e-09,8.48692205e-20,3.50000000e-09,1.01050395e-08,3.50000000e-09,2.96253321e-01,3.50000000e-09,-1.86889921e-02,3.50000000e-09,9.62683089e-02,3.50000000e-09,9.62683089e-02,3.50000000e-09,9.89605238e+07,3.50000000e-09,3.42466884e+08,3.50000000e-09,5.45052975e+07,3.50000000e-09,2.92397866e+01,1.00,.250u,ihp-sg13g2
4.00000000e-09,1.17001623e-07,4.00000000e-09,4.00015354e-09,4.00000000e-09,2.98587185e-16,4.00000000e-09,3.70131190e-18,4.00000000e-09,1.11300237e-19,4.00000000e-09,-1.35997943e-18,4.00000000e-09,2.58344547e-18,4.00000000e-09,8.58029270e-20,4.00000000e-09,1.10617412e-08,4.00000000e-09,2.96253149e-01,4.00000000e-09,-1.45308366e-02,4.00000000e-09,1.00431243e-01,4.00000000e-09,1.00431243e-01,4.00000000e-09,9.04016808e+07,4.00000000e-09,3.91850785e+08,4.00000000e-09,6.23649893e+07,4.00000000e-09,2.92492830e+01,1.00,.250u,ihp-sg13g2
4.50000000e-09,1.31659262e-07,4.50000000e-09,4.50010288e-09,4.50000000e-09,2.98394659e-16,4.50000000e-09,4.09488631e-18,4.50000000e-09,1.12069527e-19,4.50000000e-09,-1.51142848e-18,4.50000000e-09,2.87476417e-18,4.50000000e-09,8.69197628e-20,4.50000000e-09,1.20323698e-08,4.50000000e-09,2.96252995e-01,4.50000000e-09,-1.08520752e-02,4.50000000e-09,1.04114747e-01,4.50000000e-09,1.04114747e-01,4.50000000e-09,8.31091477e+07,4.50000000e-09,4.41225262e+08,4.50000000e-09,7.02231815e+07,4.50000000e-09,2.92569448e+01,1.00,.250u,ihp-sg13g2
5.00000000e-09,1.46317839e-07,5.00000000e-09,5.00007139e-09,5.00000000e-09,2.98257379e-16,5.00000000e-09,4.48514826e-18,5.00000000e-09,1.13128009e-19,5.00000000e-09,-1.66147653e-18,5.00000000e-09,3.16371978e-18,5.00000000e-09,8.81609141e-20,5.00000000e-09,1.30128116e-08,5.00000000e-09,2.96252855e-01,5.00000000e-09,-7.55395726e-03,5.00000000e-09,1.07417576e-01,5.00000000e-09,1.07417576e-01,5.00000000e-09,7.68473430e+07,5.00000000e-09,4.90575757e+08,5.00000000e-09,7.80775566e+07,5.00000000e-09,2.92631500e+01,1.00,.250u,ihp-sg13g2
5.50000000e-09,1.60976430e-07,5.50000000e-09,5.50005079e-09,5.50000000e-09,2.98164490e-16,5.50000000e-09,4.87242027e-18,5.50000000e-09,1.14393621e-19,5.50000000e-09,-1.81026436e-18,5.50000000e-09,3.45052462e-18,5.50000000e-09,8.94882091e-20,5.50000000e-09,1.40003216e-08,5.50000000e-09,2.96252728e-01,5.50000000e-09,-4.56530877e-03,5.50000000e-09,1.10410906e-01,5.50000000e-09,1.10410906e-01,5.50000000e-09,7.14269308e+07,5.50000000e-09,5.39891352e+08,5.50000000e-09,8.59263774e+07,5.50000000e-09,2.92681715e+01,1.00,.250u,ihp-sg13g2
