isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.54910900e-08,1.00000000e-09,9.99996315e-10,1.00000000e-09,3.06544980e-16,1.00000000e-09,1.18976320e-18,1.00000000e-09,2.08779697e-19,1.00000000e-09,-3.92619250e-19,1.00000000e-09,7.42845593e-19,1.00000000e-09,1.45317910e-19,1.00000000e-09,8.85102314e-09,1.00000000e-09,3.22224437e-01,1.00000000e-09,-7.93515023e-02,1.00000000e-09,5.04367450e-02,1.00000000e-09,5.04367450e-02,1.00000000e-09,1.12981289e+08,1.00000000e-09,8.31561161e+07,1.00000000e-09,1.32347069e+07,1.00000000e-09,2.54911839e+01,1.00,.250u,ihp-sg13g2
1.50000000e-09,3.82995276e-08,1.50000000e-09,1.49999808e-09,1.50000000e-09,3.04796973e-16,1.50000000e-09,1.56911361e-18,1.50000000e-09,1.86839346e-19,1.50000000e-09,-5.41105749e-19,1.50000000e-09,1.01936812e-18,1.50000000e-09,1.34794393e-19,1.50000000e-09,9.12343263e-09,1.50000000e-09,3.22224001e-01,1.50000000e-09,-6.70101429e-02,1.50000000e-09,6.27832136e-02,1.50000000e-09,6.27832136e-02,1.50000000e-09,1.09607868e+08,1.50000000e-09,1.25655866e+08,1.50000000e-09,1.99987522e+07,1.50000000e-09,2.55330511e+01,1.00,.250u,ihp-sg13g2
2.00000000e-09,5.11595278e-08,2.00000000e-09,2.00126785e-09,2.00000000e-09,3.03584029e-16,2.00000000e-09,1.94080975e-18,2.00000000e-09,1.74578385e-19,2.00000000e-09,-6.86839329e-19,2.00000000e-09,1.29311382e-18,2.00000000e-09,1.28789169e-19,2.00000000e-09,9.67473613e-09,2.00000000e-09,3.22223658e-01,2.00000000e-09,-5.77036150e-02,2.00000000e-09,7.20948228e-02,2.00000000e-09,7.20948228e-02,2.00000000e-09,1.03361992e+08,2.00000000e-09,1.68518508e+08,2.00000000e-09,2.68205536e+07,2.00000000e-09,2.55635585e+01,1.00,.250u,ihp-sg13g2
2.50000000e-09,6.39832101e-08,2.50000000e-09,2.50062642e-09,2.50000000e-09,3.02695502e-16,2.50000000e-09,2.30443293e-18,2.50000000e-09,1.67218687e-19,2.50000000e-09,-8.29243379e-19,2.50000000e-09,1.56220025e-18,2.50000000e-09,1.25263686e-19,2.50000000e-09,1.03741482e-08,2.50000000e-09,3.22223376e-01,2.50000000e-09,-5.02952857e-02,2.50000000e-09,7.95081643e-02,2.50000000e-09,7.95081643e-02,2.50000000e-09,9.63934563e+07,2.50000000e-09,2.11378133e+08,2.50000000e-09,3.36418747e+07,2.50000000e-09,2.55868728e+01,1.00,.250u,ihp-sg13g2
3.00000000e-09,7.68253337e-08,3.00000000e-09,3.00035439e-09,3.00000000e-09,3.02016274e-16,3.00000000e-09,2.66287256e-18,3.00000000e-09,1.62618650e-19,3.00000000e-09,-9.69390800e-19,3.00000000e-09,1.82814685e-18,3.00000000e-09,1.23194231e-19,3.00000000e-09,1.11636899e-08,3.00000000e-09,3.22223135e-01,3.00000000e-09,-4.41289074e-02,3.00000000e-09,8.56795097e-02,3.00000000e-09,8.56795097e-02,3.00000000e-09,8.95761176e+07,3.00000000e-09,2.54374815e+08,3.00000000e-09,4.04850092e+07,3.00000000e-09,2.56054198e+01,1.00,.250u,ihp-sg13g2
3.50000000e-09,8.96774005e-08,3.50000000e-09,3.50021687e-09,3.50000000e-09,3.01484632e-16,3.50000000e-09,3.01678683e-18,3.50000000e-09,1.59739373e-19,3.50000000e-09,-1.10755190e-18,3.50000000e-09,2.09115425e-18,3.50000000e-09,1.22054045e-19,3.50000000e-09,1.20109435e-08,3.50000000e-09,3.22222925e-01,3.50000000e-09,-3.88537329e-02,3.50000000e-09,9.09596074e-02,3.50000000e-09,9.09596074e-02,3.50000000e-09,8.32574062e+07,3.50000000e-09,2.97452642e+08,3.50000000e-09,4.73410584e+07,3.50000000e-09,2.56205269e+01,1.00,.250u,ihp-sg13g2
4.00000000e-09,1.02535778e-07,4.00000000e-09,4.00014058e-09,4.00000000e-09,3.01062080e-16,4.00000000e-09,3.36673864e-18,4.00000000e-09,1.58000434e-19,4.00000000e-09,-1.24397333e-18,4.00000000e-09,2.35148662e-18,4.00000000e-09,1.21538038e-19,4.00000000e-09,1.28971592e-08,4.00000000e-09,3.22222738e-01,4.00000000e-09,-3.42473011e-02,4.00000000e-09,9.55709216e-02,4.00000000e-09,9.55709216e-02,4.00000000e-09,7.75364548e+07,4.00000000e-09,3.40580181e+08,4.00000000e-09,5.42050193e+07,4.00000000e-09,2.56330435e+01,1.00,.250u,ihp-sg13g2
4.50000000e-09,1.15398380e-07,4.50000000e-09,4.50009506e-09,4.50000000e-09,3.00723154e-16,4.50000000e-09,3.71318021e-18,4.50000000e-09,1.57053029e-19,4.50000000e-09,-1.37885800e-18,4.50000000e-09,2.60939028e-18,4.50000000e-09,1.21458520e-19,4.50000000e-09,1.38107491e-08,4.50000000e-09,3.22222570e-01,4.50000000e-09,-3.01605119e-02,4.50000000e-09,9.96625560e-02,4.50000000e-09,9.96625560e-02,4.50000000e-09,7.24073684e+07,4.50000000e-09,3.83736264e+08,4.50000000e-09,6.10735233e+07,4.50000000e-09,2.56435427e+01,1.00,.250u,ihp-sg13g2
5.00000000e-09,1.28263842e-07,5.00000000e-09,5.00006628e-09,5.00000000e-09,3.00450205e-16,5.00000000e-09,4.05647694e-18,5.00000000e-09,1.56675216e-19,5.00000000e-09,-1.51237135e-18,5.00000000e-09,2.86508103e-18,5.00000000e-09,1.21694150e-19,5.00000000e-09,1.47441711e-08,5.00000000e-09,3.22222417e-01,5.00000000e-09,-2.64888015e-02,5.00000000e-09,1.03339077e-01,5.00000000e-09,1.03339077e-01,5.00000000e-09,6.78234125e+07,5.00000000e-09,4.26905490e+08,5.00000000e-09,6.79441190e+07,5.00000000e-09,2.56524283e+01,1.00,.250u,ihp-sg13g2
5.50000000e-09,1.41131186e-07,5.50000000e-09,5.50004721e-09,5.50000000e-09,3.00230524e-16,5.50000000e-09,4.39692791e-18,5.50000000e-09,1.56719215e-19,5.50000000e-09,-1.64464918e-18,5.50000000e-09,3.11874470e-18,5.50000000e-09,1.22163231e-19,5.50000000e-09,1.56923069e-08,5.50000000e-09,3.22222276e-01,5.50000000e-09,-2.31561116e-02,5.50000000e-09,1.06676547e-01,5.50000000e-09,1.06676547e-01,5.50000000e-09,6.37254935e+07,5.50000000e-09,4.70076075e+08,5.50000000e-09,7.48149309e+07,5.50000000e-09,2.56599954e+01,1.00,.250u,ihp-sg13g2
