isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.81372866e-08,1.00000000e-09,9.99996818e-10,1.00000000e-09,7.71574915e-15,1.00000000e-09,4.20560727e-16,1.00000000e-09,3.23572971e-19,1.00000000e-09,-1.57441592e-16,1.00000000e-09,3.05220638e-16,1.00000000e-09,1.31315546e-19,1.00000000e-09,7.96573575e-10,1.00000000e-09,2.44118407e-01,1.00000000e-09,4.51758751e-02,1.00000000e-09,1.34405545e-01,1.00000000e-09,1.34405545e-01,1.00000000e-09,1.25537682e+09,1.00000000e-09,4.94278467e+06,1.00000000e-09,7.86668613e+05,1.00000000e-09,3.81374080e+01,1.00,5.000u,ihp-sg13g2
1.50000000e-09,5.72882992e-08,1.50000000e-09,1.50635111e-09,1.50000000e-09,7.86071066e-15,1.50000000e-09,6.21749038e-16,1.50000000e-09,3.37905105e-19,1.50000000e-09,-2.33742667e-16,1.50000000e-09,4.52473948e-16,1.50000000e-09,1.57401228e-19,1.50000000e-09,1.20812806e-09,1.50000000e-09,2.44118383e-01,1.50000000e-09,5.56383931e-02,1.50000000e-09,1.44940682e-01,1.50000000e-09,1.44940682e-01,1.50000000e-09,8.27726823e+08,1.50000000e-09,7.28792875e+06,1.50000000e-09,1.15990989e+06,1.50000000e-09,3.80311726e+01,1.00,5.000u,ihp-sg13g2
2.00000000e-09,7.59103039e-08,2.00000000e-09,2.00185949e-09,2.00000000e-09,8.00835917e-15,2.00000000e-09,8.14527498e-16,2.00000000e-09,3.70504850e-19,2.00000000e-09,-3.06960688e-16,2.00000000e-09,5.93362842e-16,2.00000000e-09,1.90907701e-19,2.00000000e-09,1.61098241e-09,2.00000000e-09,2.44118368e-01,2.00000000e-09,6.29008801e-02,2.00000000e-09,1.52273610e-01,2.00000000e-09,1.52273610e-01,2.00000000e-09,6.20739242e+08,2.00000000e-09,9.47888354e+06,2.00000000e-09,1.50861117e+06,2.00000000e-09,3.79198962e+01,1.00,5.000u,ihp-sg13g2
2.50000000e-09,9.45432437e-08,2.50000000e-09,2.50083300e-09,2.50000000e-09,8.15893278e-15,2.50000000e-09,1.00500055e-15,2.50000000e-09,4.09878685e-19,2.50000000e-09,-3.79417458e-16,2.50000000e-09,7.32379840e-16,2.50000000e-09,2.26813522e-19,2.50000000e-09,2.01537478e-09,2.50000000e-09,2.44118358e-01,2.50000000e-09,6.85854794e-02,2.50000000e-09,1.58028642e-01,2.50000000e-09,1.58028642e-01,2.50000000e-09,4.96185627e+08,2.50000000e-09,1.15876973e+07,2.50000000e-09,1.84423931e+06,2.50000000e-09,3.78047010e+01,1.00,5.000u,ihp-sg13g2
3.00000000e-09,1.13080253e-07,3.00000000e-09,3.00042985e-09,3.00000000e-09,8.30995956e-15,3.00000000e-09,1.19233090e-15,3.00000000e-09,4.52262050e-19,3.00000000e-09,-4.50796082e-16,3.00000000e-09,8.68930318e-16,3.00000000e-09,2.63440865e-19,3.00000000e-09,2.41854197e-09,3.00000000e-09,2.44118349e-01,3.00000000e-09,7.32394192e-02,3.00000000e-09,1.62752675e-01,3.00000000e-09,1.62752675e-01,3.00000000e-09,4.13472254e+08,3.00000000e-09,1.36077983e+07,3.00000000e-09,2.16574836e+06,3.00000000e-09,3.76880177e+01,1.00,5.000u,ihp-sg13g2
3.50000000e-09,1.31507322e-07,3.50000000e-09,3.50024580e-09,3.50000000e-09,8.46049675e-15,3.50000000e-09,1.37657514e-15,3.50000000e-09,4.96150509e-19,3.50000000e-09,-5.21116390e-16,3.50000000e-09,1.00306963e-15,3.50000000e-09,3.00235132e-19,3.50000000e-09,2.81997567e-09,3.50000000e-09,2.44118343e-01,3.50000000e-09,7.71782584e-02,3.50000000e-09,1.66761259e-01,3.50000000e-09,1.66761259e-01,3.50000000e-09,3.54612988e+08,3.50000000e-09,1.55436880e+07,3.50000000e-09,2.47385478e+06,3.50000000e-09,3.75708820e+01,1.00,5.000u,ihp-sg13g2
4.00000000e-09,1.49821102e-07,4.00000000e-09,4.00015038e-09,4.00000000e-09,8.61005317e-15,4.00000000e-09,1.55785386e-15,4.00000000e-09,5.40823958e-19,4.00000000e-09,-5.90421449e-16,4.00000000e-09,1.13489730e-15,4.00000000e-09,3.36971663e-19,4.00000000e-09,3.21949515e-09,4.00000000e-09,2.44118337e-01,4.00000000e-09,8.05927233e-02,4.00000000e-09,1.70245140e-01,4.00000000e-09,1.70245140e-01,4.00000000e-09,3.10607705e+08,4.00000000e-09,1.74007174e+07,4.00000000e-09,2.76941019e+06,4.00000000e-09,3.74538674e+01,1.00,5.000u,ihp-sg13g2
4.50000000e-09,1.68021523e-07,4.50000000e-09,4.50009603e-09,4.50000000e-09,8.75835193e-15,4.50000000e-09,1.73629098e-15,4.50000000e-09,5.85898110e-19,4.50000000e-09,-6.58755081e-16,4.50000000e-09,1.26451349e-15,4.50000000e-09,3.73551586e-19,4.50000000e-09,3.61703467e-09,4.50000000e-09,2.44118332e-01,4.50000000e-09,8.36064297e-02,4.50000000e-09,1.73327953e-01,4.50000000e-09,1.73327953e-01,4.50000000e-09,2.76469564e+08,4.50000000e-09,1.91841484e+07,4.50000000e-09,3.05325205e+06,4.50000000e-09,3.73373196e+01,1.00,5.000u,ihp-sg13g2
5.00000000e-09,1.87114177e-07,5.00000000e-09,5.02792012e-09,5.00000000e-09,8.91336992e-15,5.00000000e-09,1.92171283e-15,5.00000000e-09,6.33675236e-19,5.00000000e-09,-7.29886056e-16,5.00000000e-09,1.39905318e-15,5.00000000e-09,4.11950786e-19,5.00000000e-09,4.03455472e-09,5.00000000e-09,2.44118328e-01,5.00000000e-09,8.64462470e-02,5.00000000e-09,1.76240413e-01,5.00000000e-09,1.76240413e-01,5.00000000e-09,2.47858827e+08,5.00000000e-09,2.09925291e+07,5.00000000e-09,3.34106477e+06,5.00000000e-09,3.72150259e+01,1.00,5.000u,ihp-sg13g2
5.50000000e-09,2.04876921e-07,5.50000000e-09,5.52208407e-09,5.50000000e-09,9.05696389e-15,5.50000000e-09,2.09265871e-15,5.50000000e-09,6.78446118e-19,5.50000000e-09,-7.95575602e-16,5.50000000e-09,1.52295529e-15,5.50000000e-09,4.47677340e-19,5.50000000e-09,4.42342288e-09,5.50000000e-09,2.44118324e-01,5.50000000e-09,8.88481373e-02,5.50000000e-09,1.78710036e-01,5.50000000e-09,1.78710036e-01,5.50000000e-09,2.26069274e+08,5.50000000e-09,2.26209272e+07,5.50000000e-09,3.60023238e+06,5.50000000e-09,3.71013766e+01,1.00,5.000u,ihp-sg13g2
