isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.79296378e-08,1.00000000e-09,9.99999404e-10,1.00000000e-09,6.34906341e-16,1.00000000e-09,4.21619474e-18,1.00000000e-09,1.17694618e-20,1.00000000e-09,-1.42366624e-18,1.00000000e-09,2.79837832e-18,1.00000000e-09,4.57659570e-21,1.00000000e-09,1.63799706e-09,1.00000000e-09,3.73276150e-01,1.00000000e-09,1.13346538e-01,1.00000000e-09,2.03509711e-01,1.00000000e-09,2.03509711e-01,1.00000000e-09,6.10501708e+08,1.00000000e-09,5.97405244e+07,1.00000000e-09,9.50799976e+06,1.00000000e-09,3.79296604e+01,1.00,.500u,ihp-sg13g2
1.50000000e-09,5.71670499e-08,1.50000000e-09,1.50651891e-09,1.50000000e-09,6.33876293e-16,1.50000000e-09,6.02743842e-18,1.50000000e-09,1.35661437e-20,1.50000000e-09,-2.10348674e-18,1.50000000e-09,4.13767404e-18,1.50000000e-09,6.39921582e-21,1.50000000e-09,2.45371235e-09,1.50000000e-09,3.73276119e-01,1.50000000e-09,1.23694626e-01,1.50000000e-09,2.13865521e-01,1.50000000e-09,2.13865521e-01,1.50000000e-09,4.07545733e+08,1.50000000e-09,9.01864457e+07,1.50000000e-09,1.43536186e+07,1.50000000e-09,3.79464536e+01,1.00,.500u,ihp-sg13g2
2.00000000e-09,7.59787440e-08,2.00000000e-09,2.00192601e-09,2.00000000e-09,6.33610310e-16,2.00000000e-09,7.77131006e-18,2.00000000e-09,1.54702829e-20,2.00000000e-09,-2.75741440e-18,2.00000000e-09,5.42640272e-18,2.00000000e-09,8.11529255e-21,2.00000000e-09,3.24573280e-09,2.00000000e-09,3.73276098e-01,2.00000000e-09,1.30871186e-01,2.00000000e-09,2.21049526e-01,2.00000000e-09,2.21049526e-01,2.00000000e-09,3.08096835e+08,2.00000000e-09,1.19913996e+08,2.00000000e-09,1.90849052e+07,2.00000000e-09,3.79528232e+01,1.00,.500u,ihp-sg13g2
2.50000000e-09,9.49177692e-08,2.50000000e-09,2.50087524e-09,2.50000000e-09,6.33739263e-16,2.50000000e-09,9.50681781e-18,2.50000000e-09,1.74409752e-20,2.50000000e-09,-3.40782280e-18,2.50000000e-09,6.70840624e-18,2.50000000e-09,9.79690985e-21,2.50000000e-09,4.03875297e-09,2.50000000e-09,3.73276082e-01,2.50000000e-09,1.36487241e-01,2.50000000e-09,2.26673000e-01,2.50000000e-09,2.26673000e-01,2.50000000e-09,2.47601179e+08,2.50000000e-09,1.49774165e+08,2.50000000e-09,2.38372987e+07,2.50000000e-09,3.79538201e+01,1.00,.500u,ihp-sg13g2
3.00000000e-09,1.13871688e-07,3.00000000e-09,3.00045990e-09,3.00000000e-09,6.34116227e-16,3.00000000e-09,1.12275678e-17,3.00000000e-09,1.94340198e-20,3.00000000e-09,-4.05243749e-18,3.00000000e-09,7.97907017e-18,3.00000000e-09,1.14447508e-20,3.00000000e-09,4.82882621e-09,3.00000000e-09,3.73276069e-01,3.00000000e-09,1.41083047e-01,3.00000000e-09,2.31276173e-01,3.00000000e-09,2.31276173e-01,3.00000000e-09,2.07089664e+08,3.00000000e-09,1.79575421e+08,3.00000000e-09,2.85803159e+07,3.00000000e-09,3.79514116e+01,1.00,.500u,ihp-sg13g2
3.50000000e-09,1.32823603e-07,3.50000000e-09,3.50026965e-09,3.50000000e-09,6.34661335e-16,3.50000000e-09,1.29347356e-17,3.50000000e-09,2.14333258e-20,3.50000000e-09,-4.69177745e-18,3.50000000e-09,9.23933302e-18,3.50000000e-09,1.30644251e-20,3.50000000e-09,5.61580921e-09,3.50000000e-09,3.73276058e-01,3.50000000e-09,1.44970809e-01,3.50000000e-09,2.35171253e-01,3.50000000e-09,2.35171253e-01,3.50000000e-09,1.78068727e+08,3.50000000e-09,2.09282644e+08,3.50000000e-09,3.33083674e+07,3.50000000e-09,3.79466772e+01,1.00,.500u,ihp-sg13g2
4.00000000e-09,1.53175957e-07,4.00000000e-09,4.03734983e-09,4.00000000e-09,6.35380619e-16,4.00000000e-09,1.47553199e-17,4.00000000e-09,2.35798253e-20,4.00000000e-09,-5.37344351e-18,4.00000000e-09,1.05829595e-17,4.00000000e-09,1.47781579e-20,4.00000000e-09,6.45807024e-09,4.00000000e-09,3.73276048e-01,4.00000000e-09,1.48572728e-01,4.00000000e-09,2.38780987e-01,4.00000000e-09,2.38780987e-01,4.00000000e-09,1.54845018e+08,4.00000000e-09,2.41077478e+08,4.00000000e-09,3.83686722e+07,4.00000000e-09,3.79397286e+01,1.00,.500u,ihp-sg13g2
4.50000000e-09,1.71736758e-07,4.50000000e-09,4.52747542e-09,4.50000000e-09,6.36127045e-16,4.50000000e-09,1.64056022e-17,4.50000000e-09,2.55333956e-20,4.50000000e-09,-5.99124851e-18,4.50000000e-09,1.18006050e-17,4.50000000e-09,1.63214954e-20,4.50000000e-09,7.22391770e-09,4.50000000e-09,3.73276041e-01,4.50000000e-09,1.51463821e-01,4.50000000e-09,2.41679174e-01,4.50000000e-09,2.41679174e-01,4.50000000e-09,1.38429041e+08,4.50000000e-09,2.69972420e+08,4.50000000e-09,4.29674452e+07,4.50000000e-09,3.79321238e+01,1.00,.500u,ihp-sg13g2
5.00000000e-09,1.90582624e-07,5.00000000e-09,5.02545743e-09,5.00000000e-09,6.36953242e-16,5.00000000e-09,1.80725226e-17,5.00000000e-09,2.75113547e-20,5.00000000e-09,-6.61521596e-18,5.00000000e-09,1.30302628e-17,5.00000000e-09,1.78721084e-20,5.00000000e-09,7.99955986e-09,5.00000000e-09,3.73276033e-01,5.00000000e-09,1.54097023e-01,5.00000000e-09,2.44319551e-01,5.00000000e-09,2.44319551e-01,5.00000000e-09,1.25006878e+08,5.00000000e-09,2.99209756e+08,5.00000000e-09,4.76207116e+07,5.00000000e-09,3.79234382e+01,1.00,.500u,ihp-sg13g2
5.50000000e-09,2.09400555e-07,5.50000000e-09,5.52304248e-09,5.50000000e-09,6.37833099e-16,5.50000000e-09,1.97290679e-17,5.50000000e-09,2.94799029e-20,5.50000000e-09,-7.23525425e-18,5.50000000e-09,1.42520198e-17,5.50000000e-09,1.94059249e-20,5.50000000e-09,8.77227274e-09,5.50000000e-09,3.73276027e-01,5.50000000e-09,1.56479533e-01,5.50000000e-09,2.46709200e-01,5.50000000e-09,2.46709200e-01,5.50000000e-09,1.13995544e+08,5.50000000e-09,3.28299919e+08,5.50000000e-09,5.22505549e+07,5.50000000e-09,3.79139859e+01,1.00,.500u,ihp-sg13g2
