isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.13876218e-08,1.00000000e-09,9.99999750e-10,1.00000000e-09,6.62269436e-16,1.00000000e-09,3.98601715e-18,1.00000000e-09,3.69404831e-20,1.00000000e-09,-1.35261136e-18,1.00000000e-09,2.63562760e-18,1.00000000e-09,1.85353088e-20,1.00000000e-09,1.72300764e-09,1.00000000e-09,3.42610820e-01,1.00000000e-09,2.75079643e-02,1.00000000e-09,1.35202589e-01,1.00000000e-09,1.35202589e-01,1.00000000e-09,5.80380479e+08,1.00000000e-09,4.73940364e+07,1.00000000e-09,7.54299517e+06,1.00000000e-09,3.13876296e+01,1.00,.500u,ihp-sg13g2
1.50000000e-09,4.73292982e-08,1.50000000e-09,1.50649073e-09,1.50000000e-09,6.60093666e-16,1.50000000e-09,5.66158784e-18,1.50000000e-09,3.71210128e-20,1.50000000e-09,-1.99011556e-18,1.50000000e-09,3.88221027e-18,1.50000000e-09,2.02357043e-20,1.50000000e-09,2.53340496e-09,1.50000000e-09,3.42610772e-01,1.50000000e-09,3.98784467e-02,1.50000000e-09,1.47581552e-01,1.50000000e-09,1.47581552e-01,1.50000000e-09,3.94725681e+08,1.50000000e-09,7.17008823e+07,1.50000000e-09,1.14115498e+07,1.50000000e-09,3.14169197e+01,1.00,.500u,ihp-sg13g2
2.00000000e-09,6.29268780e-08,2.00000000e-09,2.00192592e-09,2.00000000e-09,6.59010390e-16,2.00000000e-09,7.27071719e-18,2.00000000e-09,3.85005089e-20,2.00000000e-09,-2.60157087e-18,2.00000000e-09,5.07886117e-18,2.00000000e-09,2.21619703e-20,2.00000000e-09,3.32973738e-09,2.00000000e-09,3.42610741e-01,2.00000000e-09,4.84609083e-02,2.00000000e-09,1.56172173e-01,2.00000000e-09,1.56172173e-01,2.00000000e-09,3.00323986e+08,2.00000000e-09,9.54869284e+07,2.00000000e-09,1.51972167e+07,2.00000000e-09,3.14331701e+01,1.00,.500u,ihp-sg13g2
2.50000000e-09,7.86345874e-08,2.50000000e-09,2.50087640e-09,2.50000000e-09,6.58479052e-16,2.50000000e-09,8.86891120e-18,2.50000000e-09,4.03794763e-20,2.50000000e-09,-3.20834510e-18,2.50000000e-09,6.26691599e-18,2.50000000e-09,2.41798396e-20,2.50000000e-09,4.13181987e-09,2.50000000e-09,3.42610717e-01,2.50000000e-09,5.51766583e-02,2.50000000e-09,1.62896039e-01,2.50000000e-09,1.62896039e-01,2.50000000e-09,2.42024103e+08,2.50000000e-09,1.19418510e+08,2.50000000e-09,1.90060462e+07,2.50000000e-09,3.14428124e+01,1.00,.500u,ihp-sg13g2
3.00000000e-09,9.43591553e-08,3.00000000e-09,3.00046087e-09,3.00000000e-09,6.58296932e-16,3.00000000e-09,1.04510385e-17,3.00000000e-09,4.25020183e-20,3.00000000e-09,-3.80863549e-18,3.00000000e-09,7.44261921e-18,3.00000000e-09,2.62199739e-20,3.00000000e-09,4.93384077e-09,3.00000000e-09,3.42610699e-01,3.00000000e-09,6.06718819e-02,3.00000000e-09,1.68399309e-01,3.00000000e-09,1.68399309e-01,3.00000000e-09,2.02681855e+08,3.00000000e-09,1.43338288e+08,3.00000000e-09,2.28129971e+07,3.00000000e-09,3.14482206e+01,1.00,.500u,ihp-sg13g2
3.50000000e-09,1.10086029e-07,3.50000000e-09,3.50027033e-09,3.50000000e-09,6.58352276e-16,3.50000000e-09,1.20186492e-17,3.50000000e-09,4.47554321e-20,3.50000000e-09,-4.40312771e-18,3.50000000e-09,8.60717490e-18,3.50000000e-09,2.82581349e-20,3.50000000e-09,5.73468026e-09,3.50000000e-09,3.42610683e-01,3.50000000e-09,6.53199818e-02,3.50000000e-09,1.73055393e-01,3.50000000e-09,1.73055393e-01,3.50000000e-09,1.74377638e+08,3.50000000e-09,1.67214473e+08,3.50000000e-09,2.66130100e+07,3.50000000e-09,3.14507220e+01,1.00,.500u,ihp-sg13g2
4.00000000e-09,1.25809839e-07,4.00000000e-09,4.00017143e-09,4.00000000e-09,6.58578635e-16,4.00000000e-09,1.35733602e-17,4.00000000e-09,4.70827949e-20,4.00000000e-09,-4.99250278e-18,4.00000000e-09,9.76182540e-18,4.00000000e-09,3.02843594e-20,4.00000000e-09,6.53394283e-09,4.00000000e-09,3.42610670e-01,4.00000000e-09,6.93467886e-02,4.00000000e-09,1.77090128e-01,4.00000000e-09,1.77090128e-01,4.00000000e-09,1.53046947e+08,4.00000000e-09,1.91032373e+08,4.00000000e-09,3.04037464e+07,4.00000000e-09,3.14511119e+01,1.00,.500u,ihp-sg13g2
4.50000000e-09,1.41528183e-07,4.50000000e-09,4.50011519e-09,4.50000000e-09,6.58933485e-16,4.50000000e-09,1.51165423e-17,4.50000000e-09,4.94526754e-20,4.50000000e-09,-5.57732970e-18,4.50000000e-09,1.09076211e-17,4.50000000e-09,3.22945302e-20,4.50000000e-09,7.33149107e-09,4.50000000e-09,3.42610659e-01,4.50000000e-09,7.28987309e-02,4.50000000e-09,1.80649950e-01,4.50000000e-09,1.80649950e-01,4.50000000e-09,1.36397902e+08,4.50000000e-09,2.14783717e+08,4.50000000e-09,3.41838902e+07,4.50000000e-09,3.14499023e+01,1.00,.500u,ihp-sg13g2
5.00000000e-09,1.58140978e-07,5.00000000e-09,5.02876685e-09,5.00000000e-09,6.59416701e-16,5.00000000e-09,1.67369597e-17,5.00000000e-09,5.19843763e-20,5.00000000e-09,-6.19127331e-18,5.00000000e-09,1.21104709e-17,5.00000000e-09,3.44009281e-20,5.00000000e-09,8.17289614e-09,5.00000000e-09,3.42610648e-01,5.00000000e-09,7.62485328e-02,5.00000000e-09,1.84008037e-01,5.00000000e-09,1.84008037e-01,5.00000000e-09,1.22355648e+08,5.00000000e-09,2.39819492e+08,5.00000000e-09,3.81684576e+07,5.00000000e-09,3.14472678e+01,1.00,.500u,ihp-sg13g2
5.50000000e-09,1.73655688e-07,5.50000000e-09,5.52273236e-09,5.50000000e-09,6.59947822e-16,5.50000000e-09,1.82414512e-17,5.50000000e-09,5.43623203e-20,5.50000000e-09,-6.76118084e-18,5.50000000e-09,1.32270160e-17,5.50000000e-09,3.63510676e-20,5.50000000e-09,8.95731925e-09,5.50000000e-09,3.42610640e-01,5.50000000e-09,7.90742205e-02,5.50000000e-09,1.86841427e-01,5.50000000e-09,1.86841427e-01,5.50000000e-09,1.11640545e+08,5.50000000e-09,2.63135481e+08,5.50000000e-09,4.18793126e+07,5.50000000e-09,3.14437993e+01,1.00,.500u,ihp-sg13g2
