isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.70823797e-08,1.00000000e-09,9.99996659e-10,1.00000000e-09,1.50345666e-15,1.00000000e-09,1.75309219e-17,1.00000000e-09,2.66747166e-18,1.00000000e-09,-6.29608380e-18,1.00000000e-09,1.25581758e-17,1.00000000e-09,1.94185203e-18,1.00000000e-09,6.57973384e-09,1.00000000e-09,2.70255777e-01,1.00000000e-09,-6.45321227e-02,1.00000000e-09,5.86427139e-02,1.00000000e-09,5.86427139e-02,1.00000000e-09,1.51981832e+08,1.00000000e-09,1.80134090e+07,1.00000000e-09,2.86692308e+06,1.00000000e-09,2.70824702e+01,1.00,1.000u,ihp-sg13g2
1.50000000e-09,4.06558858e-08,1.50000000e-09,1.50000002e-09,1.50000000e-09,1.49997167e-15,1.50000000e-09,2.42548127e-17,1.50000000e-09,2.46369220e-18,1.50000000e-09,-8.85013873e-18,1.50000000e-09,1.75985312e-17,1.50000000e-09,1.80637166e-18,1.50000000e-09,6.77590892e-09,1.50000000e-09,2.70255679e-01,1.50000000e-09,-5.20951702e-02,1.50000000e-09,7.10977329e-02,1.50000000e-09,7.10977329e-02,1.50000000e-09,1.47581677e+08,1.50000000e-09,2.71044358e+07,1.50000000e-09,4.31380493e+06,1.50000000e-09,2.71039235e+01,1.00,1.000u,ihp-sg13g2
2.00000000e-09,5.42672474e-08,2.00000000e-09,2.00139676e-09,2.00000000e-09,1.49895808e-15,2.00000000e-09,3.09717325e-17,2.00000000e-09,2.29988927e-18,2.00000000e-09,-1.14150455e-17,2.00000000e-09,2.26253231e-17,2.00000000e-09,1.69214335e-18,2.00000000e-09,7.04713470e-09,2.00000000e-09,2.70255622e-01,2.00000000e-09,-4.28405274e-02,2.00000000e-09,8.03704121e-02,2.00000000e-09,8.03704121e-02,2.00000000e-09,1.41901644e+08,2.00000000e-09,3.62033123e+07,2.00000000e-09,5.76193611e+06,2.00000000e-09,2.71146874e+01,1.00,1.000u,ihp-sg13g2
2.50000000e-09,6.78154407e-08,2.50000000e-09,2.50065730e-09,2.50000000e-09,1.49937390e-15,2.50000000e-09,3.76334642e-17,2.50000000e-09,2.15782688e-18,2.50000000e-09,-1.39679519e-17,2.50000000e-09,2.76014980e-17,2.50000000e-09,1.59063282e-18,2.50000000e-09,7.35670779e-09,2.50000000e-09,2.70255584e-01,2.50000000e-09,-3.55169844e-02,2.50000000e-09,8.77118341e-02,2.50000000e-09,8.77118341e-02,2.50000000e-09,1.35930368e+08,2.50000000e-09,4.52291723e+07,2.50000000e-09,7.19844634e+06,2.50000000e-09,2.71190461e+01,1.00,1.000u,ihp-sg13g2
3.00000000e-09,8.13674852e-08,3.00000000e-09,3.00036344e-09,3.00000000e-09,1.50071054e-15,3.00000000e-09,4.42718822e-17,3.00000000e-09,2.03071534e-18,3.00000000e-09,-1.65180013e-17,3.00000000e-09,3.25525577e-17,3.00000000e-09,1.49858712e-18,3.00000000e-09,7.69577866e-09,3.00000000e-09,2.70255556e-01,3.00000000e-09,-2.94348765e-02,3.00000000e-09,9.38117618e-02,3.00000000e-09,9.38117618e-02,3.00000000e-09,1.29941367e+08,3.00000000e-09,5.42193070e+07,3.00000000e-09,8.62927071e+06,3.00000000e-09,2.71192096e+01,1.00,1.000u,ihp-sg13g2
3.50000000e-09,9.49133545e-08,3.50000000e-09,3.50021984e-09,3.50000000e-09,1.50268782e-15,3.50000000e-09,5.08804073e-17,3.50000000e-09,1.91646430e-18,3.50000000e-09,-1.90604979e-17,3.50000000e-09,3.74754284e-17,3.50000000e-09,1.41521050e-18,3.50000000e-09,8.06085432e-09,3.50000000e-09,2.70255535e-01,3.50000000e-09,-2.42376109e-02,3.50000000e-09,9.90267826e-02,3.50000000e-09,9.90267826e-02,3.50000000e-09,1.24056330e+08,3.50000000e-09,6.31623901e+07,3.50000000e-09,1.00526066e+07,3.50000000e-09,2.71163981e+01,1.00,1.000u,ihp-sg13g2
4.00000000e-09,1.08449351e-07,4.00000000e-09,4.00014179e-09,4.00000000e-09,1.50513299e-15,4.00000000e-09,5.74560096e-17,4.00000000e-09,1.81393827e-18,4.00000000e-09,-2.15927532e-17,4.00000000e-09,4.23693697e-17,4.00000000e-09,1.34003736e-18,4.00000000e-09,8.45023872e-09,4.00000000e-09,2.70255517e-01,4.00000000e-09,-1.97018141e-02,4.00000000e-09,1.03580271e-01,4.00000000e-09,1.03580271e-01,4.00000000e-09,1.18339852e+08,4.00000000e-09,7.20530025e+07,4.00000000e-09,1.14675915e+07,4.00000000e-09,2.71113768e+01,1.00,1.000u,ihp-sg13g2
4.50000000e-09,1.21973549e-07,4.50000000e-09,4.50009582e-09,4.50000000e-09,1.50793229e-15,4.50000000e-09,6.39971456e-17,4.50000000e-09,1.72220074e-18,4.50000000e-09,-2.41131480e-17,4.50000000e-09,4.72343612e-17,4.50000000e-09,1.27257657e-18,4.50000000e-09,8.86241084e-09,4.50000000e-09,2.70255503e-01,4.50000000e-09,-1.56789631e-02,4.50000000e-09,1.07620753e-01,4.50000000e-09,1.07620753e-01,4.50000000e-09,1.12836114e+08,4.50000000e-09,8.08879484e+07,4.50000000e-09,1.28737168e+07,4.50000000e-09,2.71046560e+01,1.00,1.000u,ihp-sg13g2
5.00000000e-09,1.35484779e-07,5.00000000e-09,5.00006698e-09,5.00000000e-09,1.51100699e-15,5.00000000e-09,7.05031967e-17,5.00000000e-09,1.64031734e-18,5.00000000e-09,-2.66207817e-17,5.00000000e-09,5.20707409e-17,5.00000000e-09,1.21225089e-18,5.00000000e-09,9.29566229e-09,5.00000000e-09,2.70255491e-01,5.00000000e-09,-1.20653990e-02,5.00000000e-09,1.11251890e-01,5.00000000e-09,1.11251890e-01,5.00000000e-09,1.07577058e+08,5.00000000e-09,8.96652230e+07,5.00000000e-09,1.42706635e+07,5.00000000e-09,2.70965928e+01,1.00,1.000u,ihp-sg13g2
5.50000000e-09,1.48982254e-07,5.50000000e-09,5.50004797e-09,5.50000000e-09,1.51430047e-15,5.50000000e-09,7.69741499e-17,5.50000000e-09,1.56734105e-18,5.50000000e-09,-2.91152398e-17,5.50000000e-09,5.68790479e-17,5.50000000e-09,1.15842612e-18,5.50000000e-09,9.74811953e-09,5.50000000e-09,2.70255481e-01,5.50000000e-09,-8.78593543e-03,5.50000000e-09,1.14548871e-01,5.50000000e-09,1.14548871e-01,5.50000000e-09,1.02583888e+08,5.50000000e-09,9.83835485e+07,5.50000000e-09,1.56582281e+07,5.50000000e-09,2.70874462e+01,1.00,1.000u,ihp-sg13g2
6.00000000e-09,1.62465407e-07,6.00000000e-09,6.00003492e-09,6.00000000e-09,1.51777070e-15,6.00000000e-09,8.34103833e-17,6.00000000e-09,1.50234273e-18,6.00000000e-09,-3.15964286e-17,6.00000000e-09,6.16599339e-17,6.00000000e-09,1.11045427e-18,6.00000000e-09,1.02178532e-08,6.00000000e-09,2.70255472e-01,6.00000000e-09,-5.78431337e-03,6.00000000e-09,1.17567958e-01,6.00000000e-09,1.17567958e-01,6.00000000e-09,9.78679163e+07,6.00000000e-09,1.07042129e+08,6.00000000e-09,1.70362839e+07,6.00000000e-09,2.70774102e+01,1.00,1.000u,ihp-sg13g2
6.50000000e-09,1.76491663e-07,6.50000000e-09,6.52074696e-09,6.50000000e-09,1.52153827e-15,6.50000000e-09,9.00771172e-17,6.50000000e-09,1.44218362e-18,6.50000000e-09,-3.41664620e-17,6.50000000e-09,6.66105703e-17,6.50000000e-09,1.06604019e-18,6.50000000e-09,1.07233885e-08,6.50000000e-09,2.70255463e-01,6.50000000e-09,-2.90721160e-03,6.50000000e-09,1.20463193e-01,6.50000000e-09,1.20463193e-01,6.50000000e-09,9.32541052e+07,6.50000000e-09,1.15995546e+08,6.50000000e-09,1.84612645e+07,6.50000000e-09,2.70661726e+01,1.00,1.000u,ihp-sg13g2
7.00000000e-09,1.89857914e-07,7.00000000e-09,7.01752559e-09,7.00000000e-09,1.52525338e-15,7.00000000e-09,9.64037126e-17,7.00000000e-09,1.39112619e-18,7.00000000e-09,-3.66053018e-17,7.00000000e-09,7.13073884e-17,7.00000000e-09,1.02834395e-18,7.00000000e-09,1.12194082e-08,7.00000000e-09,2.70255456e-01,7.00000000e-09,-3.64590935e-04,7.00000000e-09,1.23023065e-01,7.00000000e-09,1.23023065e-01,7.00000000e-09,8.91312609e+07,7.00000000e-09,1.24476311e+08,7.00000000e-09,1.98110202e+07,7.00000000e-09,2.70548232e+01,1.00,1.000u,ihp-sg13g2
7.50000000e-09,2.03268168e-07,7.50000000e-09,7.51650819e-09,7.50000000e-09,1.52908402e-15,7.50000000e-09,1.02726080e-16,7.50000000e-09,1.34533775e-18,7.50000000e-09,-3.90424314e-17,7.50000000e-09,7.59999551e-17,7.50000000e-09,9.94543162e-19,7.50000000e-09,1.17294864e-08,7.50000000e-09,2.70255450e-01,7.50000000e-09,2.01754179e-03,7.50000000e-09,1.25422479e-01,7.50000000e-09,1.25422479e-01,7.50000000e-09,8.52552247e+07,7.50000000e-09,1.32934597e+08,7.50000000e-09,2.11571983e+07,7.50000000e-09,2.70428985e+01,1.00,1.000u,ihp-sg13g2
8.00000000e-09,2.16662516e-07,8.00000000e-09,8.01547656e-09,8.00000000e-09,1.53299827e-15,8.00000000e-09,1.09016757e-16,8.00000000e-09,1.30441429e-18,8.00000000e-09,-4.14672797e-17,8.00000000e-09,8.06679518e-17,8.00000000e-09,9.64343303e-19,8.00000000e-09,1.22499868e-08,8.00000000e-09,2.70255444e-01,8.00000000e-09,4.24909750e-03,8.00000000e-09,1.27671271e-01,8.00000000e-09,1.27671271e-01,8.00000000e-09,8.16327407e+07,8.00000000e-09,1.41332525e+08,8.00000000e-09,2.24937700e+07,8.00000000e-09,2.70305221e+01,1.00,1.000u,ihp-sg13g2
8.50000000e-09,2.30044602e-07,8.50000000e-09,8.51457251e-09,8.50000000e-09,1.53698461e-15,8.50000000e-09,1.15278375e-16,8.50000000e-09,1.26777714e-18,8.50000000e-09,-4.38808905e-17,8.50000000e-09,8.53133774e-17,8.50000000e-09,9.37318946e-19,8.50000000e-09,1.27797714e-08,8.50000000e-09,2.70255439e-01,8.50000000e-09,6.34850084e-03,8.50000000e-09,1.29787873e-01,8.50000000e-09,1.29787873e-01,8.50000000e-09,7.82486609e+07,8.50000000e-09,1.49672678e+08,8.50000000e-09,2.38211465e+07,8.50000000e-09,2.70177513e+01,1.00,1.000u,ihp-sg13g2
9.00000000e-09,2.43413468e-07,9.00000000e-09,9.01376556e-09,9.00000000e-09,1.54103239e-15,9.00000000e-09,1.21511362e-16,9.00000000e-09,1.23493290e-18,9.00000000e-09,-4.62834657e-17,9.00000000e-09,8.99365810e-17,9.00000000e-09,9.13106388e-19,9.00000000e-09,1.33176753e-08,9.00000000e-09,2.70255434e-01,9.00000000e-09,8.33040027e-03,9.00000000e-09,1.31786933e-01,9.00000000e-09,1.31786933e-01,9.00000000e-09,7.50881802e+07,9.00000000e-09,1.57954803e+08,9.00000000e-09,2.51392877e+07,9.00000000e-09,2.70046371e+01,1.00,1.000u,ihp-sg13g2
9.50000000e-09,2.56768618e-07,9.50000000e-09,9.51304152e-09,9.50000000e-09,1.54513285e-15,9.50000000e-09,1.27716322e-16,9.50000000e-09,1.20544900e-18,9.50000000e-09,-4.86752795e-17,9.50000000e-09,9.45380341e-17,9.50000000e-09,8.91386169e-19,9.50000000e-09,1.38626869e-08,9.50000000e-09,2.70255430e-01,9.50000000e-09,1.02071927e-02,9.50000000e-09,1.33680849e-01,9.50000000e-09,1.33680849e-01,9.50000000e-09,7.21360878e+07,9.50000000e-09,1.66178991e+08,9.50000000e-09,2.64482079e+07,9.50000000e-09,2.69912223e+01,1.00,1.000u,ihp-sg13g2
1.00000000e-08,2.69779246e-07,1.00000000e-08,1.00000147e-08,1.00000000e-08,1.54917537e-15,1.00000000e-08,1.33741116e-16,1.00000000e-08,1.17957124e-18,1.00000000e-08,-5.09977235e-17,1.00000000e-08,9.90049636e-17,1.00000000e-08,8.72337697e-19,1.00000000e-08,1.44001926e-08,1.00000000e-08,2.70255426e-01,1.00000000e-08,1.19463283e-02,1.00000000e-08,1.35436650e-01,1.00000000e-08,1.35436650e-01,1.00000000e-08,6.94435156e+07,1.00000000e-08,1.74143774e+08,1.00000000e-08,2.77158424e+07,1.00000000e-08,2.69778849e+01,1.00,1.000u,ihp-sg13g2
1.50000000e-08,4.04062116e-07,1.50000000e-08,1.50602207e-08,1.50000000e-08,1.59265674e-15,1.50000000e-08,1.94897491e-16,1.50000000e-08,1.02157129e-18,1.50000000e-08,-7.45844961e-17,1.50000000e-08,1.44296134e-16,1.50000000e-08,7.56725176e-19,1.50000000e-08,2.01980907e-08,1.50000000e-08,2.70255396e-01,1.50000000e-08,2.62464705e-02,1.50000000e-08,1.49908102e-01,1.50000000e-08,1.49908102e-01,1.50000000e-08,4.95096302e+07,1.50000000e-08,2.53703203e+08,1.50000000e-08,4.03781188e+07,1.50000000e-08,2.68297606e+01,1.00,1.000u,ihp-sg13g2
2.00000000e-08,5.34003269e-07,2.00000000e-08,2.00177889e-08,2.00000000e-08,1.63621066e-15,2.00000000e-08,2.52585338e-16,2.00000000e-08,9.69314544e-19,2.00000000e-08,-9.68695200e-17,2.00000000e-08,1.86930762e-16,2.00000000e-08,7.19572015e-19,2.00000000e-08,2.60351715e-08,2.00000000e-08,2.70255378e-01,2.00000000e-08,3.62165967e-02,2.00000000e-08,1.60043393e-01,2.00000000e-08,1.60043393e-01,2.00000000e-08,3.84095798e+07,2.00000000e-08,3.26365840e+08,2.00000000e-08,5.19427368e+07,2.00000000e-08,2.66764362e+01,1.00,1.000u,ihp-sg13g2
2.50000000e-08,6.63203445e-07,2.50000000e-08,2.50079536e-08,2.50000000e-08,1.67996409e-15,2.50000000e-08,3.08753747e-16,2.50000000e-08,9.60625437e-19,2.50000000e-08,-1.18613369e-16,2.50000000e-08,2.28360068e-16,2.50000000e-08,7.14745582e-19,2.50000000e-08,3.19306423e-08,2.50000000e-08,2.70255365e-01,2.50000000e-08,4.40330051e-02,2.50000000e-08,1.68023976e-01,2.50000000e-08,1.68023976e-01,2.50000000e-08,3.13178793e+07,2.50000000e-08,3.94772394e+08,2.50000000e-08,6.28299780e+07,2.50000000e-08,2.65197007e+01,1.00,1.000u,ihp-sg13g2
3.00000000e-08,7.90992673e-07,3.00000000e-08,3.00041143e-08,3.00000000e-08,1.72328818e-15,3.00000000e-08,3.63299433e-16,3.00000000e-08,9.74330606e-19,3.00000000e-08,-1.39778155e-16,3.00000000e-08,2.68515338e-16,3.00000000e-08,7.26520339e-19,3.00000000e-08,3.78042269e-08,3.00000000e-08,2.70255355e-01,3.00000000e-08,5.04430295e-02,3.00000000e-08,1.74596662e-01,3.00000000e-08,1.74596662e-01,3.00000000e-08,2.64520685e+07,3.00000000e-08,4.59001973e+08,3.00000000e-08,7.30524329e+07,3.00000000e-08,2.63628070e+01,1.00,1.000u,ihp-sg13g2
3.50000000e-08,9.17310394e-07,3.50000000e-08,3.50023736e-08,3.50000000e-08,1.76597620e-15,3.50000000e-08,4.16335391e-16,3.50000000e-08,1.00072510e-18,3.50000000e-08,-1.60406827e-16,3.50000000e-08,3.07487113e-16,3.50000000e-08,7.47699251e-19,3.50000000e-08,4.36308860e-08,3.50000000e-08,2.70255347e-01,3.50000000e-08,5.58765906e-02,3.50000000e-08,1.80191496e-01,3.50000000e-08,1.80191496e-01,3.50000000e-08,2.29195438e+07,3.50000000e-08,5.19435309e+08,3.50000000e-08,8.26706971e+07,3.50000000e-08,2.62070911e+01,1.00,1.000u,ihp-sg13g2
