isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.59676319e-08,1.00000000e-09,1.00006021e-09,1.00000000e-09,7.69764966e-17,1.00000000e-09,4.14412829e-19,1.00000000e-09,-1.98955940e-19,1.00000000e-09,-6.99508567e-20,1.00000000e-09,1.45584376e-19,1.00000000e-09,4.78511635e-22,1.00000000e-09,2.08381316e-09,1.00000000e-09,5.24859108e-01,1.00000000e-09,2.26275743e-01,1.00000000e-09,3.22890658e-01,1.00000000e-09,3.22890658e-01,1.00000000e-09,4.79889474e+08,1.00000000e-09,4.67254727e+08,1.00000000e-09,7.43658994e+07,1.00000000e-09,3.59654663e+01,1.00,.130u,ihp-sg13g2
1.50000000e-09,5.42187117e-08,1.50000000e-09,1.50649547e-09,1.50000000e-09,7.66987672e-17,1.50000000e-09,5.03911985e-19,1.50000000e-09,-1.98436475e-19,1.50000000e-09,-1.02451483e-19,1.50000000e-09,2.13784559e-19,1.50000000e-09,6.78994796e-22,1.50000000e-09,3.09335545e-09,1.50000000e-09,5.24831058e-01,1.50000000e-09,2.37041546e-01,1.50000000e-09,3.33659709e-01,1.50000000e-09,3.33659709e-01,1.50000000e-09,3.23273550e+08,1.50000000e-09,7.06904604e+08,1.50000000e-09,1.12507362e+08,1.50000000e-09,3.59899601e+01,1.00,.130u,ihp-sg13g2
2.00000000e-09,7.20770707e-08,2.00000000e-09,2.00192226e-09,2.00000000e-09,7.65305363e-17,2.00000000e-09,5.90137472e-19,2.00000000e-09,-1.98010229e-19,2.00000000e-09,-1.33531461e-19,2.00000000e-09,2.79131268e-19,2.00000000e-09,8.66423129e-22,2.00000000e-09,4.06844674e-09,2.00000000e-09,5.24811544e-01,2.00000000e-09,2.44512714e-01,2.00000000e-09,3.41133995e-01,2.00000000e-09,3.41133995e-01,2.00000000e-09,2.45794050e+08,2.00000000e-09,9.41807991e+08,2.00000000e-09,1.49893397e+08,2.00000000e-09,3.60039309e+01,1.00,.130u,ihp-sg13g2
2.50000000e-09,9.00630764e-08,2.50000000e-09,2.50087374e-09,2.50000000e-09,7.64168383e-17,2.50000000e-09,6.75920545e-19,2.50000000e-09,-1.97633835e-19,2.50000000e-09,-1.64314238e-19,2.50000000e-09,3.43943198e-19,2.50000000e-09,1.04907224e-21,2.50000000e-09,5.04118335e-09,2.50000000e-09,5.24796243e-01,2.50000000e-09,2.50360729e-01,2.50000000e-09,3.46985106e-01,2.50000000e-09,3.46985106e-01,2.50000000e-09,1.98366124e+08,2.50000000e-09,1.17857632e+09,2.50000000e-09,1.87576248e+08,2.50000000e-09,3.60126443e+01,1.00,.130u,ihp-sg13g2
3.00000000e-09,1.08070566e-07,3.00000000e-09,3.00045913e-09,3.00000000e-09,7.63380477e-17,3.00000000e-09,7.60935182e-19,3.00000000e-09,-1.97294363e-19,3.00000000e-09,-1.94727368e-19,3.00000000e-09,4.08045946e-19,3.00000000e-09,1.22725177e-21,3.00000000e-09,6.00769838e-09,3.00000000e-09,5.24783703e-01,3.00000000e-09,2.55147344e-01,3.00000000e-09,3.51774787e-01,3.00000000e-09,3.51774787e-01,3.00000000e-09,1.66453097e+08,3.00000000e-09,1.41568418e+09,3.00000000e-09,2.25313135e+08,3.00000000e-09,3.60180098e+01,1.00,.130u,ihp-sg13g2
3.50000000e-09,1.27656533e-07,3.50000000e-09,3.54392075e-09,3.50000000e-09,7.62792691e-17,3.50000000e-09,8.52571983e-19,3.50000000e-09,-1.96956498e-19,3.50000000e-09,-2.27432042e-19,3.50000000e-09,4.77040940e-19,3.50000000e-09,1.41680770e-21,3.50000000e-09,7.05207251e-09,3.50000000e-09,5.24772228e-01,3.50000000e-09,2.59522958e-01,3.50000000e-09,3.56153704e-01,3.50000000e-09,3.56153704e-01,3.50000000e-09,1.41802286e+08,3.50000000e-09,1.67354163e+09,3.50000000e-09,2.66352423e+08,3.50000000e-09,3.60212718e+01,1.00,.130u,ihp-sg13g2
4.00000000e-09,1.45192181e-07,4.00000000e-09,4.03059081e-09,4.00000000e-09,7.62437915e-17,4.00000000e-09,9.33985300e-19,4.00000000e-09,-1.96675436e-19,4.00000000e-09,-2.56435432e-19,4.00000000e-09,5.38272795e-19,4.00000000e-09,1.58342081e-21,4.00000000e-09,7.98199414e-09,4.00000000e-09,5.24763347e-01,4.00000000e-09,2.62905684e-01,4.00000000e-09,3.59539366e-01,4.00000000e-09,3.59539366e-01,4.00000000e-09,1.25281976e+08,4.00000000e-09,1.90431480e+09,4.00000000e-09,3.03081114e+08,4.00000000e-09,3.60225553e+01,1.00,.130u,ihp-sg13g2
4.50000000e-09,1.63123846e-07,4.50000000e-09,4.52836700e-09,4.50000000e-09,7.62201335e-17,4.50000000e-09,1.01669801e-18,4.50000000e-09,-1.96404750e-19,4.50000000e-09,-2.85860774e-19,4.50000000e-09,6.00432611e-19,4.50000000e-09,1.75122901e-21,4.50000000e-09,8.92859291e-09,4.50000000e-09,5.24755304e-01,4.50000000e-09,2.65967236e-01,4.50000000e-09,3.62603900e-01,4.50000000e-09,3.62603900e-01,4.50000000e-09,1.11999731e+08,4.50000000e-09,2.14016741e+09,4.50000000e-09,3.40618222e+08,4.50000000e-09,3.60226646e+01,1.00,.130u,ihp-sg13g2
5.00000000e-09,1.81023194e-07,5.00000000e-09,5.02537595e-09,5.00000000e-09,7.62065166e-17,5.00000000e-09,1.09877725e-18,5.00000000e-09,-1.96148460e-19,5.00000000e-09,-3.15026664e-19,5.00000000e-09,6.62076532e-19,5.00000000e-09,1.91648607e-21,5.00000000e-09,9.86964029e-09,5.00000000e-09,5.24748105e-01,5.00000000e-09,2.68705483e-01,5.00000000e-09,3.65345108e-01,5.00000000e-09,3.65345108e-01,5.00000000e-09,1.01320815e+08,5.00000000e-09,2.37542932e+09,5.00000000e-09,3.78061319e+08,5.00000000e-09,3.60218212e+01,1.00,.130u,ihp-sg13g2
5.50000000e-09,1.98942346e-07,5.50000000e-09,5.52307549e-09,5.50000000e-09,7.62009298e-17,5.50000000e-09,1.18051108e-18,5.50000000e-09,-1.95903568e-19,5.50000000e-09,-3.44041108e-19,5.50000000e-09,7.23428381e-19,5.50000000e-09,2.07994534e-21,5.50000000e-09,1.08082952e-08,5.50000000e-09,5.24741573e-01,5.50000000e-09,2.71188863e-01,5.50000000e-09,3.67831437e-01,5.50000000e-09,3.67831437e-01,5.50000000e-09,9.25215294e+07,5.50000000e-09,2.61076008e+09,5.50000000e-09,4.15515372e+08,5.50000000e-09,3.60202112e+01,1.00,.130u,ihp-sg13g2
