isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.70902705e-08,1.00000000e-09,9.99994347e-10,1.00000000e-09,1.31478676e-16,1.00000000e-09,4.52447300e-19,1.00000000e-09,-8.13139439e-20,1.00000000e-09,-1.06758794e-19,1.00000000e-09,2.02657098e-19,1.00000000e-09,7.97243998e-21,1.00000000e-09,3.10891466e-09,1.00000000e-09,3.75527364e-01,1.00000000e-09,-2.04476744e-02,1.00000000e-09,1.03036480e-01,1.00000000e-09,1.03036480e-01,1.00000000e-09,3.21655661e+08,1.00000000e-09,2.06043073e+08,1.00000000e-09,3.27927736e+07,1.00000000e-09,2.70904236e+01,1.00,.150u,ihp-sg13g2
1.50000000e-09,4.07166720e-08,1.50000000e-09,1.50000563e-09,1.50000000e-09,1.30609589e-16,1.50000000e-09,5.75376968e-19,1.50000000e-09,-8.61902629e-20,1.50000000e-09,-1.52495273e-19,1.50000000e-09,2.91279034e-19,1.50000000e-09,8.51811959e-21,1.50000000e-09,4.24434349e-09,1.50000000e-09,3.75517238e-01,1.50000000e-09,-6.96910220e-03,1.50000000e-09,1.16518590e-01,1.50000000e-09,1.16518590e-01,1.50000000e-09,2.35607698e+08,1.50000000e-09,3.11743358e+08,1.50000000e-09,4.96154964e+07,1.50000000e-09,2.71443460e+01,1.00,.150u,ihp-sg13g2
2.00000000e-09,5.44162153e-08,2.00000000e-09,2.00197423e-09,2.00000000e-09,1.30028392e-16,2.00000000e-09,6.93379537e-19,2.00000000e-09,-8.86037724e-20,2.00000000e-09,-1.96881185e-19,2.00000000e-09,3.77704875e-19,2.00000000e-09,9.13651060e-21,2.00000000e-09,5.40337558e-09,2.00000000e-09,3.75509671e-01,2.00000000e-09,2.67416922e-03,2.00000000e-09,1.26165321e-01,2.00000000e-09,1.26165321e-01,2.00000000e-09,1.85069497e+08,2.00000000e-09,4.18494871e+08,2.00000000e-09,6.66055274e+07,2.00000000e-09,2.71812766e+01,1.00,.150u,ihp-sg13g2
2.50000000e-09,6.80445146e-08,2.50000000e-09,2.50084918e-09,2.50000000e-09,1.29607188e-16,2.50000000e-09,8.07294993e-19,2.50000000e-09,-8.99070926e-20,2.50000000e-09,-2.39896454e-19,2.50000000e-09,4.61735802e-19,2.50000000e-09,9.76449844e-21,2.50000000e-09,6.56066902e-09,2.50000000e-09,3.75503668e-01,2.50000000e-09,1.01234380e-02,2.50000000e-09,1.33617962e-01,2.50000000e-09,1.33617962e-01,2.50000000e-09,1.52423479e+08,2.50000000e-09,5.25005716e+08,2.50000000e-09,8.35572548e+07,2.50000000e-09,2.72085639e+01,1.00,.150u,ihp-sg13g2
3.00000000e-09,8.17019736e-08,3.00000000e-09,3.00044632e-09,3.00000000e-09,1.29282956e-16,3.00000000e-09,9.18953222e-19,3.00000000e-09,-9.06261123e-20,3.00000000e-09,-2.82120348e-19,3.00000000e-09,5.44420532e-19,3.00000000e-09,1.03901002e-20,3.00000000e-09,7.72032067e-09,3.00000000e-09,3.75498656e-01,3.00000000e-09,1.62284394e-02,3.00000000e-09,1.39726287e-01,3.00000000e-09,1.39726287e-01,3.00000000e-09,1.29528298e+08,3.00000000e-09,6.31962451e+08,3.00000000e-09,1.00579948e+08,3.00000000e-09,2.72299401e+01,1.00,.150u,ihp-sg13g2
3.50000000e-09,9.53723433e-08,3.50000000e-09,3.50025958e-09,3.50000000e-09,1.29025256e-16,3.50000000e-09,1.02876685e-18,3.50000000e-09,-9.09932448e-20,3.50000000e-09,-3.23664643e-19,3.50000000e-09,6.25929948e-19,3.50000000e-09,1.10071042e-20,3.50000000e-09,8.87920436e-09,3.50000000e-09,3.75494353e-01,3.50000000e-09,2.13966903e-02,3.50000000e-09,1.44897819e-01,3.50000000e-09,1.44897819e-01,3.50000000e-09,1.12622704e+08,3.50000000e-09,7.39175772e+08,3.50000000e-09,1.17643478e+08,3.50000000e-09,2.72472201e+01,1.00,.150u,ihp-sg13g2
4.00000000e-09,1.09050441e-07,4.00000000e-09,4.00016200e-09,4.00000000e-09,1.28815807e-16,4.00000000e-09,1.13704889e-18,4.00000000e-09,-9.11325685e-20,4.00000000e-09,-3.64627900e-19,4.00000000e-09,7.06425358e-19,4.00000000e-09,1.16135968e-20,4.00000000e-09,1.00361437e-08,4.00000000e-09,3.75490582e-01,4.00000000e-09,2.58766959e-02,4.00000000e-09,1.49381070e-01,4.00000000e-09,1.49381070e-01,4.00000000e-09,9.96398648e+07,4.00000000e-09,8.46561018e+08,4.00000000e-09,1.34734371e+08,4.00000000e-09,2.72615062e+01,1.00,.150u,ihp-sg13g2
4.50000000e-09,1.22733701e-07,4.50000000e-09,4.50010618e-09,4.50000000e-09,1.28642862e-16,4.50000000e-09,1.24402671e-18,4.50000000e-09,-9.11163419e-20,4.50000000e-09,-4.05086827e-19,4.50000000e-09,7.86034757e-19,4.50000000e-09,1.22092413e-20,4.50000000e-09,1.11906263e-08,4.50000000e-09,3.75487224e-01,4.50000000e-09,2.98299821e-02,4.50000000e-09,1.53337569e-01,4.50000000e-09,1.53337569e-01,4.50000000e-09,8.93605034e+07,4.50000000e-09,9.54065376e+08,4.50000000e-09,1.51844221e+08,4.50000000e-09,2.72735122e+01,1.00,.150u,ihp-sg13g2
5.00000000e-09,1.36420594e-07,5.00000000e-09,5.00007196e-09,5.00000000e-09,1.28498446e-16,5.00000000e-09,1.34987074e-18,5.00000000e-09,-9.09895467e-20,5.00000000e-09,-4.45101569e-19,5.00000000e-09,8.64859614e-19,5.00000000e-09,1.27943278e-20,5.00000000e-09,1.23424364e-08,5.00000000e-09,3.75484198e-01,5.00000000e-09,3.33672856e-02,5.00000000e-09,1.56878058e-01,5.00000000e-09,1.56878058e-01,5.00000000e-09,8.10212807e+07,5.00000000e-09,1.06165171e+09,5.00000000e-09,1.68967117e+08,5.00000000e-09,2.72837262e+01,1.00,.150u,ihp-sg13g2
5.50000000e-09,1.50110086e-07,5.50000000e-09,5.50004980e-09,5.50000000e-09,1.28376906e-16,5.50000000e-09,1.45471275e-18,5.50000000e-09,-9.07816671e-20,5.50000000e-09,-4.84720135e-19,5.50000000e-09,9.42981524e-19,5.50000000e-09,1.33693885e-20,5.50000000e-09,1.34915026e-08,5.50000000e-09,3.75481442e-01,5.50000000e-09,3.65677804e-02,5.50000000e-09,1.60081713e-01,5.50000000e-09,1.60081713e-01,5.50000000e-09,7.41207284e+07,5.50000000e-09,1.16929198e+09,5.50000000e-09,1.86098599e+08,5.50000000e-09,2.72924958e+01,1.00,.150u,ihp-sg13g2
