isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.30663311e-08,1.00000000e-09,9.99997668e-10,1.00000000e-09,1.19574146e-16,1.00000000e-09,4.55374277e-19,1.00000000e-09,-1.09159734e-19,1.00000000e-09,-1.02020773e-19,1.00000000e-09,2.04800096e-19,1.00000000e-09,1.10278448e-21,1.00000000e-09,2.32724412e-09,1.00000000e-09,4.53570396e-01,1.00000000e-09,1.27762846e-01,1.00000000e-09,2.31094497e-01,1.00000000e-09,2.31094497e-01,1.00000000e-09,4.29692781e+08,1.00000000e-09,2.76534118e+08,1.00000000e-09,4.40117718e+07,1.00000000e-09,3.30664082e+01,1.00,.150u,ihp-sg13g2
1.50000000e-09,4.98674994e-08,1.50000000e-09,1.50651196e-09,1.50000000e-09,1.19066334e-16,1.50000000e-09,5.81112496e-19,1.50000000e-09,-1.08997521e-19,1.50000000e-09,-1.48686355e-19,1.50000000e-09,2.99405507e-19,1.50000000e-09,1.51831601e-21,1.50000000e-09,3.45821326e-09,1.50000000e-09,4.53559533e-01,1.50000000e-09,1.39337153e-01,1.50000000e-09,2.42672170e-01,1.50000000e-09,2.42672170e-01,1.50000000e-09,2.89166666e+08,1.50000000e-09,4.18821154e+08,1.50000000e-09,6.66574569e+07,1.50000000e-09,3.31012968e+01,1.00,.150u,ihp-sg13g2
2.00000000e-09,6.63093666e-08,2.00000000e-09,2.00192413e-09,2.00000000e-09,1.18748907e-16,2.00000000e-09,7.01289173e-19,2.00000000e-09,-1.08703747e-19,2.00000000e-09,-1.93127065e-19,2.00000000e-09,3.89698983e-19,2.00000000e-09,1.90198845e-21,2.00000000e-09,4.55012300e-09,2.00000000e-09,4.53551950e-01,2.00000000e-09,1.47366136e-01,2.00000000e-09,2.50704370e-01,2.00000000e-09,2.50704370e-01,2.00000000e-09,2.19774278e+08,2.00000000e-09,5.58399808e+08,2.00000000e-09,8.88720897e+07,2.00000000e-09,3.31228171e+01,1.00,.150u,ihp-sg13g2
2.50000000e-09,8.28732740e-08,2.50000000e-09,2.50087380e-09,2.50000000e-09,1.18525657e-16,2.50000000e-09,8.20268929e-19,2.50000000e-09,-1.08355202e-19,2.50000000e-09,-2.37016562e-19,2.50000000e-09,4.79011539e-19,2.50000000e-09,2.27275788e-21,2.50000000e-09,5.63904252e-09,2.50000000e-09,4.53545991e-01,2.50000000e-09,1.53650158e-01,2.50000000e-09,2.56991579e-01,2.50000000e-09,2.56991579e-01,2.50000000e-09,1.77335070e+08,2.50000000e-09,6.99201134e+08,2.50000000e-09,1.11281317e+08,2.50000000e-09,3.31377273e+01,1.00,.150u,ihp-sg13g2
3.00000000e-09,9.94604305e-08,3.00000000e-09,3.00045839e-09,3.00000000e-09,1.18362747e-16,3.00000000e-09,9.37767245e-19,3.00000000e-09,-1.07982282e-19,3.00000000e-09,-2.80279274e-19,3.00000000e-09,5.67154695e-19,3.00000000e-09,2.63215257e-21,3.00000000e-09,6.72059158e-09,3.00000000e-09,4.53541100e-01,3.00000000e-09,1.58793152e-01,3.00000000e-09,2.62137724e-01,3.00000000e-09,2.62137724e-01,3.00000000e-09,1.48796425e+08,3.00000000e-09,8.40301807e+08,3.00000000e-09,1.33738186e+08,3.00000000e-09,3.31484118e+01,1.00,.150u,ihp-sg13g2
3.50000000e-09,1.16055605e-07,3.50000000e-09,3.50026800e-09,3.50000000e-09,1.18241159e-16,3.50000000e-09,1.05396820e-18,3.50000000e-09,-1.07597918e-19,3.50000000e-09,-3.23001921e-19,3.50000000e-09,6.54281996e-19,3.50000000e-09,2.98228607e-21,3.50000000e-09,7.79526683e-09,3.50000000e-09,4.53536951e-01,3.50000000e-09,1.63144159e-01,3.50000000e-09,2.66491847e-01,3.50000000e-09,2.66491847e-01,3.50000000e-09,1.28282972e+08,3.50000000e-09,9.81516134e+08,3.50000000e-09,1.56213144e+08,3.50000000e-09,3.31562056e+01,1.00,.150u,ihp-sg13g2
4.00000000e-09,1.32653230e-07,4.00000000e-09,4.00016917e-09,4.00000000e-09,1.18149530e-16,4.00000000e-09,1.16904027e-18,4.00000000e-09,-1.07208442e-19,4.00000000e-09,-3.65259241e-19,4.00000000e-09,7.40529753e-19,4.00000000e-09,3.32471496e-21,4.00000000e-09,8.86378442e-09,4.00000000e-09,4.53533349e-01,4.00000000e-09,1.66914243e-01,4.00000000e-09,2.70265020e-01,4.00000000e-09,2.70265020e-01,4.00000000e-09,1.12818628e+08,4.00000000e-09,1.12275715e+09,4.00000000e-09,1.78692350e+08,4.00000000e-09,3.31619049e+01,1.00,.150u,ihp-sg13g2
4.50000000e-09,1.50326578e-07,4.50000000e-09,4.53251781e-09,4.50000000e-09,1.18076750e-16,4.50000000e-09,1.29048346e-18,4.50000000e-09,-1.06791827e-19,4.50000000e-09,-4.09810566e-19,4.50000000e-09,8.31523584e-19,4.50000000e-09,3.68216406e-21,4.50000000e-09,9.99552074e-09,4.50000000e-09,4.53529971e-01,4.50000000e-09,1.70442907e-01,4.50000000e-09,2.73796946e-01,4.50000000e-09,2.73796946e-01,4.50000000e-09,1.00044813e+08,4.50000000e-09,1.27312599e+09,4.50000000e-09,2.02624294e+08,4.50000000e-09,3.31662411e+01,1.00,.150u,ihp-sg13g2
5.00000000e-09,1.66671369e-07,5.00000000e-09,5.02491193e-09,5.00000000e-09,1.18027158e-16,5.00000000e-09,1.40192098e-18,5.00000000e-09,-1.06406644e-19,5.00000000e-09,-4.50655938e-19,5.00000000e-09,9.14998379e-19,5.00000000e-09,4.00708350e-21,5.00000000e-09,1.10372872e-08,5.00000000e-09,4.53527179e-01,5.00000000e-09,1.73355785e-01,5.00000000e-09,2.76712818e-01,5.00000000e-09,2.76712818e-01,5.00000000e-09,9.06019731e+07,5.00000000e-09,1.41214422e+09,5.00000000e-09,2.24749733e+08,5.00000000e-09,3.31690130e+01,1.00,.150u,ihp-sg13g2
5.50000000e-09,1.83207071e-07,5.50000000e-09,5.52313482e-09,5.50000000e-09,1.17990842e-16,5.50000000e-09,1.51389690e-18,5.50000000e-09,-1.06018100e-19,5.50000000e-09,-4.91668922e-19,5.50000000e-09,9.98858256e-19,5.50000000e-09,4.33096441e-21,5.50000000e-09,1.20869397e-08,5.50000000e-09,4.53524616e-01,5.50000000e-09,1.76026164e-01,5.50000000e-09,2.79386209e-01,5.50000000e-09,2.79386209e-01,5.50000000e-09,8.27339283e+07,5.50000000e-09,1.55272281e+09,5.50000000e-09,2.47123510e+08,5.50000000e-09,3.31708489e+01,1.00,.150u,ihp-sg13g2
