isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.38737198e-08,1.00000000e-09,1.00000254e-09,1.00000000e-09,2.08906705e-16,1.00000000e-09,7.97978128e-19,1.00000000e-09,-2.03554862e-20,1.00000000e-09,-2.39660577e-19,1.00000000e-09,4.64762843e-19,1.00000000e-09,4.87475867e-21,1.00000000e-09,2.34782924e-09,1.00000000e-09,3.51773390e-01,1.00000000e-09,4.22884355e-02,1.00000000e-09,1.42464330e-01,1.00000000e-09,1.42464330e-01,1.00000000e-09,4.25925354e+08,1.00000000e-09,1.62147595e+08,1.00000000e-09,2.58065912e+07,1.00000000e-09,3.38736337e+01,1.00,.200u,ihp-sg13g2
1.50000000e-09,5.10858314e-08,1.50000000e-09,1.50650207e-09,1.50000000e-09,2.08084969e-16,1.50000000e-09,1.08874821e-18,1.50000000e-09,-1.98710544e-20,1.50000000e-09,-3.49467961e-19,1.50000000e-09,6.80292801e-19,1.50000000e-09,6.07143133e-21,1.50000000e-09,3.47915273e-09,1.50000000e-09,3.51771689e-01,1.50000000e-09,5.35979640e-02,1.50000000e-09,1.53778159e-01,1.50000000e-09,1.53778159e-01,1.50000000e-09,2.87426301e+08,1.50000000e-09,2.45504669e+08,1.50000000e-09,3.90732816e+07,1.50000000e-09,3.39102298e+01,1.00,.200u,ihp-sg13g2
2.00000000e-09,6.79311377e-08,2.00000000e-09,2.00192227e-09,2.00000000e-09,2.07591710e-16,2.00000000e-09,1.36642082e-18,2.00000000e-09,-1.90697281e-20,2.00000000e-09,-4.54143410e-19,2.00000000e-09,8.86228843e-19,2.00000000e-09,7.15894149e-21,2.00000000e-09,4.57869591e-09,2.00000000e-09,3.51770488e-01,2.00000000e-09,6.14436076e-02,2.00000000e-09,1.61627920e-01,2.00000000e-09,1.61627920e-01,2.00000000e-09,2.18402798e+08,2.00000000e-09,3.27234347e+08,2.00000000e-09,5.20809639e+07,2.00000000e-09,3.39329547e+01,1.00,.200u,ihp-sg13g2
2.50000000e-09,8.49014738e-08,2.50000000e-09,2.50087156e-09,2.50000000e-09,2.07261801e-16,2.50000000e-09,1.64119883e-18,2.50000000e-09,-1.81355663e-20,2.50000000e-09,-5.57580894e-19,2.50000000e-09,1.09005529e-18,2.50000000e-09,8.19632747e-21,2.50000000e-09,5.67988438e-09,2.50000000e-09,3.51769538e-01,2.50000000e-09,6.75833924e-02,2.50000000e-09,1.67771787e-01,2.50000000e-09,1.67771787e-01,2.50000000e-09,1.76059922e+08,2.50000000e-09,4.09633968e+08,2.50000000e-09,6.51952708e+07,2.50000000e-09,3.39487542e+01,1.00,.200u,ihp-sg13g2
3.00000000e-09,1.01895756e-07,3.00000000e-09,3.00045561e-09,3.00000000e-09,2.07036202e-16,3.00000000e-09,1.91247762e-18,3.00000000e-09,-1.71428011e-20,3.00000000e-09,-6.59583728e-19,3.00000000e-09,1.29129787e-18,3.00000000e-09,9.19122388e-21,3.00000000e-09,6.77701319e-09,3.00000000e-09,3.51768754e-01,3.00000000e-09,7.26077299e-02,3.00000000e-09,1.72800161e-01,3.00000000e-09,1.72800161e-01,3.00000000e-09,1.47557629e+08,3.00000000e-09,4.92163955e+08,3.00000000e-09,7.83303263e+07,3.00000000e-09,3.39600946e+01,1.00,.200u,ihp-sg13g2
3.50000000e-09,1.18898282e-07,3.50000000e-09,3.50026480e-09,3.50000000e-09,2.06881898e-16,3.50000000e-09,2.18070461e-18,3.50000000e-09,-1.61228946e-20,3.50000000e-09,-7.60343402e-19,3.50000000e-09,1.49027768e-18,3.50000000e-09,1.01518919e-20,3.50000000e-09,7.86978171e-09,3.50000000e-09,3.51768086e-01,3.50000000e-09,7.68578399e-02,3.50000000e-09,1.77054267e-01,3.50000000e-09,1.77054267e-01,3.50000000e-09,1.27068328e+08,3.50000000e-09,5.74715735e+08,3.50000000e-09,9.14688500e+07,3.50000000e-09,3.39683679e+01,1.00,.200u,ihp-sg13g2
4.00000000e-09,1.35903265e-07,4.00000000e-09,4.00016568e-09,4.00000000e-09,2.06779189e-16,4.00000000e-09,2.44627992e-18,4.00000000e-09,-1.50912468e-20,4.00000000e-09,-8.60027379e-19,4.00000000e-09,1.68728647e-18,4.00000000e-09,1.10843297e-20,4.00000000e-09,8.95838376e-09,4.00000000e-09,3.51767504e-01,4.00000000e-09,8.05400775e-02,4.00000000e-09,1.80740466e-01,4.00000000e-09,1.80740466e-01,4.00000000e-09,1.11627279e+08,4.00000000e-09,6.57238605e+08,4.00000000e-09,1.04602773e+08,4.00000000e-09,3.39744091e+01,1.00,.200u,ihp-sg13g2
4.50000000e-09,1.52908115e-07,4.50000000e-09,4.50010924e-09,4.50000000e-09,2.06715434e-16,4.50000000e-09,2.70952646e-18,4.50000000e-09,-1.40560082e-20,4.50000000e-09,-9.58769836e-19,4.50000000e-09,1.88256120e-18,4.50000000e-09,1.19929665e-20,4.50000000e-09,1.00431080e-08,4.50000000e-09,3.51766989e-01,4.50000000e-09,8.37882442e-02,4.50000000e-09,1.83992563e-01,4.50000000e-09,1.83992563e-01,4.50000000e-09,9.95707704e+07,4.50000000e-09,7.39703430e+08,4.50000000e-09,1.17727457e+08,4.50000000e-09,3.39787564e+01,1.00,.200u,ihp-sg13g2
5.00000000e-09,1.70887681e-07,5.00000000e-09,5.02878320e-09,5.00000000e-09,2.06680934e-16,5.00000000e-09,2.98563976e-18,5.00000000e-09,-1.29624179e-20,5.00000000e-09,-1.06227569e-18,5.00000000e-09,2.08737176e-18,5.00000000e-09,1.29315961e-20,5.00000000e-09,1.11862102e-08,5.00000000e-09,3.51766501e-01,5.00000000e-09,8.68518041e-02,5.00000000e-09,1.87060250e-01,5.00000000e-09,1.87060250e-01,5.00000000e-09,8.93957812e+07,5.00000000e-09,8.26818796e+08,5.00000000e-09,1.31592298e+08,5.00000000e-09,3.39819145e+01,1.00,.200u,ihp-sg13g2
5.50000000e-09,1.87683839e-07,5.50000000e-09,5.52274534e-09,5.50000000e-09,2.06673095e-16,5.50000000e-09,3.24174019e-18,5.50000000e-09,-1.19443035e-20,5.50000000e-09,-1.15822866e-18,5.50000000e-09,2.27732868e-18,5.50000000e-09,1.37906358e-20,5.50000000e-09,1.22508608e-08,5.50000000e-09,3.51766088e-01,5.50000000e-09,8.94359832e-02,5.50000000e-09,1.89648261e-01,5.50000000e-09,1.89648261e-01,5.50000000e-09,8.16269171e+07,5.50000000e-09,9.08119361e+08,5.50000000e-09,1.44531685e+08,5.50000000e-09,3.39837938e+01,1.00,.200u,ihp-sg13g2
