isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.99623256e-08,1.00000000e-09,9.99998671e-10,1.00000000e-09,3.71632390e-16,1.00000000e-09,1.54604159e-18,1.00000000e-09,4.31486039e-20,1.00000000e-09,-5.01186464e-19,1.00000000e-09,9.61771675e-19,1.00000000e-09,2.77898323e-20,1.00000000e-09,2.57449191e-09,1.00000000e-09,3.31014390e-01,1.00000000e-09,-1.20611447e-02,1.00000000e-09,1.00146845e-01,1.00000000e-09,1.00146845e-01,1.00000000e-09,3.88426157e+08,1.00000000e-09,8.06235582e+07,1.00000000e-09,1.28316378e+07,1.00000000e-09,2.99623655e+01,1.00,.300u,ihp-sg13g2
1.50000000e-09,4.50021207e-08,1.50000000e-09,1.50001092e-09,1.50000000e-09,3.69927814e-16,1.50000000e-09,2.13202423e-18,1.50000000e-09,4.17359987e-20,1.50000000e-09,-7.25787100e-19,1.50000000e-09,1.39700598e-18,1.50000000e-09,2.86537713e-20,1.50000000e-09,3.48852288e-09,1.50000000e-09,3.31014151e-01,1.50000000e-09,4.39823478e-04,1.50000000e-09,1.12653380e-01,1.50000000e-09,1.12653380e-01,1.50000000e-09,2.86654276e+08,1.50000000e-09,1.21651087e+08,1.50000000e-09,1.93613718e+07,1.50000000e-09,3.00011954e+01,1.00,.300u,ihp-sg13g2
2.00000000e-09,6.01127274e-08,2.00000000e-09,2.00198961e-09,2.00000000e-09,3.68870695e-16,2.00000000e-09,2.70696365e-18,2.00000000e-09,4.20851790e-20,2.00000000e-09,-9.45782321e-19,2.00000000e-09,1.82450022e-18,2.00000000e-09,2.99932006e-20,2.00000000e-09,4.43111074e-09,2.00000000e-09,3.31013979e-01,2.00000000e-09,9.37696668e-03,2.00000000e-09,1.21596005e-01,2.00000000e-09,1.21596005e-01,2.00000000e-09,2.25677050e+08,2.00000000e-09,1.62964226e+08,2.00000000e-09,2.59365621e+07,2.00000000e-09,3.00264932e+01,1.00,.300u,ihp-sg13g2
2.50000000e-09,7.51361399e-08,2.50000000e-09,2.50085773e-09,2.50000000e-09,3.68171233e-16,2.50000000e-09,3.26866090e-18,2.50000000e-09,4.31433414e-20,2.50000000e-09,-1.16040721e-18,2.50000000e-09,2.24228752e-18,2.50000000e-09,3.14890869e-20,2.50000000e-09,5.37757235e-09,2.50000000e-09,3.31013845e-01,2.50000000e-09,1.62778877e-02,2.50000000e-09,1.28502293e-01,2.50000000e-09,1.28502293e-01,2.50000000e-09,1.85957517e+08,2.50000000e-09,2.04079334e+08,2.50000000e-09,3.24802348e+07,2.50000000e-09,3.00441480e+01,1.00,.300u,ihp-sg13g2
3.00000000e-09,9.01849212e-08,3.00000000e-09,3.00045355e-09,3.00000000e-09,3.67689629e-16,3.00000000e-09,3.82353255e-18,3.00000000e-09,4.45482786e-20,3.00000000e-09,-1.37218349e-18,3.00000000e-09,2.65503587e-18,3.00000000e-09,3.30486485e-20,3.00000000e-09,6.32948957e-09,3.00000000e-09,3.31013735e-01,3.00000000e-09,2.19323019e-02,3.00000000e-09,1.34162018e-01,3.00000000e-09,1.34162018e-01,3.00000000e-09,1.57990623e+08,3.00000000e-09,2.45274585e+08,3.00000000e-09,3.90366627e+07,3.00000000e-09,3.00570963e+01,1.00,.300u,ihp-sg13g2
3.50000000e-09,1.05241758e-07,3.50000000e-09,3.50026656e-09,3.50000000e-09,3.67357197e-16,3.50000000e-09,4.37230181e-18,3.50000000e-09,4.61396076e-20,3.50000000e-09,-1.58143623e-18,3.50000000e-09,3.06324278e-18,3.50000000e-09,3.46281201e-20,3.50000000e-09,7.28334326e-09,3.50000000e-09,3.31013642e-01,3.50000000e-09,2.67184263e-02,3.50000000e-09,1.38953403e-01,3.50000000e-09,1.38953403e-01,3.50000000e-09,1.37299584e+08,3.50000000e-09,2.86483453e+08,3.50000000e-09,4.55952577e+07,3.50000000e-09,3.00667840e+01,1.00,.300u,ihp-sg13g2
4.00000000e-09,1.20301436e-07,4.00000000e-09,4.00016905e-09,4.00000000e-09,3.67132760e-16,4.00000000e-09,4.91574417e-18,4.00000000e-09,4.78367094e-20,4.00000000e-09,-1.78849751e-18,4.00000000e-09,3.46746716e-18,4.00000000e-09,3.62077391e-20,4.00000000e-09,8.23758324e-09,4.00000000e-09,3.31013561e-01,4.00000000e-09,3.08667901e-02,4.00000000e-09,1.43106983e-01,4.00000000e-09,1.43106983e-01,4.00000000e-09,1.21394828e+08,4.00000000e-09,3.27678293e+08,4.00000000e-09,5.21516200e+07,4.00000000e-09,3.00740879e+01,1.00,.300u,ihp-sg13g2
4.50000000e-09,1.35361505e-07,4.50000000e-09,4.50011341e-09,4.50000000e-09,3.66989869e-16,4.50000000e-09,5.45448841e-18,4.50000000e-09,4.95952625e-20,4.50000000e-09,-1.99363433e-18,4.50000000e-09,3.86816830e-18,4.50000000e-09,3.77780095e-20,4.50000000e-09,9.19140004e-09,4.50000000e-09,3.31013489e-01,4.50000000e-09,3.45271764e-02,4.50000000e-09,1.46772547e-01,4.50000000e-09,1.46772547e-01,4.50000000e-09,1.08797354e+08,4.50000000e-09,3.68842621e+08,4.50000000e-09,5.87031263e+07,4.50000000e-09,3.00795763e+01,1.00,.300u,ihp-sg13g2
5.00000000e-09,1.50420576e-07,5.00000000e-09,5.00007940e-09,5.00000000e-09,3.66910577e-16,5.00000000e-09,5.98903771e-18,5.00000000e-09,5.13892882e-20,5.00000000e-09,-2.19705943e-18,5.00000000e-09,4.26571650e-18,5.00000000e-09,3.93343189e-20,5.00000000e-09,1.01443417e-08,5.00000000e-09,3.31013424e-01,5.00000000e-09,3.78022408e-02,5.00000000e-09,1.50052755e-01,5.00000000e-09,1.50052755e-01,5.00000000e-09,9.85771208e+07,5.00000000e-09,4.09965221e+08,5.00000000e-09,6.52479915e+07,5.00000000e-09,3.00836375e+01,1.00,.300u,ihp-sg13g2
5.50000000e-09,1.66251924e-07,5.50000000e-09,5.52576668e-09,5.50000000e-09,3.66881899e-16,5.50000000e-09,6.54699479e-18,5.50000000e-09,5.32963971e-20,5.50000000e-09,-2.40928640e-18,5.50000000e-09,4.68063567e-18,5.50000000e-09,4.09532778e-20,5.50000000e-09,1.11450548e-08,5.50000000e-09,3.31013363e-01,5.50000000e-09,4.09103626e-02,5.50000000e-09,1.53166251e-01,5.50000000e-09,1.53166251e-01,5.50000000e-09,8.97258936e+07,5.50000000e-09,4.53148340e+08,5.50000000e-09,7.21207983e+07,5.50000000e-09,3.00866709e+01,1.00,.300u,ihp-sg13g2
6.00000000e-09,1.81159735e-07,6.00000000e-09,6.02088078e-09,6.00000000e-09,3.66896656e-16,6.00000000e-09,7.06901182e-18,6.00000000e-09,5.51017794e-20,6.00000000e-09,-2.60775663e-18,6.00000000e-09,5.06879237e-18,6.00000000e-09,4.24609494e-20,6.00000000e-09,1.20862468e-08,6.00000000e-09,3.31013310e-01,6.00000000e-09,4.35786042e-02,6.00000000e-09,1.55839525e-01,6.00000000e-09,1.55839525e-01,6.00000000e-09,8.27386710e+07,6.00000000e-09,4.93762294e+08,6.00000000e-09,7.85847098e+07,6.00000000e-09,3.00885770e+01,1.00,.300u,ihp-sg13g2
6.50000000e-09,1.96170473e-07,6.50000000e-09,6.51951840e-09,6.50000000e-09,3.66945462e-16,6.50000000e-09,7.59160277e-18,6.50000000e-09,5.69224584e-20,6.50000000e-09,-2.80637079e-18,6.50000000e-09,5.45734039e-18,6.50000000e-09,4.39624716e-20,6.50000000e-09,1.30327597e-08,6.50000000e-09,3.31013261e-01,6.50000000e-09,4.60528707e-02,6.50000000e-09,1.58318835e-01,6.50000000e-09,1.58318835e-01,6.50000000e-09,7.67297196e+07,6.50000000e-09,5.34603896e+08,6.50000000e-09,8.50848526e+07,6.50000000e-09,3.00897185e+01,1.00,.300u,ihp-sg13g2
7.00000000e-09,2.11175729e-07,7.00000000e-09,7.01809063e-09,7.00000000e-09,3.67022998e-16,7.00000000e-09,8.11120628e-18,7.00000000e-09,5.87410781e-20,7.00000000e-09,-3.00378359e-18,7.00000000e-09,5.84363193e-18,7.00000000e-09,4.54471565e-20,7.00000000e-09,1.39777233e-08,7.00000000e-09,3.31013215e-01,7.00000000e-09,4.83445605e-02,7.00000000e-09,1.60615545e-01,7.00000000e-09,1.60615545e-01,7.00000000e-09,7.15424090e+07,7.00000000e-09,5.75374651e+08,7.00000000e-09,9.15737198e+07,7.00000000e-09,3.00901969e+01,1.00,.300u,ihp-sg13g2
7.50000000e-09,2.26183557e-07,7.50000000e-09,7.51687474e-09,7.50000000e-09,3.67125107e-16,7.50000000e-09,8.62830949e-18,7.50000000e-09,6.05557628e-20,7.50000000e-09,-3.20018774e-18,7.50000000e-09,6.22802974e-18,7.50000000e-09,4.69163170e-20,7.50000000e-09,1.49216428e-08,7.50000000e-09,3.31013173e-01,7.50000000e-09,5.04799084e-02,7.50000000e-09,1.62755893e-01,7.50000000e-09,1.62755893e-01,7.50000000e-09,6.70167496e+07,7.50000000e-09,6.16093949e+08,7.50000000e-09,9.80543973e+07,7.50000000e-09,3.00901059e+01,1.00,.300u,ihp-sg13g2
8.00000000e-09,2.41191844e-07,8.00000000e-09,8.01580885e-09,8.00000000e-09,3.67248423e-16,8.00000000e-09,9.14301781e-18,8.00000000e-09,6.23643356e-20,8.00000000e-09,-3.39562972e-18,8.00000000e-09,6.61061285e-18,8.00000000e-09,4.83703478e-20,8.00000000e-09,1.58643953e-08,8.00000000e-09,3.31013133e-01,8.00000000e-09,5.24787104e-02,8.00000000e-09,1.64759676e-01,8.00000000e-09,1.64759676e-01,8.00000000e-09,6.30342336e+07,8.00000000e-09,6.56753926e+08,8.00000000e-09,1.04525634e+08,8.00000000e-09,3.00895204e+01,1.00,.300u,ihp-sg13g2
8.50000000e-09,2.56199635e-07,8.50000000e-09,8.51486848e-09,8.50000000e-09,3.67390203e-16,8.50000000e-09,9.65545453e-18,8.50000000e-09,6.41653966e-20,8.50000000e-09,-3.59016192e-18,8.50000000e-09,6.99147361e-18,8.50000000e-09,4.98098019e-20,8.50000000e-09,1.68059394e-08,8.50000000e-09,3.31013096e-01,8.50000000e-09,5.43573360e-02,8.50000000e-09,1.66643265e-01,8.50000000e-09,1.66643265e-01,8.50000000e-09,5.95027732e+07,8.50000000e-09,6.97350209e+08,8.50000000e-09,1.10986733e+08,8.50000000e-09,3.00885017e+01,1.00,.300u,ihp-sg13g2
9.00000000e-09,2.71206110e-07,9.00000000e-09,9.01403270e-09,9.00000000e-09,3.67548180e-16,9.00000000e-09,1.01657292e-17,9.00000000e-09,6.59580047e-20,9.00000000e-09,-3.78383080e-18,9.00000000e-09,7.37069416e-18,9.00000000e-09,5.12352545e-20,9.00000000e-09,1.77462473e-08,9.00000000e-09,3.31013060e-01,9.00000000e-09,5.61293809e-02,9.00000000e-09,1.68420257e-01,9.00000000e-09,1.68420257e-01,9.00000000e-09,5.63499415e+07,9.00000000e-09,7.37879072e+08,9.00000000e-09,1.17437102e+08,9.00000000e-09,3.00871007e+01,1.00,.300u,ihp-sg13g2
9.50000000e-09,2.86210608e-07,9.50000000e-09,9.51328507e-09,9.50000000e-09,3.67720465e-16,9.50000000e-09,1.06739415e-17,9.50000000e-09,6.77415482e-20,9.50000000e-09,-3.97667843e-18,9.50000000e-09,7.74834927e-18,9.50000000e-09,5.26472851e-20,9.50000000e-09,1.86853045e-08,9.50000000e-09,3.31013027e-01,9.50000000e-09,5.78062646e-02,9.50000000e-09,1.70102072e-01,9.50000000e-09,1.70102072e-01,9.50000000e-09,5.35179932e+07,9.50000000e-09,7.78337446e+08,9.50000000e-09,1.23876252e+08,9.50000000e-09,3.00853602e+01,1.00,.300u,ihp-sg13g2
1.00000000e-08,3.00833625e-07,1.00000000e-08,9.99999712e-09,1.00000000e-08,3.67900646e-16,1.00000000e-08,1.11674165e-17,1.00000000e-08,6.94709499e-20,1.00000000e-08,-4.16390024e-18,1.00000000e-08,8.11502214e-18,1.00000000e-08,5.40112691e-20,1.00000000e-08,1.95994293e-08,1.00000000e-08,3.31012996e-01,1.00000000e-08,5.93584494e-02,1.00000000e-08,1.71659050e-01,1.00000000e-08,1.71659050e-01,1.00000000e-08,5.10218938e+07,1.00000000e-08,8.17703444e+08,1.00000000e-08,1.30141545e+08,1.00000000e-08,3.00833712e+01,1.00,.300u,ihp-sg13g2
1.50000000e-08,4.52683152e-07,1.50000000e-08,1.50639003e-08,1.50000000e-08,3.70260088e-16,1.50000000e-08,1.62038517e-17,1.50000000e-08,8.69180178e-20,1.50000000e-08,-6.07333289e-18,1.50000000e-08,1.18556248e-17,1.50000000e-08,6.75831876e-20,1.50000000e-08,2.90365899e-08,1.50000000e-08,3.31012739e-01,1.50000000e-08,7.21076653e-02,1.50000000e-08,1.84457396e-01,1.50000000e-08,1.84457396e-01,1.50000000e-08,3.44393058e+07,1.50000000e-08,1.22260856e+09,1.50000000e-08,1.94584196e+08,1.50000000e-08,3.00508595e+01,1.00,.300u,ihp-sg13g2
