isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.34259227e-08,1.00000000e-09,9.99954815e-10,1.00000000e-09,3.13755875e-16,1.00000000e-09,9.31814939e-18,1.00000000e-09,-1.03480018e-17,1.00000000e-09,-3.65096923e-21,1.00000000e-09,1.32635113e-19,1.00000000e-09,-1.35587257e-23,1.00000000e-09,1.25160423e-09,1.00000000e-09,5.20526604e-01,1.00000000e-09,2.02152585e-01,1.00000000e-09,3.01824821e-01,1.00000000e-09,3.01824821e-01,1.00000000e-09,7.98974607e+08,1.00000000e-09,1.06534810e+08,1.00000000e-09,1.69555417e+07,1.00000000e-09,3.34274331e+01,2.00,.130u,ihp-sg13g2
1.50000000e-09,5.03995345e-08,1.50000000e-09,1.50650646e-09,1.50000000e-09,3.12519217e-16,1.50000000e-09,9.29590330e-18,1.50000000e-09,-1.03406265e-17,1.50000000e-09,-5.40762789e-21,1.50000000e-09,1.99612856e-19,1.50000000e-09,-3.43107560e-23,1.50000000e-09,1.88498745e-09,1.50000000e-09,5.20186842e-01,1.50000000e-09,2.13961056e-01,1.50000000e-09,3.13638266e-01,1.50000000e-09,3.13638266e-01,1.50000000e-09,5.30507512e+08,1.50000000e-09,1.61268593e+08,1.50000000e-09,2.56666938e+07,1.50000000e-09,3.34545758e+01,2.00,.130u,ihp-sg13g2
2.00000000e-09,6.70080116e-08,2.00000000e-09,2.00188899e-09,2.00000000e-09,3.11684710e-16,2.00000000e-09,9.29285227e-18,2.00000000e-09,-1.03339189e-17,2.00000000e-09,-7.10495440e-21,2.00000000e-09,2.65005358e-19,2.00000000e-09,-5.67159669e-23,2.00000000e-09,2.50460204e-09,2.00000000e-09,5.19950659e-01,2.00000000e-09,2.22145740e-01,2.00000000e-09,3.21827813e-01,2.00000000e-09,3.21827813e-01,2.00000000e-09,3.99265026e+08,2.00000000e-09,2.14986521e+08,2.00000000e-09,3.42161676e+07,2.00000000e-09,3.34723913e+01,2.00,.130u,ihp-sg13g2
2.50000000e-09,8.37419271e-08,2.50000000e-09,2.50083141e-09,2.50000000e-09,3.11047149e-16,2.50000000e-09,9.30049274e-18,2.50000000e-09,-1.03279746e-17,2.50000000e-09,-8.79978289e-21,2.50000000e-09,3.30762242e-19,2.50000000e-09,-8.06194800e-23,2.50000000e-09,3.12887779e-09,2.50000000e-09,5.19765531e-01,2.50000000e-09,2.28548295e-01,2.50000000e-09,3.28235265e-01,2.50000000e-09,3.28235265e-01,2.50000000e-09,3.19603406e+08,2.50000000e-09,2.69225831e+08,2.50000000e-09,4.28486218e+07,2.50000000e-09,3.34856348e+01,2.00,.130u,ihp-sg13g2
3.00000000e-09,1.00501617e-07,3.00000000e-09,3.00041216e-09,3.00000000e-09,3.10537068e-16,3.00000000e-09,9.31516038e-18,3.00000000e-09,-1.03227678e-17,3.00000000e-09,-1.04854232e-20,3.00000000e-09,3.96498755e-19,3.00000000e-09,-1.05555162e-22,3.00000000e-09,3.75416341e-09,3.00000000e-09,5.19613860e-01,3.00000000e-09,2.33785650e-01,3.00000000e-09,3.33477520e-01,3.00000000e-09,3.33477520e-01,3.00000000e-09,2.66370930e+08,3.00000000e-09,3.23638068e+08,3.00000000e-09,5.15085983e+07,3.00000000e-09,3.34959370e+01,2.00,.130u,ihp-sg13g2
3.50000000e-09,1.18741731e-07,3.50000000e-09,3.54401403e-09,3.50000000e-09,3.10081089e-16,3.50000000e-09,9.33667749e-18,3.50000000e-09,-1.03178133e-17,3.50000000e-09,-1.23089917e-20,3.50000000e-09,4.67909675e-19,3.50000000e-09,-1.33303258e-22,3.50000000e-09,4.43478504e-09,3.50000000e-09,5.19475075e-01,3.50000000e-09,2.38571745e-01,3.50000000e-09,3.38268946e-01,3.50000000e-09,3.38268946e-01,3.50000000e-09,2.25490073e+08,3.50000000e-09,3.82937675e+08,3.50000000e-09,6.09464239e+07,3.50000000e-09,3.35048706e+01,2.00,.130u,ihp-sg13g2
4.00000000e-09,1.35071843e-07,4.00000000e-09,4.03062186e-09,4.00000000e-09,3.09736446e-16,4.00000000e-09,9.35956374e-18,4.00000000e-09,-1.03139080e-17,4.00000000e-09,-1.39340770e-20,4.00000000e-09,5.31730754e-19,4.00000000e-09,-1.59098397e-22,4.00000000e-09,5.04425473e-09,4.00000000e-09,5.19367763e-01,4.00000000e-09,2.42268420e-01,4.00000000e-09,3.41970391e-01,4.00000000e-09,3.41970391e-01,4.00000000e-09,1.98245341e+08,4.00000000e-09,4.36086372e+08,4.00000000e-09,6.94053018e+07,4.00000000e-09,3.35114153e+01,2.00,.130u,ihp-sg13g2
4.50000000e-09,1.51778705e-07,4.50000000e-09,4.52840430e-09,4.50000000e-09,3.09430806e-16,4.50000000e-09,9.38568974e-18,4.50000000e-09,-1.03103444e-17,4.50000000e-09,-1.55901052e-20,4.50000000e-09,5.96916949e-19,4.50000000e-09,-1.85931720e-22,4.50000000e-09,5.66792090e-09,4.50000000e-09,5.19270583e-01,4.50000000e-09,2.45613067e-01,4.50000000e-09,3.45319916e-01,4.50000000e-09,3.45319916e-01,4.50000000e-09,1.76431538e+08,4.50000000e-09,4.90509355e+08,4.50000000e-09,7.80669885e+07,4.50000000e-09,3.35170393e+01,2.00,.130u,ihp-sg13g2
5.00000000e-09,1.68460679e-07,5.00000000e-09,5.02540613e-09,5.00000000e-09,3.09163012e-16,5.00000000e-09,9.41395528e-18,5.00000000e-09,-1.03071580e-17,5.00000000e-09,-1.72380050e-20,5.00000000e-09,6.61900082e-19,5.00000000e-09,-2.13174488e-22,5.00000000e-09,6.29080845e-09,5.00000000e-09,5.19183635e-01,5.00000000e-09,2.48603112e-01,5.00000000e-09,3.48314830e-01,5.00000000e-09,3.48314830e-01,5.00000000e-09,1.58962080e+08,5.00000000e-09,5.44892735e+08,5.00000000e-09,8.67223722e+07,5.00000000e-09,3.35218040e+01,2.00,.130u,ihp-sg13g2
5.50000000e-09,1.85166896e-07,5.50000000e-09,5.52310172e-09,5.50000000e-09,3.08925056e-16,5.50000000e-09,9.44403401e-18,5.50000000e-09,-1.03042868e-17,5.50000000e-09,-1.88833206e-20,5.50000000e-09,7.26873322e-19,5.50000000e-09,-2.40840638e-22,5.50000000e-09,6.91476243e-09,5.50000000e-09,5.19104755e-01,5.50000000e-09,2.51313733e-01,5.50000000e-09,3.51030324e-01,5.50000000e-09,3.51030324e-01,5.50000000e-09,1.44618128e+08,5.50000000e-09,5.99390994e+08,5.50000000e-09,9.53960395e+07,5.50000000e-09,3.35258892e+01,2.00,.130u,ihp-sg13g2
6.00000000e-09,2.01885937e-07,6.00000000e-09,6.02115945e-09,6.00000000e-09,3.08711867e-16,6.00000000e-09,9.47560442e-18,6.00000000e-09,-1.03016913e-17,6.00000000e-09,-2.05254796e-20,6.00000000e-09,7.91793399e-19,6.00000000e-09,-2.68869419e-22,6.00000000e-09,7.53936509e-09,6.00000000e-09,5.19032607e-01,6.00000000e-09,2.53791345e-01,6.00000000e-09,3.53512812e-01,6.00000000e-09,3.53512812e-01,6.00000000e-09,1.32637163e+08,6.00000000e-09,6.53962346e+08,6.00000000e-09,1.04081340e+08,6.00000000e-09,3.35294121e+01,2.00,.130u,ihp-sg13g2
6.50000000e-09,2.18615433e-07,6.50000000e-09,6.51951598e-09,6.50000000e-09,3.08519473e-16,6.50000000e-09,9.50842891e-18,6.50000000e-09,-1.02993378e-17,6.50000000e-09,-2.21647088e-20,6.50000000e-09,8.56652173e-19,6.50000000e-09,-2.97221483e-22,6.50000000e-09,8.16453490e-09,6.50000000e-09,5.18966134e-01,6.50000000e-09,2.56072639e-01,6.50000000e-09,3.55798982e-01,6.50000000e-09,3.55798982e-01,6.50000000e-09,1.22480951e+08,6.50000000e-09,7.08595251e+08,6.50000000e-09,1.12776437e+08,6.50000000e-09,3.35324638e+01,2.00,.130u,ihp-sg13g2
7.00000000e-09,2.35353001e-07,7.00000000e-09,7.01810631e-09,7.00000000e-09,3.08344784e-16,7.00000000e-09,9.54231924e-18,7.00000000e-09,-1.02971981e-17,7.00000000e-09,-2.38011615e-20,7.00000000e-09,9.21441321e-19,7.00000000e-09,-3.25863714e-22,7.00000000e-09,8.79018828e-09,7.00000000e-09,5.18904513e-01,7.00000000e-09,2.58186224e-01,7.00000000e-09,3.57917444e-01,7.00000000e-09,3.57917444e-01,7.00000000e-09,1.13763206e+08,7.00000000e-09,7.63278683e+08,7.00000000e-09,1.21479575e+08,7.00000000e-09,3.35351149e+01,2.00,.130u,ihp-sg13g2
7.50000000e-09,2.52096918e-07,7.50000000e-09,7.51688437e-09,7.50000000e-09,3.08185344e-16,7.50000000e-09,9.57712475e-18,7.50000000e-09,-1.02952489e-17,7.50000000e-09,-2.54349989e-20,7.50000000e-09,9.86155013e-19,7.50000000e-09,-3.54768789e-22,7.50000000e-09,9.41626543e-09,7.50000000e-09,5.18847085e-01,7.50000000e-09,2.60154919e-01,7.50000000e-09,3.59891016e-01,7.50000000e-09,3.59891016e-01,7.50000000e-09,1.06199215e+08,7.50000000e-09,8.18004242e+08,7.50000000e-09,1.30189419e+08,7.50000000e-09,3.35374214e+01,2.00,.130u,ihp-sg13g2
8.00000000e-09,2.68845861e-07,8.00000000e-09,8.01581522e-09,8.00000000e-09,3.08039166e-16,8.00000000e-09,9.61272292e-18,8.00000000e-09,-1.02934700e-17,8.00000000e-09,-2.70663761e-20,8.00000000e-09,1.05078889e-18,8.00000000e-09,-3.83913750e-22,8.00000000e-09,1.00427206e-08,8.00000000e-09,5.18793317e-01,8.00000000e-09,2.61997197e-01,8.00000000e-09,3.61738170e-01,8.00000000e-09,3.61738170e-01,8.00000000e-09,9.95746114e+07,8.00000000e-09,8.72765190e+08,8.00000000e-09,1.38904894e+08,8.00000000e-09,3.35394285e+01,2.00,.130u,ihp-sg13g2
8.50000000e-09,2.85598797e-07,8.50000000e-09,8.51487206e-09,8.50000000e-09,3.07904627e-16,8.50000000e-09,9.64901279e-18,8.50000000e-09,-1.02918446e-17,8.50000000e-09,-2.86954395e-20,8.50000000e-09,1.11533965e-18,8.50000000e-09,-4.13279082e-22,8.50000000e-09,1.06695182e-08,8.50000000e-09,5.18742772e-01,8.50000000e-09,2.63728227e-01,8.50000000e-09,3.63474075e-01,8.50000000e-09,3.63474075e-01,8.50000000e-09,9.37249442e+07,8.50000000e-09,9.27556041e+08,8.50000000e-09,1.47625129e+08,8.50000000e-09,3.35411731e+01,2.00,.130u,ihp-sg13g2
