isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.81019937e-08,1.00000000e-09,9.99953441e-10,1.00000000e-09,3.24187471e-16,1.00000000e-09,9.70040622e-18,1.00000000e-09,-1.03464881e-17,1.00000000e-09,-3.59492206e-21,1.00000000e-09,1.07266807e-19,1.00000000e-09,2.04755946e-22,1.00000000e-09,1.12250166e-09,1.00000000e-09,4.93179135e-01,1.00000000e-09,1.09577127e-01,1.00000000e-09,2.26778478e-01,1.00000000e-09,2.26778478e-01,1.00000000e-09,8.90867283e+08,1.00000000e-09,8.66843917e+07,1.00000000e-09,1.37962494e+07,1.00000000e-09,2.81033021e+01,2.00,.130u,ihp-sg13g2
1.50000000e-09,4.23889285e-08,1.50000000e-09,1.50649480e-09,1.50000000e-09,3.22444612e-16,1.50000000e-09,9.69693972e-18,1.50000000e-09,-1.03818730e-17,1.50000000e-09,-5.23916678e-21,1.50000000e-09,1.61295595e-19,1.50000000e-09,2.33143359e-22,1.50000000e-09,1.67382853e-09,1.50000000e-09,4.92786181e-01,1.50000000e-09,1.23590016e-01,1.50000000e-09,2.40796043e-01,1.50000000e-09,2.40796043e-01,1.50000000e-09,5.97432761e+08,1.50000000e-09,1.31461116e+08,1.50000000e-09,2.09226864e+07,1.50000000e-09,2.81374542e+01,2.00,.130u,ihp-sg13g2
2.00000000e-09,5.63725672e-08,2.00000000e-09,2.00187716e-09,2.00000000e-09,3.21265196e-16,2.00000000e-09,9.69783990e-18,2.00000000e-09,-1.03987154e-17,2.00000000e-09,-6.81437008e-21,2.00000000e-09,2.14043952e-19,2.00000000e-09,2.53731941e-22,2.00000000e-09,2.21182225e-09,2.00000000e-09,4.92511809e-01,2.00000000e-09,1.33302901e-01,2.00000000e-09,2.50513498e-01,2.00000000e-09,2.50513498e-01,2.00000000e-09,4.52115897e+08,2.00000000e-09,1.75470508e+08,2.00000000e-09,2.79269987e+07,2.00000000e-09,2.81598533e+01,2.00,.130u,ihp-sg13g2
2.50000000e-09,7.04643300e-08,2.50000000e-09,2.50081831e-09,2.50000000e-09,3.20360625e-16,2.50000000e-09,9.70335362e-18,2.50000000e-09,-1.04082335e-17,2.50000000e-09,-8.37800305e-21,2.50000000e-09,2.67090795e-19,2.50000000e-09,2.69807247e-22,2.50000000e-09,2.75294539e-09,2.50000000e-09,4.92296157e-01,2.50000000e-09,1.40900788e-01,2.50000000e-09,2.58115987e-01,2.50000000e-09,2.58115987e-01,2.50000000e-09,3.63247308e+08,2.50000000e-09,2.19953154e+08,2.50000000e-09,3.50066317e+07,2.50000000e-09,2.81765092e+01,2.00,.130u,ihp-sg13g2
3.00000000e-09,8.45796587e-08,3.00000000e-09,3.00039809e-09,3.00000000e-09,3.19633573e-16,3.00000000e-09,9.71272601e-18,3.00000000e-09,-1.04139533e-17,3.00000000e-09,-9.92616784e-21,3.00000000e-09,3.20129883e-19,3.00000000e-09,2.82487014e-22,3.00000000e-09,3.29425828e-09,3.00000000e-09,4.92119135e-01,3.00000000e-09,1.47115860e-01,3.00000000e-09,2.64335665e-01,3.00000000e-09,2.64335665e-01,3.00000000e-09,3.03558469e+08,3.00000000e-09,2.64614439e+08,3.00000000e-09,4.21146960e+07,3.00000000e-09,2.81894790e+01,2.00,.130u,ihp-sg13g2
3.50000000e-09,9.87055028e-08,3.50000000e-09,3.50020461e-09,3.50000000e-09,3.19028621e-16,3.50000000e-09,9.72521522e-18,3.50000000e-09,-1.04175096e-17,3.50000000e-09,-1.14610546e-20,3.50000000e-09,3.73120511e-19,3.50000000e-09,2.92533590e-22,3.50000000e-09,3.83545631e-09,3.50000000e-09,4.91969033e-01,3.50000000e-09,1.52371347e-01,3.50000000e-09,2.69595759e-01,3.50000000e-09,2.69595759e-01,3.50000000e-09,2.60725171e+08,3.50000000e-09,3.09393879e+08,3.50000000e-09,4.92415653e+07,3.50000000e-09,2.81999237e+01,2.00,.130u,ihp-sg13g2
4.00000000e-09,1.12837068e-07,4.00000000e-09,4.00010355e-09,4.00000000e-09,3.18512555e-16,4.00000000e-09,9.74023414e-18,4.00000000e-09,-1.04197433e-17,4.00000000e-09,-1.29846469e-20,4.00000000e-09,4.26050533e-19,4.00000000e-09,3.00460378e-22,4.00000000e-09,4.37648745e-09,4.00000000e-09,4.91838739e-01,4.00000000e-09,1.56923141e-01,4.00000000e-09,2.74152161e-01,4.00000000e-09,2.74152161e-01,4.00000000e-09,2.28493743e+08,4.00000000e-09,3.54262543e+08,4.00000000e-09,5.63826348e+07,4.00000000e-09,2.82085367e+01,2.00,.130u,ihp-sg13g2
4.50000000e-09,1.27891537e-07,4.50000000e-09,4.53255828e-09,4.50000000e-09,3.18036734e-16,4.50000000e-09,9.75850646e-18,4.50000000e-09,-1.04211930e-17,4.50000000e-09,-1.45965272e-20,4.50000000e-09,4.82351643e-19,4.50000000e-09,3.07139527e-22,4.50000000e-09,4.95253252e-09,4.50000000e-09,4.91716581e-01,4.50000000e-09,1.61182459e-01,4.50000000e-09,2.78416384e-01,4.50000000e-09,2.78416384e-01,4.50000000e-09,2.01916897e+08,4.50000000e-09,4.02128192e+08,4.50000000e-09,6.40006896e+07,4.50000000e-09,2.82161925e+01,2.00,.130u,ihp-sg13g2
5.00000000e-09,1.41814131e-07,5.00000000e-09,5.02491665e-09,5.00000000e-09,3.17649837e-16,5.00000000e-09,9.77714243e-18,5.00000000e-09,-1.04219718e-17,5.00000000e-09,-1.60786607e-20,5.00000000e-09,5.34345005e-19,5.00000000e-09,3.11635452e-22,5.00000000e-09,5.48504460e-09,5.00000000e-09,4.91615643e-01,5.00000000e-09,1.64696099e-01,5.00000000e-09,2.81934559e-01,5.00000000e-09,2.81934559e-01,5.00000000e-09,1.82313923e+08,5.00000000e-09,4.46447989e+08,5.00000000e-09,7.10544042e+07,5.00000000e-09,2.82221856e+01,2.00,.130u,ihp-sg13g2
5.50000000e-09,1.55903888e-07,5.50000000e-09,5.52314028e-09,5.50000000e-09,3.17299956e-16,5.50000000e-09,9.79743214e-18,5.50000000e-09,-1.04223849e-17,5.50000000e-09,-1.75710896e-20,5.50000000e-09,5.86891784e-19,5.50000000e-09,3.14957370e-22,5.50000000e-09,6.02378512e-09,5.50000000e-09,4.91523005e-01,5.50000000e-09,1.67916304e-01,5.50000000e-09,2.85159351e-01,5.50000000e-09,2.85159351e-01,5.50000000e-09,1.66008578e+08,5.50000000e-09,4.91345446e+08,5.50000000e-09,7.82000565e+07,5.50000000e-09,2.82273997e+01,2.00,.130u,ihp-sg13g2
6.00000000e-09,1.69988343e-07,6.00000000e-09,6.02114239e-09,6.00000000e-09,3.16984714e-16,6.00000000e-09,9.81894472e-18,6.00000000e-09,-1.04225348e-17,6.00000000e-09,-1.90562929e-20,6.00000000e-09,6.39349660e-19,6.00000000e-09,3.17169403e-22,6.00000000e-09,6.56219738e-09,6.00000000e-09,4.91438327e-01,6.00000000e-09,1.70856148e-01,6.00000000e-09,2.88103780e-01,6.00000000e-09,2.88103780e-01,6.00000000e-09,1.52387980e+08,6.00000000e-09,5.36266688e+08,6.00000000e-09,8.53494943e+07,6.00000000e-09,2.82319088e+01,2.00,.130u,ihp-sg13g2
6.50000000e-09,1.84083604e-07,6.50000000e-09,6.51950306e-09,6.50000000e-09,3.16698138e-16,6.50000000e-09,9.84153776e-18,6.50000000e-09,-1.04224994e-17,6.50000000e-09,-2.05366600e-20,6.50000000e-09,6.91780298e-19,6.50000000e-09,3.18402827e-22,6.50000000e-09,7.10093002e-09,6.50000000e-09,4.91360259e-01,6.50000000e-09,1.73563428e-01,6.50000000e-09,2.90815647e-01,6.50000000e-09,2.90815647e-01,6.50000000e-09,1.40826624e+08,6.50000000e-09,5.81258876e+08,6.50000000e-09,9.25102234e+07,6.50000000e-09,2.82358337e+01,2.00,.130u,ihp-sg13g2
7.00000000e-09,1.98185742e-07,7.00000000e-09,7.01809207e-09,7.00000000e-09,3.16435993e-16,7.00000000e-09,9.86507010e-18,7.00000000e-09,-1.04223327e-17,7.00000000e-09,-2.20123493e-20,7.00000000e-09,7.44170391e-19,7.00000000e-09,3.18758333e-22,7.00000000e-09,7.63985960e-09,7.00000000e-09,4.91287857e-01,7.00000000e-09,1.76071700e-01,7.00000000e-09,2.93328506e-01,7.00000000e-09,2.93328506e-01,7.00000000e-09,1.30892458e+08,7.00000000e-09,6.26305940e+08,7.00000000e-09,9.96796862e+07,7.00000000e-09,2.82392622e+01,2.00,.130u,ihp-sg13g2
7.50000000e-09,2.12293412e-07,7.50000000e-09,7.51686936e-09,7.50000000e-09,3.16194874e-16,7.50000000e-09,9.88942773e-18,7.50000000e-09,-1.04220734e-17,7.50000000e-09,-2.34837050e-20,7.50000000e-09,7.96516082e-19,7.50000000e-09,3.18320583e-22,7.50000000e-09,8.17895706e-09,7.50000000e-09,4.91220352e-01,7.50000000e-09,1.78408074e-01,7.50000000e-09,2.95669469e-01,7.50000000e-09,2.95669469e-01,7.50000000e-09,1.22264977e+08,7.50000000e-09,6.71400548e+08,7.50000000e-09,1.06856716e+08,7.50000000e-09,2.82422644e+01,2.00,.130u,ihp-sg13g2
8.00000000e-09,2.26405428e-07,8.00000000e-09,8.01579947e-09,8.00000000e-09,3.15972038e-16,8.00000000e-09,9.91451509e-18,8.00000000e-09,-1.04217496e-17,8.00000000e-09,-2.49510198e-20,8.00000000e-09,8.48813968e-19,8.00000000e-09,3.17161067e-22,8.00000000e-09,8.71819596e-09,8.00000000e-09,4.91157126e-01,8.00000000e-09,1.80594472e-01,8.00000000e-09,2.97860455e-01,8.00000000e-09,2.97860455e-01,8.00000000e-09,1.14702629e+08,8.00000000e-09,7.16536276e+08,8.00000000e-09,1.14040290e+08,8.00000000e-09,2.82448967e+01,2.00,.130u,ihp-sg13g2
8.50000000e-09,2.40520874e-07,8.50000000e-09,8.51485563e-09,8.50000000e-09,3.15765240e-16,8.50000000e-09,9.94025160e-18,8.50000000e-09,-1.04213819e-17,8.50000000e-09,-2.64145592e-20,8.50000000e-09,9.01061530e-19,8.50000000e-09,3.15340851e-22,8.50000000e-09,9.25755732e-09,8.50000000e-09,4.91097668e-01,8.50000000e-09,1.82648890e-01,8.50000000e-09,2.99919462e-01,8.50000000e-09,2.99919462e-01,8.50000000e-09,1.08019855e+08,8.50000000e-09,7.61707886e+08,8.50000000e-09,1.21229575e+08,8.50000000e-09,2.82472051e+01,2.00,.130u,ihp-sg13g2
9.00000000e-09,2.54639018e-07,9.00000000e-09,9.01401690e-09,9.00000000e-09,3.15572620e-16,9.00000000e-09,9.96656869e-18,9.00000000e-09,-1.04209858e-17,9.00000000e-09,-2.78745626e-20,9.00000000e-09,9.53256840e-19,9.00000000e-09,3.12912586e-22,9.00000000e-09,9.79702703e-09,9.00000000e-09,4.91041555e-01,9.00000000e-09,1.84586280e-01,9.00000000e-09,3.01861439e-01,9.00000000e-09,3.01861439e-01,9.00000000e-09,1.02071781e+08,9.00000000e-09,8.06910998e+08,9.00000000e-09,1.28423874e+08,9.00000000e-09,2.82492279e+01,2.00,.130u,ihp-sg13g2
