isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.02557707e-08,1.00000000e-09,9.99694031e-10,1.00000000e-09,4.94465880e-16,1.00000000e-09,9.20872227e-18,1.00000000e-09,-9.22727298e-18,1.00000000e-09,-8.14237501e-21,1.00000000e-09,1.88555695e-19,1.00000000e-09,1.44321492e-21,1.00000000e-09,1.02718327e-09,1.00000000e-09,3.89727091e-01,1.00000000e-09,4.02951675e-02,1.00000000e-09,1.48010871e-01,1.00000000e-09,1.48010871e-01,1.00000000e-09,9.73536108e+08,1.00000000e-09,6.11887936e+07,1.00000000e-09,9.73849896e+06,1.00000000e-09,3.02650308e+01,2.00,.150u,ihp-sg13g2
1.50000000e-09,4.56363858e-08,1.50000000e-09,1.50612719e-09,1.50000000e-09,4.92044681e-16,1.50000000e-09,9.39596486e-18,1.50000000e-09,-9.41337360e-18,1.50000000e-09,-1.16926769e-20,1.50000000e-09,2.82958341e-19,1.50000000e-09,1.62695997e-21,1.50000000e-09,1.44793406e-09,1.50000000e-09,3.89532432e-01,1.50000000e-09,5.33943494e-02,1.50000000e-09,1.61115339e-01,1.50000000e-09,1.61115339e-01,1.50000000e-09,6.90639185e+08,1.50000000e-09,9.27484589e+07,1.50000000e-09,1.47613757e+07,1.50000000e-09,3.03004860e+01,2.00,.150u,ihp-sg13g2
2.00000000e-09,6.06941584e-08,2.00000000e-09,2.00156702e-09,2.00000000e-09,4.90403952e-16,2.00000000e-09,9.52138304e-18,2.00000000e-09,-9.51893667e-18,2.00000000e-09,-1.50772940e-20,2.00000000e-09,3.75126713e-19,2.00000000e-09,1.78375164e-21,2.00000000e-09,1.85649978e-09,2.00000000e-09,3.89394416e-01,2.00000000e-09,6.24879333e-02,2.00000000e-09,1.70214091e-01,2.00000000e-09,1.70214091e-01,2.00000000e-09,5.38648058e+08,2.00000000e-09,1.23763600e+08,2.00000000e-09,1.96975887e+07,2.00000000e-09,3.03233206e+01,2.00,.150u,ihp-sg13g2
2.50000000e-09,7.58652892e-08,2.50000000e-09,2.50050535e-09,2.50000000e-09,4.89145777e-16,2.50000000e-09,9.62304931e-18,2.50000000e-09,-9.59021091e-18,2.50000000e-09,-1.84258409e-20,2.50000000e-09,4.67782911e-19,2.50000000e-09,1.92519466e-21,2.50000000e-09,2.26568900e-09,2.50000000e-09,3.89284967e-01,2.50000000e-09,6.96051329e-02,2.50000000e-09,1.77336493e-01,2.50000000e-09,1.77336493e-01,2.50000000e-09,4.41366842e+08,2.50000000e-09,1.55097504e+08,2.50000000e-09,2.46845345e+07,2.50000000e-09,3.03399828e+01,2.00,.150u,ihp-sg13g2
3.00000000e-09,9.10604539e-08,3.00000000e-09,3.00007758e-09,3.00000000e-09,4.88135128e-16,3.00000000e-09,9.71198037e-18,3.00000000e-09,-9.64204747e-18,3.00000000e-09,-2.17336956e-20,3.00000000e-09,5.60404531e-19,3.00000000e-09,2.05425685e-21,3.00000000e-09,2.67367737e-09,3.00000000e-09,3.89194557e-01,3.00000000e-09,7.54295301e-02,3.00000000e-09,1.83166097e-01,3.00000000e-09,1.83166097e-01,3.00000000e-09,3.74016705e+08,3.00000000e-09,1.86547635e+08,3.00000000e-09,2.96899783e+07,3.00000000e-09,3.03526997e+01,2.00,.150u,ihp-sg13g2
3.50000000e-09,1.06265749e-07,3.50000000e-09,3.49987586e-09,3.50000000e-09,4.87295026e-16,3.50000000e-09,9.79346290e-18,3.50000000e-09,-9.68180683e-18,3.50000000e-09,-2.50075365e-20,3.50000000e-09,6.52922514e-19,3.50000000e-09,2.17344142e-21,3.50000000e-09,3.08050909e-09,3.50000000e-09,3.89117535e-01,3.50000000e-09,8.03562315e-02,3.50000000e-09,1.88098005e-01,3.50000000e-09,1.88098005e-01,3.50000000e-09,3.24621669e+08,3.50000000e-09,2.18072715e+08,3.50000000e-09,3.47073506e+07,3.50000000e-09,3.03627196e+01,2.00,.150u,ihp-sg13g2
4.00000000e-09,1.21476067e-07,4.00000000e-09,3.99976694e-09,4.00000000e-09,4.86579249e-16,4.00000000e-09,9.87025325e-18,4.00000000e-09,-9.71349471e-18,4.00000000e-09,-2.82528485e-20,4.00000000e-09,7.45316593e-19,4.00000000e-09,2.28454136e-21,4.00000000e-09,3.48634561e-09,4.00000000e-09,3.89050431e-01,4.00000000e-09,8.46243067e-02,4.00000000e-09,1.92371287e-01,4.00000000e-09,1.92371287e-01,4.00000000e-09,2.86833296e+08,4.00000000e-09,2.49653200e+08,4.00000000e-09,3.97335409e+07,4.00000000e-09,3.03707862e+01,2.00,.150u,ihp-sg13g2
4.50000000e-09,1.36689129e-07,4.50000000e-09,4.49970169e-09,4.50000000e-09,4.85958002e-16,4.50000000e-09,9.94392059e-18,4.50000000e-09,-9.73949038e-18,4.50000000e-09,-3.14738684e-20,4.50000000e-09,8.37580787e-19,4.50000000e-09,2.38887325e-21,4.50000000e-09,3.89134602e-09,4.50000000e-09,3.88990966e-01,4.50000000e-09,8.83888312e-02,4.50000000e-09,1.96141017e-01,4.50000000e-09,1.96141017e-01,4.50000000e-09,2.56980488e+08,4.50000000e-09,2.81277660e+08,4.50000000e-09,4.47667299e+07,4.50000000e-09,3.03773759e+01,2.00,.150u,ihp-sg13g2
5.00000000e-09,1.52778282e-07,5.00000000e-09,5.02839780e-09,5.00000000e-09,4.85381400e-16,5.00000000e-09,1.00194753e-17,5.00000000e-09,-9.76245118e-18,5.00000000e-09,-3.48570156e-20,5.00000000e-09,9.35005070e-19,5.00000000e-09,2.49313014e-21,5.00000000e-09,4.31886499e-09,5.00000000e-09,3.88934659e-01,5.00000000e-09,9.19391183e-02,5.00000000e-09,1.99696807e-01,5.00000000e-09,1.99696807e-01,5.00000000e-09,2.31542315e+08,5.00000000e-09,3.14759243e+08,5.00000000e-09,5.00954894e+07,5.00000000e-09,3.03830938e+01,2.00,.150u,ihp-sg13g2
5.50000000e-09,1.67810400e-07,5.50000000e-09,5.52234837e-09,5.50000000e-09,4.84902838e-16,5.50000000e-09,1.00885069e-17,5.50000000e-09,-9.78072468e-18,5.50000000e-09,-3.79994172e-20,5.50000000e-09,1.02589184e-18,5.50000000e-09,2.58528315e-21,5.50000000e-09,4.71768206e-09,5.50000000e-09,3.88887008e-01,5.50000000e-09,9.49332132e-02,5.50000000e-09,2.02696042e-01,5.50000000e-09,2.02696042e-01,5.50000000e-09,2.11968502e+08,5.50000000e-09,3.46070154e+08,5.50000000e-09,5.50787757e+07,5.50000000e-09,3.03875071e+01,2.00,.150u,ihp-sg13g2
