isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.17645313e-08,1.00000000e-09,9.99535280e-10,1.00000000e-09,1.04335568e-14,1.00000000e-09,4.06122291e-17,1.00000000e-09,8.79512957e-20,1.00000000e-09,-1.74871327e-18,1.00000000e-09,4.41197249e-17,1.00000000e-09,7.00646964e-20,1.00000000e-09,1.01298089e-10,1.00000000e-09,2.95623818e-01,1.00000000e-09,4.09168563e-02,1.00000000e-09,1.42951880e-01,1.00000000e-09,1.42951880e-01,1.00000000e-09,9.87185453e+09,1.00000000e-09,3.04445856e+06,1.00000000e-09,4.84540629e+05,1.00000000e-09,3.17792998e+01,2.00,2.000u,ihp-sg13g2
1.50000000e-09,4.78058773e-08,1.50000000e-09,1.50588977e-09,1.50000000e-09,1.03984283e-14,1.50000000e-09,5.74724198e-17,1.50000000e-09,5.36952118e-20,1.50000000e-09,-2.63458028e-18,1.50000000e-09,6.61800195e-17,1.50000000e-09,5.76867597e-20,1.50000000e-09,1.06545058e-10,1.50000000e-09,2.95678358e-01,1.50000000e-09,5.37274489e-02,1.50000000e-09,1.55820106e-01,1.50000000e-09,1.55820106e-01,1.50000000e-09,9.38570050e+09,1.50000000e-09,4.59741375e+06,1.50000000e-09,7.31701124e+05,1.50000000e-09,3.17459341e+01,2.00,2.000u,ihp-sg13g2
2.00000000e-09,6.34462925e-08,2.00000000e-09,2.00134820e-09,2.00000000e-09,1.03784814e-14,2.00000000e-09,7.38164968e-17,2.00000000e-09,3.48775435e-20,2.00000000e-09,-3.49445061e-18,2.00000000e-09,8.75294227e-17,2.00000000e-09,5.16213830e-20,2.00000000e-09,1.17038815e-10,2.00000000e-09,2.95716939e-01,2.00000000e-09,6.26184115e-02,2.00000000e-09,1.64767538e-01,2.00000000e-09,1.64767538e-01,2.00000000e-09,8.54417397e+09,2.00000000e-09,6.11325398e+06,2.00000000e-09,9.72954589e+05,2.00000000e-09,3.17017760e+01,2.00,2.000u,ihp-sg13g2
2.50000000e-09,7.91377183e-08,2.50000000e-09,2.50028777e-09,2.50000000e-09,1.03661216e-14,2.50000000e-09,9.01069075e-17,2.50000000e-09,2.23504837e-20,2.50000000e-09,-4.35480743e-18,2.50000000e-09,1.08780184e-16,2.50000000e-09,4.79538587e-20,2.50000000e-09,1.30019511e-10,2.50000000e-09,2.95747539e-01,2.50000000e-09,6.95758083e-02,2.50000000e-09,1.71781823e-01,2.50000000e-09,1.71781823e-01,2.50000000e-09,7.69115339e+09,2.50000000e-09,7.63426490e+06,2.50000000e-09,1.21503100e+06,2.50000000e-09,3.16514440e+01,2.00,2.000u,ihp-sg13g2
3.00000000e-09,9.47883137e-08,3.00000000e-09,2.99985839e-09,3.00000000e-09,1.03585703e-14,3.00000000e-09,1.06241137e-16,3.00000000e-09,1.32939477e-20,3.00000000e-09,-5.21115168e-18,3.00000000e-09,1.29803315e-16,3.00000000e-09,4.55256186e-20,3.00000000e-09,1.44483685e-10,3.00000000e-09,2.95772849e-01,3.00000000e-09,7.52696182e-02,3.00000000e-09,1.77532588e-01,3.00000000e-09,1.77532588e-01,3.00000000e-09,6.92119668e+09,3.00000000e-09,9.15071395e+06,3.00000000e-09,1.45638136e+06,3.00000000e-09,3.15975961e+01,2.00,2.000u,ihp-sg13g2
3.50000000e-09,1.10384492e-07,3.50000000e-09,3.49965321e-09,3.50000000e-09,1.03542768e-14,3.50000000e-09,1.22202110e-16,3.50000000e-09,6.35954475e-21,3.50000000e-09,-6.06299578e-18,3.50000000e-09,1.50580106e-16,3.50000000e-09,4.38158719e-20,3.50000000e-09,1.60015208e-10,3.50000000e-09,2.95794450e-01,3.50000000e-09,8.00865174e-02,3.50000000e-09,1.82406443e-01,3.50000000e-09,1.82406443e-01,3.50000000e-09,6.24940601e+09,3.50000000e-09,1.06607631e+07,3.50000000e-09,1.69671315e+06,3.50000000e-09,3.15415517e+01,2.00,2.000u,ihp-sg13g2
4.00000000e-09,1.25921825e-07,4.00000000e-09,3.99953998e-09,4.00000000e-09,1.03523140e-14,4.00000000e-09,1.37984152e-16,4.00000000e-09,8.29933356e-22,4.00000000e-09,-6.91023274e-18,4.00000000e-09,1.71105809e-16,4.00000000e-09,4.25604003e-20,4.00000000e-09,1.76406858e-10,4.00000000e-09,2.95813308e-01,4.00000000e-09,8.42603126e-02,4.00000000e-09,1.86637167e-01,4.00000000e-09,1.86637167e-01,4.00000000e-09,5.66871384e+09,4.00000000e-09,1.21636404e+07,4.00000000e-09,1.93590350e+06,4.00000000e-09,3.14840771e+01,2.00,2.000u,ihp-sg13g2
4.50000000e-09,1.41398795e-07,4.50000000e-09,4.49947005e-09,4.50000000e-09,1.03520862e-14,4.50000000e-09,1.53585716e-16,4.50000000e-09,-3.71431752e-21,4.50000000e-09,-7.75285630e-18,4.50000000e-09,1.91380445e-16,4.50000000e-09,4.16108577e-20,4.50000000e-09,1.93541979e-10,4.50000000e-09,2.95830057e-01,4.50000000e-09,8.79425835e-02,4.50000000e-09,1.90376324e-01,4.50000000e-09,1.90376324e-01,4.50000000e-09,5.16683774e+09,4.50000000e-09,1.36589662e+07,4.50000000e-09,2.17389199e+06,4.50000000e-09,3.14256554e+01,2.00,2.000u,ihp-sg13g2
5.00000000e-09,1.56814943e-07,5.00000000e-09,4.99942280e-09,5.00000000e-09,1.03531887e-14,5.00000000e-09,1.69007038e-16,5.00000000e-09,-7.53637715e-21,5.00000000e-09,-8.59088623e-18,5.00000000e-09,2.11405946e-16,5.00000000e-09,4.08774222e-20,5.00000000e-09,2.11347975e-10,5.00000000e-09,2.95845132e-01,5.00000000e-09,9.12370452e-02,5.00000000e-09,1.93727620e-01,5.00000000e-09,1.93727620e-01,5.00000000e-09,4.73153339e+09,5.00000000e-09,1.51465358e+07,5.00000000e-09,2.41064604e+06,5.00000000e-09,3.13666096e+01,2.00,2.000u,ihp-sg13g2
5.50000000e-09,1.72170265e-07,5.50000000e-09,5.49938846e-09,5.50000000e-09,1.03553349e-14,5.50000000e-09,1.84249284e-16,5.50000000e-09,-1.08106088e-20,5.50000000e-09,-9.42434886e-18,5.50000000e-09,2.31185158e-16,5.50000000e-09,4.03024514e-20,5.50000000e-09,2.29775714e-10,5.50000000e-09,2.95858846e-01,5.50000000e-09,9.42177428e-02,5.50000000e-09,1.96765093e-01,5.50000000e-09,1.96765093e-01,5.50000000e-09,4.35207004e+09,5.50000000e-09,1.66262382e+07,5.50000000e-09,2.64614799e+06,5.50000000e-09,3.13071655e+01,2.00,2.000u,ihp-sg13g2
