isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.88609541e-08,1.00000000e-09,9.99908987e-10,1.00000000e-09,2.46744147e-14,1.00000000e-09,2.85164554e-16,1.00000000e-09,1.03519094e-19,1.00000000e-09,-1.37331367e-17,1.00000000e-09,3.41003731e-16,1.00000000e-09,3.98406710e-22,1.00000000e-09,1.49444405e-11,1.00000000e-09,3.64704247e-01,1.00000000e-09,1.86647011e-01,1.00000000e-09,2.70766882e-01,1.00000000e-09,2.70766882e-01,1.00000000e-09,6.69145156e+10,1.00000000e-09,1.57494938e+06,1.00000000e-09,2.50660979e+05,1.00000000e-09,3.88644912e+01,2.00,5.000u,ihp-sg13g2
1.50000000e-09,5.81577692e-08,1.50000000e-09,1.50595661e-09,1.50000000e-09,2.47046118e-14,1.50000000e-09,4.13995686e-16,1.50000000e-09,9.41032557e-20,1.50000000e-09,-2.05052011e-17,1.50000000e-09,5.03755670e-16,1.50000000e-09,4.37760589e-22,1.50000000e-09,2.34020656e-11,1.50000000e-09,3.64759082e-01,1.50000000e-09,1.97056842e-01,1.50000000e-09,2.81330772e-01,1.50000000e-09,2.81330772e-01,1.50000000e-09,4.27312707e+10,1.50000000e-09,2.35412601e+06,1.50000000e-09,3.74670791e+05,1.50000000e-09,3.86184893e+01,2.00,5.000u,ihp-sg13g2
2.00000000e-09,7.68119995e-08,2.00000000e-09,2.00159475e-09,2.00000000e-09,2.47536433e-14,2.00000000e-09,5.35390435e-16,2.00000000e-09,8.80910804e-20,2.00000000e-09,-2.70222291e-17,2.00000000e-09,6.56821452e-16,2.00000000e-09,4.71138261e-22,2.00000000e-09,3.26082196e-11,2.00000000e-09,3.64797628e-01,2.00000000e-09,2.04292969e-01,2.00000000e-09,2.88717157e-01,2.00000000e-09,2.88717157e-01,2.00000000e-09,3.06671143e+10,2.00000000e-09,3.10305835e+06,2.00000000e-09,4.93867075e+05,2.00000000e-09,3.83754002e+01,2.00,5.000u,ihp-sg13g2
2.50000000e-09,9.53533680e-08,2.50000000e-09,2.50059034e-09,2.50000000e-09,2.48118519e-14,2.50000000e-09,6.53030097e-16,2.50000000e-09,8.36493819e-20,2.50000000e-09,-3.34688831e-17,2.50000000e-09,8.04914962e-16,2.50000000e-09,5.01473868e-22,2.50000000e-09,4.27571326e-11,2.50000000e-09,3.64828087e-01,2.50000000e-09,2.09957720e-01,2.50000000e-09,2.94532473e-01,2.50000000e-09,2.94532473e-01,2.50000000e-09,2.33879107e+10,2.50000000e-09,3.84305727e+06,2.50000000e-09,6.11641562e+05,2.50000000e-09,3.81323427e+01,2.00,5.000u,ihp-sg13g2
3.00000000e-09,1.13683997e-07,3.00000000e-09,3.00019367e-09,3.00000000e-09,2.48744854e-14,3.00000000e-09,7.66445891e-16,3.00000000e-09,8.01671954e-20,3.00000000e-09,-3.98100269e-17,3.00000000e-09,9.47485951e-16,3.00000000e-09,5.29606268e-22,3.00000000e-09,5.37534296e-11,3.00000000e-09,3.64853243e-01,3.00000000e-09,2.14596918e-01,3.00000000e-09,2.99321670e-01,3.00000000e-09,2.99321670e-01,3.00000000e-09,1.86034641e+10,3.00000000e-09,4.57030547e+06,3.00000000e-09,7.27386707e+05,3.00000000e-09,3.78922194e+01,2.00,5.000u,ihp-sg13g2
3.50000000e-09,1.31796115e-07,3.50000000e-09,3.50000895e-09,3.50000000e-09,2.49391720e-14,3.50000000e-09,8.75772970e-16,3.50000000e-09,7.73190762e-20,3.50000000e-09,-4.60423409e-17,3.50000000e-09,1.08473549e-15,3.50000000e-09,5.56141908e-22,3.50000000e-09,6.55399028e-11,3.50000000e-09,3.64874707e-01,3.50000000e-09,2.18524530e-01,3.50000000e-09,3.03398578e-01,3.50000000e-09,3.03398578e-01,3.50000000e-09,1.52578804e+10,3.50000000e-09,5.28470291e+06,3.50000000e-09,8.41086591e+05,3.50000000e-09,3.76559365e+01,2.00,5.000u,ihp-sg13g2
4.00000000e-09,1.49692163e-07,4.00000000e-09,3.99990971e-09,4.00000000e-09,2.50045826e-14,4.00000000e-09,9.81207516e-16,4.00000000e-09,7.49181138e-20,4.00000000e-09,-5.21663134e-17,4.00000000e-09,1.21693477e-15,4.00000000e-09,5.81488123e-22,4.00000000e-09,7.80656925e-11,4.00000000e-09,3.64893455e-01,4.00000000e-09,2.21930307e-01,4.00000000e-09,3.06952903e-01,4.00000000e-09,3.06952903e-01,4.00000000e-09,1.28097243e+10,4.00000000e-09,5.98658917e+06,4.00000000e-09,9.52795259e+05,4.00000000e-09,3.74238855e+01,2.00,5.000u,ihp-sg13g2
4.50000000e-09,1.67377429e-07,4.50000000e-09,4.49984998e-09,4.50000000e-09,2.50699252e-14,4.50000000e-09,1.08295405e-15,4.50000000e-09,7.28480424e-20,4.50000000e-09,-5.81836361e-17,4.50000000e-09,1.34436086e-15,4.50000000e-09,6.05929861e-22,4.50000000e-09,9.12841416e-11,4.50000000e-09,3.64910123e-01,4.50000000e-09,2.24937230e-01,4.50000000e-09,3.10107612e-01,4.50000000e-09,3.10107612e-01,4.50000000e-09,1.09548053e+10,4.50000000e-09,6.67642314e+06,4.50000000e-09,1.06258574e+06,4.50000000e-09,3.71962242e+01,2.00,5.000u,ihp-sg13g2
5.00000000e-09,1.85796984e-07,5.00000000e-09,5.02683159e-09,5.00000000e-09,2.51380984e-14,5.00000000e-09,1.18642446e-15,5.00000000e-09,7.09396973e-20,5.00000000e-09,-6.44119902e-17,5.00000000e-09,1.47379748e-15,5.00000000e-09,6.30908718e-22,5.00000000e-09,1.05919286e-10,5.00000000e-09,3.64925917e-01,5.00000000e-09,2.27767229e-01,5.00000000e-09,3.13092558e-01,5.00000000e-09,3.13092558e-01,5.00000000e-09,9.44115128e+09,5.00000000e-09,7.39105168e+06,5.00000000e-09,1.17632241e+06,5.00000000e-09,3.69610521e+01,2.00,5.000u,ihp-sg13g2
5.50000000e-09,2.02875673e-07,5.50000000e-09,5.52119515e-09,5.50000000e-09,2.52012721e-14,5.50000000e-09,1.28015983e-15,5.50000000e-09,6.93512210e-20,5.50000000e-09,-7.01527674e-17,5.50000000e-09,1.59092921e-15,5.50000000e-09,6.53833964e-22,5.50000000e-09,1.20262542e-10,5.50000000e-09,3.64939394e-01,5.50000000e-09,2.30166416e-01,5.50000000e-09,3.15636331e-01,5.50000000e-09,3.15636331e-01,5.50000000e-09,8.31514104e+09,5.50000000e-09,8.05021558e+06,5.50000000e-09,1.28123160e+06,5.50000000e-09,3.67448836e+01,2.00,5.000u,ihp-sg13g2
