isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.71004538e-08,1.00000000e-09,9.98954255e-10,1.00000000e-09,2.65118408e-14,1.00000000e-09,1.95954245e-16,1.00000000e-09,4.64205566e-19,1.00000000e-09,-9.84432616e-18,1.00000000e-09,2.37934628e-16,1.00000000e-09,2.96371348e-19,1.00000000e-09,6.88971586e-11,1.00000000e-09,3.13641640e-01,1.00000000e-09,4.61206382e-02,1.00000000e-09,1.63935290e-01,1.00000000e-09,1.63935290e-01,1.00000000e-09,1.45143867e+10,1.00000000e-09,1.02220189e+06,1.00000000e-09,1.62688484e+05,1.00000000e-09,2.71288236e+01,2.00,5.000u,ihp-sg13g2
1.50000000e-09,4.06865673e-08,1.50000000e-09,1.50512668e-09,1.50000000e-09,2.64338760e-14,1.50000000e-09,2.83624877e-16,1.50000000e-09,3.66701001e-19,1.50000000e-09,-1.47933263e-17,1.50000000e-09,3.54211924e-16,1.50000000e-09,2.22225265e-19,1.50000000e-09,6.83514325e-11,1.50000000e-09,3.13709107e-01,1.50000000e-09,6.10790275e-02,1.50000000e-09,1.79040776e-01,1.50000000e-09,1.79040776e-01,1.50000000e-09,1.46302713e+10,1.50000000e-09,1.53918280e+06,1.50000000e-09,2.44968551e+05,1.50000000e-09,2.70319887e+01,2.00,5.000u,ihp-sg13g2
2.00000000e-09,5.38696630e-08,2.00000000e-09,2.00062892e-09,2.00000000e-09,2.64009604e-14,2.00000000e-09,3.67386902e-16,2.00000000e-09,3.16734414e-19,2.00000000e-09,-1.95610295e-17,2.00000000e-09,4.65053424e-16,2.00000000e-09,1.87372430e-19,2.00000000e-09,7.33105323e-11,2.00000000e-09,3.13756946e-01,2.00000000e-09,7.14672257e-02,2.00000000e-09,1.89572927e-01,2.00000000e-09,1.89572927e-01,2.00000000e-09,1.36406048e+10,2.00000000e-09,2.04044331e+06,2.00000000e-09,3.24746639e+05,2.00000000e-09,2.69263643e+01,2.00,5.000u,ihp-sg13g2
2.50000000e-09,6.70265204e-08,2.50000000e-09,2.49956036e-09,2.50000000e-09,2.63903839e-14,2.50000000e-09,4.49651062e-16,2.50000000e-09,2.84959775e-19,2.50000000e-09,-2.42951864e-17,2.50000000e-09,5.73712304e-16,2.50000000e-09,1.66684144e-19,2.50000000e-09,8.06471880e-11,2.50000000e-09,3.13794961e-01,2.50000000e-09,7.95977798e-02,2.50000000e-09,1.97848240e-01,2.50000000e-09,1.97848240e-01,2.50000000e-09,1.23996884e+10,2.50000000e-09,2.53980847e+06,2.50000000e-09,4.04223072e+05,2.50000000e-09,2.68153238e+01,2.00,5.000u,ihp-sg13g2
3.00000000e-09,8.00826718e-08,3.00000000e-09,2.99911744e-09,3.00000000e-09,2.63933975e-14,3.00000000e-09,5.29959700e-16,3.00000000e-09,2.62753208e-19,3.00000000e-09,-2.89723003e-17,3.00000000e-09,6.79619335e-16,3.00000000e-09,1.53060324e-19,3.00000000e-09,8.93554645e-11,3.00000000e-09,3.13826469e-01,3.00000000e-09,8.62542451e-02,3.00000000e-09,2.04649375e-01,3.00000000e-09,2.04649375e-01,3.00000000e-09,1.11912574e+10,3.00000000e-09,3.03419337e+06,3.00000000e-09,4.82906874e+05,3.00000000e-09,2.67020793e+01,2.00,5.000u,ihp-sg13g2
3.50000000e-09,9.30289622e-08,3.50000000e-09,3.49889673e-09,3.50000000e-09,2.64052291e-14,3.50000000e-09,6.08293037e-16,3.50000000e-09,2.46203056e-19,3.50000000e-09,-3.35905964e-17,3.50000000e-09,7.82774865e-16,3.50000000e-09,1.43436162e-19,3.50000000e-09,9.90114464e-11,3.50000000e-09,3.13853417e-01,3.50000000e-09,9.18880033e-02,3.50000000e-09,2.10427547e-01,3.50000000e-09,2.10427547e-01,3.50000000e-09,1.00998424e+10,3.50000000e-09,3.52312650e+06,3.50000000e-09,5.60722997e+05,3.50000000e-09,2.65880846e+01,2.00,5.000u,ihp-sg13g2
4.00000000e-09,1.05863973e-07,4.00000000e-09,3.99876771e-09,4.00000000e-09,2.64230600e-14,4.00000000e-09,6.84688274e-16,4.00000000e-09,2.33302340e-19,4.00000000e-09,-3.81503510e-17,4.00000000e-09,8.83248048e-16,4.00000000e-09,1.36299272e-19,4.00000000e-09,1.09400409e-10,4.00000000e-09,3.13876994e-01,4.00000000e-09,9.67718680e-02,4.00000000e-09,2.15455496e-01,4.00000000e-09,2.15455496e-01,4.00000000e-09,9.14073366e+09,4.00000000e-09,4.00649938e+06,4.00000000e-09,6.37654180e+05,4.00000000e-09,2.64741493e+01,2.00,5.000u,ihp-sg13g2
4.50000000e-09,1.18588685e-07,4.50000000e-09,4.49868237e-09,4.50000000e-09,2.64451025e-14,4.50000000e-09,7.59200742e-16,4.50000000e-09,2.22909914e-19,4.50000000e-09,-4.26523794e-17,4.50000000e-09,9.81127672e-16,4.50000000e-09,1.30817910e-19,4.50000000e-09,1.20397884e-10,4.50000000e-09,3.13897980e-01,4.50000000e-09,1.01082649e-01,4.50000000e-09,2.19909997e-01,4.50000000e-09,2.19909997e-01,4.50000000e-09,8.30579381e+09,4.50000000e-09,4.48433447e+06,4.50000000e-09,7.13703998e+05,4.50000000e-09,2.63607597e+01,2.00,5.000u,ihp-sg13g2
5.00000000e-09,1.31204895e-07,5.00000000e-09,4.99862026e-09,5.00000000e-09,2.64701604e-14,5.00000000e-09,8.31891611e-16,5.00000000e-09,2.14325619e-19,5.00000000e-09,-4.70976389e-17,5.00000000e-09,1.07650724e-15,5.00000000e-09,1.26496419e-19,5.00000000e-09,1.31923580e-10,5.00000000e-09,3.13916908e-01,5.00000000e-09,1.04941296e-01,5.00000000e-09,2.23911977e-01,5.00000000e-09,2.23911977e-01,5.00000000e-09,7.58014600e+09,5.00000000e-09,4.95670948e+06,5.00000000e-09,7.88884816e+05,5.00000000e-09,2.62482221e+01,2.00,5.000u,ihp-sg13g2
5.50000000e-09,1.43714711e-07,5.50000000e-09,5.49857168e-09,5.50000000e-09,2.64974002e-14,5.50000000e-09,9.02823446e-16,5.50000000e-09,2.07094034e-19,5.50000000e-09,-5.14871247e-17,5.50000000e-09,1.16947995e-15,5.50000000e-09,1.23020661e-19,5.50000000e-09,1.43921092e-10,5.50000000e-09,3.13934164e-01,5.50000000e-09,1.08434143e-01,5.50000000e-09,2.27547756e-01,5.50000000e-09,2.27547756e-01,5.50000000e-09,6.94825189e+09,5.50000000e-09,5.42372875e+06,5.50000000e-09,8.63213241e+05,5.50000000e-09,2.61367351e+01,2.00,5.000u,ihp-sg13g2
