isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.08644480e-08,1.00000000e-09,9.99885351e-10,1.00000000e-09,3.38202403e-16,1.00000000e-09,1.00914419e-17,1.00000000e-09,-1.06898567e-17,1.00000000e-09,-3.79552359e-21,1.00000000e-09,1.16419690e-19,1.00000000e-09,1.86680396e-22,1.00000000e-09,1.20884566e-09,1.00000000e-09,4.57185939e-01,1.00000000e-09,1.08262086e-01,1.00000000e-09,2.15096482e-01,1.00000000e-09,2.15096482e-01,1.00000000e-09,8.27235463e+08,1.00000000e-09,9.12602861e+07,1.00000000e-09,1.45245256e+07,1.00000000e-09,3.08679870e+01,2.00,.130u,ihp-sg13g2
1.50000000e-09,4.65484899e-08,1.50000000e-09,1.50642852e-09,1.50000000e-09,3.36635328e-16,1.50000000e-09,1.01107785e-17,1.50000000e-09,-1.07401874e-17,1.50000000e-09,-5.54575813e-21,1.50000000e-09,1.75107321e-19,1.50000000e-09,2.11538745e-22,1.50000000e-09,1.80703050e-09,1.50000000e-09,4.56832020e-01,1.50000000e-09,1.21030422e-01,1.50000000e-09,2.27869314e-01,1.50000000e-09,2.27869314e-01,1.50000000e-09,5.53394091e+08,1.50000000e-09,1.38275713e+08,1.50000000e-09,2.20072632e+07,1.50000000e-09,3.08998996e+01,2.00,.130u,ihp-sg13g2
2.00000000e-09,6.18975139e-08,2.00000000e-09,2.00180966e-09,2.00000000e-09,3.35574053e-16,2.00000000e-09,1.01281478e-17,2.00000000e-09,-1.07670187e-17,2.00000000e-09,-7.22509060e-21,2.00000000e-09,2.32408799e-19,2.00000000e-09,2.28773310e-22,2.00000000e-09,2.39120365e-09,2.00000000e-09,4.56584773e-01,2.00000000e-09,1.29880998e-01,2.00000000e-09,2.36724287e-01,2.00000000e-09,2.36724287e-01,2.00000000e-09,4.18199428e+08,2.00000000e-09,1.84452622e+08,2.00000000e-09,2.93565465e+07,2.00000000e-09,3.09207788e+01,2.00,.130u,ihp-sg13g2
2.50000000e-09,7.73638223e-08,2.50000000e-09,2.50074898e-09,2.50000000e-09,3.34760052e-16,2.50000000e-09,1.01471352e-17,2.50000000e-09,-1.07841279e-17,2.50000000e-09,-8.89391740e-21,2.50000000e-09,2.90036806e-19,2.50000000e-09,2.41547605e-22,2.50000000e-09,2.97909568e-09,2.50000000e-09,4.56390368e-01,2.50000000e-09,1.36804613e-01,2.50000000e-09,2.43652328e-01,2.50000000e-09,2.43652328e-01,2.50000000e-09,3.35672333e+08,2.50000000e-09,2.31102313e+08,2.50000000e-09,3.67810754e+07,2.50000000e-09,3.09362607e+01,2.00,.130u,ihp-sg13g2
3.00000000e-09,9.28549522e-08,3.00000000e-09,3.00032700e-09,3.00000000e-09,3.34106044e-16,3.00000000e-09,1.01680570e-17,3.00000000e-09,-1.07959114e-17,3.00000000e-09,-1.05476578e-20,3.00000000e-09,3.47657253e-19,3.00000000e-09,2.50974725e-22,3.00000000e-09,3.56744254e-09,3.00000000e-09,4.56230737e-01,3.00000000e-09,1.42468316e-01,3.00000000e-09,2.49320462e-01,3.00000000e-09,2.49320462e-01,3.00000000e-09,2.80312854e+08,3.00000000e-09,2.77920600e+08,3.00000000e-09,4.42324373e+07,3.00000000e-09,3.09482774e+01,2.00,.130u,ihp-sg13g2
3.50000000e-09,1.08356802e-07,3.50000000e-09,3.50013191e-09,3.50000000e-09,3.33562233e-16,3.50000000e-09,1.01907845e-17,3.50000000e-09,-1.08044946e-17,3.50000000e-09,-1.21883698e-20,3.50000000e-09,4.05224953e-19,3.50000000e-09,2.57805731e-22,3.50000000e-09,4.15586688e-09,3.50000000e-09,4.56095350e-01,3.50000000e-09,1.47257696e-01,3.50000000e-09,2.54114274e-01,3.50000000e-09,2.54114274e-01,3.50000000e-09,2.40623684e+08,3.50000000e-09,3.24847333e+08,3.50000000e-09,5.17010587e+07,3.50000000e-09,3.09579194e+01,2.00,.130u,ihp-sg13g2
4.00000000e-09,1.23864264e-07,4.00000000e-09,4.00002938e-09,4.00000000e-09,3.33098736e-16,4.00000000e-09,1.02150955e-17,4.00000000e-09,-1.08110094e-17,4.00000000e-09,-1.38179785e-20,4.00000000e-09,4.62726034e-19,4.00000000e-09,2.62545692e-22,4.00000000e-09,4.74428064e-09,4.00000000e-09,4.55977804e-01,4.00000000e-09,1.51405888e-01,4.00000000e-09,2.58266897e-01,4.00000000e-09,2.58266897e-01,4.00000000e-09,2.10780111e+08,4.00000000e-09,3.71854499e+08,4.00000000e-09,5.91824816e+07,4.00000000e-09,3.09658384e+01,2.00,.130u,ihp-sg13g2
4.50000000e-09,1.40383655e-07,4.50000000e-09,4.53247536e-09,4.50000000e-09,3.32671851e-16,4.50000000e-09,1.02424838e-17,4.50000000e-09,-1.08164059e-17,4.50000000e-09,-1.55428828e-20,4.50000000e-09,5.23887037e-19,4.50000000e-09,2.65891448e-22,4.50000000e-09,5.37092879e-09,4.50000000e-09,4.55867581e-01,4.50000000e-09,1.55287562e-01,4.50000000e-09,2.62153290e-01,4.50000000e-09,2.62153290e-01,4.50000000e-09,1.86187536e+08,4.50000000e-09,4.21988379e+08,4.50000000e-09,6.71615364e+07,4.50000000e-09,3.09728447e+01,2.00,.130u,ihp-sg13g2
5.00000000e-09,1.55660860e-07,5.00000000e-09,5.02483525e-09,5.00000000e-09,3.32325175e-16,5.00000000e-09,1.02689933e-17,5.00000000e-09,-1.08203992e-17,5.00000000e-09,-1.71297374e-20,5.00000000e-09,5.80367903e-19,5.00000000e-09,2.67281773e-22,5.00000000e-09,5.95036305e-09,5.00000000e-09,4.55776487e-01,5.00000000e-09,1.58489787e-01,5.00000000e-09,2.65359877e-01,5.00000000e-09,2.65359877e-01,5.00000000e-09,1.68056972e+08,5.00000000e-09,4.68399242e+08,5.00000000e-09,7.45480548e+07,5.00000000e-09,3.09783012e+01,2.00,.130u,ihp-sg13g2
5.50000000e-09,1.71121026e-07,5.50000000e-09,5.52305789e-09,5.50000000e-09,3.32012078e-16,5.50000000e-09,1.02968158e-17,5.50000000e-09,-1.08237266e-17,5.50000000e-09,-1.87282390e-20,5.50000000e-09,6.37447704e-19,5.50000000e-09,2.67482173e-22,5.50000000e-09,6.53668778e-09,5.50000000e-09,4.55692875e-01,5.50000000e-09,1.61424605e-01,5.50000000e-09,2.68299108e-01,5.50000000e-09,2.68299108e-01,5.50000000e-09,1.52982678e+08,5.50000000e-09,5.15406026e+08,5.50000000e-09,8.20294167e+07,5.50000000e-09,3.09830223e+01,2.00,.130u,ihp-sg13g2
