isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.88490946e-08,1.00000000e-09,9.99570661e-10,1.00000000e-09,1.00366933e-14,1.00000000e-09,4.96371884e-17,1.00000000e-09,-2.95746907e-20,1.00000000e-09,-2.12958955e-18,1.00000000e-09,5.47247449e-17,1.00000000e-09,1.86254153e-21,1.00000000e-09,3.11910724e-11,1.00000000e-09,3.19763884e-01,1.00000000e-09,1.16224133e-01,1.00000000e-09,2.00734157e-01,1.00000000e-09,2.00734157e-01,1.00000000e-09,3.20604559e+10,1.00000000e-09,3.87070656e+06,1.00000000e-09,6.16042082e+05,1.00000000e-09,3.88657812e+01,2.00,2.000u,ihp-sg13g2
1.50000000e-09,5.81725581e-08,1.50000000e-09,1.49955666e-09,1.50000000e-09,1.00201799e-14,1.50000000e-09,7.07495378e-17,1.50000000e-09,-3.85210366e-20,1.50000000e-09,-3.18441364e-18,1.50000000e-09,8.16087029e-17,1.50000000e-09,1.92780243e-21,1.50000000e-09,4.48356786e-11,1.50000000e-09,3.19812850e-01,1.50000000e-09,1.26601437e-01,1.50000000e-09,2.11170636e-01,1.50000000e-09,2.11170636e-01,1.50000000e-09,2.23036660e+10,1.50000000e-09,5.80554029e+06,1.50000000e-09,9.23980434e+05,1.50000000e-09,3.87931711e+01,2.00,2.000u,ihp-sg13g2
2.00000000e-09,7.74819836e-08,2.00000000e-09,2.00152500e-09,2.00000000e-09,1.00137293e-14,2.00000000e-09,9.16597729e-17,2.00000000e-09,-4.41891274e-20,2.00000000e-09,-4.23659479e-18,2.00000000e-09,1.08193675e-16,2.00000000e-09,1.99683651e-21,2.00000000e-09,5.92213883e-11,2.00000000e-09,3.19848096e-01,2.00000000e-09,1.33986745e-01,2.00000000e-09,2.18615341e-01,2.00000000e-09,2.18615341e-01,2.00000000e-09,1.68857912e+10,2.00000000e-09,7.73757523e+06,2.00000000e-09,1.23147335e+06,2.00000000e-09,3.87114743e+01,2.00,2.000u,ihp-sg13g2
2.50000000e-09,9.65788298e-08,2.50000000e-09,2.50035461e-09,2.50000000e-09,1.00126595e-14,2.50000000e-09,1.12142847e-16,2.50000000e-09,-4.82273905e-20,2.50000000e-09,-5.27544162e-18,2.50000000e-09,1.34204121e-16,2.50000000e-09,2.06339306e-21,2.50000000e-09,7.42625775e-11,2.50000000e-09,3.19875490e-01,2.50000000e-09,1.39677671e-01,2.50000000e-09,2.24365243e-01,2.50000000e-09,2.24365243e-01,2.50000000e-09,1.34657325e+10,2.50000000e-09,9.64567203e+06,2.50000000e-09,1.53515638e+06,2.50000000e-09,3.86260530e+01,2.00,2.000u,ihp-sg13g2
3.00000000e-09,1.15612183e-07,3.00000000e-09,2.99993572e-09,3.00000000e-09,1.00148421e-14,3.00000000e-09,1.32356993e-16,3.00000000e-09,-5.13496853e-20,3.00000000e-09,-6.30911081e-18,3.00000000e-09,1.59847136e-16,3.00000000e-09,2.12702701e-21,3.00000000e-09,9.00925581e-11,3.00000000e-09,3.19898073e-01,3.00000000e-09,1.44336148e-01,3.00000000e-09,2.29082710e-01,3.00000000e-09,2.29082710e-01,3.00000000e-09,1.10996959e+10,3.00000000e-09,1.15440844e+07,3.00000000e-09,1.83729809e+06,3.00000000e-09,3.85382200e+01,2.00,2.000u,ihp-sg13g2
3.50000000e-09,1.34561712e-07,3.50000000e-09,3.49973834e-09,3.50000000e-09,1.00191845e-14,3.50000000e-09,1.52280448e-16,3.50000000e-09,-5.38783232e-20,3.50000000e-09,-7.33649978e-18,3.50000000e-09,1.85098938e-16,3.50000000e-09,2.18768907e-21,3.50000000e-09,1.06699652e-10,3.50000000e-09,3.19917294e-01,3.50000000e-09,1.48277125e-01,3.50000000e-09,2.33082616e-01,3.50000000e-09,2.33082616e-01,3.50000000e-09,9.37210180e+09,3.50000000e-09,1.34304056e+07,3.50000000e-09,2.13751544e+06,3.50000000e-09,3.84490779e+01,2.00,2.000u,ihp-sg13g2
4.00000000e-09,1.53422846e-07,4.00000000e-09,3.99963171e-09,4.00000000e-09,1.00250350e-14,4.00000000e-09,1.71910492e-16,4.00000000e-09,-5.59954367e-20,4.00000000e-09,-8.35734958e-18,4.00000000e-09,2.09958867e-16,4.00000000e-09,2.24562974e-21,4.00000000e-09,1.24073923e-10,4.00000000e-09,3.19934039e-01,4.00000000e-09,1.51691951e-01,4.00000000e-09,2.36556282e-01,4.00000000e-09,2.36556282e-01,4.00000000e-09,8.05971134e+09,4.00000000e-09,1.53039711e+07,4.00000000e-09,2.43570265e+06,4.00000000e-09,3.83592433e+01,2.00,2.000u,ihp-sg13g2
4.50000000e-09,1.72194397e-07,4.50000000e-09,4.49956753e-09,4.50000000e-09,1.00319760e-14,4.50000000e-09,1.91249141e-16,4.50000000e-09,-5.78124576e-20,4.50000000e-09,-9.37157814e-18,4.50000000e-09,2.34431626e-16,4.50000000e-09,2.30114947e-21,4.50000000e-09,1.42202766e-10,4.50000000e-09,3.19948885e-01,4.50000000e-09,1.54704652e-01,4.50000000e-09,2.39627724e-01,4.50000000e-09,2.39627724e-01,4.50000000e-09,7.03221201e+09,4.50000000e-09,1.71645543e+07,4.50000000e-09,2.73182367e+06,4.50000000e-09,3.82690995e+01,2.00,2.000u,ihp-sg13g2
5.00000000e-09,1.90876377e-07,5.00000000e-09,4.99952540e-09,5.00000000e-09,1.00397250e-14,5.00000000e-09,2.10300328e-16,5.00000000e-09,-5.94019916e-20,5.00000000e-09,-1.03791651e-17,5.00000000e-09,2.58523916e-16,5.00000000e-09,2.35453250e-21,5.00000000e-09,1.61071646e-10,5.00000000e-09,3.19962229e-01,5.00000000e-09,1.57400083e-01,5.00000000e-09,2.42381787e-01,5.00000000e-09,2.42381787e-01,5.00000000e-09,6.20841734e+09,5.00000000e-09,1.90121120e+07,5.00000000e-09,3.02587161e+06,5.00000000e-09,3.81788994e+01,2.00,2.000u,ihp-sg13g2
5.50000000e-09,2.10401241e-07,5.50000000e-09,5.52461936e-09,5.50000000e-09,1.00485006e-14,5.50000000e-09,2.30004562e-16,5.50000000e-09,-6.08805559e-20,5.50000000e-09,-1.14301546e-17,5.50000000e-09,2.83425322e-16,5.50000000e-09,2.40858341e-21,5.50000000e-09,1.81668219e-10,5.50000000e-09,3.19974934e-01,5.50000000e-09,1.59955455e-01,5.50000000e-09,2.44998616e-01,5.50000000e-09,2.44998616e-01,5.50000000e-09,5.50454011e+09,5.50000000e-09,2.09385708e+07,5.50000000e-09,3.33247704e+06,5.50000000e-09,3.80842963e+01,2.00,2.000u,ihp-sg13g2
