isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.70558702e-08,1.00000000e-09,9.98794518e-10,1.00000000e-09,2.72322183e-14,1.00000000e-09,1.94043331e-16,1.00000000e-09,3.29774596e-18,1.00000000e-09,-8.46537213e-18,1.00000000e-09,2.36902654e-16,1.00000000e-09,3.84611662e-18,1.00000000e-09,5.77698355e-10,1.00000000e-09,2.64840561e-01,1.00000000e-09,-3.94709093e-03,1.00000000e-09,1.13899561e-01,1.00000000e-09,1.13899561e-01,1.00000000e-09,1.73100718e+09,1.00000000e-09,9.93524284e+05,1.00000000e-09,1.58124301e+05,1.00000000e-09,2.70885250e+01,2.00,5.000u,ihp-sg13g2
1.50000000e-09,4.06218398e-08,1.50000000e-09,1.50443479e-09,1.50000000e-09,2.71425440e-14,1.50000000e-09,2.80205311e-16,1.50000000e-09,2.36888453e-18,1.50000000e-09,-1.36464919e-17,1.50000000e-09,3.51122284e-16,1.50000000e-09,2.71715815e-18,1.50000000e-09,4.30812688e-10,1.50000000e-09,2.64898904e-01,1.50000000e-09,1.08298058e-02,1.50000000e-09,1.28815964e-01,1.50000000e-09,1.28815964e-01,1.50000000e-09,2.32119440e+09,1.50000000e-09,1.49661136e+06,1.50000000e-09,2.38193096e+05,1.50000000e-09,2.70013962e+01,2.00,5.000u,ihp-sg13g2
2.00000000e-09,5.38146238e-08,2.00000000e-09,2.00030287e-09,2.00000000e-09,2.71010043e-14,2.00000000e-09,3.62935601e-16,2.00000000e-09,1.86405242e-18,2.00000000e-09,-1.85419160e-17,2.00000000e-09,4.60682226e-16,2.00000000e-09,2.10301810e-18,2.00000000e-09,3.57227507e-10,2.00000000e-09,2.64940931e-01,2.00000000e-09,2.11736129e-02,2.00000000e-09,1.39297004e-01,2.00000000e-09,1.39297004e-01,2.00000000e-09,2.79933650e+09,2.00000000e-09,1.98570589e+06,2.00000000e-09,3.16034908e+05,2.00000000e-09,2.69032378e+01,2.00,5.000u,ihp-sg13g2
2.50000000e-09,6.69765655e-08,2.50000000e-09,2.49924231e-09,2.50000000e-09,2.70836586e-14,2.50000000e-09,4.44275969e-16,2.50000000e-09,1.55363379e-18,2.50000000e-09,-2.33237621e-17,2.50000000e-09,5.68289016e-16,2.50000000e-09,1.72853116e-18,2.50000000e-09,3.17846889e-10,2.50000000e-09,2.64974560e-01,2.50000000e-09,2.92824083e-02,2.50000000e-09,1.47543932e-01,2.50000000e-09,1.47543932e-01,2.50000000e-09,3.14616891e+09,2.50000000e-09,2.47295118e+06,2.50000000e-09,3.93582405e+05,2.50000000e-09,2.67987482e+01,2.00,5.000u,ihp-sg13g2
3.00000000e-09,8.00416474e-08,3.00000000e-09,2.99877981e-09,3.00000000e-09,2.70811536e-14,3.00000000e-09,5.23796592e-16,3.00000000e-09,1.34764168e-18,3.00000000e-09,-2.80055046e-17,3.00000000e-09,6.73368490e-16,3.00000000e-09,1.48261542e-18,3.00000000e-09,2.96893920e-10,3.00000000e-09,2.65002575e-01,3.00000000e-09,3.59287363e-02,3.00000000e-09,1.54328442e-01,3.00000000e-09,1.54328442e-01,3.00000000e-09,3.36820640e+09,3.00000000e-09,2.95562178e+06,3.00000000e-09,4.70401816e+05,3.00000000e-09,2.66914053e+01,2.00,5.000u,ihp-sg13g2
3.50000000e-09,9.30010067e-08,3.50000000e-09,3.49853474e-09,3.50000000e-09,2.70883619e-14,3.50000000e-09,6.01464271e-16,3.50000000e-09,1.20199478e-18,3.50000000e-09,-3.26050841e-17,3.50000000e-09,7.75880940e-16,3.50000000e-09,1.31060991e-18,3.50000000e-09,2.86677635e-10,3.50000000e-09,2.65026627e-01,3.50000000e-09,4.15576987e-02,3.50000000e-09,1.60095439e-01,3.50000000e-09,1.60095439e-01,3.50000000e-09,3.48823863e+09,3.50000000e-09,3.43324588e+06,3.50000000e-09,5.46418052e+05,3.50000000e-09,2.65828450e+01,2.00,5.000u,ihp-sg13g2
4.00000000e-09,1.05853092e-07,4.00000000e-09,3.99838167e-09,4.00000000e-09,2.71022424e-14,4.00000000e-09,6.77304478e-16,4.00000000e-09,1.09386154e-18,4.00000000e-09,-3.71334170e-17,4.00000000e-09,8.75868171e-16,4.00000000e-09,1.18425388e-18,4.00000000e-09,2.83234636e-10,4.00000000e-09,2.65047733e-01,4.00000000e-09,4.64394426e-02,4.00000000e-09,1.65114983e-01,4.00000000e-09,1.65114983e-01,4.00000000e-09,3.53064164e+09,4.00000000e-09,3.90569499e+06,4.00000000e-09,6.21610664e+05,4.00000000e-09,2.64739840e+01,2.00,5.000u,ihp-sg13g2
4.50000000e-09,1.18598674e-07,4.50000000e-09,4.49827352e-09,4.50000000e-09,2.71208599e-14,4.50000000e-09,7.51362380e-16,4.50000000e-09,1.01048428e-18,4.50000000e-09,-4.15972690e-17,4.50000000e-09,9.73398981e-16,4.50000000e-09,1.08781866e-18,4.50000000e-09,2.84359687e-10,4.50000000e-09,2.65066563e-01,4.50000000e-09,5.07495274e-02,4.50000000e-09,1.69562585e-01,4.50000000e-09,1.69562585e-01,4.50000000e-09,3.51667288e+09,4.50000000e-09,4.37296878e+06,4.50000000e-09,6.95979597e+05,4.50000000e-09,2.63653762e+01,2.00,5.000u,ihp-sg13g2
5.00000000e-09,1.31239340e-07,5.00000000e-09,4.99818991e-09,5.00000000e-09,2.71429157e-14,5.00000000e-09,8.23690259e-16,5.00000000e-09,9.44250267e-19,5.00000000e-09,-4.60010740e-17,5.00000000e-09,1.06855133e-15,5.00000000e-09,1.01196363e-18,5.00000000e-09,2.88739916e-10,5.00000000e-09,2.65083581e-01,5.00000000e-09,5.46082687e-02,5.00000000e-09,1.73558531e-01,5.00000000e-09,1.73558531e-01,5.00000000e-09,3.46332441e+09,5.00000000e-09,4.83512314e+06,5.00000000e-09,7.69533749e+05,5.00000000e-09,2.62573736e+01,2.00,5.000u,ihp-sg13g2
5.50000000e-09,1.43777002e-07,5.50000000e-09,5.49812099e-09,5.50000000e-09,2.71675017e-14,5.50000000e-09,8.94342805e-16,5.50000000e-09,8.90361198e-19,5.50000000e-09,-5.03479354e-17,5.50000000e-09,1.16140569e-15,5.50000000e-09,9.50831296e-19,5.50000000e-09,2.95547628e-10,5.50000000e-09,2.65099122e-01,5.50000000e-09,5.81016579e-02,5.50000000e-09,1.77188792e-01,5.50000000e-09,1.77188792e-01,5.50000000e-09,3.38354940e+09,5.50000000e-09,5.29224230e+06,5.50000000e-09,8.42286522e+05,5.50000000e-09,2.61502069e+01,2.00,5.000u,ihp-sg13g2
6.00000000e-09,1.56213697e-07,6.00000000e-09,5.99806154e-09,6.00000000e-09,2.71939628e-14,6.00000000e-09,9.63375025e-16,6.00000000e-09,8.45652143e-19,6.00000000e-09,-5.46401705e-17,6.00000000e-09,1.25204222e-15,6.00000000e-09,9.00577875e-19,6.00000000e-09,3.04235137e-10,6.00000000e-09,2.65113435e-01,6.00000000e-09,6.12932641e-02,6.00000000e-09,1.80516924e-01,6.00000000e-09,1.80516924e-01,6.00000000e-09,3.28693132e+09,6.00000000e-09,5.74442562e+06,6.00000000e-09,9.14253733e+05,6.00000000e-09,2.60440303e+01,2.00,5.000u,ihp-sg13g2
6.50000000e-09,1.68551502e-07,6.50000000e-09,6.49800859e-09,6.50000000e-09,2.72218141e-14,6.50000000e-09,1.03084120e-15,6.50000000e-09,8.07954757e-19,6.50000000e-09,-5.88796141e-17,6.50000000e-09,1.34053936e-15,6.50000000e-09,8.58583249e-19,6.50000000e-09,3.14424801e-10,6.50000000e-09,2.65126710e-01,6.50000000e-09,6.42313984e-02,6.50000000e-09,1.83591228e-01,6.50000000e-09,1.83591228e-01,6.50000000e-09,3.18041070e+09,6.50000000e-09,6.19178066e+06,6.50000000e-09,9.85452499e+05,6.50000000e-09,2.59389472e+01,2.00,5.000u,ihp-sg13g2
7.00000000e-09,1.80792490e-07,7.00000000e-09,6.99796033e-09,7.00000000e-09,2.72506892e-14,7.00000000e-09,1.09679434e-15,7.00000000e-09,7.75735118e-19,7.00000000e-09,-6.30677936e-17,7.00000000e-09,1.42697319e-15,7.00000000e-09,8.23003064e-19,7.00000000e-09,3.25846824e-10,7.00000000e-09,2.65139098e-01,7.00000000e-09,6.69536318e-02,7.00000000e-09,1.86449267e-01,7.00000000e-09,1.86449267e-01,7.00000000e-09,3.06892664e+09,7.00000000e-09,6.63441901e+06,7.00000000e-09,1.05590058e+06,7.00000000e-09,2.58350265e+01,2.00,5.000u,ihp-sg13g2
7.50000000e-09,1.93354050e-07,7.50000000e-09,7.51507997e-09,7.50000000e-09,2.72812700e-14,7.50000000e-09,1.16347470e-15,7.50000000e-09,7.46988147e-19,7.50000000e-09,-6.73467751e-17,7.50000000e-09,1.51428103e-15,7.50000000e-09,7.91533028e-19,7.50000000e-09,3.38746473e-10,7.50000000e-09,2.65151103e-01,7.50000000e-09,6.95738258e-02,7.50000000e-09,1.89209542e-01,7.50000000e-09,1.89209542e-01,7.50000000e-09,2.95206026e+09,7.50000000e-09,7.08742847e+06,7.50000000e-09,1.12799927e+06,7.50000000e-09,2.57288080e+01,2.00,5.000u,ihp-sg13g2
8.00000000e-09,2.05348000e-07,8.00000000e-09,8.01269120e-09,8.00000000e-09,2.73112927e-14,8.00000000e-09,1.22621401e-15,8.00000000e-09,7.22879410e-19,8.00000000e-09,-7.14155736e-17,8.00000000e-09,1.59635829e-15,8.00000000e-09,7.65365556e-19,8.00000000e-09,3.52048641e-10,8.00000000e-09,2.65161978e-01,8.00000000e-09,7.19318978e-02,8.00000000e-09,1.91702033e-01,8.00000000e-09,1.91702034e-01,8.00000000e-09,2.84051657e+09,8.00000000e-09,7.51879461e+06,8.00000000e-09,1.19665333e+06,8.00000000e-09,2.56278441e+01,2.00,5.000u,ihp-sg13g2
8.50000000e-09,2.17287752e-07,8.50000000e-09,8.51180244e-09,8.50000000e-09,2.73417447e-14,8.50000000e-09,1.28778620e-15,8.50000000e-09,7.01569185e-19,8.50000000e-09,-7.54491795e-17,8.50000000e-09,1.67684194e-15,8.50000000e-09,7.42426954e-19,8.50000000e-09,3.66150367e-10,8.50000000e-09,2.65172297e-01,8.50000000e-09,7.41558746e-02,8.50000000e-09,1.94060462e-01,8.50000000e-09,1.94060462e-01,8.50000000e-09,2.73111839e+09,8.50000000e-09,7.94710631e+06,8.50000000e-09,1.26482125e+06,8.50000000e-09,2.55278190e+01,2.00,5.000u,ihp-sg13g2
9.00000000e-09,2.29139364e-07,9.00000000e-09,9.01093250e-09,9.00000000e-09,2.73724074e-14,9.00000000e-09,1.34804813e-15,9.00000000e-09,6.82652735e-19,9.00000000e-09,-7.94364564e-17,9.00000000e-09,1.75554927e-15,9.00000000e-09,7.22232512e-19,9.00000000e-09,3.80922019e-10,9.00000000e-09,2.65182092e-01,9.00000000e-09,7.62546100e-02,9.00000000e-09,1.96293278e-01,9.00000000e-09,1.96293278e-01,9.00000000e-09,2.62520923e+09,9.00000000e-09,8.37118053e+06,9.00000000e-09,1.33231476e+06,9.00000000e-09,2.54290401e+01,2.00,5.000u,ihp-sg13g2
