isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.88585851e-08,1.00000000e-09,9.99948359e-10,1.00000000e-09,2.41745889e-14,1.00000000e-09,2.84789020e-16,1.00000000e-09,7.43962486e-20,1.00000000e-09,-1.39081335e-17,1.00000000e-09,3.40855899e-16,1.00000000e-09,9.18939894e-23,1.00000000e-09,1.22989567e-11,1.00000000e-09,4.11473582e-01,1.00000000e-09,2.33972326e-01,1.00000000e-09,3.18052161e-01,1.00000000e-09,3.18052161e-01,1.00000000e-09,8.13077093e+10,1.00000000e-09,1.60741451e+06,1.00000000e-09,2.55827965e+05,1.00000000e-09,3.88605919e+01,2.00,5.000u,ihp-sg13g2
1.50000000e-09,5.81468595e-08,1.50000000e-09,1.50606986e-09,1.50000000e-09,2.42085093e-14,1.50000000e-09,4.13215767e-16,1.50000000e-09,6.81376502e-20,1.50000000e-09,-2.07502440e-17,1.50000000e-09,5.03065131e-16,1.50000000e-09,1.02451888e-22,1.50000000e-09,1.96277389e-11,1.50000000e-09,4.11532298e-01,1.50000000e-09,2.44381178e-01,1.50000000e-09,3.28619612e-01,1.50000000e-09,3.28619612e-01,1.50000000e-09,5.09483037e+10,1.50000000e-09,2.40191822e+06,1.50000000e-09,3.82277158e+05,1.50000000e-09,3.86083416e+01,2.00,5.000u,ihp-sg13g2
2.00000000e-09,7.67854357e-08,2.00000000e-09,2.00171730e-09,2.00000000e-09,2.42598034e-14,2.00000000e-09,5.34030794e-16,2.00000000e-09,6.40759335e-20,2.00000000e-09,-2.73246351e-17,2.00000000e-09,6.55375362e-16,2.00000000e-09,1.10806728e-22,2.00000000e-09,2.76540385e-11,2.00000000e-09,4.11573509e-01,2.00000000e-09,2.51615604e-01,2.00000000e-09,3.36008608e-01,2.00000000e-09,3.36008608e-01,2.00000000e-09,3.61610837e+10,2.00000000e-09,3.16513017e+06,2.00000000e-09,5.03746112e+05,2.00000000e-09,3.83597802e+01,2.00,5.000u,ihp-sg13g2
2.50000000e-09,9.53065411e-08,2.50000000e-09,2.50072067e-09,2.50000000e-09,2.43195047e-14,2.50000000e-09,6.50951348e-16,2.50000000e-09,6.10383874e-20,2.50000000e-09,-3.38196007e-17,2.50000000e-09,8.02543424e-16,2.50000000e-09,1.18059655e-22,2.50000000e-09,3.65388567e-11,2.50000000e-09,4.11606045e-01,2.50000000e-09,2.57279037e-01,2.50000000e-09,3.41826848e-01,2.50000000e-09,3.41826848e-01,2.50000000e-09,2.73681251e+10,2.50000000e-09,3.91893430e+06,2.50000000e-09,6.23717765e+05,2.50000000e-09,3.81116301e+01,2.00,5.000u,ihp-sg13g2
3.00000000e-09,1.13612715e-07,3.00000000e-09,3.00033034e-09,3.00000000e-09,2.43831142e-14,3.00000000e-09,7.63535214e-16,3.00000000e-09,5.86332837e-20,3.00000000e-09,-4.02004500e-17,3.00000000e-09,9.44051821e-16,3.00000000e-09,1.24582893e-22,3.00000000e-09,4.61940557e-11,3.00000000e-09,4.11632899e-01,3.00000000e-09,2.61917154e-01,3.00000000e-09,3.46619120e-01,3.00000000e-09,3.46619120e-01,3.00000000e-09,2.16478069e+10,3.00000000e-09,4.65948337e+06,3.00000000e-09,7.41579811e+05,3.00000000e-09,3.78667355e+01,2.00,5.000u,ihp-sg13g2
3.50000000e-09,1.31696532e-07,3.50000000e-09,3.50015121e-09,3.50000000e-09,2.44484084e-14,3.50000000e-09,8.71937354e-16,3.50000000e-09,5.66495492e-20,3.50000000e-09,-4.64645548e-17,3.50000000e-09,1.08012602e-15,3.50000000e-09,1.30616145e-22,3.50000000e-09,5.65659693e-11,3.50000000e-09,4.11655799e-01,3.50000000e-09,2.65843852e-01,3.50000000e-09,3.50699186e-01,3.50000000e-09,3.50699186e-01,3.50000000e-09,1.76784737e+10,3.50000000e-09,5.38671187e+06,3.50000000e-09,8.57321821e+05,3.50000000e-09,3.76259550e+01,2.00,5.000u,ihp-sg13g2
4.00000000e-09,1.49560723e-07,4.00000000e-09,4.00005712e-09,4.00000000e-09,2.45141507e-14,4.00000000e-09,9.76369905e-16,4.00000000e-09,5.49650281e-20,4.00000000e-09,-5.26130562e-17,4.00000000e-09,1.21105690e-15,4.00000000e-09,1.36313967e-22,4.00000000e-09,6.76072459e-11,4.00000000e-09,4.11675794e-01,4.00000000e-09,2.69248839e-01,4.00000000e-09,3.54256713e-01,4.00000000e-09,3.54256713e-01,4.00000000e-09,1.47913140e+10,4.00000000e-09,6.10099548e+06,4.00000000e-09,9.71003589e+05,4.00000000e-09,3.73896468e+01,2.00,5.000u,ihp-sg13g2
4.50000000e-09,1.68286049e-07,4.50000000e-09,4.53065221e-09,4.50000000e-09,2.45835038e-14,4.50000000e-09,1.08310457e-15,4.50000000e-09,5.34194136e-20,4.50000000e-09,-5.90134950e-17,4.50000000e-09,1.34471403e-15,4.50000000e-09,1.42084032e-22,4.50000000e-09,8.00094656e-11,4.50000000e-09,4.11694592e-01,4.50000000e-09,2.72428422e-01,4.50000000e-09,3.57597275e-01,4.50000000e-09,3.57597275e-01,4.50000000e-09,1.24985212e+10,4.50000000e-09,6.84548673e+06,4.50000000e-09,1.08949305e+06,4.50000000e-09,3.71438904e+01,2.00,5.000u,ihp-sg13g2
5.00000000e-09,1.85469770e-07,5.00000000e-09,5.02351967e-09,5.00000000e-09,2.46472950e-14,5.00000000e-09,1.17867963e-15,5.00000000e-09,5.21560739e-20,5.00000000e-09,-6.48483043e-17,5.00000000e-09,1.46426233e-15,5.00000000e-09,1.47320246e-22,5.00000000e-09,9.21197353e-11,5.00000000e-09,4.11710292e-01,5.00000000e-09,2.75066778e-01,5.00000000e-09,3.60384315e-01,5.00000000e-09,3.60384315e-01,5.00000000e-09,1.08554372e+10,5.00000000e-09,7.52495436e+06,5.00000000e-09,1.19763368e+06,5.00000000e-09,3.69202835e+01,2.00,5.000u,ihp-sg13g2
5.50000000e-09,2.02638523e-07,5.50000000e-09,5.52166501e-09,5.50000000e-09,2.47107477e-14,5.50000000e-09,1.27198159e-15,5.50000000e-09,5.10125254e-20,5.50000000e-09,-7.06389960e-17,5.50000000e-09,1.58084525e-15,5.50000000e-09,1.52509474e-22,5.50000000e-09,1.04900485e-10,5.50000000e-09,4.11724766e-01,5.50000000e-09,2.77484500e-01,5.50000000e-09,3.62951495e-01,5.50000000e-09,3.62951495e-01,5.50000000e-09,9.53284436e+09,5.50000000e-09,8.20042055e+06,5.50000000e-09,1.30513747e+06,5.50000000e-09,3.66988079e+01,2.00,5.000u,ihp-sg13g2
