isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,2.71253518e-08,1.00000000e-09,9.98951942e-10,1.00000000e-09,2.58708700e-14,1.00000000e-09,1.98554960e-16,1.00000000e-09,1.77445681e-19,1.00000000e-09,-1.01508821e-17,1.00000000e-09,2.41250748e-16,1.00000000e-09,3.67488788e-20,1.00000000e-09,2.65178932e-11,1.00000000e-09,3.60244279e-01,1.00000000e-09,9.42043525e-02,1.00000000e-09,2.11983222e-01,1.00000000e-09,2.11983222e-01,1.00000000e-09,3.77103864e+10,1.00000000e-09,1.04849013e+06,1.00000000e-09,1.66872386e+05,1.00000000e-09,2.71538105e+01,2.00,5.000u,ihp-sg13g2
1.50000000e-09,4.05457622e-08,1.50000000e-09,1.49887930e-09,1.50000000e-09,2.58043689e-14,1.50000000e-09,2.86370893e-16,1.50000000e-09,1.51511765e-19,1.50000000e-09,-1.51248038e-17,1.50000000e-09,3.57483771e-16,1.50000000e-09,3.17500100e-20,1.50000000e-09,3.36418209e-11,1.50000000e-09,3.60318126e-01,1.50000000e-09,1.09009768e-01,1.50000000e-09,2.26940737e-01,1.50000000e-09,2.26940737e-01,1.50000000e-09,2.97249071e+10,1.50000000e-09,1.57127509e+06,1.50000000e-09,2.50076198e+05,1.50000000e-09,2.70507186e+01,2.00,5.000u,ihp-sg13g2
2.00000000e-09,5.38951844e-08,2.00000000e-09,2.00076665e-09,2.00000000e-09,2.57784894e-14,2.00000000e-09,3.72272155e-16,2.00000000e-09,1.36240281e-19,2.00000000e-09,-2.00476692e-17,2.00000000e-09,4.70910391e-16,2.00000000e-09,2.92768741e-20,2.00000000e-09,4.14681373e-11,2.00000000e-09,3.60371517e-01,2.00000000e-09,1.19547504e-01,2.00000000e-09,2.37631007e-01,2.00000000e-09,2.37631007e-01,2.00000000e-09,2.41149004e+10,2.00000000e-09,2.09070375e+06,2.00000000e-09,3.32745836e+05,2.00000000e-09,2.69372665e+01,2.00,5.000u,ihp-sg13g2
2.50000000e-09,6.70400890e-08,2.50000000e-09,2.49959426e-09,2.50000000e-09,2.57738224e-14,2.50000000e-09,4.55408154e-16,2.50000000e-09,1.25928012e-19,2.50000000e-09,-2.48724592e-17,2.50000000e-09,5.80478704e-16,2.50000000e-09,2.78446814e-20,2.50000000e-09,4.97564422e-11,2.50000000e-09,3.60413170e-01,2.50000000e-09,1.27671294e-01,2.50000000e-09,2.45906112e-01,2.50000000e-09,2.45906112e-01,2.50000000e-09,2.00979000e+10,2.50000000e-09,2.60109222e+06,2.50000000e-09,4.13976684e+05,2.50000000e-09,2.68203884e+01,2.00,5.000u,ihp-sg13g2
3.00000000e-09,8.00827989e-08,3.00000000e-09,2.99916436e-09,3.00000000e-09,2.57816301e-14,3.00000000e-09,5.36473826e-16,3.00000000e-09,1.18298249e-19,3.00000000e-09,-2.96378774e-17,3.00000000e-09,6.87147644e-16,3.00000000e-09,2.69326154e-20,3.00000000e-09,5.85085837e-11,3.00000000e-09,3.60447614e-01,3.00000000e-09,1.34323591e-01,3.00000000e-09,2.52709593e-01,3.00000000e-09,2.52709593e-01,3.00000000e-09,1.70915093e+10,3.00000000e-09,3.10619610e+06,3.00000000e-09,4.94366463e+05,3.00000000e-09,2.67017039e+01,2.00,5.000u,ihp-sg13g2
3.50000000e-09,9.30113285e-08,3.50000000e-09,3.49895472e-09,3.50000000e-09,2.57974682e-14,3.50000000e-09,6.15441655e-16,3.50000000e-09,1.12351932e-19,3.50000000e-09,-3.43400962e-17,3.50000000e-09,7.90908819e-16,3.50000000e-09,2.63249604e-20,3.50000000e-09,6.76840788e-11,3.50000000e-09,3.60477017e-01,3.50000000e-09,1.39953669e-01,3.50000000e-09,2.58490520e-01,3.50000000e-09,2.58490520e-01,3.50000000e-09,1.47745233e+10,3.50000000e-09,3.60544406e+06,3.50000000e-09,5.73824244e+05,3.50000000e-09,2.65826042e+01,2.00,5.000u,ihp-sg13g2
4.00000000e-09,1.05824561e-07,4.00000000e-09,3.99883586e-09,4.00000000e-09,2.58187151e-14,4.00000000e-09,6.92360238e-16,4.00000000e-09,1.07543184e-19,4.00000000e-09,-3.89791219e-17,4.00000000e-09,8.91846953e-16,4.00000000e-09,2.59112597e-20,4.00000000e-09,7.72567237e-11,4.00000000e-09,3.60502702e-01,4.00000000e-09,1.44834302e-01,4.00000000e-09,2.63521600e-01,4.00000000e-09,2.63521600e-01,4.00000000e-09,1.29438572e+10,4.00000000e-09,4.09875398e+06,4.00000000e-09,6.52336956e+05,4.00000000e-09,2.64638422e+01,2.00,5.000u,ihp-sg13g2
4.50000000e-09,1.18523726e-07,4.50000000e-09,4.49875993e-09,4.50000000e-09,2.58437119e-14,4.50000000e-09,7.67294960e-16,4.50000000e-09,1.03546501e-19,4.50000000e-09,-4.35557402e-17,4.50000000e-09,9.90064280e-16,4.50000000e-09,2.56290802e-20,4.50000000e-09,8.72051950e-11,4.50000000e-09,3.60525534e-01,4.50000000e-09,1.49142235e-01,4.50000000e-09,2.67979543e-01,4.50000000e-09,2.67979543e-01,4.50000000e-09,1.14672067e+10,4.50000000e-09,4.58617271e+06,4.50000000e-09,7.29912056e+05,4.50000000e-09,2.63458660e+01,2.00,5.000u,ihp-sg13g2
5.00000000e-09,1.31110848e-07,5.00000000e-09,4.99870667e-09,5.00000000e-09,2.58713517e-14,5.00000000e-09,8.40315971e-16,5.00000000e-09,1.00154192e-19,5.00000000e-09,-4.80709896e-17,5.00000000e-09,1.08566617e-15,5.00000000e-09,2.54403940e-20,5.00000000e-09,9.75106011e-11,5.00000000e-09,3.60546106e-01,5.00000000e-09,1.52998357e-01,5.00000000e-09,2.71985221e-01,5.00000000e-09,2.71985221e-01,5.00000000e-09,1.02552952e+10,5.00000000e-09,5.06780046e+06,5.00000000e-09,8.06565494e+05,5.00000000e-09,2.62289542e+01,2.00,5.000u,ihp-sg13g2
5.50000000e-09,1.43588240e-07,5.50000000e-09,5.49866646e-09,5.50000000e-09,2.59008657e-14,5.50000000e-09,9.11493883e-16,5.50000000e-09,9.72266220e-20,5.50000000e-09,-5.25259988e-17,5.50000000e-09,1.17875636e-15,5.50000000e-09,2.53206710e-20,5.50000000e-09,1.08155575e-10,5.50000000e-09,3.60564844e-01,5.50000000e-09,1.56488955e-01,5.50000000e-09,2.75624906e-01,5.50000000e-09,2.75624906e-01,5.50000000e-09,9.24594035e+09,5.50000000e-09,5.54376217e+06,5.50000000e-09,8.82317152e+05,5.50000000e-09,2.61132841e+01,2.00,5.000u,ihp-sg13g2
