isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_gm_id,gm_id,w,l,pdk
1.00000000e-09,3.18323421e-08,1.00000000e-09,9.99804115e-10,1.00000000e-09,2.55046231e-14,1.00000000e-09,2.30537365e-16,1.00000000e-09,1.56083436e-19,1.00000000e-09,-1.13789366e-17,1.00000000e-09,2.78117640e-16,1.00000000e-09,9.62669976e-21,1.00000000e-09,1.91209028e-11,1.00000000e-09,3.40627889e-01,1.00000000e-09,1.17096271e-01,1.00000000e-09,2.18736590e-01,1.00000000e-09,2.18736590e-01,1.00000000e-09,5.22987857e+10,1.00000000e-09,1.24810086e+06,1.00000000e-09,1.98641422e+05,1.00000000e-09,3.18385788e+01,2.00,5.000u,ihp-sg13g2
1.50000000e-09,4.75236834e-08,1.50000000e-09,1.49979126e-09,1.50000000e-09,2.54812354e-14,1.50000000e-09,3.33216484e-16,1.50000000e-09,1.37160955e-19,1.50000000e-09,-1.69465449e-17,1.50000000e-09,4.11191627e-16,1.50000000e-09,9.13576028e-21,1.50000000e-09,2.75820446e-11,1.50000000e-09,3.40690047e-01,1.50000000e-09,1.29705116e-01,1.50000000e-09,2.31493733e-01,1.50000000e-09,2.31493733e-01,1.50000000e-09,3.62554704e+10,1.50000000e-09,1.86504628e+06,1.50000000e-09,2.96831335e+05,1.50000000e-09,3.16868650e+01,2.00,5.000u,ihp-sg13g2
2.00000000e-09,6.31085065e-08,2.00000000e-09,2.00169330e-09,2.00000000e-09,2.54886242e-14,2.00000000e-09,4.33232005e-16,2.00000000e-09,1.25467240e-19,2.00000000e-09,-2.24542222e-17,2.00000000e-09,5.40537459e-16,2.00000000e-09,8.95312165e-21,2.00000000e-09,3.66915391e-11,2.00000000e-09,3.40734938e-01,2.00000000e-09,1.38682925e-01,2.00000000e-09,2.40620107e-01,2.00000000e-09,2.40620107e-01,2.00000000e-09,2.72542397e+10,2.00000000e-09,2.47594794e+06,2.00000000e-09,3.94059353e+05,2.00000000e-09,3.15275604e+01,2.00,5.000u,ihp-sg13g2
2.50000000e-09,7.84354860e-08,2.50000000e-09,2.50055925e-09,2.50000000e-09,2.55114479e-14,2.50000000e-09,5.29659880e-16,2.50000000e-09,1.17304572e-19,2.50000000e-09,-2.78490701e-17,2.50000000e-09,6.65027890e-16,2.50000000e-09,8.89813453e-21,2.50000000e-09,4.63488184e-11,2.50000000e-09,3.40769946e-01,2.50000000e-09,1.45606742e-01,2.50000000e-09,2.47691184e-01,2.50000000e-09,2.47691184e-01,2.50000000e-09,2.15755231e+10,2.50000000e-09,3.07452115e+06,2.50000000e-09,4.89325238e+05,2.50000000e-09,3.13671776e+01,2.00,5.000u,ihp-sg13g2
3.00000000e-09,9.36246426e-08,3.00000000e-09,3.00015473e-09,3.00000000e-09,2.55431324e-14,3.00000000e-09,6.23343049e-16,3.00000000e-09,1.11110695e-19,3.00000000e-09,-3.31734641e-17,3.00000000e-09,7.85793551e-16,3.00000000e-09,8.90706852e-21,3.00000000e-09,5.66037538e-11,3.00000000e-09,3.40798891e-01,3.00000000e-09,1.51277658e-01,3.00000000e-09,2.53509109e-01,3.00000000e-09,2.53509109e-01,3.00000000e-09,1.76666729e+10,3.00000000e-09,3.66535479e+06,3.00000000e-09,5.83359332e+05,3.00000000e-09,3.12066047e+01,2.00,5.000u,ihp-sg13g2
3.50000000e-09,1.08663572e-07,3.50000000e-09,3.49996457e-09,3.50000000e-09,2.55802169e-14,3.50000000e-09,7.14286073e-16,3.50000000e-09,1.06182576e-19,3.50000000e-09,-3.84229060e-17,3.50000000e-09,9.02868461e-16,3.50000000e-09,8.95275496e-21,3.50000000e-09,6.74237464e-11,3.50000000e-09,3.40823599e-01,3.50000000e-09,1.56078054e-01,3.50000000e-09,2.58456076e-01,3.50000000e-09,2.58456076e-01,3.50000000e-09,1.48315698e+10,3.50000000e-09,4.24795350e+06,3.50000000e-09,6.76082797e+05,3.50000000e-09,3.10470490e+01,2.00,5.000u,ihp-sg13g2
4.00000000e-09,1.23552208e-07,4.00000000e-09,3.99986149e-09,4.00000000e-09,2.56206853e-14,4.00000000e-09,8.02576972e-16,4.00000000e-09,1.02126345e-19,4.00000000e-09,-4.35972582e-17,4.00000000e-09,1.01638762e-15,4.00000000e-09,9.02133350e-21,4.00000000e-09,7.87810681e-11,4.00000000e-09,3.40845186e-01,4.00000000e-09,1.60240111e-01,4.00000000e-09,2.62764206e-01,4.00000000e-09,2.62764206e-01,4.00000000e-09,1.26934050e+10,4.00000000e-09,4.82236156e+06,4.00000000e-09,7.67502680e+05,4.00000000e-09,3.08891216e+01,2.00,5.000u,ihp-sg13g2
4.50000000e-09,1.38293045e-07,4.50000000e-09,4.49979876e-09,4.50000000e-09,2.56632774e-14,4.50000000e-09,8.88319607e-16,4.50000000e-09,9.87025004e-20,4.50000000e-09,-4.86973251e-17,4.50000000e-09,1.12650202e-15,4.50000000e-09,9.10503776e-21,4.50000000e-09,9.06491273e-11,4.50000000e-09,3.40864379e-01,4.50000000e-09,1.63914295e-01,4.50000000e-09,2.66583939e-01,4.50000000e-09,2.66583939e-01,4.50000000e-09,1.10315458e+10,4.50000000e-09,5.38875229e+06,4.50000000e-09,8.57646565e+05,4.50000000e-09,3.07331621e+01,2.00,5.000u,ihp-sg13g2
5.00000000e-09,1.52889379e-07,5.00000000e-09,4.99975679e-09,5.00000000e-09,2.57071649e-14,5.00000000e-09,9.71620321e-16,5.00000000e-09,9.57557402e-20,5.00000000e-09,-5.37242469e-17,5.00000000e-09,1.23336275e-15,5.00000000e-09,9.19919960e-21,5.00000000e-09,1.03002332e-10,5.00000000e-09,3.40881676e-01,5.00000000e-09,1.67203541e-01,5.00000000e-09,2.70018194e-01,5.00000000e-09,2.70018194e-01,5.00000000e-09,9.70851806e+09,5.00000000e-09,5.94734501e+06,5.00000000e-09,9.46549356e+05,5.00000000e-09,3.05793632e+01,2.00,5.000u,ihp-sg13g2
5.50000000e-09,1.67344746e-07,5.50000000e-09,5.49972638e-09,5.50000000e-09,2.57517832e-14,5.50000000e-09,1.05258340e-15,5.50000000e-09,9.31802086e-20,5.50000000e-09,-5.86793057e-17,5.50000000e-09,1.33711599e-15,5.50000000e-09,9.30085838e-21,5.50000000e-09,1.15816180e-10,5.50000000e-09,3.40897434e-01,5.50000000e-09,1.70181325e-01,5.50000000e-09,2.73140442e-01,5.50000000e-09,2.73140442e-01,5.50000000e-09,8.63437218e+09,5.50000000e-09,6.49837510e+06,5.50000000e-09,1.03424852e+06,5.50000000e-09,3.04278313e+01,2.00,5.000u,ihp-sg13g2
6.00000000e-09,1.82289905e-07,6.00000000e-09,6.02171242e-09,6.00000000e-09,2.57986421e-14,6.00000000e-09,1.13472476e-15,6.00000000e-09,9.08060986e-20,6.00000000e-09,-6.37765692e-17,6.00000000e-09,1.44227078e-15,6.00000000e-09,9.41284884e-21,6.00000000e-09,1.29660354e-10,6.00000000e-09,3.40912531e-01,6.00000000e-09,1.73016458e-01,6.00000000e-09,2.76125810e-01,6.00000000e-09,2.76125810e-01,6.00000000e-09,7.71245772e+09,6.00000000e-09,7.06587208e+06,6.00000000e-09,1.12456847e+06,6.00000000e-09,3.02721041e+01,2.00,5.000u,ihp-sg13g2
6.50000000e-09,1.96361262e-07,6.50000000e-09,6.51790558e-09,6.50000000e-09,2.58433183e-14,6.50000000e-09,1.21064587e-15,6.50000000e-09,8.87920908e-20,6.50000000e-09,-6.85528603e-17,6.50000000e-09,1.53936809e-15,6.50000000e-09,9.52355211e-21,6.50000000e-09,1.43239259e-10,6.50000000e-09,3.40925802e-01,6.50000000e-09,1.75494183e-01,6.50000000e-09,2.78745791e-01,6.50000000e-09,2.78745791e-01,6.50000000e-09,6.98132628e+09,6.50000000e-09,7.59814434e+06,6.50000000e-09,1.20928223e+06,6.50000000e-09,3.01264355e+01,2.00,5.000u,ihp-sg13g2
