L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n, T
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.799867e-03, 1.799867e-03, 0.000000e+00, 0.000000e+00, 9.962544e-13, 3.938924e-01, 5.505938e-02, 3.241561e-11, 3.304916e-12, 5.432934e-10, 1.636757e-16, 1.844301e-17, 6.198450e-17, 8.324818e-17, 3.402040e-19, 7.064540e-17, 2.864535e-17, 5.333683e-17, 1.840522e-03, 1.840626e+09, 1.840626e+09, 1.851235e-05, 6.221754e-05, 3.414831e-07, 2.875305e-05, 3.253748e+01, 1.423082e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 3.470567e-03, 3.470567e-03, 0.000000e+00, 0.000000e+00, 1.993652e-12, 3.938923e-01, 5.505944e-02, 6.486400e-11, 6.607109e-12, 5.537496e-10, 1.633409e-16, 2.148290e-17, 5.872912e-17, 8.312884e-17, 3.111253e-19, 6.619295e-17, 2.449493e-17, 5.203808e-17, 3.613127e-03, 1.805871e+09, 1.805871e+09, 1.077565e-05, 2.945806e-05, 1.560580e-07, 1.228646e-05, 3.253527e+01, 2.847797e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 5.027851e-03, 5.027851e-03, 0.000000e+00, 0.000000e+00, 2.989344e-12, 3.938922e-01, 5.505949e-02, 9.725280e-11, 9.897779e-12, 5.631877e-10, 1.630534e-16, 2.381338e-17, 5.622426e-17, 8.301572e-17, 2.874458e-19, 6.276701e-17, 2.131505e-17, 5.105894e-17, 5.326210e-03, 1.775607e+09, 1.775607e+09, 7.966091e-06, 1.880823e-05, 9.615682e-08, 7.130346e-06, 3.253316e+01, 4.270075e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 6.492154e-03, 6.492154e-03, 0.000000e+00, 0.000000e+00, 3.986242e-12, 3.938921e-01, 5.505954e-02, 1.296770e-10, 1.318706e-11, 5.717554e-10, 1.628017e-16, 2.565283e-17, 5.424083e-17, 8.290801e-17, 2.677464e-19, 6.005422e-17, 1.880706e-17, 5.030062e-17, 6.995232e-03, 1.749000e+09, 1.749000e+09, 6.435341e-06, 1.360701e-05, 6.716763e-08, 4.717992e-06, 3.253114e+01, 5.694077e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 7.874287e-03, 7.874287e-03, 0.000000e+00, 0.000000e+00, 4.983330e-12, 3.938921e-01, 5.505960e-02, 1.621037e-10, 1.647201e-11, 5.795390e-10, 1.625786e-16, 2.713487e-17, 5.263830e-17, 8.280538e-17, 2.511202e-19, 5.786242e-17, 1.678815e-17, 4.970251e-17, 8.626667e-03, 1.725509e+09, 1.725509e+09, 5.445129e-06, 1.056288e-05, 5.039204e-08, 3.368862e-06, 3.252920e+01, 7.118350e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 9.184296e-03, 9.184296e-03, 0.000000e+00, 0.000000e+00, 5.980617e-12, 3.938920e-01, 5.505965e-02, 1.945335e-10, 1.975301e-11, 5.866185e-10, 1.623785e-16, 2.835107e-17, 5.132007e-17, 8.270739e-17, 2.368999e-19, 5.605944e-17, 1.513310e-17, 4.922320e-17, 1.022721e-02, 1.704685e+09, 1.704685e+09, 4.740493e-06, 8.581066e-06, 3.961127e-08, 2.530357e-06, 3.252732e+01, 8.542907e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.043045e-02, 1.043045e-02, 0.000000e+00, 0.000000e+00, 6.978147e-12, 3.938919e-01, 5.505970e-02, 2.269678e-10, 2.303051e-11, 5.930613e-10, 1.621975e-16, 2.936492e-17, 5.021893e-17, 8.261365e-17, 2.245969e-19, 5.455339e-17, 1.375505e-17, 4.883402e-17, 1.180243e-02, 1.686166e+09, 1.686166e+09, 4.208126e-06, 7.196600e-06, 3.218575e-08, 1.971161e-06, 3.252551e+01, 9.967811e-07, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.161968e-02, 1.161968e-02, 0.000000e+00, 0.000000e+00, 7.976008e-12, 3.938919e-01, 5.505975e-02, 2.594097e-10, 2.630505e-11, 5.989250e-10, 1.620323e-16, 3.022166e-17, 4.928686e-17, 8.252380e-17, 2.138455e-19, 5.327857e-17, 1.259212e-17, 4.851458e-17, 1.335706e-02, 1.669658e+09, 1.669658e+09, 3.789071e-06, 6.179389e-06, 2.681109e-08, 1.578749e-06, 3.252375e+01, 1.139319e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.275787e-02, 1.275787e-02, 0.000000e+00, 0.000000e+00, 8.974350e-12, 3.938918e-01, 5.505980e-02, 2.918641e-10, 2.957734e-11, 6.042596e-10, 1.618805e-16, 3.095433e-17, 4.848869e-17, 8.243750e-17, 2.043664e-19, 5.218689e-17, 1.159911e-17, 4.825001e-17, 1.489519e-02, 1.654918e+09, 1.654918e+09, 3.449200e-06, 5.403030e-06, 2.277228e-08, 1.292473e-06, 3.252203e+01, 1.281925e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 1.385008e-02, 1.385008e-02, 0.000000e+00, 0.000000e+00, 9.973396e-12, 3.938918e-01, 5.505985e-02, 3.243385e-10, 3.284832e-11, 6.091089e-10, 1.617402e-16, 3.158754e-17, 4.779816e-17, 8.235446e-17, 1.959430e-19, 5.124244e-17, 1.074235e-17, 4.802926e-17, 1.642048e-02, 1.641743e+09, 1.641743e+09, 3.167180e-06, 4.792566e-06, 1.964657e-08, 1.077101e-06, 3.252037e+01, 1.424632e-06, 1.370000e+00, 2.700000e+01,
