L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n, T
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.738607e-05, 1.738607e-05, 0.000000e+00, 0.000000e+00, 9.999610e-13, 3.372609e-01, 7.590069e-02, 2.806574e-11, 1.555962e-12, 5.750935e-08, 4.391353e-17, 1.531846e-17, 2.375350e-17, 4.841573e-18, 3.334054e-20, 2.325557e-17, 3.447125e-18, 2.121218e-17, 1.738847e-05, 1.738848e+07, 1.738848e+07, 1.531906e-05, 2.375442e-05, 3.334184e-08, 3.447259e-06, 2.806683e+01, 1.428377e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.475883e-05, 3.475883e-05, 0.000000e+00, 0.000000e+00, 1.999922e-12, 3.372603e-01, 7.590072e-02, 5.613109e-11, 3.111879e-12, 5.752533e-08, 4.391315e-17, 1.532403e-17, 2.374760e-17, 4.841528e-18, 3.332081e-20, 2.325032e-17, 3.442247e-18, 2.121082e-17, 3.476729e-05, 1.738365e+07, 1.738365e+07, 7.662312e-06, 1.187426e-05, 1.666106e-08, 1.721191e-06, 2.806664e+01, 2.856753e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 5.211831e-05, 5.211831e-05, 0.000000e+00, 0.000000e+00, 2.999883e-12, 3.372597e-01, 7.590075e-02, 8.419604e-11, 4.667752e-12, 5.754130e-08, 4.391278e-17, 1.532958e-17, 2.374172e-17, 4.841483e-18, 3.330111e-20, 2.324509e-17, 3.437382e-18, 2.120947e-17, 5.213646e-05, 1.737882e+07, 1.737882e+07, 5.110059e-06, 7.914215e-06, 1.110080e-08, 1.145839e-06, 2.806644e+01, 4.285130e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 6.946454e-05, 6.946454e-05, 0.000000e+00, 0.000000e+00, 3.999844e-12, 3.372590e-01, 7.590078e-02, 1.122606e-10, 6.223579e-12, 5.755726e-08, 4.391241e-17, 1.533512e-17, 2.373585e-17, 4.841438e-18, 3.328144e-20, 2.323987e-17, 3.432528e-18, 2.120812e-17, 6.949600e-05, 1.737400e+07, 1.737400e+07, 3.833929e-06, 5.934194e-06, 8.320683e-09, 8.581653e-07, 2.806625e+01, 5.713507e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 8.679753e-05, 8.679753e-05, 0.000000e+00, 0.000000e+00, 4.999805e-12, 3.372584e-01, 7.590081e-02, 1.403248e-10, 7.779362e-12, 5.757321e-08, 4.391204e-17, 1.534065e-17, 2.373000e-17, 4.841393e-18, 3.326179e-20, 2.323466e-17, 3.427685e-18, 2.120678e-17, 8.684593e-05, 1.736919e+07, 1.736919e+07, 3.068249e-06, 4.746185e-06, 6.652616e-09, 6.855638e-07, 2.806605e+01, 7.141884e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.041173e-04, 1.041173e-04, 0.000000e+00, 0.000000e+00, 5.999767e-12, 3.372578e-01, 7.590084e-02, 1.683886e-10, 9.335100e-12, 5.758915e-08, 4.391167e-17, 1.534616e-17, 2.372416e-17, 4.841349e-18, 3.324216e-20, 2.322946e-17, 3.422855e-18, 2.120544e-17, 1.041863e-04, 1.736438e+07, 1.736438e+07, 2.557793e-06, 3.954180e-06, 5.540576e-09, 5.704980e-07, 2.806586e+01, 8.570261e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.214239e-04, 1.214239e-04, 0.000000e+00, 0.000000e+00, 6.999728e-12, 3.372571e-01, 7.590087e-02, 1.964520e-10, 1.089079e-11, 5.760508e-08, 4.391130e-17, 1.535166e-17, 2.371833e-17, 4.841304e-18, 3.322257e-20, 2.322427e-17, 3.418036e-18, 2.120410e-17, 1.215170e-04, 1.735958e+07, 1.735958e+07, 2.193180e-06, 3.388465e-06, 4.746266e-09, 4.883098e-07, 2.806566e+01, 9.998638e-07, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.387173e-04, 1.387173e-04, 0.000000e+00, 0.000000e+00, 7.999689e-12, 3.372565e-01, 7.590090e-02, 2.245150e-10, 1.244644e-11, 5.762100e-08, 4.391093e-17, 1.535715e-17, 2.371252e-17, 4.841259e-18, 3.320300e-20, 2.321910e-17, 3.413228e-18, 2.120276e-17, 1.388383e-04, 1.735478e+07, 1.735478e+07, 1.919718e-06, 2.964180e-06, 4.150536e-09, 4.266701e-07, 2.806546e+01, 1.142701e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.559976e-04, 1.559976e-04, 0.000000e+00, 0.000000e+00, 8.999650e-12, 3.372559e-01, 7.590092e-02, 2.525776e-10, 1.400205e-11, 5.763691e-08, 4.391056e-17, 1.536263e-17, 2.370672e-17, 4.841214e-18, 3.318345e-20, 2.321394e-17, 3.408433e-18, 2.120143e-17, 1.561499e-04, 1.734999e+07, 1.734999e+07, 1.707025e-06, 2.634183e-06, 3.687194e-09, 3.787295e-07, 2.806527e+01, 1.285539e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.732648e-04, 1.732648e-04, 0.000000e+00, 0.000000e+00, 9.999612e-12, 3.372552e-01, 7.590095e-02, 2.806399e-10, 1.555761e-11, 5.765281e-08, 4.391020e-17, 1.536809e-17, 2.370094e-17, 4.841170e-18, 3.316393e-20, 2.320879e-17, 3.403648e-18, 2.120011e-17, 1.734521e-04, 1.734521e+07, 1.734521e+07, 1.536868e-06, 2.370186e-06, 3.316522e-09, 3.403780e-07, 2.806508e+01, 1.428377e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 1.905188e-04, 1.905188e-04, 0.000000e+00, 0.000000e+00, 1.099957e-11, 3.372546e-01, 7.590098e-02, 3.087017e-10, 1.711312e-11, 5.766870e-08, 4.390983e-17, 1.537354e-17, 2.369517e-17, 4.841125e-18, 3.314444e-20, 2.320365e-17, 3.398876e-18, 2.119878e-17, 1.907447e-04, 1.734043e+07, 1.734043e+07, 1.397649e-06, 2.154190e-06, 3.013248e-09, 3.090007e-07, 2.806488e+01, 1.571215e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 2.077598e-04, 2.077598e-04, 0.000000e+00, 0.000000e+00, 1.199953e-11, 3.372539e-01, 7.590101e-02, 3.367631e-10, 1.866859e-11, 5.768458e-08, 4.390946e-17, 1.537897e-17, 2.368941e-17, 4.841080e-18, 3.312498e-20, 2.319852e-17, 3.394114e-18, 2.119747e-17, 2.080278e-04, 1.733566e+07, 1.733566e+07, 1.281631e-06, 1.974194e-06, 2.760522e-09, 2.828538e-07, 2.806469e+01, 1.714052e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 2.249878e-04, 2.249878e-04, 0.000000e+00, 0.000000e+00, 1.299950e-11, 3.372533e-01, 7.590104e-02, 3.648242e-10, 2.022402e-11, 5.770045e-08, 4.390910e-17, 1.538440e-17, 2.368366e-17, 4.841036e-18, 3.310554e-20, 2.319341e-17, 3.389364e-18, 2.119615e-17, 2.253015e-04, 1.733089e+07, 1.733089e+07, 1.183461e-06, 1.821891e-06, 2.546679e-09, 2.607304e-07, 2.806449e+01, 1.856890e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 2.422027e-04, 2.422027e-04, 0.000000e+00, 0.000000e+00, 1.399946e-11, 3.372527e-01, 7.590107e-02, 3.928849e-10, 2.177940e-11, 5.771631e-08, 4.390873e-17, 1.538981e-17, 2.367793e-17, 4.840991e-18, 3.308612e-20, 2.318831e-17, 3.384626e-18, 2.119484e-17, 2.425657e-04, 1.732613e+07, 1.732613e+07, 1.099315e-06, 1.691346e-06, 2.363386e-09, 2.417684e-07, 2.806430e+01, 1.999728e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 2.594046e-04, 2.594046e-04, 0.000000e+00, 0.000000e+00, 1.499942e-11, 3.372521e-01, 7.590110e-02, 4.209452e-10, 2.333474e-11, 5.773215e-08, 4.390837e-17, 1.539521e-17, 2.367221e-17, 4.840946e-18, 3.306673e-20, 2.318322e-17, 3.379898e-18, 2.119353e-17, 2.598205e-04, 1.732137e+07, 1.732137e+07, 1.026387e-06, 1.578209e-06, 2.204534e-09, 2.253353e-07, 2.806410e+01, 2.142565e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 2.765935e-04, 2.765935e-04, 0.000000e+00, 0.000000e+00, 1.599938e-11, 3.372514e-01, 7.590113e-02, 4.490051e-10, 2.489003e-11, 5.774799e-08, 4.390800e-17, 1.540059e-17, 2.366651e-17, 4.840902e-18, 3.304737e-20, 2.317814e-17, 3.375182e-18, 2.119223e-17, 2.770659e-04, 1.731662e+07, 1.731662e+07, 9.625743e-07, 1.479214e-06, 2.065541e-09, 2.109571e-07, 2.806391e+01, 2.285403e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 2.937695e-04, 2.937695e-04, 0.000000e+00, 0.000000e+00, 1.699934e-11, 3.372508e-01, 7.590115e-02, 4.770646e-10, 2.644528e-11, 5.776382e-08, 4.390764e-17, 1.540596e-17, 2.366082e-17, 4.840857e-18, 3.302803e-20, 2.317308e-17, 3.370478e-18, 2.119092e-17, 2.943018e-04, 1.731187e+07, 1.731187e+07, 9.062684e-07, 1.391867e-06, 1.942901e-09, 1.982711e-07, 2.806371e+01, 2.428241e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.109325e-04, 3.109325e-04, 0.000000e+00, 0.000000e+00, 1.799930e-11, 3.372502e-01, 7.590118e-02, 5.051238e-10, 2.800049e-11, 5.777964e-08, 4.390728e-17, 1.541132e-17, 2.365514e-17, 4.840812e-18, 3.300872e-20, 2.316802e-17, 3.365784e-18, 2.118963e-17, 3.115284e-04, 1.730713e+07, 1.730713e+07, 8.562179e-07, 1.314225e-06, 1.833889e-09, 1.869952e-07, 2.806352e+01, 2.571079e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.280827e-04, 3.280827e-04, 0.000000e+00, 0.000000e+00, 1.899926e-11, 3.372495e-01, 7.590121e-02, 5.331825e-10, 2.955565e-11, 5.779545e-08, 4.390691e-17, 1.541667e-17, 2.364947e-17, 4.840768e-18, 3.298944e-20, 2.316298e-17, 3.361102e-18, 2.118833e-17, 3.287456e-04, 1.730240e+07, 1.730240e+07, 8.114353e-07, 1.244757e-06, 1.736353e-09, 1.769069e-07, 2.806333e+01, 2.713916e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.452199e-04, 3.452199e-04, 0.000000e+00, 0.000000e+00, 1.999923e-11, 3.372489e-01, 7.590124e-02, 5.612409e-10, 3.111076e-11, 5.781125e-08, 4.390655e-17, 1.542201e-17, 2.364382e-17, 4.840723e-18, 3.297018e-20, 2.315795e-17, 3.356430e-18, 2.118704e-17, 3.459534e-04, 1.729767e+07, 1.729767e+07, 7.711302e-07, 1.182237e-06, 1.648573e-09, 1.678280e-07, 2.806313e+01, 2.856754e-06, 1.370000e+00, 2.700000e+01
