pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.105036e-01, 3.105036e-01, 0.000000e+00, 0.000000e+00, 1.111240e-09, 5.014065e-01, 4.009820e-02, 3.288963e-08, 4.890666e-09, 3.616913e-10, 1.811921e-15, 2.425160e-16, 2.369378e-16, 1.332467e-15, 1.211016e-19, 2.372121e-16, 3.888861e-19, 4.069138e-16, 3.072344e+00, 2.764789e+09, 2.764789e+09, 2.182390e-07, 2.132193e-07, 1.089788e-10, 3.499569e-10, 2.959723e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.136481e-01, 3.136481e-01, 0.000000e+00, 0.000000e+00, 1.220794e-09, 5.013710e-01, 4.011387e-02, 3.608245e-08, 5.358813e-09, 3.961190e-10, 1.812577e-15, 2.460906e-16, 2.369372e-16, 1.329549e-15, 1.248495e-19, 2.372129e-16, 4.158038e-19, 4.153063e-16, 3.081886e+00, 2.524494e+09, 2.524494e+09, 2.015825e-07, 1.940845e-07, 1.022691e-10, 3.406012e-10, 2.955654e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.165662e-01, 3.165662e-01, 0.000000e+00, 0.000000e+00, 1.331945e-09, 5.013382e-01, 4.012975e-02, 3.931552e-08, 5.832281e-09, 4.309495e-10, 1.813625e-15, 2.498949e-16, 2.369366e-16, 1.326794e-15, 1.285649e-19, 2.372140e-16, 4.421530e-19, 4.236330e-16, 3.090721e+00, 2.320458e+09, 2.320458e+09, 1.876166e-07, 1.778877e-07, 9.652418e-11, 3.319605e-10, 2.951738e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.192567e-01, 3.192567e-01, 0.000000e+00, 0.000000e+00, 1.443220e-09, 5.013081e-01, 4.014561e-02, 4.254620e-08, 6.304861e-09, 4.657265e-10, 1.815001e-15, 2.538570e-16, 2.369361e-16, 1.324207e-15, 1.322050e-19, 2.372153e-16, 4.676980e-19, 4.318035e-16, 3.098857e+00, 2.147183e+09, 2.147183e+09, 1.758963e-07, 1.641719e-07, 9.160417e-11, 3.240656e-10, 2.948006e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.217569e-01, 3.217569e-01, 0.000000e+00, 0.000000e+00, 1.554793e-09, 5.012801e-01, 4.016150e-02, 4.577979e-08, 6.777369e-09, 5.005103e-10, 1.816659e-15, 2.579636e-16, 2.369357e-16, 1.321760e-15, 1.357826e-19, 2.372168e-16, 4.925820e-19, 4.398498e-16, 3.106416e+00, 1.997961e+09, 1.997961e+09, 1.659150e-07, 1.523905e-07, 8.733157e-11, 3.168151e-10, 2.944429e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.240987e-01, 3.240987e-01, 0.000000e+00, 0.000000e+00, 1.666970e-09, 5.012540e-01, 4.017745e-02, 4.902532e-08, 7.251156e-09, 5.354007e-10, 1.818570e-15, 2.622106e-16, 2.369353e-16, 1.319424e-15, 1.393130e-19, 2.372185e-16, 5.169526e-19, 4.478085e-16, 3.113500e+00, 1.867760e+09, 1.867760e+09, 1.572977e-07, 1.421353e-07, 8.357260e-11, 3.101151e-10, 2.940984e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.263108e-01, 3.263108e-01, 0.000000e+00, 0.000000e+00, 1.780223e-09, 5.012295e-01, 4.019353e-02, 5.229659e-08, 7.728260e-09, 5.705477e-10, 1.820717e-15, 2.666046e-16, 2.369350e-16, 1.317177e-15, 1.428155e-19, 2.372204e-16, 5.409716e-19, 4.557241e-16, 3.120200e+00, 1.752702e+09, 1.752702e+09, 1.497591e-07, 1.330929e-07, 8.022336e-11, 3.038785e-10, 2.937643e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.282807e-01, 3.282807e-01, 0.000000e+00, 0.000000e+00, 1.887415e-09, 5.012076e-01, 4.020872e-02, 5.538800e-08, 8.178749e-09, 6.037454e-10, 1.822925e-15, 2.708510e-16, 2.369347e-16, 1.315139e-15, 1.460777e-19, 2.372222e-16, 5.632190e-19, 4.631165e-16, 3.126177e+00, 1.656327e+09, 1.656327e+09, 1.435037e-07, 1.255340e-07, 7.739566e-11, 2.984076e-10, 2.934596e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.320383e-01, 3.320383e-01, 0.000000e+00, 0.000000e+00, 2.109747e-09, 5.011661e-01, 4.024018e-02, 6.178592e-08, 9.109981e-09, 6.724044e-10, 1.827974e-15, 2.798943e-16, 2.369343e-16, 1.311145e-15, 1.526963e-19, 2.372262e-16, 6.080424e-19, 4.781764e-16, 3.137616e+00, 1.487200e+09, 1.487200e+09, 1.326672e-07, 1.123046e-07, 7.237658e-11, 2.882063e-10, 2.928594e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.337759e-01, 3.337759e-01, 0.000000e+00, 0.000000e+00, 2.221057e-09, 5.011469e-01, 4.025590e-02, 6.498219e-08, 9.574693e-09, 7.066841e-10, 1.830708e-15, 2.845263e-16, 2.369341e-16, 1.309247e-15, 1.559417e-19, 2.372284e-16, 6.298902e-19, 4.855930e-16, 3.142928e+00, 1.415060e+09, 1.415060e+09, 1.281040e-07, 1.066762e-07, 7.021058e-11, 2.835992e-10, 2.925732e+01, nan, 1.370000e+00
