pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.624565e-01, 1.624565e-01, 0.000000e+00, 0.000000e+00, 1.105993e-09, 3.830844e-01, 4.777155e-02, 2.807219e-08, 4.083527e-09, 4.348105e-10, 1.886458e-15, 2.236456e-16, 2.575554e-16, 1.405257e-15, 2.877799e-19, 2.589936e-16, 4.888036e-19, 3.862735e-16, 2.543621e+00, 2.299853e+09, 2.299853e+09, 2.022125e-07, 2.328725e-07, 2.602005e-10, 4.419590e-10, 2.538189e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.661681e-01, 1.661681e-01, 0.000000e+00, 0.000000e+00, 1.216935e-09, 3.830142e-01, 4.778902e-02, 3.084866e-08, 4.480904e-09, 4.687872e-10, 1.884278e-15, 2.250272e-16, 2.575212e-16, 1.401729e-15, 2.905478e-19, 2.589170e-16, 3.900404e-19, 3.925575e-16, 2.595922e+00, 2.133164e+09, 2.133164e+09, 1.849131e-07, 2.116146e-07, 2.387538e-10, 3.205105e-10, 2.534948e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.695620e-01, 1.695620e-01, 0.000000e+00, 0.000000e+00, 1.327921e-09, 3.829520e-01, 4.780647e-02, 3.362129e-08, 4.877165e-09, 5.027447e-10, 1.882593e-15, 2.266122e-16, 2.574923e-16, 1.398489e-15, 2.935604e-19, 2.588526e-16, 3.018142e-19, 3.987018e-16, 2.641342e+00, 1.989081e+09, 1.989081e+09, 1.706519e-07, 1.939064e-07, 2.210677e-10, 2.272833e-10, 2.531875e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.726885e-01, 1.726885e-01, 0.000000e+00, 0.000000e+00, 1.438933e-09, 3.828962e-01, 4.782389e-02, 3.638992e-08, 5.272335e-09, 5.366604e-10, 1.881328e-15, 2.283735e-16, 2.574674e-16, 1.395487e-15, 2.967510e-19, 2.587978e-16, 2.219267e-19, 4.047244e-16, 2.681274e+00, 1.863376e+09, 1.863376e+09, 1.587103e-07, 1.789294e-07, 2.062298e-10, 1.542300e-10, 2.528951e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.755867e-01, 1.755867e-01, 0.000000e+00, 0.000000e+00, 1.549963e-09, 3.828458e-01, 4.784129e-02, 3.915451e-08, 5.666453e-09, 5.705209e-10, 1.880422e-15, 2.302893e-16, 2.574458e-16, 1.392686e-15, 3.000726e-19, 2.587505e-16, 1.487735e-19, 4.106399e-16, 2.716751e+00, 1.752784e+09, 1.752784e+09, 1.485773e-07, 1.660980e-07, 1.935998e-10, 9.598521e-11, 2.526157e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.782880e-01, 1.782880e-01, 0.000000e+00, 0.000000e+00, 1.661005e-09, 3.827997e-01, 4.785866e-02, 4.191515e-08, 6.059565e-09, 6.043186e-10, 1.879827e-15, 2.323421e-16, 2.574268e-16, 1.390058e-15, 3.034915e-19, 2.587093e-16, 8.115415e-20, 4.164607e-16, 2.748558e+00, 1.654756e+09, 1.654756e+09, 1.398804e-07, 1.549826e-07, 1.827156e-10, 4.885847e-11, 2.523482e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.808176e-01, 1.808176e-01, 0.000000e+00, 0.000000e+00, 1.772054e-09, 3.827574e-01, 4.787601e-02, 4.467191e-08, 6.451713e-09, 6.380490e-10, 1.879506e-15, 2.345172e-16, 2.574100e-16, 1.387578e-15, 3.069829e-19, 2.586733e-16, 1.815001e-20, 4.221972e-16, 2.777301e+00, 1.567278e+09, 1.567278e+09, 1.323420e-07, 1.452608e-07, 1.732356e-10, 1.024235e-11, 2.520912e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.831962e-01, 1.831962e-01, 0.000000e+00, 0.000000e+00, 1.883109e-09, 3.827183e-01, 4.789333e-02, 4.742493e-08, 6.842941e-09, 6.717101e-10, 1.879425e-15, 2.368025e-16, 2.573949e-16, 1.385228e-15, 3.105282e-19, 2.586415e-16, 4.095484e-20, 4.278579e-16, 2.803456e+00, 1.488738e+09, 1.488738e+09, 1.257508e-07, 1.366861e-07, 1.649019e-10, 2.174852e-11, 2.518438e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.875663e-01, 1.875663e-01, 0.000000e+00, 0.000000e+00, 2.105233e-09, 3.826479e-01, 4.792791e-02, 5.292018e-08, 7.622795e-09, 7.388216e-10, 1.879888e-15, 2.416641e-16, 2.573692e-16, 1.380855e-15, 3.177281e-19, 2.585880e-16, 1.496251e-19, 4.389811e-16, 2.849447e+00, 1.353507e+09, 1.353507e+09, 1.147921e-07, 1.222521e-07, 1.509230e-10, 7.107297e-11, 2.513745e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.895844e-01, 1.895844e-01, 0.000000e+00, 0.000000e+00, 2.216300e-09, 3.826160e-01, 4.794517e-02, 5.566264e-08, 8.011494e-09, 7.722729e-10, 1.880390e-15, 2.442241e-16, 2.573581e-16, 1.378808e-15, 3.213636e-19, 2.585654e-16, 2.000185e-19, 4.444555e-16, 2.869840e+00, 1.294879e+09, 1.294879e+09, 1.101945e-07, 1.161206e-07, 1.450000e-10, 9.024887e-11, 2.511512e+01, nan, 1.370000e+00
