pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.129470e-01, 3.129470e-01, 0.000000e+00, 0.000000e+00, 1.110460e-09, 4.650875e-01, 3.337404e-02, 3.927717e-08, 5.418923e-09, 3.182352e-10, 2.345788e-15, 3.311430e-16, 2.567167e-16, 1.757928e-15, 2.227149e-19, 2.571308e-16, 1.002771e-18, 5.920139e-16, 3.489431e+00, 3.142330e+09, 3.142330e+09, 2.982036e-07, 2.311806e-07, 2.005610e-10, 9.030237e-10, 3.537019e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.156264e-01, 3.156264e-01, 0.000000e+00, 0.000000e+00, 1.221687e-09, 4.650649e-01, 3.339275e-02, 4.313846e-08, 5.945142e-09, 3.491890e-10, 2.353346e-15, 3.428427e-16, 2.567180e-16, 1.753785e-15, 2.315577e-19, 2.571379e-16, 1.065089e-18, 6.106598e-16, 3.498643e+00, 2.863779e+09, 2.863779e+09, 2.806305e-07, 2.101340e-07, 1.895393e-10, 8.718177e-10, 3.531056e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.180823e-01, 3.180823e-01, 0.000000e+00, 0.000000e+00, 1.333203e-09, 4.650442e-01, 3.341147e-02, 4.700059e-08, 6.470905e-09, 3.801418e-10, 2.361361e-15, 3.547911e-16, 2.567194e-16, 1.749851e-15, 2.401998e-19, 2.571451e-16, 1.125778e-18, 6.289754e-16, 3.507120e+00, 2.630597e+09, 2.630597e+09, 2.661194e-07, 1.925584e-07, 1.801675e-10, 8.444161e-10, 3.525389e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.203574e-01, 3.203574e-01, 0.000000e+00, 0.000000e+00, 1.445383e-09, 4.650251e-01, 3.343027e-02, 5.087698e-08, 6.998084e-09, 4.112028e-10, 2.369795e-15, 3.669967e-16, 2.567207e-16, 1.746077e-15, 2.486932e-19, 2.571523e-16, 1.185253e-18, 6.470661e-16, 3.515012e+00, 2.431890e+09, 2.431890e+09, 2.539097e-07, 1.776144e-07, 1.720604e-10, 8.200273e-10, 3.519966e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.224889e-01, 3.224889e-01, 0.000000e+00, 0.000000e+00, 1.558857e-09, 4.650073e-01, 3.344926e-02, 5.478961e-08, 7.529697e-09, 4.425493e-10, 2.378646e-15, 3.795044e-16, 2.567221e-16, 1.742419e-15, 2.571018e-19, 2.571596e-16, 1.243997e-18, 6.650646e-16, 3.522448e+00, 2.259635e+09, 2.259635e+09, 2.434504e-07, 1.646861e-07, 1.649297e-10, 7.980186e-10, 3.514730e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.243660e-01, 3.243660e-01, 0.000000e+00, 0.000000e+00, 1.665985e-09, 4.649916e-01, 3.346716e-02, 5.847594e-08, 8.030139e-09, 4.720791e-10, 2.387256e-15, 3.914404e-16, 2.567234e-16, 1.739092e-15, 2.648876e-19, 2.571665e-16, 1.298286e-18, 6.818083e-16, 3.529037e+00, 2.118289e+09, 2.118289e+09, 2.349604e-07, 1.540971e-07, 1.589976e-10, 7.792907e-10, 3.509993e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.261927e-01, 3.261927e-01, 0.000000e+00, 0.000000e+00, 1.777146e-09, 4.649764e-01, 3.348570e-02, 6.229374e-08, 8.548024e-09, 5.026589e-10, 2.396416e-15, 4.039393e-16, 2.567247e-16, 1.735752e-15, 2.728239e-19, 2.571736e-16, 1.353538e-18, 6.989526e-16, 3.535491e+00, 1.989421e+09, 1.989421e+09, 2.272966e-07, 1.444590e-07, 1.535180e-10, 7.616359e-10, 3.505268e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.279123e-01, 3.279123e-01, 0.000000e+00, 0.000000e+00, 1.888404e-09, 4.649620e-01, 3.350423e-02, 6.610767e-08, 9.064998e-09, 5.332050e-10, 2.405784e-15, 4.165495e-16, 2.567260e-16, 1.732509e-15, 2.806336e-19, 2.571807e-16, 1.407834e-18, 7.158985e-16, 3.541609e+00, 1.875451e+09, 1.875451e+09, 2.205829e-07, 1.359487e-07, 1.486089e-10, 7.455154e-10, 3.500717e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.310843e-01, 3.310843e-01, 0.000000e+00, 0.000000e+00, 2.111784e-09, 4.649357e-01, 3.354135e-02, 7.374460e-08, 1.009910e-08, 5.943634e-10, 2.425106e-15, 4.421207e-16, 2.567286e-16, 1.726257e-15, 2.959503e-19, 2.571948e-16, 1.514147e-18, 7.493478e-16, 3.553019e+00, 1.682472e+09, 1.682472e+09, 2.093588e-07, 1.215695e-07, 1.401423e-10, 7.169990e-10, 3.492052e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.325621e-01, 3.325621e-01, 0.000000e+00, 0.000000e+00, 2.224482e-09, 4.649235e-01, 3.356003e-02, 7.758758e-08, 1.061896e-08, 6.251360e-10, 2.435073e-15, 4.551280e-16, 2.567299e-16, 1.723215e-15, 3.035107e-19, 2.572018e-16, 1.566552e-18, 7.659615e-16, 3.558396e+00, 1.599652e+09, 1.599652e+09, 2.045996e-07, 1.154111e-07, 1.364411e-10, 7.042324e-10, 3.487895e+01, nan, 1.370000e+00
