pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.359769e-01, 1.359769e-01, 0.000000e+00, 0.000000e+00, 1.106473e-09, 4.074290e-01, 5.625733e-02, 2.761394e-08, 3.808817e-09, 9.700199e-10, 9.716111e-16, 2.500729e-16, 2.568421e-16, 4.646961e-16, 6.013588e-20, 2.573133e-16, 4.320830e-19, 2.809704e-16, 1.140671e+00, 1.030907e+09, 1.030907e+09, 2.260090e-07, 2.321268e-07, 5.434914e-11, 3.905046e-10, 2.495671e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.396808e-01, 1.396808e-01, 0.000000e+00, 0.000000e+00, 1.217480e-09, 4.072568e-01, 5.626292e-02, 3.036230e-08, 4.181729e-09, 1.038934e-09, 9.701207e-16, 2.497927e-16, 2.568248e-16, 4.635033e-16, 5.937631e-20, 2.572729e-16, 3.969421e-19, 2.817106e-16, 1.171854e+00, 9.625248e+08, 9.625248e+08, 2.051719e-07, 2.109479e-07, 4.876985e-11, 3.260358e-10, 2.493865e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.431699e-01, 1.431699e-01, 0.000000e+00, 0.000000e+00, 1.332038e-09, 4.071015e-01, 5.626867e-02, 3.319562e-08, 4.565610e-09, 1.110497e-09, 9.687375e-16, 2.495392e-16, 2.568097e-16, 4.623886e-16, 5.876987e-20, 2.572377e-16, 3.659733e-19, 2.824462e-16, 1.199498e+00, 9.004978e+08, 9.004978e+08, 1.873364e-07, 1.927945e-07, 4.412026e-11, 2.747468e-10, 2.492092e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.462558e-01, 1.462558e-01, 0.000000e+00, 0.000000e+00, 1.442149e-09, 4.069693e-01, 5.627419e-02, 3.591624e-08, 4.933731e-09, 1.179539e-09, 9.675325e-16, 2.493254e-16, 2.567973e-16, 4.614098e-16, 5.831787e-20, 2.572088e-16, 3.401304e-19, 2.831297e-16, 1.222638e+00, 8.477887e+08, 8.477887e+08, 1.728846e-07, 1.780657e-07, 4.043816e-11, 2.358496e-10, 2.490466e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.491241e-01, 1.491241e-01, 0.000000e+00, 0.000000e+00, 1.552512e-09, 4.068502e-01, 5.627971e-02, 3.864050e-08, 5.301902e-09, 1.248883e-09, 9.664291e-16, 2.491370e-16, 2.567865e-16, 4.605056e-16, 5.796612e-20, 2.571837e-16, 3.172842e-19, 2.837943e-16, 1.243120e+00, 8.007153e+08, 8.007153e+08, 1.604735e-07, 1.654007e-07, 3.733699e-11, 2.043684e-10, 2.488902e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.518026e-01, 1.518026e-01, 0.000000e+00, 0.000000e+00, 1.663058e-09, 4.067420e-01, 5.628523e-02, 4.136685e-08, 5.669940e-09, 1.318414e-09, 9.654145e-16, 2.489714e-16, 2.567770e-16, 4.596661e-16, 5.769537e-20, 2.571615e-16, 2.968817e-19, 2.844419e-16, 1.261408e+00, 7.584871e+08, 7.584871e+08, 1.497070e-07, 1.544005e-07, 3.469234e-11, 1.785155e-10, 2.487397e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.543142e-01, 1.543142e-01, 0.000000e+00, 0.000000e+00, 1.773739e-09, 4.066429e-01, 5.629075e-02, 4.409416e-08, 6.037722e-09, 1.388048e-09, 9.644777e-16, 2.488264e-16, 2.567685e-16, 4.588828e-16, 5.749087e-20, 2.571419e-16, 2.784995e-19, 2.850739e-16, 1.277866e+00, 7.204361e+08, 7.204361e+08, 1.402835e-07, 1.447611e-07, 3.241224e-11, 1.570126e-10, 2.485943e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.566779e-01, 1.566779e-01, 0.000000e+00, 0.000000e+00, 1.884521e-09, 4.065516e-01, 5.629627e-02, 4.682164e-08, 6.405162e-09, 1.457727e-09, 9.636099e-16, 2.487000e-16, 2.567609e-16, 4.581491e-16, 5.734114e-20, 2.571244e-16, 2.618081e-19, 2.856918e-16, 1.292781e+00, 6.859997e+08, 6.859997e+08, 1.319699e-07, 1.362473e-07, 3.042744e-11, 1.389255e-10, 2.484538e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.610241e-01, 1.610241e-01, 0.000000e+00, 0.000000e+00, 2.106287e-09, 4.063883e-01, 5.630728e-02, 5.227501e-08, 7.138821e-09, 1.597057e-09, 9.620523e-16, 2.484965e-16, 2.567478e-16, 4.568080e-16, 5.717166e-20, 2.570943e-16, 2.325088e-19, 2.868896e-16, 1.318855e+00, 6.261519e+08, 6.261519e+08, 1.179785e-07, 1.218960e-07, 2.714335e-11, 1.103880e-10, 2.481857e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.630320e-01, 1.630320e-01, 0.000000e+00, 0.000000e+00, 2.217238e-09, 4.063146e-01, 5.631278e-02, 5.500022e-08, 7.504984e-09, 1.666654e-09, 9.613506e-16, 2.484167e-16, 2.567422e-16, 4.561917e-16, 5.713887e-20, 2.570814e-16, 2.195239e-19, 2.874715e-16, 1.330353e+00, 6.000044e+08, 6.000044e+08, 1.120388e-07, 1.157937e-07, 2.577029e-11, 9.900781e-11, 2.480574e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.649437e-01, 1.649437e-01, 0.000000e+00, 0.000000e+00, 2.328220e-09, 4.062454e-01, 5.631827e-02, 5.772417e-08, 7.870685e-09, 1.736184e-09, 9.606938e-16, 2.483501e-16, 2.567370e-16, 4.556068e-16, 5.713402e-20, 2.570695e-16, 2.074542e-19, 2.880432e-16, 1.340999e+00, 5.759759e+08, 5.759759e+08, 1.066695e-07, 1.102718e-07, 2.453978e-11, 8.910420e-11, 2.479326e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.667681e-01, 1.667681e-01, 0.000000e+00, 0.000000e+00, 2.439226e-09, 4.061803e-01, 5.632376e-02, 6.044672e-08, 8.235921e-09, 1.805633e-09, 9.600778e-16, 2.482955e-16, 2.567322e-16, 4.550501e-16, 5.715322e-20, 2.570586e-16, 1.961855e-19, 2.886056e-16, 1.350898e+00, 5.538225e+08, 5.538225e+08, 1.017927e-07, 1.052515e-07, 2.343088e-11, 8.042939e-11, 2.478111e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.685127e-01, 1.685127e-01, 0.000000e+00, 0.000000e+00, 2.550250e-09, 4.061187e-01, 5.632924e-02, 6.316779e-08, 8.600693e-09, 1.874993e-09, 9.594990e-16, 2.482521e-16, 2.567277e-16, 4.545192e-16, 5.719321e-20, 2.570486e-16, 1.856222e-19, 2.891591e-16, 1.360138e+00, 5.333352e+08, 5.333352e+08, 9.734424e-08, 1.006677e-07, 2.242652e-11, 7.278589e-11, 2.476926e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.701843e-01, 1.701843e-01, 0.000000e+00, 0.000000e+00, 2.661287e-09, 4.060603e-01, 5.633472e-02, 6.588732e-08, 8.965006e-09, 1.944259e-09, 9.589544e-16, 2.482192e-16, 2.567236e-16, 4.540117e-16, 5.725131e-20, 2.570393e-16, 1.756840e-19, 2.897045e-16, 1.368792e+00, 5.143347e+08, 5.143347e+08, 9.327036e-08, 9.646596e-08, 2.151264e-11, 6.601470e-11, 2.475769e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.717886e-01, 1.717886e-01, 0.000000e+00, 0.000000e+00, 2.772334e-09, 4.060048e-01, 5.634019e-02, 6.860528e-08, 9.328866e-09, 2.013427e-09, 9.584413e-16, 2.481960e-16, 2.567197e-16, 4.535255e-16, 5.732522e-20, 2.570308e-16, 1.663029e-19, 2.902422e-16, 1.376923e+00, 4.966656e+08, 4.966656e+08, 8.952599e-08, 9.260056e-08, 2.067760e-11, 5.998659e-11, 2.474639e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.733310e-01, 1.733310e-01, 0.000000e+00, 0.000000e+00, 2.883390e-09, 4.059520e-01, 5.634565e-02, 7.132165e-08, 9.692282e-09, 2.082494e-09, 9.579571e-16, 2.481819e-16, 2.567161e-16, 4.530591e-16, 5.741302e-20, 2.570228e-16, 1.574205e-19, 2.907727e-16, 1.384585e+00, 4.801934e+08, 4.801934e+08, 8.607295e-08, 8.903274e-08, 1.991164e-11, 5.459563e-11, 2.473535e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.762479e-01, 1.762479e-01, 0.000000e+00, 0.000000e+00, 3.105519e-09, 4.058533e-01, 5.635656e-02, 7.674964e-08, 1.041781e-08, 2.220321e-09, 9.570674e-16, 2.481788e-16, 2.567095e-16, 4.521791e-16, 5.762393e-20, 2.570083e-16, 1.409586e-19, 2.918140e-16, 1.398680e+00, 4.503853e+08, 4.503853e+08, 7.991539e-08, 8.266236e-08, 1.855533e-11, 4.538971e-11, 2.471395e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.776302e-01, 1.776302e-01, 0.000000e+00, 0.000000e+00, 3.216591e-09, 4.058071e-01, 5.636201e-02, 7.946128e-08, 1.077995e-08, 2.289080e-09, 9.566583e-16, 2.481888e-16, 2.567065e-16, 4.517629e-16, 5.774441e-20, 2.570018e-16, 1.332983e-19, 2.923255e-16, 1.405189e+00, 4.368567e+08, 4.368567e+08, 7.715897e-08, 7.980703e-08, 1.795205e-11, 4.144085e-11, 2.470357e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.789663e-01, 1.789663e-01, 0.000000e+00, 0.000000e+00, 3.327665e-09, 4.057628e-01, 5.636745e-02, 8.217136e-08, 1.114168e-08, 2.357737e-09, 9.562708e-16, 2.482060e-16, 2.567037e-16, 4.513612e-16, 5.787345e-20, 2.569956e-16, 1.259728e-19, 2.928314e-16, 1.411381e+00, 4.241355e+08, 4.241355e+08, 7.458863e-08, 7.714229e-08, 1.739161e-11, 3.785621e-11, 2.469340e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.802592e-01, 1.802592e-01, 0.000000e+00, 0.000000e+00, 3.438742e-09, 4.057202e-01, 5.637289e-02, 8.487990e-08, 1.150300e-08, 2.426292e-09, 9.559036e-16, 2.482299e-16, 2.567010e-16, 4.509728e-16, 5.801013e-20, 2.569899e-16, 1.189533e-19, 2.933319e-16, 1.417283e+00, 4.121516e+08, 4.121516e+08, 7.218624e-08, 7.464968e-08, 1.686958e-11, 3.459211e-11, 2.468341e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.815117e-01, 1.815117e-01, 0.000000e+00, 0.000000e+00, 3.549822e-09, 4.056791e-01, 5.637832e-02, 8.758692e-08, 1.186394e-08, 2.494746e-09, 9.555555e-16, 2.482602e-16, 2.566984e-16, 4.505969e-16, 5.815365e-20, 2.569844e-16, 1.122144e-19, 2.938274e-16, 1.422919e+00, 4.008424e+08, 4.008424e+08, 6.993595e-08, 7.231305e-08, 1.638213e-11, 3.161127e-11, 2.467361e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.827262e-01, 1.827262e-01, 0.000000e+00, 0.000000e+00, 3.660903e-09, 4.056396e-01, 5.638375e-02, 9.029244e-08, 1.222450e-08, 2.563100e-09, 9.552252e-16, 2.482965e-16, 2.566960e-16, 4.502327e-16, 5.830330e-20, 2.569792e-16, 1.057333e-19, 2.943180e-16, 1.428310e+00, 3.901525e+08, 3.901525e+08, 6.782385e-08, 7.011822e-08, 1.592594e-11, 2.888175e-11, 2.466398e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 1.839848e-01, 1.839848e-01, 0.000000e+00, 0.000000e+00, 3.779622e-09, 4.055988e-01, 5.638954e-02, 9.318233e-08, 1.260943e-08, 2.636046e-09, 9.548908e-16, 2.483417e-16, 2.566935e-16, 4.498555e-16, 5.846934e-20, 2.569740e-16, 9.906901e-20, 2.948373e-16, 1.433823e+00, 3.793561e+08, 3.793561e+08, 6.570543e-08, 6.791512e-08, 1.546962e-11, 2.621135e-11, 2.465387e+01, nan, 1.370000e+00
