pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.638805e-01, 2.638805e-01, 0.000000e+00, 0.000000e+00, 1.110541e-09, 3.862927e-01, 4.344387e-02, 3.300730e-08, 5.616325e-09, 1.101160e-10, 2.813124e-15, 5.203622e-16, 2.805404e-16, 2.012221e-15, 5.485677e-19, 2.815485e-16, 1.663304e-18, 7.851234e-16, 1.008519e+01, 9.081334e+09, 9.081334e+09, 4.685665e-07, 2.526160e-07, 4.939645e-10, 1.497743e-09, 2.972183e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.670812e-01, 2.670812e-01, 0.000000e+00, 0.000000e+00, 1.221643e-09, 3.862817e-01, 4.351806e-02, 3.623487e-08, 6.156236e-09, 1.200933e-10, 2.825909e-15, 5.392596e-16, 2.805417e-16, 2.006108e-15, 5.650775e-19, 2.815539e-16, 1.768316e-18, 8.113121e-16, 1.017245e+01, 8.326861e+09, 8.326861e+09, 4.414217e-07, 2.296430e-07, 4.625554e-10, 1.447490e-09, 2.966078e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.700090e-01, 2.700090e-01, 0.000000e+00, 0.000000e+00, 1.332747e-09, 3.862718e-01, 4.359198e-02, 3.945432e-08, 6.694021e-09, 1.300083e-10, 2.838916e-15, 5.580628e-16, 2.805435e-16, 2.000309e-15, 5.811048e-19, 2.815604e-16, 1.868924e-18, 8.368092e-16, 1.025124e+01, 7.691816e+09, 7.691816e+09, 4.187314e-07, 2.105002e-07, 4.360204e-10, 1.402310e-09, 2.960377e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.727074e-01, 2.727074e-01, 0.000000e+00, 0.000000e+00, 1.443851e-09, 3.862628e-01, 4.366566e-02, 4.266620e-08, 7.229844e-09, 1.398659e-10, 2.852086e-15, 5.767624e-16, 2.805457e-16, 1.994778e-15, 5.966882e-19, 2.815678e-16, 1.965679e-18, 8.616886e-16, 1.032312e+01, 7.149707e+09, 7.149707e+09, 3.994610e-07, 1.943037e-07, 4.132615e-10, 1.361414e-09, 2.955027e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.752101e-01, 2.752101e-01, 0.000000e+00, 0.000000e+00, 1.554957e-09, 3.862545e-01, 4.373908e-02, 4.587100e-08, 7.763848e-09, 1.496699e-10, 2.865377e-15, 5.953514e-16, 2.805483e-16, 1.989477e-15, 6.118613e-19, 2.815759e-16, 2.059018e-18, 8.860102e-16, 1.038924e+01, 6.681368e+09, 6.681368e+09, 3.828732e-07, 1.804219e-07, 3.934909e-10, 1.324164e-09, 2.949985e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.775439e-01, 2.775439e-01, 0.000000e+00, 0.000000e+00, 1.666063e-09, 3.862468e-01, 4.381226e-02, 4.906916e-08, 8.296155e-09, 1.594239e-10, 2.878753e-15, 6.138249e-16, 2.805511e-16, 1.984377e-15, 6.266535e-19, 2.815845e-16, 2.149294e-18, 9.098231e-16, 1.045052e+01, 6.272584e+09, 6.272584e+09, 3.684284e-07, 1.683917e-07, 3.761284e-10, 1.290044e-09, 2.945217e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.797305e-01, 2.797305e-01, 0.000000e+00, 0.000000e+00, 1.777169e-09, 3.862396e-01, 4.388519e-02, 5.226105e-08, 8.826874e-09, 1.691307e-10, 2.892187e-15, 6.321790e-16, 2.805541e-16, 1.979453e-15, 6.410903e-19, 2.815935e-16, 2.236800e-18, 9.331684e-16, 1.050766e+01, 5.912586e+09, 5.912586e+09, 3.557225e-07, 1.578658e-07, 3.607368e-10, 1.258631e-09, 2.940691e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.817875e-01, 2.817875e-01, 0.000000e+00, 0.000000e+00, 1.888275e-09, 3.862329e-01, 4.395788e-02, 5.544702e-08, 9.356102e-09, 1.787929e-10, 2.905656e-15, 6.504112e-16, 2.805573e-16, 1.974688e-15, 6.551946e-19, 2.816029e-16, 2.321779e-18, 9.560808e-16, 1.056125e+01, 5.593064e+09, 5.593064e+09, 3.444472e-07, 1.485786e-07, 3.469804e-10, 1.229576e-09, 2.936384e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.855694e-01, 2.855694e-01, 0.000000e+00, 0.000000e+00, 2.110489e-09, 3.862207e-01, 4.410256e-02, 6.180237e-08, 1.041041e-08, 1.979916e-10, 2.932635e-15, 6.865023e-16, 2.805640e-16, 1.965569e-15, 6.824837e-19, 2.816223e-16, 2.484949e-18, 1.000722e-15, 1.065949e+01, 5.050718e+09, 5.050718e+09, 3.252811e-07, 1.329379e-07, 3.233770e-10, 1.177428e-09, 2.928343e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.873170e-01, 2.873170e-01, 0.000000e+00, 0.000000e+00, 2.221596e-09, 3.862151e-01, 4.417455e-02, 6.497227e-08, 1.093564e-08, 2.075320e-10, 2.946117e-15, 7.043591e-16, 2.805675e-16, 1.961191e-15, 6.957027e-19, 2.816323e-16, 2.563470e-18, 1.022499e-15, 1.070484e+01, 4.818535e+09, 4.818535e+09, 3.170509e-07, 1.262909e-07, 3.131544e-10, 1.153886e-09, 2.924576e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.889814e-01, 2.889814e-01, 0.000000e+00, 0.000000e+00, 2.332705e-09, 3.862098e-01, 4.424631e-02, 6.813733e-08, 1.145967e-08, 2.170351e-10, 2.959580e-15, 7.220894e-16, 2.805710e-16, 1.956920e-15, 7.086579e-19, 2.816424e-16, 2.640133e-18, 1.043941e-15, 1.074806e+01, 4.607550e+09, 4.607550e+09, 3.095503e-07, 1.202771e-07, 3.037924e-10, 1.131790e-09, 2.920958e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.905703e-01, 2.905703e-01, 0.000000e+00, 0.000000e+00, 2.443812e-09, 3.862047e-01, 4.431785e-02, 7.129765e-08, 1.198254e-08, 2.265021e-10, 2.973015e-15, 7.396928e-16, 2.805746e-16, 1.952748e-15, 7.213623e-19, 2.816525e-16, 2.715052e-18, 1.065066e-15, 1.078935e+01, 4.414969e+09, 4.414969e+09, 3.026799e-07, 1.148103e-07, 2.951792e-10, 1.110991e-09, 2.917477e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.920903e-01, 2.920903e-01, 0.000000e+00, 0.000000e+00, 2.554919e-09, 3.861999e-01, 4.438916e-02, 7.445350e-08, 1.250432e-08, 2.359346e-10, 2.986415e-15, 7.571695e-16, 2.805783e-16, 1.948667e-15, 7.338280e-19, 2.816628e-16, 2.788333e-18, 1.085888e-15, 1.082893e+01, 4.238462e+09, 4.238462e+09, 2.963575e-07, 1.098188e-07, 2.872216e-10, 1.091359e-09, 2.914123e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.935473e-01, 2.935473e-01, 0.000000e+00, 0.000000e+00, 2.666027e-09, 3.861953e-01, 4.446026e-02, 7.760502e-08, 1.302505e-08, 2.453336e-10, 2.999774e-15, 7.745198e-16, 2.805819e-16, 1.944672e-15, 7.460660e-19, 2.816730e-16, 2.860068e-18, 1.106422e-15, 1.086694e+01, 4.076082e+09, 4.076082e+09, 2.905146e-07, 1.052435e-07, 2.798419e-10, 1.072783e-09, 2.910887e+01, nan, 1.370000e+00
