pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.824006e-01, 3.824006e-01, 0.000000e+00, 0.000000e+00, 1.110286e-09, 5.083055e-01, 4.264309e-02, 3.214971e-08, 6.138025e-09, 7.939677e-11, 2.729636e-15, 5.609496e-16, 2.398921e-16, 1.928794e-15, 3.569748e-19, 2.403162e-16, 1.338726e-18, 8.268117e-16, 1.398401e+01, 1.259497e+10, 1.259497e+10, 5.052300e-07, 2.160634e-07, 3.215162e-10, 1.205749e-09, 2.895625e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.856894e-01, 3.856894e-01, 0.000000e+00, 0.000000e+00, 1.221382e-09, 5.082976e-01, 4.272924e-02, 3.529202e-08, 6.727814e-09, 8.695173e-11, 2.745851e-15, 5.839969e-16, 2.398953e-16, 1.921959e-15, 3.695919e-19, 2.403265e-16, 1.404530e-18, 8.568855e-16, 1.404667e+01, 1.150063e+10, 1.150063e+10, 4.781444e-07, 1.964130e-07, 3.026014e-10, 1.149951e-09, 2.889515e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.887773e-01, 3.887773e-01, 0.000000e+00, 0.000000e+00, 1.335543e-09, 5.082902e-01, 4.281741e-02, 3.851268e-08, 7.331441e-09, 9.467697e-11, 2.762487e-15, 6.073016e-16, 2.398985e-16, 1.915287e-15, 3.820504e-19, 2.403369e-16, 1.469397e-18, 8.867978e-16, 1.410631e+01, 1.056223e+10, 1.056223e+10, 4.547226e-07, 1.796262e-07, 2.860637e-10, 1.100224e-09, 2.883672e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.915249e-01, 3.915249e-01, 0.000000e+00, 0.000000e+00, 1.445839e-09, 5.082836e-01, 4.290225e-02, 4.161688e-08, 7.912481e-09, 1.021061e-10, 2.778499e-15, 6.294661e-16, 2.399015e-16, 1.909132e-15, 3.936490e-19, 2.403466e-16, 1.529702e-18, 9.148414e-16, 1.416017e+01, 9.793737e+09, 9.793737e+09, 4.353638e-07, 1.659254e-07, 2.722633e-10, 1.058003e-09, 2.878389e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.940797e-01, 3.940797e-01, 0.000000e+00, 0.000000e+00, 1.556355e-09, 5.082776e-01, 4.298693e-02, 4.472041e-08, 8.492714e-09, 1.095176e-10, 2.794459e-15, 6.513406e-16, 2.399044e-16, 1.903214e-15, 4.048793e-19, 2.403561e-16, 1.588022e-18, 9.421756e-16, 1.421100e+01, 9.130953e+09, 9.130953e+09, 4.185040e-07, 1.541451e-07, 2.601459e-10, 1.020347e-09, 2.873407e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.964409e-01, 3.964409e-01, 0.000000e+00, 0.000000e+00, 1.665795e-09, 5.082720e-01, 4.307047e-02, 4.778745e-08, 9.065501e-09, 1.168266e-10, 2.810164e-15, 6.726842e-16, 2.399073e-16, 1.897572e-15, 4.156473e-19, 2.403653e-16, 1.643884e-18, 9.685532e-16, 1.425870e+01, 8.559694e+09, 8.559694e+09, 4.038216e-07, 1.440197e-07, 2.495188e-10, 9.868465e-10, 2.868747e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.986879e-01, 3.986879e-01, 0.000000e+00, 0.000000e+00, 1.776901e-09, 5.082667e-01, 4.315495e-02, 5.089510e-08, 9.645290e-09, 1.242172e-10, 2.825992e-15, 6.940394e-16, 2.399101e-16, 1.892042e-15, 4.262486e-19, 2.403745e-16, 1.698831e-18, 9.946839e-16, 1.430479e+01, 8.050417e+09, 8.050417e+09, 3.905898e-07, 1.350160e-07, 2.398831e-10, 9.560638e-10, 2.864262e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.008018e-01, 4.008018e-01, 0.000000e+00, 0.000000e+00, 1.888007e-09, 5.082617e-01, 4.323912e-02, 5.399701e-08, 1.022346e-08, 1.315791e-10, 2.841694e-15, 7.150893e-16, 2.399128e-16, 1.886692e-15, 4.365420e-19, 2.403835e-16, 1.752137e-18, 1.020209e-15, 1.434884e+01, 7.599994e+09, 7.599994e+09, 3.787535e-07, 1.270720e-07, 2.312184e-10, 9.280350e-10, 2.860000e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.046883e-01, 4.046883e-01, 0.000000e+00, 0.000000e+00, 2.110221e-09, 5.082526e-01, 4.340651e-02, 6.018477e-08, 1.137530e-08, 1.462208e-10, 2.872696e-15, 7.563121e-16, 2.399181e-16, 1.876466e-15, 4.562901e-19, 2.404009e-16, 1.854292e-18, 1.069603e-15, 1.443174e+01, 6.838972e+09, 6.838972e+09, 3.584043e-07, 1.136934e-07, 2.162286e-10, 8.787195e-10, 2.852060e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.064843e-01, 4.064843e-01, 0.000000e+00, 0.000000e+00, 2.221328e-09, 5.082484e-01, 4.348975e-02, 6.327111e-08, 1.194913e-08, 1.535024e-10, 2.887988e-15, 7.765028e-16, 2.399207e-16, 1.871565e-15, 4.657812e-19, 2.404093e-16, 1.903339e-18, 1.093540e-15, 1.447096e+01, 6.514554e+09, 6.514554e+09, 3.495670e-07, 1.080078e-07, 2.096860e-10, 8.568473e-10, 2.848347e+01, nan, 1.370000e+00
