pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.910566e-01, 2.910566e-01, 0.000000e+00, 0.000000e+00, 1.111572e-09, 5.162787e-01, 4.199372e-02, 3.798366e-08, 4.266904e-09, 1.271603e-09, 7.239962e-16, 2.623503e-16, 2.564332e-16, 2.052126e-16, 5.712200e-21, 2.564610e-16, 1.236246e-20, 2.707788e-16, 8.741505e-01, 7.864093e+08, 7.864093e+08, 2.360174e-07, 2.306942e-07, 5.138848e-12, 1.112160e-11, 3.417112e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.937370e-01, 2.937370e-01, 0.000000e+00, 0.000000e+00, 1.221890e-09, 5.161769e-01, 4.199557e-02, 4.172881e-08, 4.681765e-09, 1.390871e-09, 7.235432e-16, 2.622564e-16, 2.564338e-16, 2.048530e-16, 5.744982e-21, 2.564608e-16, 1.295040e-20, 2.710086e-16, 8.785071e-01, 7.189741e+08, 7.189741e+08, 2.146318e-07, 2.098666e-07, 4.701719e-12, 1.059866e-11, 3.415104e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.961985e-01, 2.961985e-01, 0.000000e+00, 0.000000e+00, 1.332737e-09, 5.160838e-01, 4.199742e-02, 4.548873e-08, 5.097758e-09, 1.510160e-09, 7.231306e-16, 2.621715e-16, 2.564344e-16, 2.045247e-16, 5.779297e-21, 2.564606e-16, 1.351896e-20, 2.712294e-16, 8.825140e-01, 6.621816e+08, 6.621816e+08, 1.967166e-07, 1.924118e-07, 4.336412e-12, 1.014376e-11, 3.413181e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.984690e-01, 2.984690e-01, 0.000000e+00, 0.000000e+00, 1.443797e-09, 5.159984e-01, 4.199926e-02, 4.925279e-08, 5.513744e-09, 1.629172e-09, 7.227531e-16, 2.620946e-16, 2.564349e-16, 2.042236e-16, 5.814647e-21, 2.564604e-16, 1.406888e-20, 2.714419e-16, 8.862153e-01, 6.138088e+08, 6.138088e+08, 1.815315e-07, 1.776114e-07, 4.027331e-12, 9.744362e-12, 3.411338e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.005733e-01, 3.005733e-01, 0.000000e+00, 0.000000e+00, 1.554902e-09, 5.159195e-01, 4.200111e-02, 5.301543e-08, 5.929145e-09, 1.747767e-09, 7.224062e-16, 2.620250e-16, 2.564353e-16, 2.039460e-16, 5.850687e-21, 2.564602e-16, 1.460138e-20, 2.716467e-16, 8.896508e-01, 5.721587e+08, 5.721587e+08, 1.685154e-07, 1.649205e-07, 3.762736e-12, 9.390543e-12, 3.409567e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.025335e-01, 3.025335e-01, 0.000000e+00, 0.000000e+00, 1.666009e-09, 5.158462e-01, 4.200295e-02, 5.677530e-08, 6.343841e-09, 1.865933e-09, 7.220860e-16, 2.619618e-16, 2.564357e-16, 2.036884e-16, 5.887182e-21, 2.564601e-16, 1.511799e-20, 2.718448e-16, 8.928556e-01, 5.359248e+08, 5.359248e+08, 1.572391e-07, 1.539221e-07, 3.533704e-12, 9.074372e-12, 3.407862e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.043682e-01, 3.043682e-01, 0.000000e+00, 0.000000e+00, 1.777116e-09, 5.157779e-01, 4.200479e-02, 6.053242e-08, 6.757865e-09, 1.983700e-09, 7.217889e-16, 2.619044e-16, 2.564360e-16, 2.034484e-16, 5.923972e-21, 2.564600e-16, 1.562019e-20, 2.720368e-16, 8.958596e-01, 5.041086e+08, 5.041086e+08, 1.473761e-07, 1.442990e-07, 3.333474e-12, 8.789627e-12, 3.406216e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.060926e-01, 3.060926e-01, 0.000000e+00, 0.000000e+00, 1.888224e-09, 5.157139e-01, 4.200662e-02, 6.428691e-08, 7.171251e-09, 2.101092e-09, 7.215123e-16, 2.618522e-16, 2.564364e-16, 2.032237e-16, 5.960932e-21, 2.564599e-16, 1.610925e-20, 2.722235e-16, 8.986868e-01, 4.759429e+08, 4.759429e+08, 1.386765e-07, 1.358082e-07, 3.156899e-12, 8.531429e-12, 3.404623e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.092588e-01, 3.092588e-01, 0.000000e+00, 0.000000e+00, 2.110442e-09, 5.155969e-01, 4.201028e-02, 7.178836e-08, 7.996233e-09, 2.334848e-09, 7.210115e-16, 2.617615e-16, 2.564369e-16, 2.028131e-16, 6.035020e-21, 2.564597e-16, 1.705216e-20, 2.725825e-16, 9.038885e-01, 4.282934e+08, 4.282934e+08, 1.240316e-07, 1.215086e-07, 2.859600e-12, 8.079897e-12, 3.401579e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.107201e-01, 3.107201e-01, 0.000000e+00, 0.000000e+00, 2.221558e-09, 5.155431e-01, 4.201210e-02, 7.553562e-08, 8.407898e-09, 2.451255e-09, 7.207838e-16, 2.617222e-16, 2.564372e-16, 2.026245e-16, 6.072024e-21, 2.564596e-16, 1.750780e-20, 2.727557e-16, 9.062941e-01, 4.079543e+08, 4.079543e+08, 1.178102e-07, 1.154312e-07, 2.733228e-12, 7.880864e-12, 3.400120e+01, nan, 1.370000e+00
