pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.688143e-01, 3.688143e-01, 0.000000e+00, 0.000000e+00, 1.113000e-09, 5.680890e-01, 4.007615e-02, 3.868006e-08, 5.104898e-09, 7.902196e-10, 9.078250e-16, 2.419442e-16, 2.367592e-16, 4.291215e-16, 1.397082e-20, 2.367922e-16, 5.291254e-20, 2.715249e-16, 1.408469e+00, 1.265471e+09, 1.265471e+09, 2.173803e-07, 2.127217e-07, 1.255240e-11, 4.754047e-11, 3.475298e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.714946e-01, 3.714946e-01, 0.000000e+00, 0.000000e+00, 1.223930e-09, 5.680283e-01, 4.008020e-02, 4.250032e-08, 5.602696e-09, 8.661931e-10, 9.070911e-16, 2.419011e-16, 2.367593e-16, 4.284308e-16, 1.423485e-20, 2.367923e-16, 5.501537e-20, 2.725245e-16, 1.412999e+00, 1.154477e+09, 1.154477e+09, 1.976429e-07, 1.934419e-07, 1.163044e-11, 4.494976e-11, 3.472446e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.739325e-01, 3.739325e-01, 0.000000e+00, 0.000000e+00, 1.334310e-09, 5.679732e-01, 4.008421e-02, 4.629710e-08, 6.096886e-09, 9.415614e-10, 9.064522e-16, 2.418896e-16, 2.367594e-16, 4.278032e-16, 1.449104e-20, 2.367925e-16, 5.704085e-20, 2.734853e-16, 1.417125e+00, 1.062066e+09, 1.062066e+09, 1.812844e-07, 1.774395e-07, 1.086032e-11, 4.274932e-11, 3.469740e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.761827e-01, 3.761827e-01, 0.000000e+00, 0.000000e+00, 1.444906e-09, 5.679226e-01, 4.008823e-02, 5.009695e-08, 6.590974e-09, 1.016867e-09, 9.058890e-16, 2.419052e-16, 2.367594e-16, 4.272244e-16, 1.474173e-20, 2.367926e-16, 5.901071e-20, 2.744185e-16, 1.420938e+00, 9.834124e+08, 9.834124e+08, 1.674193e-07, 1.638580e-07, 1.020255e-11, 4.084052e-11, 3.467142e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.782711e-01, 3.782711e-01, 0.000000e+00, 0.000000e+00, 1.555652e-09, 5.678757e-01, 4.009225e-02, 5.389778e-08, 7.084725e-09, 1.092082e-09, 9.053911e-16, 2.419444e-16, 2.367594e-16, 4.266872e-16, 1.498721e-20, 2.367928e-16, 6.092962e-20, 2.753268e-16, 1.424483e+00, 9.156824e+08, 9.156824e+08, 1.555261e-07, 1.521931e-07, 9.634038e-12, 3.916662e-11, 3.464643e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.802190e-01, 3.802190e-01, 0.000000e+00, 0.000000e+00, 1.666503e-09, 5.678320e-01, 4.009627e-02, 5.769821e-08, 7.577989e-09, 1.167187e-09, 9.049498e-16, 2.420044e-16, 2.367594e-16, 4.261859e-16, 1.522779e-20, 2.367929e-16, 6.280177e-20, 2.762127e-16, 1.427794e+00, 8.567607e+08, 8.567607e+08, 1.452170e-07, 1.420696e-07, 9.137572e-12, 3.768477e-11, 3.462233e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.820440e-01, 3.820440e-01, 0.000000e+00, 0.000000e+00, 1.777427e-09, 5.677912e-01, 4.010028e-02, 6.149727e-08, 8.070675e-09, 1.242174e-09, 9.045583e-16, 2.420829e-16, 2.367594e-16, 4.257159e-16, 1.546376e-20, 2.367931e-16, 6.463094e-20, 2.770781e-16, 1.430901e+00, 8.050402e+08, 8.050402e+08, 1.361985e-07, 1.332034e-07, 8.700082e-12, 3.636207e-11, 3.459903e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.837604e-01, 3.837604e-01, 0.000000e+00, 0.000000e+00, 1.888404e-09, 5.677529e-01, 4.010429e-02, 6.529437e-08, 8.562726e-09, 1.317038e-09, 9.042106e-16, 2.421778e-16, 2.367594e-16, 4.252734e-16, 1.569542e-20, 2.367933e-16, 6.642049e-20, 2.779249e-16, 1.433827e+00, 7.592795e+08, 7.592795e+08, 1.282447e-07, 1.253754e-07, 8.311471e-12, 3.517281e-11, 3.457648e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.869141e-01, 3.869141e-01, 0.000000e+00, 0.000000e+00, 2.110459e-09, 5.676827e-01, 4.011229e-02, 7.288117e-08, 9.544821e-09, 1.466395e-09, 9.036281e-16, 2.424105e-16, 2.367593e-16, 4.244584e-16, 1.614681e-20, 2.367936e-16, 6.989243e-20, 2.795688e-16, 1.439216e+00, 6.819447e+08, 6.819447e+08, 1.148615e-07, 1.121838e-07, 7.650852e-12, 3.311717e-11, 3.453333e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.883704e-01, 3.883704e-01, 0.000000e+00, 0.000000e+00, 2.221518e-09, 5.676504e-01, 4.011629e-02, 7.667046e-08, 1.003485e-08, 1.540890e-09, 9.033858e-16, 2.425456e-16, 2.367592e-16, 4.240809e-16, 1.636702e-20, 2.367938e-16, 7.157989e-20, 2.803686e-16, 1.441711e+00, 6.489754e+08, 6.489754e+08, 1.091801e-07, 1.065754e-07, 7.367492e-12, 3.222116e-11, 3.451264e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.897566e-01, 3.897566e-01, 0.000000e+00, 0.000000e+00, 2.332591e-09, 5.676196e-01, 4.012028e-02, 8.045686e-08, 1.052420e-08, 1.615268e-09, 9.031718e-16, 2.426919e-16, 2.367591e-16, 4.237208e-16, 1.658385e-20, 2.367939e-16, 7.323794e-20, 2.811549e-16, 1.444089e+00, 6.190923e+08, 6.190923e+08, 1.040439e-07, 1.015005e-07, 7.109627e-12, 3.139768e-11, 3.449249e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.910792e-01, 3.910792e-01, 0.000000e+00, 0.000000e+00, 2.443674e-09, 5.675904e-01, 4.012427e-02, 8.424033e-08, 1.101289e-08, 1.689531e-09, 9.029837e-16, 2.428482e-16, 2.367590e-16, 4.233765e-16, 1.679750e-20, 2.367941e-16, 7.486853e-20, 2.819288e-16, 1.446362e+00, 5.918802e+08, 5.918802e+08, 9.937833e-08, 9.688652e-08, 6.873874e-12, 3.063770e-11, 3.447283e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 3.923439e-01, 3.923439e-01, 0.000000e+00, 0.000000e+00, 2.554763e-09, 5.675624e-01, 4.012826e-02, 8.802086e-08, 1.150092e-08, 1.763683e-09, 9.028191e-16, 2.430138e-16, 2.367589e-16, 4.230463e-16, 1.700815e-20, 2.367943e-16, 7.647338e-20, 2.826912e-16, 1.448539e+00, 5.669953e+08, 5.669953e+08, 9.512187e-08, 9.267353e-08, 6.657427e-12, 2.993365e-11, 3.445363e+01, nan, 1.370000e+00
