pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.188934e-01, 2.188934e-01, 0.000000e+00, 0.000000e+00, 1.110202e-09, 4.513537e-01, 4.779178e-02, 3.258801e-08, 4.246093e-09, 8.192668e-10, 9.595344e-16, 2.553349e-16, 2.565443e-16, 4.476552e-16, 2.940825e-20, 2.566747e-16, 1.651378e-20, 2.854183e-16, 1.355116e+00, 1.220604e+09, 1.220604e+09, 2.299897e-07, 2.310789e-07, 2.648910e-11, 1.487457e-11, 2.935323e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.220621e-01, 2.220621e-01, 0.000000e+00, 0.000000e+00, 1.221219e-09, 4.512652e-01, 4.779658e-02, 3.581971e-08, 4.661018e-09, 8.959014e-10, 9.584057e-16, 2.551339e-16, 2.565427e-16, 4.467291e-16, 2.960620e-20, 2.566704e-16, 1.037300e-20, 2.862591e-16, 1.363118e+00, 1.116194e+09, 1.116194e+09, 2.089174e-07, 2.100710e-07, 2.424315e-11, 8.493974e-12, 2.933112e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.249583e-01, 2.249583e-01, 0.000000e+00, 0.000000e+00, 1.332274e-09, 4.511848e-01, 4.780137e-02, 3.904899e-08, 5.075098e-09, 9.722250e-10, 9.573969e-16, 2.549685e-16, 2.565413e-16, 4.458871e-16, 2.981958e-20, 2.566667e-16, 4.717309e-21, 2.870708e-16, 1.370334e+00, 1.028568e+09, 1.028568e+09, 1.913785e-07, 1.925590e-07, 2.238248e-11, 3.540797e-12, 2.931004e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.276251e-01, 2.276251e-01, 0.000000e+00, 0.000000e+00, 1.443349e-09, 4.511113e-01, 4.780616e-02, 4.227553e-08, 5.488335e-09, 1.048256e-09, 9.564892e-16, 2.548338e-16, 2.565400e-16, 4.451154e-16, 3.004408e-20, 2.566635e-16, 5.382441e-22, 2.878568e-16, 1.376905e+00, 9.539651e+08, 9.539651e+08, 1.765573e-07, 1.777394e-07, 2.081553e-11, 3.729133e-13, 2.928989e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.300963e-01, 2.300963e-01, 0.000000e+00, 0.000000e+00, 1.554436e-09, 4.510436e-01, 4.781093e-02, 4.549919e-08, 5.900754e-09, 1.124014e-09, 9.556679e-16, 2.547261e-16, 2.565389e-16, 4.444030e-16, 3.027659e-20, 2.566607e-16, 5.458291e-21, 2.886203e-16, 1.382933e+00, 8.896683e+08, 8.896683e+08, 1.638704e-07, 1.650366e-07, 1.947754e-11, 3.511428e-12, 2.927054e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.323986e-01, 2.323986e-01, 0.000000e+00, 0.000000e+00, 1.665531e-09, 4.509808e-01, 4.781570e-02, 4.871997e-08, 6.312385e-09, 1.199517e-09, 9.549212e-16, 2.546419e-16, 2.565378e-16, 4.437414e-16, 3.051490e-20, 2.566582e-16, 1.009306e-20, 2.893637e-16, 1.388501e+00, 8.336687e+08, 8.336687e+08, 1.528894e-07, 1.540277e-07, 1.832143e-11, 6.059967e-12, 2.925192e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.346392e-01, 2.346392e-01, 0.000000e+00, 0.000000e+00, 1.781178e-09, 4.509200e-01, 4.782065e-02, 5.206960e-08, 6.740068e-09, 1.277858e-09, 9.542130e-16, 2.545766e-16, 2.565369e-16, 4.430995e-16, 3.076734e-20, 2.566558e-16, 1.465729e-20, 2.901184e-16, 1.393878e+00, 7.825593e+08, 7.825593e+08, 1.429260e-07, 1.440265e-07, 1.727359e-11, 8.228986e-12, 2.923324e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.366420e-01, 2.366420e-01, 0.000000e+00, 0.000000e+00, 1.891259e-09, 4.508659e-01, 4.782536e-02, 5.525510e-08, 7.146427e-09, 1.352202e-09, 9.535964e-16, 2.545334e-16, 2.565360e-16, 4.425271e-16, 3.101052e-20, 2.566538e-16, 1.878747e-20, 2.908204e-16, 1.398651e+00, 7.395344e+08, 7.395344e+08, 1.345841e-07, 1.356430e-07, 1.639676e-11, 9.933847e-12, 2.921605e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.403334e-01, 2.403334e-01, 0.000000e+00, 0.000000e+00, 2.112053e-09, 4.507667e-01, 4.783479e-02, 6.163630e-08, 7.959448e-09, 1.500706e-09, 9.525043e-16, 2.544950e-16, 2.565344e-16, 4.414749e-16, 3.150331e-20, 2.566504e-16, 2.654012e-20, 2.921861e-16, 1.407373e+00, 6.663532e+08, 6.663532e+08, 1.204965e-07, 1.214621e-07, 1.491597e-11, 1.256603e-11, 2.918313e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 5.000000e-07, 1.000000e-06, 2.420417e-01, 2.420417e-01, 0.000000e+00, 0.000000e+00, 2.222677e-09, 4.507211e-01, 4.783950e-02, 6.482955e-08, 8.365832e-09, 1.574826e-09, 9.520199e-16, 2.544971e-16, 2.565337e-16, 4.409891e-16, 3.175151e-20, 2.566489e-16, 3.019649e-20, 2.928515e-16, 1.411379e+00, 6.349906e+08, 6.349906e+08, 1.145003e-07, 1.154166e-07, 1.428526e-11, 1.358564e-11, 2.916733e+01, nan, 1.370000e+00
