pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.749202e-02, 4.749202e-02, 0.000000e+00, 0.000000e+00, 1.110849e-09, 3.167388e-01, 5.600576e-02, 2.671214e-08, 3.691193e-09, 1.062787e-08, 6.852362e-16, 2.860083e-16, 2.804600e-16, 1.187678e-16, 9.552665e-20, 2.823617e-16, 1.960566e-18, 2.915024e-16, 1.045223e-01, 9.409226e+07, 9.409226e+07, 2.574683e-07, 2.524736e-07, 8.599429e-11, 1.764926e-09, 2.404660e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 5.037819e-02, 5.037819e-02, 0.000000e+00, 0.000000e+00, 1.221943e-09, 3.168072e-01, 5.601041e-02, 2.936841e-08, 4.049616e-09, 1.030376e-08, 6.852602e-16, 2.863227e-16, 2.803856e-16, 1.185518e-16, 9.046562e-20, 2.821204e-16, 1.756377e-18, 2.918091e-16, 1.185920e-01, 9.705198e+07, 9.705198e+07, 2.343175e-07, 2.294588e-07, 7.403423e-11, 1.437364e-09, 2.403419e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 5.309850e-02, 5.309850e-02, 0.000000e+00, 0.000000e+00, 1.333038e-09, 3.152211e-01, 5.601510e-02, 3.202244e-08, 4.406845e-09, 1.001168e-08, 6.852844e-16, 2.866113e-16, 2.803242e-16, 1.183489e-16, 8.618138e-20, 2.819214e-16, 1.588807e-18, 2.921087e-16, 1.331483e-01, 9.988335e+07, 9.988335e+07, 2.150060e-07, 2.102896e-07, 6.465034e-11, 1.191869e-09, 2.402214e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 5.566915e-02, 5.566915e-02, 0.000000e+00, 0.000000e+00, 1.444134e-09, 3.138811e-01, 5.601983e-02, 3.467430e-08, 4.762984e-09, 9.753510e-09, 6.853089e-16, 2.868784e-16, 2.802726e-16, 1.181578e-16, 8.251313e-20, 2.817549e-16, 1.449189e-18, 2.924002e-16, 1.480630e-01, 1.025272e+08, 1.025272e+08, 1.986508e-07, 1.940765e-07, 5.713673e-11, 1.003500e-09, 2.401043e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 5.810402e-02, 5.810402e-02, 0.000000e+00, 0.000000e+00, 1.555231e-09, 3.127374e-01, 5.602460e-02, 3.732407e-08, 5.118121e-09, 9.529346e-09, 6.853335e-16, 2.871273e-16, 2.802289e-16, 1.179773e-16, 7.934113e-20, 2.816138e-16, 1.331324e-18, 2.926832e-16, 1.632044e-01, 1.049390e+08, 1.049390e+08, 1.846203e-07, 1.801847e-07, 5.101565e-11, 8.560294e-10, 2.399905e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 6.041525e-02, 6.041525e-02, 0.000000e+00, 0.000000e+00, 1.666329e-09, 3.117525e-01, 5.602939e-02, 3.997182e-08, 5.472330e-09, 9.338084e-09, 6.853583e-16, 2.873606e-16, 2.801912e-16, 1.178065e-16, 7.657442e-20, 2.814929e-16, 1.230670e-18, 2.929577e-16, 1.784444e-01, 1.070883e+08, 1.070883e+08, 1.724513e-07, 1.681488e-07, 4.595397e-11, 7.385521e-10, 2.398796e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 6.261346e-02, 6.261346e-02, 0.000000e+00, 0.000000e+00, 1.777427e-09, 3.108971e-01, 5.603421e-02, 4.261763e-08, 5.825677e-09, 9.177887e-09, 6.853833e-16, 2.875804e-16, 2.801586e-16, 1.176443e-16, 7.414266e-20, 2.813882e-16, 1.143837e-18, 2.932238e-16, 1.936640e-01, 1.089575e+08, 1.089575e+08, 1.617959e-07, 1.576203e-07, 4.171348e-11, 6.435355e-10, 2.397715e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 6.470893e-02, 6.470893e-02, 0.000000e+00, 0.000000e+00, 1.888571e-09, 3.101483e-01, 5.603904e-02, 4.526265e-08, 6.178361e-09, 9.046467e-09, 6.854085e-16, 2.877884e-16, 2.801300e-16, 1.174901e-16, 7.198982e-20, 2.812969e-16, 1.068215e-18, 2.934819e-16, 2.087634e-01, 1.105404e+08, 1.105404e+08, 1.523842e-07, 1.483291e-07, 3.811867e-11, 5.656209e-10, 2.396661e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 6.863060e-02, 6.863060e-02, 0.000000e+00, 0.000000e+00, 2.111396e-09, 3.089005e-01, 5.604878e-02, 5.055998e-08, 6.883178e-09, 8.860205e-09, 6.854596e-16, 2.881751e-16, 2.800822e-16, 1.172023e-16, 6.834899e-20, 2.811449e-16, 9.429062e-19, 2.939763e-16, 2.383011e-01, 1.128642e+08, 1.128642e+08, 1.364856e-07, 1.326526e-07, 3.237147e-11, 4.465795e-10, 2.394623e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 7.048265e-02, 7.048265e-02, 0.000000e+00, 0.000000e+00, 2.223843e-09, 3.083726e-01, 5.605371e-02, 5.323057e-08, 7.237795e-09, 8.800490e-09, 6.854858e-16, 2.883571e-16, 2.800619e-16, 1.170668e-16, 6.678834e-20, 2.810808e-16, 8.901369e-19, 2.942147e-16, 2.526953e-01, 1.136300e+08, 1.136300e+08, 1.296661e-07, 1.259360e-07, 3.003285e-11, 4.002698e-10, 2.393630e+01, nan, 1.370000e+00
