pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.380323e-01, 2.380323e-01, 0.000000e+00, 0.000000e+00, 1.109976e-09, 4.668333e-01, 5.557936e-02, 2.827501e-08, 5.289714e-09, 5.348613e-10, 7.300023e-16, 2.601412e-16, 2.396056e-16, 2.302555e-16, 3.373018e-20, 2.397379e-16, 3.222022e-20, 2.739957e-16, 2.075260e+00, 1.869643e+09, 1.869643e+09, 2.343664e-07, 2.158656e-07, 3.038820e-11, 2.902785e-11, 2.547353e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.417034e-01, 2.417034e-01, 0.000000e+00, 0.000000e+00, 1.220885e-09, 4.667598e-01, 5.559015e-02, 3.107220e-08, 5.802320e-09, 5.848817e-10, 7.299341e-16, 2.605902e-16, 2.396037e-16, 2.297403e-16, 3.398086e-20, 2.397357e-16, 3.622567e-20, 2.749143e-16, 2.087405e+00, 1.709748e+09, 1.709748e+09, 2.134437e-07, 1.962541e-07, 2.783298e-11, 2.967165e-11, 2.545056e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.450605e-01, 2.450605e-01, 0.000000e+00, 0.000000e+00, 1.331872e-09, 4.666930e-01, 5.560093e-02, 3.386795e-08, 6.313735e-09, 6.347518e-10, 7.299013e-16, 2.610326e-16, 2.396018e-16, 2.292668e-16, 3.424334e-20, 2.397338e-16, 3.994820e-20, 2.757949e-16, 2.098257e+00, 1.575419e+09, 1.575419e+09, 1.959892e-07, 1.798985e-07, 2.571067e-11, 2.999401e-11, 2.542883e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.481529e-01, 2.481529e-01, 0.000000e+00, 0.000000e+00, 1.442905e-09, 4.666318e-01, 5.561170e-02, 3.666160e-08, 6.823915e-09, 6.844724e-10, 7.298979e-16, 2.614694e-16, 2.396001e-16, 2.288283e-16, 3.451383e-20, 2.397321e-16, 4.343548e-20, 2.766425e-16, 2.108055e+00, 1.460979e+09, 1.460979e+09, 1.812104e-07, 1.660539e-07, 2.391968e-11, 3.010279e-11, 2.540818e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.510190e-01, 2.510190e-01, 0.000000e+00, 0.000000e+00, 1.553964e-09, 4.665755e-01, 5.562246e-02, 3.945281e-08, 7.332867e-09, 7.340483e-10, 7.299194e-16, 2.619015e-16, 2.395984e-16, 2.284195e-16, 3.478967e-20, 2.397307e-16, 4.672403e-20, 2.774611e-16, 2.116978e+00, 1.362308e+09, 1.362308e+09, 1.685376e-07, 1.541853e-07, 2.238769e-11, 3.006763e-11, 2.538849e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.536897e-01, 2.536897e-01, 0.000000e+00, 0.000000e+00, 1.665039e-09, 4.665233e-01, 5.563320e-02, 4.224145e-08, 7.840623e-09, 7.834864e-10, 7.299624e-16, 2.623292e-16, 2.395969e-16, 2.280363e-16, 3.506894e-20, 2.397294e-16, 4.984237e-20, 2.782542e-16, 2.125166e+00, 1.276346e+09, 1.276346e+09, 1.575514e-07, 1.438987e-07, 2.106194e-11, 2.993466e-11, 2.536965e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.561900e-01, 2.561900e-01, 0.000000e+00, 0.000000e+00, 1.776122e-09, 4.664746e-01, 5.564393e-02, 4.502750e-08, 8.347229e-09, 8.327937e-10, 7.300238e-16, 2.627532e-16, 2.395953e-16, 2.276753e-16, 3.535024e-20, 2.397283e-16, 5.281318e-20, 2.790245e-16, 2.132727e+00, 1.200778e+09, 1.200778e+09, 1.479365e-07, 1.348980e-07, 1.990305e-11, 2.973511e-11, 2.535159e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.586345e-01, 2.586345e-01, 0.000000e+00, 0.000000e+00, 1.891796e-09, 4.664272e-01, 5.565509e-02, 4.792566e-08, 8.873578e-09, 8.840052e-10, 7.301039e-16, 2.631902e-16, 2.395938e-16, 2.273199e-16, 3.564420e-20, 2.397273e-16, 5.576890e-20, 2.798047e-16, 2.140028e+00, 1.131215e+09, 1.131215e+09, 1.391219e-07, 1.266488e-07, 1.884146e-11, 2.947934e-11, 2.533342e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.629033e-01, 2.629033e-01, 0.000000e+00, 0.000000e+00, 2.111906e-09, 4.663450e-01, 5.567629e-02, 5.343266e-08, 9.871996e-09, 9.811060e-10, 7.302967e-16, 2.640125e-16, 2.395909e-16, 2.266932e-16, 3.620360e-20, 2.397257e-16, 6.106398e-20, 2.812354e-16, 2.152577e+00, 1.019258e+09, 1.019258e+09, 1.250115e-07, 1.134477e-07, 1.714262e-11, 2.891416e-11, 2.530068e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.648820e-01, 2.648820e-01, 0.000000e+00, 0.000000e+00, 2.222325e-09, 4.663070e-01, 5.568691e-02, 5.619164e-08, 1.037140e-08, 1.029658e-09, 7.304105e-16, 2.644211e-16, 2.395896e-16, 2.263998e-16, 3.648326e-20, 2.397250e-16, 6.358040e-20, 2.819295e-16, 2.158313e+00, 9.711961e+08, 9.711961e+08, 1.189840e-07, 1.078103e-07, 1.641671e-11, 2.860986e-11, 2.528507e+01, nan, 1.370000e+00
