pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.693691e-01, 1.693691e-01, 0.000000e+00, 0.000000e+00, 1.110217e-09, 3.959765e-01, 5.579621e-02, 2.852540e-08, 5.025274e-09, 6.804153e-10, 7.650277e-16, 2.773830e-16, 2.596103e-16, 2.280344e-16, 5.213461e-20, 2.598765e-16, 5.815703e-20, 2.906368e-16, 1.631675e+00, 1.469691e+09, 1.469691e+09, 2.498459e-07, 2.338375e-07, 4.695895e-11, 5.238350e-11, 2.569354e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.729943e-01, 1.729943e-01, 0.000000e+00, 0.000000e+00, 1.221239e-09, 3.958792e-01, 5.580606e-02, 3.135067e-08, 5.512842e-09, 7.380993e-10, 7.649195e-16, 2.777849e-16, 2.596054e-16, 2.275291e-16, 5.198684e-20, 2.598659e-16, 4.800499e-20, 2.914876e-16, 1.654573e+00, 1.354831e+09, 1.354831e+09, 2.274616e-07, 2.125754e-07, 4.256894e-11, 3.930843e-11, 2.567120e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.763085e-01, 1.763085e-01, 0.000000e+00, 0.000000e+00, 1.332292e-09, 3.957920e-01, 5.581590e-02, 3.417337e-08, 5.999084e-09, 7.956632e-10, 7.648445e-16, 2.781773e-16, 2.596011e-16, 2.270661e-16, 5.191411e-20, 2.598568e-16, 3.897915e-20, 2.922993e-16, 1.674442e+00, 1.256813e+09, 1.256813e+09, 2.087961e-07, 1.948531e-07, 3.896603e-11, 2.925722e-11, 2.565007e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.793608e-01, 1.793608e-01, 0.000000e+00, 0.000000e+00, 1.443361e-09, 3.957131e-01, 5.582572e-02, 3.699332e-08, 6.484048e-09, 8.530954e-10, 7.647974e-16, 2.785619e-16, 2.595972e-16, 2.266383e-16, 5.189924e-20, 2.598490e-16, 3.085028e-20, 2.930776e-16, 1.691911e+00, 1.172202e+09, 1.172202e+09, 1.929952e-07, 1.798560e-07, 3.595721e-11, 2.137391e-11, 2.562998e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.821896e-01, 1.821896e-01, 0.000000e+00, 0.000000e+00, 1.554441e-09, 3.956410e-01, 5.583552e-02, 3.981052e-08, 6.967793e-09, 9.103918e-10, 7.647742e-16, 2.789400e-16, 2.595937e-16, 2.262405e-16, 5.192975e-20, 2.598421e-16, 2.345028e-20, 2.938268e-16, 1.707442e+00, 1.098428e+09, 1.098428e+09, 1.794471e-07, 1.670013e-07, 3.340734e-11, 1.508598e-11, 2.561082e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.848257e-01, 1.848257e-01, 0.000000e+00, 0.000000e+00, 1.665527e-09, 3.955747e-01, 5.584532e-02, 4.262499e-08, 7.450382e-09, 9.675521e-10, 7.647715e-16, 2.793127e-16, 2.595905e-16, 2.258683e-16, 5.199639e-20, 2.598361e-16, 1.665274e-20, 2.945505e-16, 1.721383e+00, 1.033536e+09, 1.033536e+09, 1.677023e-07, 1.558609e-07, 3.121918e-11, 9.998478e-12, 2.559249e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.873860e-01, 1.873860e-01, 0.000000e+00, 0.000000e+00, 1.780909e-09, 3.955110e-01, 5.585547e-02, 4.554540e-08, 7.950454e-09, 1.026779e-09, 7.647876e-16, 2.796948e-16, 2.595874e-16, 2.255053e-16, 5.209633e-20, 2.598305e-16, 1.012649e-20, 2.952784e-16, 1.734462e+00, 9.739192e+08, 9.739192e+08, 1.570517e-07, 1.457612e-07, 2.925265e-11, 5.686132e-12, 2.557424e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.896825e-01, 1.896825e-01, 0.000000e+00, 0.000000e+00, 1.891095e-09, 3.954545e-01, 5.586516e-02, 4.833163e-08, 8.426944e-09, 1.083206e-09, 7.648186e-16, 2.800557e-16, 2.595847e-16, 2.251782e-16, 5.221550e-20, 2.598257e-16, 4.325094e-21, 2.959532e-16, 1.745831e+00, 9.231854e+08, 9.231854e+08, 1.480918e-07, 1.372669e-07, 2.761125e-11, 2.287085e-12, 2.555749e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.939138e-01, 1.939138e-01, 0.000000e+00, 0.000000e+00, 2.112011e-09, 3.953517e-01, 5.588455e-02, 5.391045e-08, 9.379367e-09, 1.195965e-09, 7.649201e-16, 2.807691e-16, 2.595796e-16, 2.245713e-16, 5.250839e-20, 2.598175e-16, 6.265895e-21, 2.972543e-16, 1.765946e+00, 8.361445e+08, 8.361445e+08, 1.329393e-07, 1.229064e-07, 2.486180e-11, 2.966791e-12, 2.552566e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.958717e-01, 1.958717e-01, 0.000000e+00, 0.000000e+00, 2.222665e-09, 3.953047e-01, 5.589424e-02, 5.670130e-08, 9.855059e-09, 1.252267e-09, 7.649879e-16, 2.811221e-16, 2.595773e-16, 2.242884e-16, 5.267621e-20, 2.598139e-16, 1.113596e-20, 2.978831e-16, 1.774913e+00, 7.985517e+08, 7.985517e+08, 1.264797e-07, 1.167865e-07, 2.369957e-11, 5.010185e-12, 2.551050e+01, nan, 1.370000e+00
