pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.448834e-01, 4.448834e-01, 0.000000e+00, 0.000000e+00, 1.110220e-09, 5.540150e-01, 3.606954e-02, 3.784529e-08, 7.013611e-09, 8.467548e-11, 2.679411e-15, 5.261047e-16, 2.397345e-16, 1.913571e-15, 2.303610e-19, 2.399610e-16, 9.950293e-19, 7.629985e-16, 1.311147e+01, 1.180979e+10, 1.180979e+10, 4.738744e-07, 2.159343e-07, 2.074914e-10, 8.962455e-10, 3.408811e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.476788e-01, 4.476788e-01, 0.000000e+00, 0.000000e+00, 1.221325e-09, 5.540089e-01, 3.615150e-02, 4.152502e-08, 7.685803e-09, 9.283917e-11, 2.692272e-15, 5.444129e-16, 2.397367e-16, 1.908122e-15, 2.387904e-19, 2.399680e-16, 1.040187e-18, 7.881888e-16, 1.315528e+01, 1.077132e+10, 1.077132e+10, 4.457559e-07, 1.962923e-07, 1.955175e-10, 8.516869e-10, 3.399997e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.502382e-01, 4.502382e-01, 0.000000e+00, 0.000000e+00, 1.332487e-09, 5.540032e-01, 3.623313e-02, 4.519446e-08, 8.355333e-09, 1.009708e-10, 2.705164e-15, 5.624889e-16, 2.397388e-16, 1.902937e-15, 2.469195e-19, 2.399747e-16, 1.083779e-18, 8.126131e-16, 1.319676e+01, 9.903857e+09, 9.903857e+09, 4.221346e-07, 1.799183e-07, 1.853072e-10, 8.133504e-10, 3.391737e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.525965e-01, 4.525965e-01, 0.000000e+00, 0.000000e+00, 1.443570e-09, 5.539981e-01, 3.631435e-02, 4.884992e-08, 9.021610e-09, 1.090619e-10, 2.718044e-15, 5.803218e-16, 2.397408e-16, 1.897982e-15, 2.547717e-19, 2.399811e-16, 1.125924e-18, 8.363278e-16, 1.323625e+01, 9.169104e+09, 9.169104e+09, 4.020045e-07, 1.660749e-07, 1.764872e-10, 7.799576e-10, 3.383965e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.547849e-01, 4.547849e-01, 0.000000e+00, 0.000000e+00, 1.554664e-09, 5.539933e-01, 3.639522e-02, 5.249505e-08, 9.685360e-09, 1.171205e-10, 2.730902e-15, 5.979360e-16, 2.397427e-16, 1.893223e-15, 2.623805e-19, 2.399874e-16, 1.166794e-18, 8.594220e-16, 1.327406e+01, 8.538217e+09, 8.538217e+09, 3.846080e-07, 1.542087e-07, 1.687700e-10, 7.505121e-10, 3.376618e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.568266e-01, 4.568266e-01, 0.000000e+00, 0.000000e+00, 1.665763e-09, 5.539889e-01, 3.647576e-02, 5.613029e-08, 1.034672e-08, 1.251473e-10, 2.743722e-15, 6.153395e-16, 2.397445e-16, 1.888638e-15, 2.697680e-19, 2.399934e-16, 1.206503e-18, 8.819522e-16, 1.331042e+01, 7.990584e+09, 7.990584e+09, 3.694040e-07, 1.439247e-07, 1.619486e-10, 7.242948e-10, 3.369645e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.587404e-01, 4.587404e-01, 0.000000e+00, 0.000000e+00, 1.776865e-09, 5.539847e-01, 3.655595e-02, 5.975610e-08, 1.100583e-08, 1.331433e-10, 2.756491e-15, 6.325397e-16, 2.397462e-16, 1.884205e-15, 2.769529e-19, 2.399993e-16, 1.245148e-18, 9.039657e-16, 1.334551e+01, 7.510705e+09, 7.510705e+09, 3.559863e-07, 1.349265e-07, 1.558660e-10, 7.007554e-10, 3.363007e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.605416e-01, 4.605416e-01, 0.000000e+00, 0.000000e+00, 1.887970e-09, 5.539808e-01, 3.663582e-02, 6.337289e-08, 1.166279e-08, 1.411093e-10, 2.769201e-15, 6.495437e-16, 2.397479e-16, 1.879910e-15, 2.839512e-19, 2.400051e-16, 1.282810e-18, 9.255031e-16, 1.337949e+01, 7.086708e+09, 7.086708e+09, 3.440434e-07, 1.269871e-07, 1.504003e-10, 6.794653e-10, 3.356668e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.638550e-01, 4.638550e-01, 0.000000e+00, 0.000000e+00, 2.110183e-09, 5.539736e-01, 3.679455e-02, 7.058096e-08, 1.297071e-08, 1.569542e-10, 2.794419e-15, 6.829879e-16, 2.397511e-16, 1.871680e-15, 2.974415e-19, 2.400161e-16, 1.355463e-18, 9.672835e-16, 1.344458e+01, 6.371285e+09, 6.371285e+09, 3.236629e-07, 1.136163e-07, 1.409553e-10, 6.423439e-10, 3.344779e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 4.653870e-01, 4.653870e-01, 0.000000e+00, 0.000000e+00, 2.221291e-09, 5.539703e-01, 3.687344e-02, 7.417291e-08, 1.362186e-08, 1.648346e-10, 2.806917e-15, 6.994397e-16, 2.397526e-16, 1.867725e-15, 3.039561e-19, 2.400214e-16, 1.390571e-18, 9.875831e-16, 1.347587e+01, 6.066687e+09, 6.066687e+09, 3.148799e-07, 1.079339e-07, 1.368376e-10, 6.260193e-10, 3.339181e+01, nan, 1.370000e+00
