pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.339616e-01, 2.339616e-01, 0.000000e+00, 0.000000e+00, 1.110691e-09, 3.934679e-01, 3.471829e-02, 3.957801e-08, 4.996014e-09, 4.527509e-10, 1.924335e-15, 2.968120e-16, 2.768096e-16, 1.350713e-15, 2.025251e-19, 2.773826e-16, 6.642666e-19, 4.728277e-16, 2.453205e+00, 2.208720e+09, 2.208720e+09, 2.672319e-07, 2.492229e-07, 1.823416e-10, 5.980662e-10, 3.563369e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.366079e-01, 2.366079e-01, 0.000000e+00, 0.000000e+00, 1.221753e-09, 3.934355e-01, 3.473185e-02, 4.347279e-08, 5.481531e-09, 4.960854e-10, 1.926406e-15, 3.016026e-16, 2.768081e-16, 1.347995e-15, 2.086759e-19, 2.773822e-16, 7.169347e-19, 4.827243e-16, 2.462787e+00, 2.015782e+09, 2.015782e+09, 2.468606e-07, 2.265664e-07, 1.708004e-10, 5.868084e-10, 3.558232e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.390276e-01, 2.390276e-01, 0.000000e+00, 0.000000e+00, 1.332836e-09, 3.934060e-01, 3.474539e-02, 4.736038e-08, 5.965614e-09, 5.392928e-10, 1.928821e-15, 3.065584e-16, 2.768069e-16, 1.345456e-15, 2.146826e-19, 2.773827e-16, 7.675029e-19, 4.923943e-16, 2.471451e+00, 1.854280e+09, 1.854280e+09, 2.300046e-07, 2.076827e-07, 1.610721e-10, 5.758420e-10, 3.553354e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.412568e-01, 2.412568e-01, 0.000000e+00, 0.000000e+00, 1.443930e-09, 3.933790e-01, 3.475891e-02, 5.124082e-08, 6.448318e-09, 5.823801e-10, 1.931528e-15, 3.116554e-16, 2.768060e-16, 1.343067e-15, 2.205594e-19, 2.773839e-16, 8.162800e-19, 5.018666e-16, 2.479360e+00, 1.717092e+09, 1.717092e+09, 2.158383e-07, 1.917032e-07, 1.527493e-10, 5.653182e-10, 3.548705e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.433235e-01, 2.433235e-01, 0.000000e+00, 0.000000e+00, 1.555030e-09, 3.933540e-01, 3.477241e-02, 5.511430e-08, 6.929701e-09, 6.253545e-10, 1.934484e-15, 3.168747e-16, 2.768053e-16, 1.340804e-15, 2.263182e-19, 2.773857e-16, 8.635094e-19, 5.111650e-16, 2.486638e+00, 1.599093e+09, 1.599093e+09, 2.037740e-07, 1.780064e-07, 1.455394e-10, 5.553007e-10, 3.544259e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.452499e-01, 2.452499e-01, 0.000000e+00, 0.000000e+00, 1.666134e-09, 3.933308e-01, 3.478589e-02, 5.898103e-08, 7.409826e-09, 6.682229e-10, 1.937656e-15, 3.222013e-16, 2.768048e-16, 1.338650e-15, 2.319696e-19, 2.773878e-16, 9.093862e-19, 5.203089e-16, 2.493380e+00, 1.496507e+09, 1.496507e+09, 1.933826e-07, 1.661360e-07, 1.392263e-10, 5.458062e-10, 3.539993e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.470541e-01, 2.470541e-01, 0.000000e+00, 0.000000e+00, 1.777239e-09, 3.933091e-01, 3.479936e-02, 6.284125e-08, 7.888750e-09, 7.109914e-10, 1.941017e-15, 3.276226e-16, 2.768045e-16, 1.336589e-15, 2.375228e-19, 2.773904e-16, 9.540692e-19, 5.293146e-16, 2.499664e+00, 1.406487e+09, 1.406487e+09, 1.843436e-07, 1.557497e-07, 1.336470e-10, 5.368265e-10, 3.535891e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.487509e-01, 2.487509e-01, 0.000000e+00, 0.000000e+00, 1.888346e-09, 3.932888e-01, 3.481280e-02, 6.669519e-08, 8.366528e-09, 7.536655e-10, 1.944543e-15, 3.331285e-16, 2.768042e-16, 1.334611e-15, 2.429856e-19, 2.773932e-16, 9.976892e-19, 5.381959e-16, 2.505549e+00, 1.326849e+09, 1.326849e+09, 1.764129e-07, 1.465856e-07, 1.286764e-10, 5.283403e-10, 3.531937e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.518689e-01, 2.518689e-01, 0.000000e+00, 0.000000e+00, 2.110561e-09, 3.932516e-01, 3.483963e-02, 7.438511e-08, 9.318840e-09, 8.387496e-10, 1.952026e-15, 3.443604e-16, 2.768041e-16, 1.330861e-15, 2.536673e-19, 2.773995e-16, 1.082160e-18, 5.556302e-16, 2.516318e+00, 1.192251e+09, 1.192251e+09, 1.631606e-07, 1.311519e-07, 1.201895e-10, 5.127356e-10, 3.524424e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.533205e-01, 2.533205e-01, 0.000000e+00, 0.000000e+00, 2.222567e-09, 3.932344e-01, 3.485313e-02, 7.825247e-08, 9.797294e-09, 8.815106e-10, 1.955984e-15, 3.501192e-16, 2.768041e-16, 1.329061e-15, 2.589396e-19, 2.774030e-16, 1.123509e-18, 5.642707e-16, 2.521316e+00, 1.134416e+09, 1.134416e+09, 1.575292e-07, 1.245425e-07, 1.165048e-10, 5.055008e-10, 3.520815e+01, nan, 1.370000e+00
