pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.664984e-01, 1.664984e-01, 0.000000e+00, 0.000000e+00, 1.110234e-09, 3.534838e-01, 4.115257e-02, 3.342069e-08, 4.376044e-09, 4.665293e-10, 1.929024e-15, 2.608729e-16, 2.774313e-16, 1.390720e-15, 2.979533e-19, 2.787685e-16, 2.660213e-20, 4.300915e-16, 2.379774e+00, 2.143488e+09, 2.143488e+09, 2.349710e-07, 2.498854e-07, 2.683698e-10, 2.396082e-11, 3.010237e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.696253e-01, 1.696253e-01, 0.000000e+00, 0.000000e+00, 1.221330e-09, 3.534330e-01, 4.116790e-02, 3.671612e-08, 4.801317e-09, 5.066012e-10, 1.928436e-15, 2.633641e-16, 2.774097e-16, 1.387662e-15, 3.030083e-19, 2.787220e-16, 6.239480e-20, 4.376224e-16, 2.410832e+00, 1.973939e+09, 1.973939e+09, 2.156371e-07, 2.271373e-07, 2.480969e-10, 5.108757e-11, 3.006240e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.724839e-01, 1.724839e-01, 0.000000e+00, 0.000000e+00, 1.332428e-09, 3.533874e-01, 4.118320e-02, 4.000547e-08, 5.225263e-09, 5.465148e-10, 1.928275e-15, 2.660453e-16, 2.773914e-16, 1.384838e-15, 3.081096e-19, 2.786830e-16, 1.440965e-19, 4.449786e-16, 2.438046e+00, 1.829777e+09, 1.829777e+09, 1.996695e-07, 2.081848e-07, 2.312391e-10, 1.081457e-10, 3.002448e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.751359e-01, 1.751359e-01, 0.000000e+00, 0.000000e+00, 1.444356e-09, 3.533459e-01, 4.119860e-02, 4.331350e-08, 5.651113e-09, 5.865760e-10, 1.928477e-15, 2.689124e-16, 2.773755e-16, 1.382189e-15, 3.132692e-19, 2.786497e-16, 2.204535e-19, 4.522363e-16, 2.462352e+00, 1.704809e+09, 1.704809e+09, 1.861815e-07, 1.920409e-07, 2.168919e-10, 1.526310e-10, 2.998810e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.775703e-01, 1.775703e-01, 0.000000e+00, 0.000000e+00, 1.555205e-09, 3.533083e-01, 4.121381e-02, 4.658411e-08, 6.071688e-09, 6.261115e-10, 1.928987e-15, 2.718955e-16, 2.773618e-16, 1.379730e-15, 3.183814e-19, 2.786216e-16, 2.912286e-19, 4.592913e-16, 2.483911e+00, 1.597160e+09, 1.597160e+09, 1.748293e-07, 1.783442e-07, 2.047198e-10, 1.872606e-10, 2.995367e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.798413e-01, 1.798413e-01, 0.000000e+00, 0.000000e+00, 1.666133e-09, 3.532737e-01, 4.122902e-02, 4.985176e-08, 6.491460e-09, 6.655445e-10, 1.929765e-15, 2.750072e-16, 2.773498e-16, 1.377408e-15, 3.234880e-19, 2.785973e-16, 3.580180e-19, 4.662345e-16, 2.503413e+00, 1.502529e+09, 1.502529e+09, 1.650572e-07, 1.664632e-07, 1.941550e-10, 2.148796e-10, 2.992064e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.819693e-01, 1.819693e-01, 0.000000e+00, 0.000000e+00, 1.777115e-09, 3.532417e-01, 4.124421e-02, 5.311596e-08, 6.910392e-09, 7.048735e-10, 1.930779e-15, 2.782335e-16, 2.773392e-16, 1.375206e-15, 3.285802e-19, 2.785762e-16, 4.214137e-19, 4.730767e-16, 2.521182e+00, 1.418694e+09, 1.418694e+09, 1.565647e-07, 1.560615e-07, 1.848953e-10, 2.371337e-10, 2.988887e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.839713e-01, 1.839713e-01, 0.000000e+00, 0.000000e+00, 1.888133e-09, 3.532118e-01, 4.125938e-02, 5.637639e-08, 7.328470e-09, 7.440993e-10, 1.932001e-15, 2.815626e-16, 2.773298e-16, 1.373109e-15, 3.336519e-19, 2.785579e-16, 4.818888e-19, 4.798278e-16, 2.537475e+00, 1.343907e+09, 1.343907e+09, 1.491222e-07, 1.468804e-07, 1.767099e-10, 2.552197e-10, 2.985827e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.876513e-01, 1.876513e-01, 0.000000e+00, 0.000000e+00, 2.110241e-09, 3.531578e-01, 4.128967e-02, 6.288445e-08, 8.162087e-09, 8.222501e-10, 1.934963e-15, 2.884700e-16, 2.773137e-16, 1.369179e-15, 3.437193e-19, 2.785278e-16, 5.955028e-19, 4.930860e-16, 2.566422e+00, 1.216175e+09, 1.216175e+09, 1.367000e-07, 1.314133e-07, 1.628816e-10, 2.821967e-10, 2.979966e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 1.893513e-01, 1.893513e-01, 0.000000e+00, 0.000000e+00, 2.221316e-09, 3.531332e-01, 4.130479e-02, 6.613210e-08, 8.577655e-09, 8.611808e-10, 1.936671e-15, 2.920364e-16, 2.773068e-16, 1.367328e-15, 3.487108e-19, 2.785154e-16, 6.492217e-19, 4.996072e-16, 2.579384e+00, 1.161196e+09, 1.161196e+09, 1.314700e-07, 1.248390e-07, 1.569839e-10, 2.922690e-10, 2.977159e+01, nan, 1.370000e+00
