pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.781204e-01, 3.781204e-01, 0.000000e+00, 0.000000e+00, 1.110392e-09, 5.410555e-01, 3.382385e-02, 3.890666e-08, 5.599884e-09, 3.993099e-10, 1.811004e-15, 2.779570e-16, 2.368464e-16, 1.296201e-15, 1.012785e-19, 2.370143e-16, 4.709643e-19, 4.481277e-16, 2.780778e+00, 2.504321e+09, 2.504321e+09, 2.503233e-07, 2.132998e-07, 9.120972e-11, 4.241424e-10, 3.503867e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.808154e-01, 3.808154e-01, 0.000000e+00, 0.000000e+00, 1.221454e-09, 5.410269e-01, 3.383769e-02, 4.273480e-08, 6.144131e-09, 4.382867e-10, 1.814213e-15, 2.838724e-16, 2.368467e-16, 1.293494e-15, 1.051192e-19, 2.370174e-16, 4.969608e-19, 4.588998e-16, 2.786885e+00, 2.281612e+09, 2.281612e+09, 2.324052e-07, 1.939055e-07, 8.606072e-11, 4.068599e-10, 3.498682e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.832797e-01, 3.832797e-01, 0.000000e+00, 0.000000e+00, 1.332537e-09, 5.410009e-01, 3.385150e-02, 4.655559e-08, 6.686744e-09, 4.771820e-10, 1.817720e-15, 2.899258e-16, 2.368470e-16, 1.290947e-15, 1.088572e-19, 2.370206e-16, 5.222272e-19, 4.694264e-16, 2.792513e+00, 2.095636e+09, 2.095636e+09, 2.175744e-07, 1.777414e-07, 8.169169e-11, 3.919045e-10, 3.493756e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.855500e-01, 3.855500e-01, 0.000000e+00, 0.000000e+00, 1.443630e-09, 5.409770e-01, 3.386529e-02, 5.036910e-08, 7.227787e-09, 5.159987e-10, 1.821477e-15, 2.960953e-16, 2.368473e-16, 1.288534e-15, 1.125039e-19, 2.370237e-16, 5.468505e-19, 4.797373e-16, 2.797740e+00, 1.937989e+09, 1.937989e+09, 2.051047e-07, 1.640637e-07, 7.793123e-11, 3.788024e-10, 3.489059e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.876547e-01, 3.876547e-01, 0.000000e+00, 0.000000e+00, 1.554730e-09, 5.409549e-01, 3.387906e-02, 5.417554e-08, 7.767329e-09, 5.547402e-10, 1.825445e-15, 3.023632e-16, 2.368475e-16, 1.286234e-15, 1.160688e-19, 2.370267e-16, 5.709021e-19, 4.898570e-16, 2.802626e+00, 1.802646e+09, 1.802646e+09, 1.944796e-07, 1.523400e-07, 7.465532e-11, 3.672035e-10, 3.484564e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.896167e-01, 3.896167e-01, 0.000000e+00, 0.000000e+00, 1.665832e-09, 5.409343e-01, 3.389281e-02, 5.797514e-08, 8.305441e-09, 5.934100e-10, 1.829595e-15, 3.087156e-16, 2.368477e-16, 1.284032e-15, 1.195600e-19, 2.370297e-16, 5.944408e-19, 4.998056e-16, 2.807220e+00, 1.685175e+09, 1.685175e+09, 1.853221e-07, 1.421798e-07, 7.177194e-11, 3.568431e-10, 3.480250e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.914542e-01, 3.914542e-01, 0.000000e+00, 0.000000e+00, 1.776937e-09, 5.409150e-01, 3.390655e-02, 6.176812e-08, 8.842187e-09, 6.320113e-10, 1.833903e-15, 3.151410e-16, 2.368479e-16, 1.281914e-15, 1.229841e-19, 2.370327e-16, 6.175156e-19, 5.095999e-16, 2.811559e+00, 1.582250e+09, 1.582250e+09, 1.773506e-07, 1.332900e-07, 6.921129e-11, 3.475168e-10, 3.476100e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.931823e-01, 3.931823e-01, 0.000000e+00, 0.000000e+00, 1.888044e-09, 5.408969e-01, 3.392026e-02, 6.555472e-08, 9.377629e-09, 6.705473e-10, 1.838347e-15, 3.216299e-16, 2.368481e-16, 1.279869e-15, 1.263469e-19, 2.370356e-16, 6.401678e-19, 5.192540e-16, 2.815676e+00, 1.491319e+09, 1.491319e+09, 1.703509e-07, 1.254463e-07, 6.691946e-11, 3.390641e-10, 3.472098e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.963580e-01, 3.963580e-01, 0.000000e+00, 0.000000e+00, 2.110258e-09, 5.408637e-01, 3.394764e-02, 7.310965e-08, 1.044482e-08, 7.474336e-10, 1.847585e-15, 3.347671e-16, 2.368485e-16, 1.275969e-15, 1.329071e-19, 2.370413e-16, 6.843410e-19, 5.381878e-16, 2.823338e+00, 1.337912e+09, 1.337912e+09, 1.586380e-07, 1.122367e-07, 6.298146e-11, 3.242926e-10, 3.464489e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.978249e-01, 3.978249e-01, 0.000000e+00, 0.000000e+00, 2.221366e-09, 5.408484e-01, 3.396130e-02, 7.687838e-08, 1.097666e-08, 7.857887e-10, 1.852352e-15, 3.414028e-16, 2.368486e-16, 1.274100e-15, 1.361126e-19, 2.370441e-16, 7.059184e-19, 5.474866e-16, 2.826925e+00, 1.272607e+09, 1.272607e+09, 1.536905e-07, 1.066230e-07, 6.127427e-11, 3.177857e-10, 3.460861e+01, nan, 1.370000e+00
