pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.335072e-01, 2.335072e-01, 0.000000e+00, 0.000000e+00, 1.104972e-09, 4.563218e-01, 4.715936e-02, 2.782461e-08, 4.294833e-09, 3.471565e-10, 1.826912e-15, 2.145586e-16, 2.371841e-16, 1.375170e-15, 1.707936e-19, 2.377600e-16, 1.507716e-19, 3.749807e-16, 3.182923e+00, 2.880545e+09, 2.880545e+09, 1.941755e-07, 2.146515e-07, 1.545682e-10, 1.364483e-10, 2.518127e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.372572e-01, 2.372572e-01, 0.000000e+00, 0.000000e+00, 1.215751e-09, 4.562721e-01, 4.717728e-02, 3.057426e-08, 4.712469e-09, 3.793546e-10, 1.825404e-15, 2.164946e-16, 2.371769e-16, 1.371732e-15, 1.743051e-19, 2.377456e-16, 1.906873e-19, 3.817732e-16, 3.204787e+00, 2.636056e+09, 2.636056e+09, 1.780748e-07, 1.950868e-07, 1.433724e-10, 1.568473e-10, 2.514846e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.406879e-01, 2.406879e-01, 0.000000e+00, 0.000000e+00, 1.326645e-09, 4.562270e-01, 4.719519e-02, 3.332177e-08, 5.129190e-09, 4.114605e-10, 1.824368e-15, 2.186342e-16, 2.371708e-16, 1.368563e-15, 1.778100e-19, 2.377336e-16, 2.280188e-19, 3.884228e-16, 3.224234e+00, 2.430367e+09, 2.430367e+09, 1.648024e-07, 1.787749e-07, 1.340298e-10, 1.718763e-10, 2.511733e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.438489e-01, 2.438489e-01, 0.000000e+00, 0.000000e+00, 1.437609e-09, 4.561858e-01, 4.721307e-02, 3.606627e-08, 5.544911e-09, 4.434712e-10, 1.823731e-15, 2.209493e-16, 2.371654e-16, 1.365616e-15, 1.812985e-19, 2.377236e-16, 2.632189e-19, 3.949465e-16, 3.241718e+00, 2.254938e+09, 2.254938e+09, 1.536922e-07, 1.649722e-07, 1.261111e-10, 1.830950e-10, 2.508769e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.467794e-01, 2.467794e-01, 0.000000e+00, 0.000000e+00, 1.548615e-09, 4.561479e-01, 4.723094e-02, 3.880731e-08, 5.959607e-09, 4.753873e-10, 1.823437e-15, 2.234175e-16, 2.371608e-16, 1.362859e-15, 1.847648e-19, 2.377152e-16, 2.966333e-19, 4.013586e-16, 3.257585e+00, 2.103548e+09, 2.103548e+09, 1.442693e-07, 1.531438e-07, 1.193097e-10, 1.915475e-10, 2.505937e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.495107e-01, 2.495107e-01, 0.000000e+00, 0.000000e+00, 1.659647e-09, 4.561128e-01, 4.724878e-02, 4.154467e-08, 6.373285e-09, 5.072116e-10, 1.823440e-15, 2.260208e-16, 2.371566e-16, 1.360263e-15, 1.882057e-19, 2.377081e-16, 3.285311e-19, 4.076713e-16, 3.272099e+00, 1.971564e+09, 1.971564e+09, 1.361861e-07, 1.428958e-07, 1.134011e-10, 1.979524e-10, 2.503224e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.520682e-01, 2.520682e-01, 0.000000e+00, 0.000000e+00, 1.770695e-09, 4.560802e-01, 4.726660e-02, 4.427832e-08, 6.785968e-09, 5.389477e-10, 1.823703e-15, 2.287442e-16, 2.371529e-16, 1.357806e-15, 1.916192e-19, 2.377021e-16, 3.591256e-19, 4.138948e-16, 3.285467e+00, 1.855468e+09, 1.855468e+09, 1.291833e-07, 1.339321e-07, 1.082170e-10, 2.028162e-10, 2.500618e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.544729e-01, 2.544729e-01, 0.000000e+00, 0.000000e+00, 1.881754e-09, 4.560496e-01, 4.728440e-02, 4.700826e-08, 7.197687e-09, 5.705995e-10, 1.824196e-15, 2.315755e-16, 2.371496e-16, 1.355471e-15, 1.950047e-19, 2.376970e-16, 3.885880e-19, 4.200382e-16, 3.297853e+00, 1.752543e+09, 1.752543e+09, 1.230637e-07, 1.260258e-07, 1.036292e-10, 2.065031e-10, 2.498109e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.588904e-01, 2.588904e-01, 0.000000e+00, 0.000000e+00, 2.103889e-09, 4.559940e-01, 4.731992e-02, 5.245734e-08, 8.018378e-09, 6.336661e-10, 1.825773e-15, 2.375212e-16, 2.371438e-16, 1.351108e-15, 2.016909e-19, 2.376890e-16, 4.446505e-19, 4.321138e-16, 3.320186e+00, 1.578118e+09, 1.578118e+09, 1.128962e-07, 1.127168e-07, 9.586571e-11, 2.113469e-10, 2.493351e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.609301e-01, 2.609301e-01, 0.000000e+00, 0.000000e+00, 2.214963e-09, 4.559684e-01, 4.733765e-02, 5.517666e-08, 8.427419e-09, 6.650881e-10, 1.826819e-15, 2.406192e-16, 2.371413e-16, 1.349058e-15, 2.049922e-19, 2.376859e-16, 4.714615e-19, 4.380583e-16, 3.330331e+00, 1.503560e+09, 1.503560e+09, 1.086335e-07, 1.070633e-07, 9.254880e-11, 2.128529e-10, 2.491087e+01, nan, 1.370000e+00
