pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.068829e-01, 3.068829e-01, 0.000000e+00, 0.000000e+00, 1.111007e-09, 4.681325e-01, 3.426674e-02, 3.923682e-08, 5.300827e-09, 4.195414e-10, 1.866130e-15, 2.872119e-16, 2.566283e-16, 1.322290e-15, 1.360826e-19, 2.569140e-16, 5.718330e-19, 4.602505e-16, 2.648145e+00, 2.383555e+09, 2.383555e+09, 2.585150e-07, 2.309872e-07, 1.224858e-10, 5.146981e-10, 3.531646e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.095978e-01, 3.095978e-01, 0.000000e+00, 0.000000e+00, 1.223974e-09, 4.681022e-01, 3.428065e-02, 4.316233e-08, 5.824607e-09, 4.609707e-10, 1.868826e-15, 2.926544e-16, 2.566285e-16, 1.319543e-15, 1.409239e-19, 2.569173e-16, 6.073267e-19, 4.707566e-16, 2.655210e+00, 2.169335e+09, 2.169335e+09, 2.391019e-07, 2.096683e-07, 1.151364e-10, 4.961926e-10, 3.526410e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.119867e-01, 3.119867e-01, 0.000000e+00, 0.000000e+00, 1.332673e-09, 4.680757e-01, 3.429401e-02, 4.693176e-08, 6.327014e-09, 5.007343e-10, 1.871734e-15, 2.980405e-16, 2.566288e-16, 1.317065e-15, 1.454613e-19, 2.569206e-16, 6.404107e-19, 4.806356e-16, 2.661438e+00, 1.997067e+09, 1.997067e+09, 2.236411e-07, 1.925669e-07, 1.091500e-10, 4.805459e-10, 3.521626e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.142393e-01, 3.142393e-01, 0.000000e+00, 0.000000e+00, 1.443842e-09, 4.680507e-01, 3.430765e-02, 5.077933e-08, 6.839326e-09, 5.413067e-10, 1.874977e-15, 3.036778e-16, 2.566290e-16, 1.314670e-15, 1.499930e-19, 2.569240e-16, 6.733044e-19, 4.905353e-16, 2.667327e+00, 1.847381e+09, 1.847381e+09, 2.103261e-07, 1.777404e-07, 1.038846e-10, 4.663283e-10, 3.516958e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.163298e-01, 3.163298e-01, 0.000000e+00, 0.000000e+00, 1.555142e-09, 4.680275e-01, 3.432129e-02, 5.462419e-08, 7.350801e-09, 5.818375e-10, 1.878456e-15, 3.094340e-16, 2.566293e-16, 1.312392e-15, 1.544311e-19, 2.569275e-16, 7.053976e-19, 5.002648e-16, 2.672811e+00, 1.718693e+09, 1.718693e+09, 1.989748e-07, 1.650199e-07, 9.930353e-11, 4.535905e-10, 3.512489e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.182831e-01, 3.182831e-01, 0.000000e+00, 0.000000e+00, 1.666733e-09, 4.680059e-01, 3.433494e-02, 5.847214e-08, 7.862245e-09, 6.223899e-10, 1.882145e-15, 3.153035e-16, 2.566296e-16, 1.310212e-15, 1.587912e-19, 2.569310e-16, 7.368262e-19, 5.098570e-16, 2.677956e+00, 1.606710e+09, 1.606710e+09, 1.891746e-07, 1.539717e-07, 9.527092e-11, 4.420782e-10, 3.508190e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.201209e-01, 3.201209e-01, 0.000000e+00, 0.000000e+00, 1.778882e-09, 4.679857e-01, 3.434864e-02, 6.233265e-08, 8.374940e-09, 6.630650e-10, 1.886029e-15, 3.212892e-16, 2.566299e-16, 1.308110e-15, 1.630910e-19, 2.569346e-16, 7.677361e-19, 5.193500e-16, 2.682817e+00, 1.508148e+09, 1.508148e+09, 1.806130e-07, 1.442647e-07, 9.168170e-11, 4.315834e-10, 3.504035e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.218627e-01, 3.218627e-01, 0.000000e+00, 0.000000e+00, 1.891994e-09, 4.679665e-01, 3.436244e-02, 6.621972e-08, 8.890767e-09, 7.040118e-10, 1.890104e-15, 3.274041e-16, 2.566302e-16, 1.306070e-15, 1.673515e-19, 2.569382e-16, 7.982920e-19, 5.287895e-16, 2.687446e+00, 1.420431e+09, 1.420431e+09, 1.730471e-07, 1.356401e-07, 8.845243e-11, 4.219316e-10, 3.499996e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.249551e-01, 3.249551e-01, 0.000000e+00, 0.000000e+00, 2.110446e-09, 4.679326e-01, 3.438904e-02, 7.370905e-08, 9.883587e-09, 7.828858e-10, 1.898356e-15, 3.394034e-16, 2.566308e-16, 1.302321e-15, 1.753856e-19, 2.569452e-16, 8.557494e-19, 5.466806e-16, 2.695726e+00, 1.277326e+09, 1.277326e+09, 1.608207e-07, 1.216003e-07, 8.310359e-11, 4.054828e-10, 3.492582e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 3.264103e-01, 3.264103e-01, 0.000000e+00, 0.000000e+00, 2.221620e-09, 4.679166e-01, 3.440255e-02, 7.751194e-08, 1.038723e-08, 8.229277e-10, 1.902721e-15, 3.455929e-16, 2.566311e-16, 1.300497e-15, 1.793857e-19, 2.569488e-16, 8.842891e-19, 5.556325e-16, 2.699654e+00, 1.215174e+09, 1.215174e+09, 1.555590e-07, 1.155153e-07, 8.074543e-11, 3.980379e-10, 3.488983e+01, nan, 1.370000e+00
