pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.392715e-01, 2.392715e-01, 0.000000e+00, 0.000000e+00, 1.109939e-09, 4.282748e-01, 4.062055e-02, 3.311398e-08, 4.630540e-09, 3.895736e-10, 1.868781e-15, 2.515560e-16, 2.568353e-16, 1.360389e-15, 1.751948e-19, 2.573693e-16, 3.723726e-19, 4.181146e-16, 2.849113e+00, 2.566909e+09, 2.566909e+09, 2.266395e-07, 2.313958e-07, 1.578418e-10, 3.354892e-10, 2.983405e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.424341e-01, 2.424341e-01, 0.000000e+00, 0.000000e+00, 1.221038e-09, 4.282355e-01, 4.063614e-02, 3.637930e-08, 5.080633e-09, 4.264920e-10, 1.868826e-15, 2.546028e-16, 2.568316e-16, 1.357392e-15, 1.797637e-19, 2.573633e-16, 4.140458e-19, 4.261308e-16, 2.862979e+00, 2.344710e+09, 2.344710e+09, 2.085135e-07, 2.103388e-07, 1.472221e-10, 3.390934e-10, 2.979376e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.453383e-01, 2.453383e-01, 0.000000e+00, 0.000000e+00, 1.332672e-09, 4.281996e-01, 4.065178e-02, 3.965414e-08, 5.531465e-09, 4.634593e-10, 1.869281e-15, 2.578521e-16, 2.568285e-16, 1.354601e-15, 1.842745e-19, 2.573587e-16, 4.538590e-19, 4.340033e-16, 2.875489e+00, 2.157687e+09, 2.157687e+09, 1.934851e-07, 1.927169e-07, 1.382744e-10, 3.405631e-10, 2.975536e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.479953e-01, 2.479953e-01, 0.000000e+00, 0.000000e+00, 1.443570e-09, 4.281670e-01, 4.066729e-02, 4.290138e-08, 5.977994e-09, 5.000652e-10, 1.870073e-15, 2.612367e-16, 2.568258e-16, 1.352010e-15, 1.886804e-19, 2.573553e-16, 4.916926e-19, 4.416664e-16, 2.886763e+00, 1.999739e+09, 1.999739e+09, 1.809657e-07, 1.779102e-07, 1.307040e-10, 3.406088e-10, 2.971895e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.504602e-01, 2.504602e-01, 0.000000e+00, 0.000000e+00, 1.554545e-09, 4.281368e-01, 4.068279e-02, 4.614464e-08, 6.423589e-09, 5.365884e-10, 1.871139e-15, 2.647445e-16, 2.568235e-16, 1.349571e-15, 1.930192e-19, 2.573527e-16, 5.280805e-19, 4.491952e-16, 2.897090e+00, 1.863626e+09, 1.863626e+09, 1.703035e-07, 1.652081e-07, 1.241645e-10, 3.397010e-10, 2.968369e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.527588e-01, 2.527588e-01, 0.000000e+00, 0.000000e+00, 1.665569e-09, 4.281089e-01, 4.069827e-02, 4.938394e-08, 6.868201e-09, 5.730268e-10, 1.872462e-15, 2.683785e-16, 2.568215e-16, 1.347262e-15, 1.972941e-19, 2.573509e-16, 5.632293e-19, 4.566054e-16, 2.906616e+00, 1.745119e+09, 1.745119e+09, 1.611333e-07, 1.541945e-07, 1.184545e-10, 3.381604e-10, 2.964990e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.549120e-01, 2.549120e-01, 0.000000e+00, 0.000000e+00, 1.776623e-09, 4.280828e-01, 4.071373e-02, 5.261897e-08, 7.311821e-09, 6.093809e-10, 1.874010e-15, 2.721244e-16, 2.568198e-16, 1.345066e-15, 2.015085e-19, 2.573497e-16, 5.972925e-19, 4.639089e-16, 2.915455e+00, 1.641010e+09, 1.641010e+09, 1.531695e-07, 1.445550e-07, 1.134222e-10, 3.361955e-10, 2.961741e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.569372e-01, 2.569372e-01, 0.000000e+00, 0.000000e+00, 1.887696e-09, 4.280583e-01, 4.072917e-02, 5.584961e-08, 7.754457e-09, 6.456527e-10, 1.875756e-15, 2.759703e-16, 2.568182e-16, 1.342968e-15, 2.056659e-19, 2.573490e-16, 6.303965e-19, 4.711157e-16, 2.923702e+00, 1.548820e+09, 1.548820e+09, 1.461943e-07, 1.360485e-07, 1.089508e-10, 3.339502e-10, 2.958612e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.606589e-01, 2.606589e-01, 0.000000e+00, 0.000000e+00, 2.109874e-09, 4.280136e-01, 4.076001e-02, 6.229769e-08, 8.636865e-09, 7.179597e-10, 1.879761e-15, 2.839240e-16, 2.568156e-16, 1.339022e-15, 2.138228e-19, 2.573488e-16, 6.941311e-19, 4.852739e-16, 2.938709e+00, 1.392836e+09, 1.392836e+09, 1.345692e-07, 1.217208e-07, 1.013439e-10, 3.289917e-10, 2.952673e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-06, 1.000000e-06, 2.623779e-01, 2.623779e-01, 0.000000e+00, 0.000000e+00, 2.220972e-09, 4.279931e-01, 4.077539e-02, 6.551525e-08, 9.076692e-09, 7.540007e-10, 1.881986e-15, 2.880161e-16, 2.568145e-16, 1.337156e-15, 2.178283e-19, 2.573492e-16, 7.249249e-19, 4.922397e-16, 2.945584e+00, 1.326259e+09, 1.326259e+09, 1.296802e-07, 1.156316e-07, 9.807791e-11, 3.263998e-10, 2.949846e+01, nan, 1.370000e+00
