pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.840903e-01, 3.840903e-01, 0.000000e+00, 0.000000e+00, 1.113361e-09, 6.300338e-01, 4.439947e-02, 3.741451e-08, 4.002084e-09, 1.807202e-09, 5.954144e-16, 2.430337e-16, 2.367152e-16, 1.156656e-16, 1.533691e-21, 2.367411e-16, 6.326644e-21, 2.462845e-16, 6.160690e-01, 5.533417e+08, 5.533417e+08, 2.182883e-07, 2.126132e-07, 1.377532e-12, 5.682474e-12, 3.360502e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.867701e-01, 3.867701e-01, 0.000000e+00, 0.000000e+00, 1.223547e-09, 6.298978e-01, 4.440049e-02, 4.109744e-08, 4.389886e-09, 1.976875e-09, 5.951700e-16, 2.429894e-16, 2.367162e-16, 1.154644e-16, 1.541080e-21, 2.367411e-16, 6.414887e-21, 2.463748e-16, 6.189299e-01, 5.058489e+08, 5.058489e+08, 1.985943e-07, 1.934672e-07, 1.259519e-12, 5.242862e-12, 3.358877e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.892262e-01, 3.892262e-01, 0.000000e+00, 0.000000e+00, 1.334015e-09, 6.297736e-01, 4.440151e-02, 4.478730e-08, 4.777895e-09, 2.146227e-09, 5.949465e-16, 2.429481e-16, 2.367172e-16, 1.152812e-16, 1.548579e-21, 2.367411e-16, 6.502345e-21, 2.464605e-16, 6.215628e-01, 4.659340e+08, 4.659340e+08, 1.821180e-07, 1.774472e-07, 1.160841e-12, 4.874268e-12, 3.357331e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.914920e-01, 3.914920e-01, 0.000000e+00, 0.000000e+00, 1.444676e-09, 6.296594e-01, 4.440252e-02, 4.848124e-08, 5.165853e-09, 2.315183e-09, 5.947407e-16, 2.429094e-16, 2.367181e-16, 1.151132e-16, 1.556144e-21, 2.367411e-16, 6.588901e-21, 2.465423e-16, 6.240009e-01, 4.319314e+08, 4.319314e+08, 1.681411e-07, 1.638554e-07, 1.077157e-12, 4.560815e-12, 3.355855e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.935941e-01, 3.935941e-01, 0.000000e+00, 0.000000e+00, 1.555471e-09, 6.295538e-01, 4.440353e-02, 5.217736e-08, 5.553595e-09, 2.483702e-09, 5.945503e-16, 2.428732e-16, 2.367189e-16, 1.149582e-16, 1.563743e-21, 2.367411e-16, 6.674491e-21, 2.466207e-16, 6.262712e-01, 4.026247e+08, 4.026247e+08, 1.561412e-07, 1.521847e-07, 1.005318e-12, 4.290976e-12, 3.354441e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.955543e-01, 3.955543e-01, 0.000000e+00, 0.000000e+00, 1.666359e-09, 6.294555e-01, 4.440453e-02, 5.587438e-08, 5.941019e-09, 2.651768e-09, 5.943733e-16, 2.428392e-16, 2.367197e-16, 1.148145e-16, 1.571356e-21, 2.367411e-16, 6.759083e-21, 2.466960e-16, 6.283955e-01, 3.771068e+08, 3.771068e+08, 1.457304e-07, 1.420580e-07, 9.429875e-13, 4.056198e-12, 3.353081e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.973901e-01, 3.973901e-01, 0.000000e+00, 0.000000e+00, 1.777312e-09, 6.293638e-01, 4.440553e-02, 5.957142e-08, 6.328061e-09, 2.819378e-09, 5.942080e-16, 2.428071e-16, 2.367204e-16, 1.146805e-16, 1.578965e-21, 2.367411e-16, 6.842670e-21, 2.467686e-16, 6.303915e-01, 3.546882e+08, 3.546882e+08, 1.366148e-07, 1.331901e-07, 8.884005e-13, 3.850011e-12, 3.351771e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 3.991162e-01, 3.991162e-01, 0.000000e+00, 0.000000e+00, 1.888309e-09, 6.292777e-01, 4.440653e-02, 6.326793e-08, 6.714686e-09, 2.986536e-09, 5.940530e-16, 2.427770e-16, 2.367210e-16, 1.145550e-16, 1.586557e-21, 2.367411e-16, 6.925257e-21, 2.468388e-16, 6.322742e-01, 3.348361e+08, 3.348361e+08, 1.285684e-07, 1.253614e-07, 8.401997e-13, 3.667438e-12, 3.350506e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.022867e-01, 4.022867e-01, 0.000000e+00, 0.000000e+00, 2.110391e-09, 6.291200e-01, 4.440852e-02, 7.065790e-08, 7.486620e-09, 3.319542e-09, 5.937698e-16, 2.427216e-16, 2.367223e-16, 1.143259e-16, 1.601659e-21, 2.367411e-16, 7.087496e-21, 2.469729e-16, 6.357476e-01, 3.012464e+08, 3.012464e+08, 1.150126e-07, 1.121699e-07, 7.589396e-13, 3.358381e-12, 3.348095e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 4.037503e-01, 4.037503e-01, 0.000000e+00, 0.000000e+00, 2.221459e-09, 6.290475e-01, 4.440951e-02, 7.435095e-08, 7.871922e-09, 3.485419e-09, 5.936397e-16, 2.426961e-16, 2.367228e-16, 1.142208e-16, 1.609157e-21, 2.367411e-16, 7.167194e-21, 2.470372e-16, 6.373579e-01, 2.869096e+08, 2.869096e+08, 1.092508e-07, 1.065619e-07, 7.243695e-13, 3.226345e-12, 3.346942e+01, nan, 1.370000e+00
