pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.077642e-01, 2.077642e-01, 0.000000e+00, 0.000000e+00, 1.111166e-09, 5.009058e-01, 5.281648e-02, 3.085218e-08, 3.348281e-09, 2.076216e-09, 6.346904e-16, 2.611280e-16, 2.564388e-16, 1.171237e-16, 3.807865e-21, 2.564696e-16, 1.267793e-20, 2.645368e-16, 5.351879e-01, 4.816454e+08, 4.816454e+08, 2.350036e-07, 2.307835e-07, 3.426909e-12, 1.140958e-11, 2.776560e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.109705e-01, 2.109705e-01, 0.000000e+00, 0.000000e+00, 1.221866e-09, 5.006740e-01, 5.281780e-02, 3.391017e-08, 3.674203e-09, 2.265631e-09, 6.343770e-16, 2.610924e-16, 2.564399e-16, 1.168447e-16, 3.771193e-21, 2.564685e-16, 1.189194e-20, 2.646342e-16, 5.393052e-01, 4.413782e+08, 4.413782e+08, 2.136833e-07, 2.098756e-07, 3.086420e-12, 9.732600e-12, 2.775277e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.139047e-01, 2.139047e-01, 0.000000e+00, 0.000000e+00, 1.332713e-09, 5.004636e-01, 5.281911e-02, 3.697025e-08, 3.999839e-09, 2.454070e-09, 6.340907e-16, 2.610583e-16, 2.564410e-16, 1.165914e-16, 3.740834e-21, 2.564676e-16, 1.118582e-20, 2.647254e-16, 5.430623e-01, 4.074863e+08, 4.074863e+08, 1.958849e-07, 1.924203e-07, 2.806932e-12, 8.393272e-12, 2.774060e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.166087e-01, 2.166087e-01, 0.000000e+00, 0.000000e+00, 1.443652e-09, 5.002711e-01, 5.282041e-02, 4.003103e-08, 4.325082e-09, 2.641552e-09, 6.338274e-16, 2.610257e-16, 2.564420e-16, 1.163597e-16, 3.715539e-21, 2.564667e-16, 1.054480e-20, 2.648114e-16, 5.465166e-01, 3.785654e+08, 3.785654e+08, 1.808093e-07, 1.776342e-07, 2.573709e-12, 7.304257e-12, 2.772901e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.191156e-01, 2.191156e-01, 0.000000e+00, 0.000000e+00, 1.554650e-09, 5.000939e-01, 5.282171e-02, 4.309167e-08, 4.649879e-09, 2.828109e-09, 6.335838e-16, 2.609945e-16, 2.564429e-16, 1.161464e-16, 3.694366e-21, 2.564660e-16, 9.957712e-21, 2.648928e-16, 5.497134e-01, 3.535931e+08, 3.535931e+08, 1.678799e-07, 1.649523e-07, 2.376333e-12, 6.405117e-12, 2.771793e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.214520e-01, 2.214520e-01, 0.000000e+00, 0.000000e+00, 1.665685e-09, 4.999298e-01, 5.282300e-02, 4.615164e-08, 4.974207e-09, 3.013786e-09, 6.333574e-16, 2.609646e-16, 2.564438e-16, 1.159489e-16, 3.676594e-21, 2.564653e-16, 9.415931e-21, 2.649704e-16, 5.526885e-01, 3.318085e+08, 3.318085e+08, 1.566710e-07, 1.539570e-07, 2.207257e-12, 5.652888e-12, 2.770730e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.236395e-01, 2.236395e-01, 0.000000e+00, 0.000000e+00, 1.776745e-09, 4.997770e-01, 5.282429e-02, 4.921064e-08, 5.298059e-09, 3.198627e-09, 6.331458e-16, 2.609361e-16, 2.564447e-16, 1.157651e-16, 3.661663e-21, 2.564647e-16, 8.912698e-21, 2.650446e-16, 5.554710e-01, 3.126341e+08, 3.126341e+08, 1.468619e-07, 1.443340e-07, 2.060883e-12, 5.016307e-12, 2.769708e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.256959e-01, 2.256959e-01, 0.000000e+00, 0.000000e+00, 1.887820e-09, 4.996341e-01, 5.282557e-02, 5.226851e-08, 5.621441e-09, 3.382677e-09, 6.329475e-16, 2.609088e-16, 2.564455e-16, 1.155933e-16, 3.649127e-21, 2.564641e-16, 8.442619e-21, 2.651158e-16, 5.580846e-01, 2.956238e+08, 2.956238e+08, 1.382064e-07, 1.358421e-07, 1.932985e-12, 4.472152e-12, 2.768723e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.294724e-01, 2.294724e-01, 0.000000e+00, 0.000000e+00, 2.109998e-09, 4.993736e-01, 5.282811e-02, 5.838045e-08, 6.266841e-09, 3.748574e-09, 6.325846e-16, 2.608576e-16, 2.564469e-16, 1.152801e-16, 3.629886e-21, 2.564631e-16, 7.585267e-21, 2.652504e-16, 5.628802e-01, 2.667681e+08, 2.667681e+08, 1.236293e-07, 1.215389e-07, 1.720327e-12, 3.594917e-12, 2.766848e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.500000e-07, 1.000000e-06, 2.312156e-01, 2.312156e-01, 0.000000e+00, 0.000000e+00, 2.221095e-09, 4.992541e-01, 5.282937e-02, 6.143446e-08, 6.588886e-09, 3.930498e-09, 6.324177e-16, 2.608336e-16, 2.564476e-16, 1.151365e-16, 3.622654e-21, 2.564627e-16, 7.191466e-21, 2.653143e-16, 5.650925e-01, 2.544207e+08, 2.544207e+08, 1.174347e-07, 1.154600e-07, 1.631022e-12, 3.237802e-12, 2.765954e+01, nan, 1.370000e+00
