pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.256197e-01, 2.256197e-01, 0.000000e+00, 0.000000e+00, 1.111261e-09, 3.983979e-01, 3.671000e-02, 3.937720e-08, 4.804887e-09, 6.243729e-10, 1.454118e-15, 2.791582e-16, 2.766465e-16, 8.983135e-16, 1.015854e-19, 2.769896e-16, 2.479059e-19, 3.745204e-16, 1.779803e+00, 1.601607e+09, 1.601607e+09, 2.512085e-07, 2.489483e-07, 9.141449e-11, 2.230852e-10, 3.543470e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.282630e-01, 2.282630e-01, 0.000000e+00, 0.000000e+00, 1.222118e-09, 3.983523e-01, 3.671873e-02, 4.325508e-08, 5.272093e-09, 6.839132e-10, 1.453713e-15, 2.803740e-16, 2.766445e-16, 8.966940e-16, 1.039422e-19, 2.769865e-16, 2.718968e-19, 3.787392e-16, 1.786949e+00, 1.462174e+09, 1.462174e+09, 2.294165e-07, 2.263649e-07, 8.505088e-11, 2.224801e-10, 3.539355e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.306814e-01, 2.306814e-01, 0.000000e+00, 0.000000e+00, 1.333072e-09, 3.983109e-01, 3.672745e-02, 4.712992e-08, 5.738410e-09, 7.433154e-10, 1.453526e-15, 2.816842e-16, 2.766428e-16, 8.951995e-16, 1.062521e-19, 2.769841e-16, 2.947406e-19, 3.828453e-16, 1.793413e+00, 1.345324e+09, 1.345324e+09, 2.113046e-07, 2.075228e-07, 7.970474e-11, 2.210989e-10, 3.535437e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.329100e-01, 2.329100e-01, 0.000000e+00, 0.000000e+00, 1.444085e-09, 3.982729e-01, 3.673616e-02, 5.100067e-08, 6.203757e-09, 8.025752e-10, 1.453526e-15, 2.830750e-16, 2.766413e-16, 8.938096e-16, 1.085175e-19, 2.769823e-16, 3.166062e-19, 3.868520e-16, 1.799314e+00, 1.245989e+09, 1.245989e+09, 1.960238e-07, 1.915686e-07, 7.514619e-11, 2.192435e-10, 3.531695e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.349763e-01, 2.349763e-01, 0.000000e+00, 0.000000e+00, 1.555134e-09, 3.982378e-01, 3.674485e-02, 5.486682e-08, 6.668106e-09, 8.616935e-10, 1.453684e-15, 2.845355e-16, 2.766400e-16, 8.925085e-16, 1.107408e-19, 2.769809e-16, 3.376276e-19, 3.907705e-16, 1.804742e+00, 1.160505e+09, 1.160505e+09, 1.829652e-07, 1.778881e-07, 7.120982e-11, 2.171051e-10, 3.528108e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.369024e-01, 2.369024e-01, 0.000000e+00, 0.000000e+00, 1.666206e-09, 3.982052e-01, 3.675354e-02, 5.872810e-08, 7.131462e-09, 9.206745e-10, 1.453979e-15, 2.860570e-16, 2.766388e-16, 8.912835e-16, 1.129248e-19, 2.769799e-16, 3.579128e-19, 3.946102e-16, 1.809767e+00, 1.086160e+09, 1.086160e+09, 1.716817e-07, 1.660292e-07, 6.777362e-11, 2.148071e-10, 3.524661e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.387061e-01, 2.387061e-01, 0.000000e+00, 0.000000e+00, 1.777291e-09, 3.981748e-01, 3.676222e-02, 6.258445e-08, 7.593842e-09, 9.795235e-10, 1.454395e-15, 2.876324e-16, 2.766377e-16, 8.901245e-16, 1.150720e-19, 2.769792e-16, 3.775501e-19, 3.983789e-16, 1.814445e+00, 1.020905e+09, 1.020905e+09, 1.618375e-07, 1.556513e-07, 6.474569e-11, 2.124301e-10, 3.521339e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.404022e-01, 2.404022e-01, 0.000000e+00, 0.000000e+00, 1.888385e-09, 3.981463e-01, 3.677088e-02, 6.643589e-08, 8.055273e-09, 1.038246e-09, 1.454916e-15, 2.892557e-16, 2.766368e-16, 8.890233e-16, 1.171847e-19, 2.769788e-16, 3.966124e-19, 4.020834e-16, 1.818822e+00, 9.631626e+08, 9.631626e+08, 1.531762e-07, 1.464938e-07, 6.205550e-11, 2.100273e-10, 3.518132e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.435184e-01, 2.435184e-01, 0.000000e+00, 0.000000e+00, 2.110587e-09, 3.980941e-01, 3.678818e-02, 7.412431e-08, 8.975409e-09, 1.155337e-09, 1.456230e-15, 2.926274e-16, 2.766351e-16, 8.869676e-16, 1.213155e-19, 2.769787e-16, 4.332463e-19, 4.093228e-16, 1.826816e+00, 8.655486e+08, 8.655486e+08, 1.386474e-07, 1.310702e-07, 5.747951e-11, 2.052729e-10, 3.512023e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.450207e-01, 2.450207e-01, 0.000000e+00, 0.000000e+00, 2.226714e-09, 3.980690e-01, 3.679720e-02, 7.813486e-08, 9.454895e-09, 1.216351e-09, 1.457042e-15, 2.944474e-16, 2.766344e-16, 8.859599e-16, 1.234283e-19, 2.769789e-16, 4.517025e-19, 4.130262e-16, 1.830650e+00, 8.221308e+08, 8.221308e+08, 1.322340e-07, 1.242343e-07, 5.543067e-11, 2.028561e-10, 3.508975e+01, nan, 1.370000e+00
