pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 7.799677e-02, 7.799677e-02, 0.000000e+00, 0.000000e+00, 1.108470e-09, 3.164426e-01, 5.118458e-02, 2.819437e-08, 3.766664e-09, 2.200487e-09, 1.485008e-15, 2.466389e-16, 2.801128e-16, 9.582559e-16, 4.176457e-19, 2.847193e-16, 5.090813e-18, 3.417703e-16, 5.037384e-01, 4.544449e+08, 4.544449e+08, 2.225039e-07, 2.527022e-07, 3.767768e-10, 4.592649e-09, 2.543540e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 8.148305e-02, 8.148305e-02, 0.000000e+00, 0.000000e+00, 1.219111e-09, 3.158732e-01, 5.119555e-02, 3.097845e-08, 4.131696e-09, 2.141008e-09, 1.482482e-15, 2.466856e-16, 2.798478e-16, 9.559491e-16, 4.074231e-19, 2.841225e-16, 4.570691e-18, 3.442020e-16, 5.694099e-01, 4.670698e+08, 4.670698e+08, 2.023488e-07, 2.295507e-07, 3.341969e-10, 3.749200e-09, 2.541069e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 8.470714e-02, 8.470714e-02, 0.000000e+00, 0.000000e+00, 1.330267e-09, 3.154143e-01, 5.120659e-02, 3.377145e-08, 4.497419e-09, 2.101280e-09, 1.480246e-15, 2.467935e-16, 2.796294e-16, 9.538235e-16, 3.992179e-19, 2.836310e-16, 4.140396e-18, 3.466084e-16, 6.330745e-01, 4.759005e+08, 4.759005e+08, 1.855218e-07, 2.102055e-07, 3.001037e-10, 3.112456e-09, 2.538698e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 8.773055e-02, 8.773055e-02, 0.000000e+00, 0.000000e+00, 1.442904e-09, 3.150344e-01, 5.121778e-02, 3.659777e-08, 4.867054e-09, 2.076668e-09, 1.478243e-15, 2.469625e-16, 2.794448e-16, 9.518359e-16, 3.925207e-19, 2.832159e-16, 3.775069e-18, 3.490090e-16, 6.948169e-01, 4.815406e+08, 4.815406e+08, 1.711566e-07, 1.936683e-07, 2.720352e-10, 2.616299e-09, 2.536397e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 9.046074e-02, 9.046074e-02, 0.000000e+00, 0.000000e+00, 1.552170e-09, 3.147272e-01, 5.122864e-02, 3.933592e-08, 5.224752e-09, 2.064477e-09, 1.476519e-15, 2.471808e-16, 2.792930e-16, 9.500448e-16, 3.872418e-19, 2.828748e-16, 3.472957e-18, 3.513023e-16, 7.518469e-01, 4.843842e+08, 4.843842e+08, 1.592485e-07, 1.799371e-07, 2.494841e-10, 2.237484e-09, 2.534253e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 9.305646e-02, 9.305646e-02, 0.000000e+00, 0.000000e+00, 1.663197e-09, 3.144628e-01, 5.123967e-02, 4.211472e-08, 5.587377e-09, 2.061372e-09, 1.474959e-15, 2.474539e-16, 2.791604e-16, 9.483443e-16, 3.828564e-19, 2.825771e-16, 3.207372e-18, 3.535982e-16, 8.068396e-01, 4.851138e+08, 4.851138e+08, 1.487821e-07, 1.678457e-07, 2.301931e-10, 1.928438e-09, 2.532155e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 9.558537e-02, 9.558537e-02, 0.000000e+00, 0.000000e+00, 1.778526e-09, 3.142278e-01, 5.125112e-02, 4.499770e-08, 5.963212e-09, 2.066045e-09, 1.473519e-15, 2.477885e-16, 2.790412e-16, 9.466892e-16, 3.791449e-19, 2.823095e-16, 2.966747e-18, 3.559484e-16, 8.608360e-01, 4.840166e+08, 4.840166e+08, 1.393224e-07, 1.568946e-07, 2.131793e-10, 1.668093e-09, 2.530056e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 9.786061e-02, 9.786061e-02, 0.000000e+00, 0.000000e+00, 1.888719e-09, 3.140333e-01, 5.126206e-02, 4.774905e-08, 6.321543e-09, 2.076573e-09, 1.472295e-15, 2.481534e-16, 2.789414e-16, 9.452006e-16, 3.762557e-19, 2.820860e-16, 2.764020e-18, 3.581630e-16, 9.095364e-01, 4.815626e+08, 4.815626e+08, 1.313871e-07, 1.476882e-07, 1.992121e-10, 1.463436e-09, 2.528118e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.020640e-01, 1.020640e-01, 0.000000e+00, 0.000000e+00, 2.109595e-09, 3.137103e-01, 5.128396e-02, 5.325496e-08, 7.037679e-09, 2.111394e-09, 1.470229e-15, 2.490057e-16, 2.787741e-16, 9.424497e-16, 3.719800e-19, 2.817116e-16, 2.419726e-18, 3.625181e-16, 9.991484e-01, 4.736208e+08, 4.736208e+08, 1.180348e-07, 1.321458e-07, 1.763276e-10, 1.147009e-09, 2.524416e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.040135e-01, 1.040135e-01, 0.000000e+00, 0.000000e+00, 2.220215e-09, 3.135745e-01, 5.129491e-02, 5.600812e-08, 7.395331e-09, 2.134202e-09, 1.469363e-15, 2.494878e-16, 2.787032e-16, 9.411725e-16, 3.704435e-19, 2.815533e-16, 2.271887e-18, 3.646607e-16, 1.040302e+00, 4.685593e+08, 4.685593e+08, 1.123710e-07, 1.255298e-07, 1.668503e-10, 1.023273e-09, 2.522644e+01, nan, 1.370000e+00
