pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.558918e-01, 1.558918e-01, 0.000000e+00, 0.000000e+00, 1.110318e-09, 3.584820e-01, 4.351971e-02, 3.322074e-08, 4.227571e-09, 6.488676e-10, 1.465611e-15, 2.626630e-16, 2.770974e-16, 9.258509e-16, 1.614348e-19, 2.779758e-16, 2.865066e-19, 3.551745e-16, 1.711163e+00, 1.541146e+09, 1.541146e+09, 2.365655e-07, 2.495657e-07, 1.453950e-10, 2.580400e-10, 2.992001e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.590195e-01, 1.590195e-01, 0.000000e+00, 0.000000e+00, 1.221396e-09, 3.584100e-01, 4.352969e-02, 3.650500e-08, 4.639417e-09, 7.041707e-10, 1.464039e-15, 2.630590e-16, 2.770789e-16, 9.239010e-16, 1.628827e-19, 2.779351e-16, 2.326849e-19, 3.584896e-16, 1.734517e+00, 1.420110e+09, 1.420110e+09, 2.153756e-07, 2.268542e-07, 1.333578e-10, 1.905073e-10, 2.988792e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.618787e-01, 1.618787e-01, 0.000000e+00, 0.000000e+00, 1.332485e-09, 3.583455e-01, 4.353965e-02, 3.978456e-08, 5.050143e-09, 7.592896e-10, 1.462737e-15, 2.635578e-16, 2.770631e-16, 9.221161e-16, 1.644344e-19, 2.779005e-16, 1.842566e-19, 3.617123e-16, 1.754910e+00, 1.317021e+09, 1.317021e+09, 1.977942e-07, 2.079296e-07, 1.234043e-10, 1.382804e-10, 2.985742e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.645121e-01, 1.645121e-01, 0.000000e+00, 0.000000e+00, 1.443579e-09, 3.582872e-01, 4.354959e-02, 4.305954e-08, 5.459808e-09, 8.142296e-10, 1.461663e-15, 2.641454e-16, 2.770493e-16, 9.204688e-16, 1.660600e-19, 2.778708e-16, 1.401470e-19, 3.648544e-16, 1.772939e+00, 1.228155e+09, 1.228155e+09, 1.829794e-07, 1.919183e-07, 1.150335e-10, 9.708299e-11, 2.982831e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.670192e-01, 1.670192e-01, 0.000000e+00, 0.000000e+00, 1.557809e-09, 3.582325e-01, 4.355980e-02, 4.642220e-08, 5.879974e-09, 8.705395e-10, 1.460763e-15, 2.648300e-16, 2.770370e-16, 9.188960e-16, 1.677866e-19, 2.778444e-16, 9.846418e-20, 3.680111e-16, 1.789476e+00, 1.148713e+09, 1.148713e+09, 1.700015e-07, 1.778375e-07, 1.077068e-10, 6.320682e-11, 2.979967e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.692748e-01, 1.692748e-01, 0.000000e+00, 0.000000e+00, 1.668162e-09, 3.581840e-01, 4.356965e-02, 4.966635e-08, 6.284915e-09, 9.247726e-10, 1.460062e-15, 2.655597e-16, 2.770264e-16, 9.174763e-16, 1.694928e-19, 2.778220e-16, 6.112669e-20, 3.709973e-16, 1.803862e+00, 1.081347e+09, 1.081347e+09, 1.591930e-07, 1.660669e-07, 1.016046e-10, 3.664315e-11, 2.977311e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.713914e-01, 1.713914e-01, 0.000000e+00, 0.000000e+00, 1.778697e-09, 3.581391e-01, 4.357950e-02, 5.291177e-08, 6.689629e-09, 9.789409e-10, 1.459506e-15, 2.663504e-16, 2.770170e-16, 9.161389e-16, 1.712286e-19, 2.778022e-16, 2.615510e-20, 3.739328e-16, 1.816961e+00, 1.021512e+09, 1.021512e+09, 1.497447e-07, 1.557415e-07, 9.626629e-11, 1.470464e-11, 2.974749e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.733846e-01, 1.733846e-01, 0.000000e+00, 0.000000e+00, 1.889371e-09, 3.580972e-01, 4.358934e-02, 5.615726e-08, 7.093991e-09, 1.033029e-09, 1.459079e-15, 2.671960e-16, 2.770085e-16, 9.148741e-16, 1.729855e-19, 2.777845e-16, 6.783472e-21, 3.768214e-16, 1.828962e+00, 9.680271e+08, 9.680271e+08, 1.414206e-07, 1.466141e-07, 9.155717e-11, 3.590334e-12, 2.972273e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.770522e-01, 1.770522e-01, 0.000000e+00, 0.000000e+00, 2.111004e-09, 3.580213e-01, 4.360902e-02, 6.264518e-08, 7.901334e-09, 1.140928e-09, 1.458555e-15, 2.690310e-16, 2.769938e-16, 9.125305e-16, 1.765381e-19, 2.777545e-16, 6.759532e-20, 3.824728e-16, 1.850252e+00, 8.764796e+08, 8.764796e+08, 1.274422e-07, 1.312142e-07, 8.362756e-11, 3.202046e-11, 2.967554e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.787476e-01, 1.787476e-01, 0.000000e+00, 0.000000e+00, 2.221919e-09, 3.579866e-01, 4.361885e-02, 6.588655e-08, 8.304218e-09, 1.194729e-09, 1.458438e-15, 2.700120e-16, 2.769873e-16, 9.114386e-16, 1.783251e-19, 2.777417e-16, 9.587527e-20, 3.852417e-16, 1.859768e+00, 8.370099e+08, 8.370099e+08, 1.215220e-07, 1.246613e-07, 8.025727e-11, 4.314976e-11, 2.965300e+01, nan, 1.370000e+00
