pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.721243e-01, 3.721243e-01, 0.000000e+00, 0.000000e+00, 1.110948e-09, 5.481700e-01, 3.591333e-02, 3.882619e-08, 5.405556e-09, 5.429287e-10, 1.352240e-15, 2.490757e-16, 2.368008e-16, 8.663638e-16, 4.891098e-20, 2.368948e-16, 2.121447e-19, 3.416783e-16, 2.046214e+00, 1.841862e+09, 1.841862e+09, 2.242010e-07, 2.131520e-07, 4.402634e-11, 1.909582e-10, 3.494869e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.748102e-01, 3.748102e-01, 0.000000e+00, 0.000000e+00, 1.221817e-09, 5.481305e-01, 3.592214e-02, 4.265015e-08, 5.931337e-09, 5.956809e-10, 1.352338e-15, 2.507086e-16, 2.368008e-16, 8.648282e-16, 5.042574e-20, 2.368959e-16, 2.229075e-19, 3.462200e-16, 2.051127e+00, 1.678751e+09, 1.678751e+09, 2.051933e-07, 1.938103e-07, 4.127111e-11, 1.824393e-10, 3.490715e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.772675e-01, 3.772675e-01, 0.000000e+00, 0.000000e+00, 1.332776e-09, 5.480945e-01, 3.593095e-02, 4.647067e-08, 6.456067e-09, 6.483513e-10, 1.352631e-15, 2.524272e-16, 2.368007e-16, 8.634033e-16, 5.189931e-20, 2.368971e-16, 2.333467e-19, 3.506435e-16, 2.055638e+00, 1.542374e+09, 1.542374e+09, 1.893996e-07, 1.776749e-07, 3.894077e-11, 1.750833e-10, 3.486759e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.795318e-01, 3.795318e-01, 0.000000e+00, 0.000000e+00, 1.443790e-09, 5.480613e-01, 3.593974e-02, 5.028685e-08, 6.979673e-09, 7.009327e-10, 1.353090e-15, 2.542184e-16, 2.368007e-16, 8.620712e-16, 5.333586e-20, 2.368982e-16, 2.434992e-19, 3.549627e-16, 2.059812e+00, 1.426670e+09, 1.426670e+09, 1.760772e-07, 1.640133e-07, 3.694157e-11, 1.686528e-10, 3.482976e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.816311e-01, 3.816311e-01, 0.000000e+00, 0.000000e+00, 1.554838e-09, 5.480307e-01, 3.594853e-02, 5.409823e-08, 7.502135e-09, 7.534233e-10, 1.353690e-15, 2.560721e-16, 2.368006e-16, 8.608178e-16, 5.473896e-20, 2.368994e-16, 2.533955e-19, 3.591889e-16, 2.063698e+00, 1.327275e+09, 1.327275e+09, 1.646938e-07, 1.522992e-07, 3.520558e-11, 1.629723e-10, 3.479349e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.835879e-01, 3.835879e-01, 0.000000e+00, 0.000000e+00, 1.665908e-09, 5.480021e-01, 3.595730e-02, 5.790462e-08, 8.023460e-09, 8.058238e-10, 1.354412e-15, 2.579799e-16, 2.368004e-16, 8.596320e-16, 5.611172e-20, 2.369005e-16, 2.630617e-19, 3.633319e-16, 2.067335e+00, 1.240966e+09, 1.240966e+09, 1.548585e-07, 1.421450e-07, 3.368237e-11, 1.579089e-10, 3.475860e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.854205e-01, 3.854205e-01, 0.000000e+00, 0.000000e+00, 1.776991e-09, 5.479754e-01, 3.596607e-02, 6.170597e-08, 8.543672e-09, 8.581363e-10, 1.355240e-15, 2.599353e-16, 2.368003e-16, 8.585048e-16, 5.745680e-20, 2.369017e-16, 2.725198e-19, 3.673999e-16, 2.070756e+00, 1.165316e+09, 1.165316e+09, 1.462783e-07, 1.332591e-07, 3.233376e-11, 1.533602e-10, 3.472497e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.871436e-01, 3.871436e-01, 0.000000e+00, 0.000000e+00, 1.888083e-09, 5.479504e-01, 3.597482e-02, 6.550231e-08, 9.062803e-09, 9.103636e-10, 1.356162e-15, 2.619327e-16, 2.368002e-16, 8.574289e-16, 5.877653e-20, 2.369028e-16, 2.817887e-19, 3.713997e-16, 2.073988e+00, 1.098462e+09, 1.098462e+09, 1.387294e-07, 1.254183e-07, 3.113026e-11, 1.492459e-10, 3.469249e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.903095e-01, 3.903095e-01, 0.000000e+00, 0.000000e+00, 2.110283e-09, 5.479045e-01, 3.599230e-02, 7.308026e-08, 1.009796e-08, 1.014575e-09, 1.358243e-15, 2.660358e-16, 2.367999e-16, 8.554077e-16, 6.134776e-20, 2.369050e-16, 2.998218e-19, 3.792184e-16, 2.079966e+00, 9.856340e+08, 9.856340e+08, 1.260664e-07, 1.122124e-07, 2.907088e-11, 1.420766e-10, 3.463056e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.917715e-01, 3.917715e-01, 0.000000e+00, 0.000000e+00, 2.221386e-09, 5.478833e-01, 3.600102e-02, 7.686209e-08, 1.061405e-08, 1.066566e-09, 1.359387e-15, 2.681343e-16, 2.367997e-16, 8.544531e-16, 6.260261e-20, 2.369061e-16, 3.086123e-19, 3.830470e-16, 2.082747e+00, 9.375886e+08, 9.375886e+08, 1.207058e-07, 1.066000e-07, 2.818177e-11, 1.389278e-10, 3.460096e+01, nan, 1.370000e+00
