pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.226719e-01, 2.226719e-01, 0.000000e+00, 0.000000e+00, 1.107570e-09, 4.633583e-01, 5.008636e-02, 2.779654e-08, 4.190121e-09, 4.807040e-10, 1.378198e-15, 2.201459e-16, 2.370384e-16, 9.210134e-16, 9.170996e-20, 2.373971e-16, 1.831114e-20, 3.087318e-16, 2.304058e+00, 2.080282e+09, 2.080282e+09, 1.987648e-07, 2.140166e-07, 8.280285e-11, 1.653271e-11, 2.509686e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.263840e-01, 2.263840e-01, 0.000000e+00, 0.000000e+00, 1.217608e-09, 4.632895e-01, 5.009795e-02, 3.052611e-08, 4.594954e-09, 5.248106e-10, 1.376151e-15, 2.203107e-16, 2.370326e-16, 9.188079e-16, 9.288669e-20, 2.373846e-16, 3.206925e-21, 3.117135e-16, 2.320091e+00, 1.905449e+09, 1.905449e+09, 1.809373e-07, 1.946707e-07, 7.628619e-11, 2.633790e-12, 2.507055e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.297885e-01, 2.297885e-01, 0.000000e+00, 0.000000e+00, 1.327982e-09, 4.632270e-01, 5.010956e-02, 3.325995e-08, 4.999844e-09, 5.688785e-10, 1.374399e-15, 2.205855e-16, 2.370276e-16, 9.167863e-16, 9.409723e-20, 2.373739e-16, 2.305441e-20, 3.146250e-16, 2.334386e+00, 1.757845e+09, 1.757845e+09, 1.661058e-07, 1.784870e-07, 7.085730e-11, 1.736049e-11, 2.504548e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.329305e-01, 2.329305e-01, 0.000000e+00, 0.000000e+00, 1.438583e-09, 4.631697e-01, 5.012117e-02, 3.599555e-08, 5.404464e-09, 6.128776e-10, 1.372899e-15, 2.209557e-16, 2.370232e-16, 9.149197e-16, 9.532964e-20, 2.373647e-16, 4.152328e-20, 3.174732e-16, 2.347261e+00, 1.631647e+09, 1.631647e+09, 1.535926e-07, 1.647615e-07, 6.626632e-11, 2.886400e-11, 2.502152e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.358465e-01, 2.358465e-01, 0.000000e+00, 0.000000e+00, 1.549339e-09, 4.631170e-01, 5.013279e-02, 3.873125e-08, 5.808609e-09, 6.567903e-10, 1.371614e-15, 2.214095e-16, 2.370192e-16, 9.131853e-16, 9.657560e-20, 2.373568e-16, 5.883814e-20, 3.202642e-16, 2.358955e+00, 1.522556e+09, 1.522556e+09, 1.429058e-07, 1.529809e-07, 6.233342e-11, 3.797629e-11, 2.499856e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.385662e-01, 2.385662e-01, 0.000000e+00, 0.000000e+00, 1.660199e-09, 4.630682e-01, 5.014439e-02, 4.146597e-08, 6.212154e-09, 7.006069e-10, 1.370517e-15, 2.219369e-16, 2.370157e-16, 9.115645e-16, 9.782924e-20, 2.373499e-16, 7.517487e-20, 3.230035e-16, 2.369658e+00, 1.427334e+09, 1.427334e+09, 1.336809e-07, 1.427635e-07, 5.892622e-11, 4.528064e-11, 2.497651e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.411140e-01, 2.411140e-01, 0.000000e+00, 0.000000e+00, 1.771129e-09, 4.630228e-01, 5.015598e-02, 4.419902e-08, 6.615026e-09, 7.443231e-10, 1.369585e-15, 2.225300e-16, 2.370125e-16, 9.100425e-16, 9.908640e-20, 2.373438e-16, 9.067330e-20, 3.256957e-16, 2.379517e+00, 1.343503e+09, 1.343503e+09, 1.256430e-07, 1.338200e-07, 5.594532e-11, 5.119519e-11, 2.495527e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.435100e-01, 2.435100e-01, 0.000000e+00, 0.000000e+00, 1.882108e-09, 4.629803e-01, 5.016757e-02, 4.692996e-08, 7.017188e-09, 7.879377e-10, 1.368798e-15, 2.231819e-16, 2.370096e-16, 9.086068e-16, 1.003441e-19, 2.373384e-16, 1.054461e-19, 3.283451e-16, 2.388651e+00, 1.269136e+09, 1.269136e+09, 1.185808e-07, 1.259278e-07, 5.331473e-11, 5.602556e-11, 2.493479e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.479123e-01, 2.479123e-01, 0.000000e+00, 0.000000e+00, 2.104153e-09, 4.629027e-01, 5.019070e-02, 5.238460e-08, 7.819341e-09, 8.748673e-10, 1.367599e-15, 2.246398e-16, 2.370045e-16, 9.059551e-16, 1.028531e-19, 2.373294e-16, 1.331669e-19, 3.335302e-16, 2.405111e+00, 1.143031e+09, 1.143031e+09, 1.067602e-07, 1.126365e-07, 4.888099e-11, 6.328766e-11, 2.489581e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.499450e-01, 2.499450e-01, 0.000000e+00, 0.000000e+00, 2.215202e-09, 4.628672e-01, 5.020224e-02, 5.510808e-08, 8.219339e-09, 9.181873e-10, 1.367162e-15, 2.254367e-16, 2.370022e-16, 9.047231e-16, 1.041017e-19, 2.373256e-16, 1.462540e-19, 3.360720e-16, 2.412582e+00, 1.089102e+09, 1.089102e+09, 1.017680e-07, 1.069890e-07, 4.699424e-11, 6.602288e-11, 2.487722e+01, nan, 1.370000e+00
