pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 2.996363e-01, 2.996363e-01, 0.000000e+00, 0.000000e+00, 1.110553e-09, 4.741372e-01, 3.631322e-02, 3.905196e-08, 5.101471e-09, 5.741178e-10, 1.402177e-15, 2.640267e-16, 2.565478e-16, 8.816026e-16, 6.670497e-20, 2.567119e-16, 2.467743e-19, 3.579393e-16, 1.934365e+00, 1.741803e+09, 1.741803e+09, 2.377433e-07, 2.310090e-07, 6.006462e-11, 2.222084e-10, 3.516442e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.023082e-01, 3.023082e-01, 0.000000e+00, 0.000000e+00, 1.221572e-09, 4.740955e-01, 3.632198e-02, 4.290542e-08, 5.598560e-09, 6.297343e-10, 1.402022e-15, 2.654464e-16, 2.565475e-16, 8.800276e-16, 6.857393e-20, 2.567125e-16, 2.616568e-19, 3.623214e-16, 1.939822e+00, 1.587971e+09, 1.587971e+09, 2.172990e-07, 2.100142e-07, 5.613580e-11, 2.141967e-10, 3.512312e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.047552e-01, 3.047552e-01, 0.000000e+00, 0.000000e+00, 1.332817e-09, 4.740575e-01, 3.633075e-02, 4.676023e-08, 6.095271e-09, 6.853174e-10, 1.402075e-15, 2.669594e-16, 2.565472e-16, 8.785688e-16, 7.039761e-20, 2.567133e-16, 2.760354e-19, 3.665936e-16, 1.944818e+00, 1.459178e+09, 1.459178e+09, 2.002971e-07, 1.924849e-07, 5.281864e-11, 2.071067e-10, 3.508375e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.070180e-01, 3.070180e-01, 0.000000e+00, 0.000000e+00, 1.444560e-09, 4.740224e-01, 3.633954e-02, 5.062602e-08, 6.592887e-09, 7.410129e-10, 1.402307e-15, 2.685568e-16, 2.565470e-16, 8.772036e-16, 7.218497e-20, 2.567142e-16, 2.900114e-19, 3.707804e-16, 1.949440e+00, 1.349504e+09, 1.349504e+09, 1.859091e-07, 1.775953e-07, 4.997022e-11, 2.007611e-10, 3.504598e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.091338e-01, 3.091338e-01, 0.000000e+00, 0.000000e+00, 1.557373e-09, 4.739896e-01, 3.634841e-02, 5.452277e-08, 7.094013e-09, 7.971138e-10, 1.402696e-15, 2.702376e-16, 2.565468e-16, 8.759114e-16, 7.394864e-20, 2.567152e-16, 3.037052e-19, 3.749137e-16, 1.953765e+00, 1.254526e+09, 1.254526e+09, 1.735215e-07, 1.647305e-07, 4.748294e-11, 1.950112e-10, 3.500946e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.110329e-01, 3.110329e-01, 0.000000e+00, 0.000000e+00, 1.666002e-09, 4.739603e-01, 3.635693e-02, 5.826949e-08, 7.575424e-09, 8.510205e-10, 1.403196e-15, 2.719125e-16, 2.565465e-16, 8.747370e-16, 7.561165e-20, 2.567162e-16, 3.165408e-19, 3.788146e-16, 1.957652e+00, 1.175060e+09, 1.175060e+09, 1.632126e-07, 1.539894e-07, 4.538510e-11, 1.900003e-10, 3.497564e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.128536e-01, 3.128536e-01, 0.000000e+00, 0.000000e+00, 1.777139e-09, 4.739323e-01, 3.636564e-02, 6.209733e-08, 8.066860e-09, 9.060639e-10, 1.403820e-15, 2.736767e-16, 2.565463e-16, 8.735970e-16, 7.728037e-20, 2.567173e-16, 3.293550e-19, 3.827335e-16, 1.961384e+00, 1.103675e+09, 1.103675e+09, 1.539985e-07, 1.443592e-07, 4.348583e-11, 1.853288e-10, 3.494230e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.145662e-01, 3.145662e-01, 0.000000e+00, 0.000000e+00, 1.888330e-09, 4.739059e-01, 3.637434e-02, 6.592176e-08, 8.557480e-09, 9.610305e-10, 1.404544e-15, 2.754872e-16, 2.565461e-16, 8.725110e-16, 7.891948e-20, 2.567184e-16, 3.418855e-19, 3.865882e-16, 1.964901e+00, 1.040550e+09, 1.040550e+09, 1.458893e-07, 1.358587e-07, 4.179327e-11, 1.810518e-10, 3.491008e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.177181e-01, 3.177181e-01, 0.000000e+00, 0.000000e+00, 2.111144e-09, 4.738576e-01, 3.639174e-02, 7.357037e-08, 9.537641e-09, 1.070888e-09, 1.406253e-15, 2.792339e-16, 2.565457e-16, 8.704734e-16, 8.212180e-20, 2.567206e-16, 3.662278e-19, 3.941374e-16, 1.971395e+00, 9.338042e+08, 9.338042e+08, 1.322666e-07, 1.215198e-07, 3.889919e-11, 1.734736e-10, 3.484858e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.191791e-01, 3.191791e-01, 0.000000e+00, 0.000000e+00, 2.223010e-09, 4.738353e-01, 3.640047e-02, 7.740313e-08, 1.002832e-08, 1.125907e-09, 1.407223e-15, 2.811670e-16, 2.565456e-16, 8.695103e-16, 8.369213e-20, 2.567218e-16, 3.781069e-19, 3.978491e-16, 1.974417e+00, 8.881728e+08, 8.881728e+08, 1.264803e-07, 1.154046e-07, 3.764812e-11, 1.700878e-10, 3.481907e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.205763e-01, 3.205763e-01, 0.000000e+00, 0.000000e+00, 2.335434e-09, 4.738139e-01, 3.640922e-02, 8.125033e-08, 1.052053e-08, 1.181114e-09, 1.408263e-15, 2.831405e-16, 2.565454e-16, 8.685771e-16, 8.524741e-20, 2.567230e-16, 3.898397e-19, 4.015321e-16, 1.977314e+00, 8.466580e+08, 8.466580e+08, 1.212368e-07, 1.098491e-07, 3.650175e-11, 1.669239e-10, 3.479025e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.218612e-01, 3.218612e-01, 0.000000e+00, 0.000000e+00, 2.443751e-09, 4.737943e-01, 3.641765e-02, 8.495266e-08, 1.099394e-08, 1.234227e-09, 1.409322e-15, 2.850687e-16, 2.565452e-16, 8.677078e-16, 8.672559e-20, 2.567242e-16, 4.009636e-19, 4.050390e-16, 1.979985e+00, 8.102238e+08, 8.102238e+08, 1.166521e-07, 1.049801e-07, 3.548872e-11, 1.640771e-10, 3.476322e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.231225e-01, 3.231225e-01, 0.000000e+00, 0.000000e+00, 2.554868e-09, 4.737751e-01, 3.642629e-02, 8.874637e-08, 1.147875e-08, 1.288635e-09, 1.410460e-15, 2.870717e-16, 2.565450e-16, 8.668435e-16, 8.822254e-20, 2.567254e-16, 4.122043e-19, 4.085972e-16, 1.982615e+00, 7.760148e+08, 7.760148e+08, 1.123626e-07, 1.004142e-07, 3.453116e-11, 1.613408e-10, 3.473619e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.243312e-01, 3.243312e-01, 0.000000e+00, 0.000000e+00, 2.665995e-09, 4.737567e-01, 3.643491e-02, 9.253621e-08, 1.196282e-08, 1.342974e-09, 1.411648e-15, 2.890983e-16, 2.565448e-16, 8.660046e-16, 8.970114e-20, 2.567266e-16, 4.232850e-19, 4.121187e-16, 1.985143e+00, 7.446160e+08, 7.446160e+08, 1.084392e-07, 9.622853e-08, 3.364640e-11, 1.587719e-10, 3.470982e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.254915e-01, 3.254915e-01, 0.000000e+00, 0.000000e+00, 2.777144e-09, 4.737391e-01, 3.644354e-02, 9.632263e-08, 1.244619e-08, 1.397251e-09, 1.412880e-15, 2.911468e-16, 2.565446e-16, 8.651889e-16, 9.116259e-20, 2.567278e-16, 4.342175e-19, 4.156060e-16, 1.987577e+00, 7.156910e+08, 7.156910e+08, 1.048368e-07, 9.237714e-08, 3.282602e-11, 1.563540e-10, 3.468406e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.266076e-01, 3.266076e-01, 0.000000e+00, 0.000000e+00, 2.888332e-09, 4.737222e-01, 3.645215e-02, 1.001063e-07, 1.292898e-08, 1.451478e-09, 1.414155e-15, 2.932160e-16, 2.565444e-16, 8.643943e-16, 9.260806e-20, 2.567291e-16, 4.450127e-19, 4.190619e-16, 1.989925e+00, 6.889531e+08, 6.889531e+08, 1.015174e-07, 8.882097e-08, 3.206282e-11, 1.540726e-10, 3.465888e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.287208e-01, 3.287208e-01, 0.000000e+00, 0.000000e+00, 3.110960e-09, 4.736902e-01, 3.646938e-02, 1.076706e-07, 1.389347e-08, 1.559853e-09, 1.416819e-15, 2.974139e-16, 2.565440e-16, 8.628610e-16, 9.545619e-20, 2.567315e-16, 4.662372e-19, 4.258914e-16, 1.994394e+00, 6.410861e+08, 6.410861e+08, 9.560196e-08, 8.246458e-08, 3.068383e-11, 1.498692e-10, 3.461009e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.297246e-01, 3.297246e-01, 0.000000e+00, 0.000000e+00, 3.222514e-09, 4.736750e-01, 3.647800e-02, 1.114552e-07, 1.437570e-08, 1.614060e-09, 1.418205e-15, 2.995424e-16, 2.565438e-16, 8.621189e-16, 9.686174e-20, 2.567328e-16, 4.766912e-19, 4.292715e-16, 1.996527e+00, 6.195555e+08, 6.195555e+08, 9.295299e-08, 7.960983e-08, 3.005781e-11, 1.479252e-10, 3.458640e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.306972e-01, 3.306972e-01, 0.000000e+00, 0.000000e+00, 3.334347e-09, 4.736603e-01, 3.648663e-02, 1.152454e-07, 1.485845e-08, 1.668341e-09, 1.419626e-15, 3.016914e-16, 2.565437e-16, 8.613907e-16, 9.825726e-20, 2.567340e-16, 4.870587e-19, 4.326340e-16, 1.998600e+00, 5.993978e+08, 5.993978e+08, 9.047990e-08, 7.693969e-08, 2.946822e-11, 1.460732e-10, 3.456312e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.316417e-01, 3.316417e-01, 0.000000e+00, 0.000000e+00, 3.446590e-09, 4.736461e-01, 3.649529e-02, 1.190459e-07, 1.534230e-08, 1.722760e-09, 1.421081e-15, 3.038628e-16, 2.565435e-16, 8.606748e-16, 9.964491e-20, 2.567353e-16, 4.973568e-19, 4.359840e-16, 2.000621e+00, 5.804640e+08, 5.804640e+08, 8.816330e-08, 7.443399e-08, 2.891116e-11, 1.443040e-10, 3.454020e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.325613e-01, 3.325613e-01, 0.000000e+00, 0.000000e+00, 3.559417e-09, 4.736322e-01, 3.650398e-02, 1.228626e-07, 1.582800e-08, 1.777402e-09, 1.422571e-15, 3.060591e-16, 2.565433e-16, 8.599691e-16, 1.010273e-19, 2.567365e-16, 5.076055e-19, 4.393276e-16, 2.002596e+00, 5.626190e+08, 5.626190e+08, 8.598573e-08, 7.207452e-08, 2.838309e-11, 1.426092e-10, 3.451761e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.334038e-01, 3.334038e-01, 0.000000e+00, 0.000000e+00, 3.665951e-09, 4.736195e-01, 3.651219e-02, 1.264630e-07, 1.628602e-08, 1.828942e-09, 1.424003e-15, 3.081447e-16, 2.565431e-16, 8.593149e-16, 1.023215e-19, 2.567377e-16, 5.171923e-19, 4.424637e-16, 2.004411e+00, 5.467642e+08, 5.467642e+08, 8.405588e-08, 6.997995e-08, 2.791131e-11, 1.410800e-10, 3.449665e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.342573e-01, 3.342573e-01, 0.000000e+00, 0.000000e+00, 3.777068e-09, 4.736067e-01, 3.652074e-02, 1.302151e-07, 1.676315e-08, 1.882645e-09, 1.425519e-15, 3.103317e-16, 2.565429e-16, 8.586443e-16, 1.036604e-19, 2.567389e-16, 5.271026e-19, 4.457142e-16, 2.006256e+00, 5.311676e+08, 5.311676e+08, 8.216204e-08, 6.792117e-08, 2.744468e-11, 1.395534e-10, 3.447517e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 3.350866e-01, 3.350866e-01, 0.000000e+00, 0.000000e+00, 3.888194e-09, 4.735942e-01, 3.652928e-02, 1.339640e-07, 1.723971e-08, 1.936298e-09, 1.427057e-15, 3.125299e-16, 2.565427e-16, 8.579849e-16, 1.049888e-19, 2.567402e-16, 5.369267e-19, 4.489448e-16, 2.008056e+00, 5.164494e+08, 5.164494e+08, 8.037919e-08, 6.597991e-08, 2.700194e-11, 1.380915e-10, 3.445405e+01, nan, 1.370000e+00
