pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.504414e-01, 1.504414e-01, 0.000000e+00, 0.000000e+00, 1.107256e-09, 3.892191e-01, 5.063797e-02, 2.796036e-08, 3.973086e-09, 6.110848e-10, 1.430841e-15, 2.344208e-16, 2.572326e-16, 9.391880e-16, 1.624038e-19, 2.582115e-16, 5.892468e-19, 3.242624e-16, 1.811951e+00, 1.636434e+09, 1.636434e+09, 2.117133e-07, 2.323154e-07, 1.466723e-10, 5.321686e-10, 2.525194e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.541342e-01, 1.541342e-01, 0.000000e+00, 0.000000e+00, 1.217871e-09, 3.891183e-01, 5.064937e-02, 3.072190e-08, 4.359112e-09, 6.573291e-10, 1.428481e-15, 2.343997e-16, 2.572038e-16, 9.368775e-16, 1.625555e-19, 2.581464e-16, 5.217901e-19, 3.270638e-16, 1.852758e+00, 1.521308e+09, 1.521308e+09, 1.924667e-07, 2.111913e-07, 1.334751e-10, 4.284443e-10, 2.522590e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.575151e-01, 1.575151e-01, 0.000000e+00, 0.000000e+00, 1.328639e-09, 3.890293e-01, 5.066076e-02, 3.348321e-08, 4.744554e-09, 7.037037e-10, 1.426434e-15, 2.344867e-16, 2.571793e-16, 9.347676e-16, 1.629527e-19, 2.580914e-16, 4.626659e-19, 3.297926e-16, 1.888066e+00, 1.421053e+09, 1.421053e+09, 1.764864e-07, 1.935660e-07, 1.226464e-10, 3.482254e-10, 2.520114e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.606318e-01, 1.606318e-01, 0.000000e+00, 0.000000e+00, 1.439505e-09, 3.889497e-01, 5.067214e-02, 3.624315e-08, 5.129298e-09, 7.501365e-10, 1.424651e-15, 2.346675e-16, 2.571582e-16, 9.328254e-16, 1.635363e-19, 2.580442e-16, 4.101053e-19, 3.324571e-16, 1.918991e+00, 1.333091e+09, 1.333091e+09, 1.630195e-07, 1.786434e-07, 1.136059e-10, 2.848932e-10, 2.517750e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.635222e-01, 1.635222e-01, 0.000000e+00, 0.000000e+00, 1.550437e-09, 3.888779e-01, 5.068350e-02, 3.900105e-08, 5.513290e-09, 7.965805e-10, 1.423096e-15, 2.349305e-16, 2.571398e-16, 9.310255e-16, 1.642638e-19, 2.580033e-16, 3.628183e-19, 3.350643e-16, 1.946366e+00, 1.255366e+09, 1.255366e+09, 1.515253e-07, 1.658499e-07, 1.059467e-10, 2.340104e-10, 2.515488e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.662169e-01, 1.662169e-01, 0.000000e+00, 0.000000e+00, 1.661412e-09, 3.888124e-01, 5.069486e-02, 4.175653e-08, 5.896509e-09, 8.430049e-10, 1.421738e-15, 2.352663e-16, 2.571236e-16, 9.293476e-16, 1.651039e-19, 2.579675e-16, 3.198410e-19, 3.376202e-16, 1.970822e+00, 1.186233e+09, 1.186233e+09, 1.416062e-07, 1.547620e-07, 9.937564e-11, 1.925115e-10, 2.513315e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.687406e-01, 1.687406e-01, 0.000000e+00, 0.000000e+00, 1.772417e-09, 3.887523e-01, 5.070620e-02, 4.450937e-08, 6.278956e-09, 8.893892e-10, 1.420552e-15, 2.356671e-16, 2.571091e-16, 9.277752e-16, 1.660334e-19, 2.579359e-16, 2.804378e-19, 3.401300e-16, 1.992847e+00, 1.124367e+09, 1.124367e+09, 1.329637e-07, 1.450613e-07, 9.367627e-11, 1.582234e-10, 2.511225e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.711138e-01, 1.711138e-01, 0.000000e+00, 0.000000e+00, 1.883441e-09, 3.886968e-01, 5.071753e-02, 4.725948e-08, 6.660644e-09, 9.357199e-10, 1.419518e-15, 2.361263e-16, 2.570962e-16, 9.262950e-16, 1.670344e-19, 2.579078e-16, 2.440375e-19, 3.425979e-16, 2.012826e+00, 1.068696e+09, 1.068696e+09, 1.253696e-07, 1.365034e-07, 8.868574e-11, 1.295700e-10, 2.509209e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.754738e-01, 1.754738e-01, 0.000000e+00, 0.000000e+00, 2.105529e-09, 3.885973e-01, 5.074014e-02, 5.275140e-08, 7.421814e-09, 1.028188e-09, 1.417841e-15, 2.371983e-16, 2.570740e-16, 9.235687e-16, 1.691990e-19, 2.578600e-16, 1.785302e-19, 3.474232e-16, 2.047805e+00, 9.725845e+08, 9.725845e+08, 1.126550e-07, 1.220947e-07, 8.035937e-11, 8.479112e-11, 2.505375e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.774871e-01, 1.774871e-01, 0.000000e+00, 0.000000e+00, 2.216585e-09, 3.885522e-01, 5.075142e-02, 5.549326e-08, 7.801342e-09, 1.074317e-09, 1.417172e-15, 2.378023e-16, 2.570643e-16, 9.223055e-16, 1.703432e-19, 2.578394e-16, 1.487684e-19, 3.497868e-16, 2.063251e+00, 9.308242e+08, 9.308242e+08, 1.072832e-07, 1.159731e-07, 7.684940e-11, 6.711604e-11, 2.503547e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.794036e-01, 1.794036e-01, 0.000000e+00, 0.000000e+00, 2.327647e-09, 3.885098e-01, 5.076269e-02, 5.823243e-08, 8.180194e-09, 1.120371e-09, 1.416602e-15, 2.384467e-16, 2.570555e-16, 9.210998e-16, 1.715191e-19, 2.578208e-16, 1.206627e-19, 3.521213e-16, 2.077567e+00, 8.925612e+08, 8.925612e+08, 1.024411e-07, 1.104358e-07, 7.368777e-11, 5.183894e-11, 2.501772e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.812323e-01, 1.812323e-01, 0.000000e+00, 0.000000e+00, 2.438713e-09, 3.884699e-01, 5.077395e-02, 6.096896e-08, 8.558394e-09, 1.166351e-09, 1.416122e-15, 2.391285e-16, 2.570473e-16, 9.199459e-16, 1.727210e-19, 2.578038e-16, 9.401348e-20, 3.544289e-16, 2.090891e+00, 8.573746e+08, 8.573746e+08, 9.805519e-08, 1.054029e-07, 7.082467e-11, 3.855045e-11, 2.500047e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.830690e-01, 1.830690e-01, 0.000000e+00, 0.000000e+00, 2.555499e-09, 3.884301e-01, 5.078578e-02, 6.384356e-08, 8.955378e-09, 1.214617e-09, 1.415705e-15, 2.398825e-16, 2.570394e-16, 9.187832e-16, 1.740080e-19, 2.577874e-16, 6.738049e-20, 3.568283e-16, 2.103955e+00, 8.233051e+08, 8.233051e+08, 9.386917e-08, 1.005829e-07, 6.809161e-11, 2.636687e-11, 2.498282e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.847278e-01, 1.847278e-01, 0.000000e+00, 0.000000e+00, 2.665689e-09, 3.883946e-01, 5.079692e-02, 6.655321e-08, 9.329314e-09, 1.260079e-09, 1.415388e-15, 2.406265e-16, 2.570325e-16, 9.177292e-16, 1.752403e-19, 2.577733e-16, 4.341189e-20, 3.590689e-16, 2.115493e+00, 7.936010e+08, 7.936010e+08, 9.026804e-08, 9.642254e-08, 6.573921e-11, 1.628543e-11, 2.496660e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.863226e-01, 1.863226e-01, 0.000000e+00, 0.000000e+00, 2.776020e-09, 3.883607e-01, 5.080807e-02, 6.926382e-08, 9.703136e-09, 1.305525e-09, 1.415139e-15, 2.414009e-16, 2.570260e-16, 9.167123e-16, 1.764885e-19, 2.577602e-16, 2.042206e-20, 3.612911e-16, 2.126362e+00, 7.659751e+08, 7.659751e+08, 8.695938e-08, 9.258798e-08, 6.357611e-11, 7.356599e-12, 2.495077e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.878579e-01, 1.878579e-01, 0.000000e+00, 0.000000e+00, 2.886468e-09, 3.883284e-01, 5.081922e-02, 7.197491e-08, 1.007679e-08, 1.350947e-09, 1.414953e-15, 2.422039e-16, 2.570200e-16, 9.157295e-16, 1.777501e-19, 2.577481e-16, 1.681395e-21, 3.634958e-16, 2.136626e+00, 7.402214e+08, 7.402214e+08, 8.391011e-08, 8.904308e-08, 6.158048e-11, 5.825096e-13, 2.493529e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.907663e-01, 1.907663e-01, 0.000000e+00, 0.000000e+00, 3.107648e-09, 3.882678e-01, 5.084151e-02, 7.739699e-08, 1.082339e-08, 1.441691e-09, 1.414754e-15, 2.438884e-16, 2.570090e-16, 9.138562e-16, 1.803044e-19, 2.577265e-16, 4.354206e-20, 3.678563e-16, 2.155557e+00, 6.936299e+08, 6.936299e+08, 7.848007e-08, 8.270209e-08, 5.801956e-11, 1.401126e-11, 2.490533e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.921465e-01, 1.921465e-01, 0.000000e+00, 0.000000e+00, 3.218350e-09, 3.882393e-01, 5.085265e-02, 8.010738e-08, 1.119628e-08, 1.487004e-09, 1.414732e-15, 2.447670e-16, 2.570040e-16, 9.129614e-16, 1.815935e-19, 2.577168e-16, 6.343243e-20, 3.700136e-16, 2.164319e+00, 6.724933e+08, 6.724933e+08, 7.605357e-08, 7.985581e-08, 5.642441e-11, 1.970961e-11, 2.489082e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.934815e-01, 1.934815e-01, 0.000000e+00, 0.000000e+00, 3.329113e-09, 3.882119e-01, 5.086378e-02, 8.281701e-08, 1.156886e-08, 1.532272e-09, 1.414759e-15, 2.456681e-16, 2.569992e-16, 9.120920e-16, 1.828887e-19, 2.577077e-16, 8.270549e-20, 3.721566e-16, 2.172664e+00, 6.526257e+08, 6.526257e+08, 7.379386e-08, 7.719751e-08, 5.493619e-11, 2.484310e-11, 2.487660e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e-06, 1.000000e-06, 1.947742e-01, 1.947742e-01, 0.000000e+00, 0.000000e+00, 3.439925e-09, 3.881856e-01, 5.087491e-02, 8.552571e-08, 1.194111e-08, 1.577493e-09, 1.414831e-15, 2.465903e-16, 2.569947e-16, 9.112462e-16, 1.841889e-19, 2.576993e-16, 1.014102e-19, 3.742861e-16, 2.180627e+00, 6.339171e+08, 6.339171e+08, 7.168480e-08, 7.470939e-08, 5.354444e-11, 2.948036e-11, 2.486267e+01, nan, 1.370000e+00
