pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.279033e-01, 1.279033e-01, 0.000000e+00, 0.000000e+00, 1.110413e-09, 3.925606e-01, 5.003745e-02, 3.184797e-08, 3.580556e-09, 1.679600e-09, 7.675069e-16, 2.786771e-16, 2.765292e-16, 2.123006e-16, 1.958049e-20, 2.767328e-16, 1.819922e-19, 2.876579e-16, 6.611174e-01, 5.953798e+08, 5.953798e+08, 2.509671e-07, 2.490328e-07, 1.763352e-11, 1.638960e-10, 2.868120e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.311370e-01, 1.311370e-01, 0.000000e+00, 0.000000e+00, 1.224214e-09, 3.923426e-01, 5.003980e-02, 3.509234e-08, 3.939537e-09, 1.817542e-09, 7.669116e-16, 2.785929e-16, 2.765242e-16, 2.117945e-16, 1.923485e-20, 2.767175e-16, 1.697597e-19, 2.878976e-16, 6.735548e-01, 5.501935e+08, 5.501935e+08, 2.275687e-07, 2.258789e-07, 1.571199e-11, 1.386683e-10, 2.866519e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.340007e-01, 1.340007e-01, 0.000000e+00, 0.000000e+00, 1.334538e-09, 3.921548e-01, 5.004208e-02, 3.823507e-08, 4.286783e-09, 1.950830e-09, 7.663872e-16, 2.785172e-16, 2.765202e-16, 2.113499e-16, 1.895884e-20, 2.767050e-16, 1.595628e-19, 2.881176e-16, 6.840872e-01, 5.126023e+08, 5.126023e+08, 2.086993e-07, 2.072029e-07, 1.420629e-11, 1.195641e-10, 2.865042e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.366452e-01, 1.366452e-01, 0.000000e+00, 0.000000e+00, 1.445088e-09, 3.919854e-01, 5.004435e-02, 4.138194e-08, 4.634043e-09, 2.083924e-09, 7.659055e-16, 2.784466e-16, 2.765167e-16, 2.109422e-16, 1.872786e-20, 2.766941e-16, 1.506283e-19, 2.883276e-16, 6.934459e-01, 4.798640e+08, 4.798640e+08, 1.926848e-07, 1.913493e-07, 1.295967e-11, 1.042347e-10, 2.863627e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.391007e-01, 1.391007e-01, 0.000000e+00, 0.000000e+00, 1.555799e-09, 3.918312e-01, 5.004662e-02, 4.453111e-08, 4.981149e-09, 2.216727e-09, 7.654607e-16, 2.783809e-16, 2.765137e-16, 2.105661e-16, 1.853312e-20, 2.766845e-16, 1.427119e-19, 2.885288e-16, 7.018449e-01, 4.511155e+08, 4.511155e+08, 1.789312e-07, 1.777310e-07, 1.191229e-11, 9.172901e-11, 2.862267e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.413918e-01, 1.413918e-01, 0.000000e+00, 0.000000e+00, 1.666621e-09, 3.916899e-01, 5.004888e-02, 4.768132e-08, 5.327989e-09, 2.349180e-09, 7.650479e-16, 2.783195e-16, 2.765110e-16, 2.102174e-16, 1.836794e-20, 2.766760e-16, 1.356294e-19, 2.887222e-16, 7.094480e-01, 4.256804e+08, 4.256804e+08, 1.669962e-07, 1.659111e-07, 1.102106e-11, 8.137985e-11, 2.860957e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.435388e-01, 1.435388e-01, 0.000000e+00, 0.000000e+00, 1.777524e-09, 3.915596e-01, 5.005114e-02, 5.083171e-08, 5.674493e-09, 2.481250e-09, 7.646633e-16, 2.782622e-16, 2.765087e-16, 2.098924e-16, 1.822718e-20, 2.766684e-16, 1.292395e-19, 2.889087e-16, 7.163825e-01, 4.030227e+08, 4.030227e+08, 1.565449e-07, 1.555584e-07, 1.025425e-11, 7.270758e-11, 2.859692e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.455585e-01, 1.455585e-01, 0.000000e+00, 0.000000e+00, 1.888483e-09, 3.914387e-01, 5.005340e-02, 5.398168e-08, 6.020619e-09, 2.612917e-09, 7.643036e-16, 2.782087e-16, 2.765066e-16, 2.095882e-16, 1.810681e-20, 2.766616e-16, 1.234316e-19, 2.890891e-16, 7.227488e-01, 3.827140e+08, 3.827140e+08, 1.473186e-07, 1.464173e-07, 9.588018e-12, 6.536020e-11, 2.858468e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.492704e-01, 1.492704e-01, 0.000000e+00, 0.000000e+00, 2.110511e-09, 3.912206e-01, 5.005790e-02, 6.027895e-08, 6.711653e-09, 2.875028e-09, 7.636481e-16, 2.781119e-16, 2.765030e-16, 2.090332e-16, 1.791512e-20, 2.766499e-16, 1.132293e-19, 2.894335e-16, 7.340837e-01, 3.478227e+08, 3.478227e+08, 1.317747e-07, 1.310124e-07, 8.488521e-12, 5.365017e-11, 2.856131e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.509847e-01, 1.509847e-01, 0.000000e+00, 0.000000e+00, 2.221560e-09, 3.911216e-01, 5.006014e-02, 6.342580e-08, 7.056545e-09, 3.005475e-09, 7.633481e-16, 2.780682e-16, 2.765015e-16, 2.087785e-16, 1.783915e-20, 2.766447e-16, 1.087072e-19, 2.895986e-16, 7.391710e-01, 3.327261e+08, 3.327261e+08, 1.251680e-07, 1.244627e-07, 8.030008e-12, 4.893284e-11, 2.855011e+01, nan, 1.370000e+00
