pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 2.971439e-01, 2.971439e-01, 0.000000e+00, 0.000000e+00, 1.109737e-09, 5.597610e-01, 4.969892e-02, 3.235350e-08, 4.143423e-09, 1.105395e-09, 6.911950e-16, 2.412859e-16, 2.367530e-16, 2.131562e-16, 5.748526e-21, 2.367737e-16, 6.118608e-21, 2.500532e-16, 1.003928e+00, 9.046537e+08, 9.046537e+08, 2.174262e-07, 2.133416e-07, 5.180080e-12, 5.513567e-12, 2.915421e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.003094e-01, 3.003094e-01, 0.000000e+00, 0.000000e+00, 1.220830e-09, 5.596416e-01, 4.970122e-02, 3.557177e-08, 4.549175e-09, 1.209279e-09, 6.906333e-16, 2.411676e-16, 2.367538e-16, 2.127119e-16, 5.765523e-21, 2.367733e-16, 6.700697e-21, 2.502675e-16, 1.009551e+00, 8.269388e+08, 8.269388e+08, 1.975440e-07, 1.939286e-07, 4.722627e-12, 5.488642e-12, 2.913737e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.032018e-01, 3.032018e-01, 0.000000e+00, 0.000000e+00, 1.331945e-09, 5.595331e-01, 4.970351e-02, 3.878802e-08, 4.954121e-09, 1.312654e-09, 6.901232e-16, 2.410597e-16, 2.367545e-16, 2.123091e-16, 5.785395e-21, 2.367730e-16, 7.253104e-21, 2.504723e-16, 1.014696e+00, 7.618153e+08, 7.618153e+08, 1.809832e-07, 1.777509e-07, 4.343567e-12, 5.445496e-12, 2.912133e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.058678e-01, 3.058678e-01, 0.000000e+00, 0.000000e+00, 1.443223e-09, 5.594336e-01, 4.970581e-02, 4.200639e-08, 5.358827e-09, 1.415695e-09, 6.896560e-16, 2.409607e-16, 2.367551e-16, 2.119403e-16, 5.807490e-21, 2.367727e-16, 7.780749e-21, 2.506692e-16, 1.019445e+00, 7.063669e+08, 7.063669e+08, 1.669601e-07, 1.640461e-07, 4.023972e-12, 5.391230e-12, 2.910596e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.083294e-01, 3.083294e-01, 0.000000e+00, 0.000000e+00, 1.554135e-09, 5.593421e-01, 4.970809e-02, 4.521173e-08, 5.761428e-09, 1.517953e-09, 6.892273e-16, 2.408699e-16, 2.367557e-16, 2.116018e-16, 5.831197e-21, 2.367724e-16, 8.284559e-21, 2.508582e-16, 1.023836e+00, 6.587818e+08, 6.587818e+08, 1.549865e-07, 1.523392e-07, 3.752053e-12, 5.330656e-12, 2.909125e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.106266e-01, 3.106266e-01, 0.000000e+00, 0.000000e+00, 1.665240e-09, 5.592571e-01, 4.971037e-02, 4.842029e-08, 6.164003e-09, 1.619980e-09, 6.888299e-16, 2.407860e-16, 2.367562e-16, 2.112877e-16, 5.856258e-21, 2.367722e-16, 8.769818e-21, 2.510412e-16, 1.027939e+00, 6.172916e+08, 6.172916e+08, 1.445954e-07, 1.421754e-07, 3.516765e-12, 5.266399e-12, 2.907707e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.127767e-01, 3.127767e-01, 0.000000e+00, 0.000000e+00, 1.776351e-09, 5.591778e-01, 4.971264e-02, 5.162676e-08, 6.565912e-09, 1.721631e-09, 6.884605e-16, 2.407085e-16, 2.367567e-16, 2.109953e-16, 5.882349e-21, 2.367720e-16, 9.237853e-21, 2.512187e-16, 1.031784e+00, 5.808445e+08, 5.808445e+08, 1.355072e-07, 1.332826e-07, 3.311478e-12, 5.200465e-12, 2.906337e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.147978e-01, 3.147978e-01, 0.000000e+00, 0.000000e+00, 1.887482e-09, 5.591035e-01, 4.971492e-02, 5.483157e-08, 6.967236e-09, 1.822943e-09, 6.881155e-16, 2.406366e-16, 2.367571e-16, 2.107217e-16, 5.909252e-21, 2.367718e-16, 9.690525e-21, 2.513911e-16, 1.035403e+00, 5.485634e+08, 5.485634e+08, 1.274909e-07, 1.254355e-07, 3.130760e-12, 5.134103e-12, 2.905012e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.185113e-01, 3.185113e-01, 0.000000e+00, 0.000000e+00, 2.109922e-09, 5.589677e-01, 4.971945e-02, 6.124003e-08, 7.768694e-09, 2.024748e-09, 6.874882e-16, 2.405080e-16, 2.367579e-16, 2.102223e-16, 5.964873e-21, 2.367715e-16, 1.055609e-20, 2.517229e-16, 1.042067e+00, 4.938887e+08, 4.938887e+08, 1.139890e-07, 1.122117e-07, 2.827059e-12, 5.003070e-12, 2.902478e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 3.202282e-01, 3.202282e-01, 0.000000e+00, 0.000000e+00, 2.221356e-09, 5.589052e-01, 4.972172e-02, 6.444736e-08, 8.169324e-09, 2.125387e-09, 6.872013e-16, 2.404503e-16, 2.367583e-16, 2.099928e-16, 5.993378e-21, 2.367713e-16, 1.097179e-20, 2.518833e-16, 1.045153e+00, 4.705024e+08, 4.705024e+08, 1.082448e-07, 1.065828e-07, 2.698072e-12, 4.939232e-12, 2.901262e+01, nan, 1.370000e+00
