pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.247814e-01, 1.247814e-01, 0.000000e+00, 0.000000e+00, 1.106902e-09, 4.331236e-01, 5.879147e-02, 2.716337e-08, 3.512653e-09, 1.567339e-09, 7.360260e-16, 2.574176e-16, 2.566113e-16, 2.219971e-16, 2.149604e-20, 2.568329e-16, 2.374688e-19, 2.668668e-16, 7.062305e-01, 6.380243e+08, 6.380243e+08, 2.325567e-07, 2.318283e-07, 1.942000e-11, 2.145346e-10, 2.453999e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.284654e-01, 1.284654e-01, 0.000000e+00, 0.000000e+00, 1.217850e-09, 4.328325e-01, 5.879423e-02, 2.986964e-08, 3.856645e-09, 1.675695e-09, 7.353047e-16, 2.573181e-16, 2.566041e-16, 2.213825e-16, 2.095732e-20, 2.568115e-16, 2.202926e-19, 2.670900e-16, 7.267731e-01, 5.967673e+08, 5.967673e+08, 2.112889e-07, 2.107026e-07, 1.720846e-11, 1.808865e-10, 2.452653e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.318355e-01, 1.318355e-01, 0.000000e+00, 0.000000e+00, 1.328835e-09, 4.325784e-01, 5.879698e-02, 3.257471e-08, 4.199963e-09, 1.784903e-09, 7.346481e-16, 2.572244e-16, 2.565981e-16, 2.208255e-16, 2.050907e-20, 2.567935e-16, 2.057665e-19, 2.673010e-16, 7.444861e-01, 5.602546e+08, 5.602546e+08, 1.935714e-07, 1.931000e-07, 1.543387e-11, 1.548472e-10, 2.451373e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.349408e-01, 1.349408e-01, 0.000000e+00, 0.000000e+00, 1.439844e-09, 4.323534e-01, 5.879972e-02, 3.527834e-08, 4.542620e-09, 1.894618e-09, 7.340460e-16, 2.571362e-16, 2.565931e-16, 2.203167e-16, 2.013127e-20, 2.567781e-16, 1.932826e-19, 2.675016e-16, 7.599656e-01, 5.278110e+08, 5.278110e+08, 1.785861e-07, 1.782089e-07, 1.398156e-11, 1.342385e-10, 2.450150e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.378199e-01, 1.378199e-01, 0.000000e+00, 0.000000e+00, 1.550869e-09, 4.321518e-01, 5.880245e-02, 3.798043e-08, 4.884640e-09, 2.004611e-09, 7.334904e-16, 2.570529e-16, 2.565888e-16, 2.198487e-16, 1.980942e-20, 2.567647e-16, 1.824080e-19, 2.676931e-16, 7.736509e-01, 4.988500e+08, 4.988500e+08, 1.657477e-07, 1.654484e-07, 1.277311e-11, 1.176167e-10, 2.448978e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.405036e-01, 1.405036e-01, 0.000000e+00, 0.000000e+00, 1.661904e-09, 4.319692e-01, 5.880517e-02, 4.068093e-08, 5.226050e-09, 2.114727e-09, 7.329750e-16, 2.569743e-16, 2.565850e-16, 2.194156e-16, 1.953279e-20, 2.567530e-16, 1.728261e-19, 2.678768e-16, 7.858719e-01, 4.728744e+08, 4.728744e+08, 1.546264e-07, 1.543922e-07, 1.175326e-11, 1.039928e-10, 2.447850e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.430167e-01, 1.430167e-01, 0.000000e+00, 0.000000e+00, 1.772948e-09, 4.318026e-01, 5.880789e-02, 4.337984e-08, 5.566878e-09, 2.224858e-09, 7.324947e-16, 2.569001e-16, 2.565817e-16, 2.190128e-16, 1.929324e-20, 2.567427e-16, 1.642998e-19, 2.680536e-16, 7.968813e-01, 4.494669e+08, 4.494669e+08, 1.449000e-07, 1.447204e-07, 1.088202e-11, 9.267040e-11, 2.446764e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.454569e-01, 1.454569e-01, 0.000000e+00, 0.000000e+00, 1.887733e-09, 4.316445e-01, 5.881070e-02, 4.616790e-08, 5.918589e-09, 2.338631e-09, 7.320306e-16, 2.568276e-16, 2.565788e-16, 2.186242e-16, 1.907796e-20, 2.567331e-16, 1.564034e-19, 2.682298e-16, 8.071958e-01, 4.276006e+08, 4.276006e+08, 1.360508e-07, 1.359190e-07, 1.010628e-11, 8.285252e-11, 2.445679e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.497649e-01, 1.497649e-01, 0.000000e+00, 0.000000e+00, 2.108496e-09, 4.313734e-01, 5.881608e-02, 5.152513e-08, 6.593412e-09, 2.557056e-09, 7.312171e-16, 2.566991e-16, 2.565739e-16, 2.179441e-16, 1.873750e-20, 2.567175e-16, 1.433008e-19, 2.685526e-16, 8.245797e-01, 3.910748e+08, 3.910748e+08, 1.217451e-07, 1.216857e-07, 8.886667e-12, 6.796351e-11, 2.443691e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.517587e-01, 1.517587e-01, 0.000000e+00, 0.000000e+00, 2.219082e-09, 4.312511e-01, 5.881877e-02, 5.420637e-08, 6.930701e-09, 2.666216e-09, 7.308433e-16, 2.566396e-16, 2.565719e-16, 2.176318e-16, 1.859634e-20, 2.567107e-16, 1.375688e-19, 2.687074e-16, 8.322967e-01, 3.750634e+08, 3.750634e+08, 1.156512e-07, 1.156207e-07, 8.380195e-12, 6.199356e-11, 2.442738e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.500000e-07, 1.000000e-06, 1.536586e-01, 1.536586e-01, 0.000000e+00, 0.000000e+00, 2.329768e-09, 4.311362e-01, 5.882145e-02, 5.688851e-08, 7.267821e-09, 2.775277e-09, 7.304889e-16, 2.565832e-16, 2.565700e-16, 2.173357e-16, 1.847111e-20, 2.567045e-16, 1.322865e-19, 2.688582e-16, 8.394722e-01, 3.603244e+08, 3.603244e+08, 1.101325e-07, 1.101268e-07, 7.928305e-12, 5.678099e-11, 2.441810e+01, nan, 1.370000e+00
