pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.176671e-01, 3.176671e-01, 0.000000e+00, 0.000000e+00, 1.109746e-09, 4.978874e-01, 3.901137e-02, 3.287689e-08, 4.980497e-09, 2.736650e-10, 2.272426e-15, 2.666942e-16, 2.370181e-16, 1.768714e-15, 1.948630e-19, 2.374120e-16, 6.970694e-19, 5.143157e-16, 4.055125e+00, 3.654103e+09, 3.654103e+09, 2.403201e-07, 2.135787e-07, 1.755924e-10, 6.281343e-10, 2.962561e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.208721e-01, 3.208721e-01, 0.000000e+00, 0.000000e+00, 1.221152e-09, 4.978600e-01, 3.903308e-02, 3.611925e-08, 5.464885e-09, 3.001824e-10, 2.276463e-15, 2.751050e-16, 2.370181e-16, 1.764340e-15, 2.019528e-19, 2.374154e-16, 7.449956e-19, 5.296277e-16, 4.068033e+00, 3.331308e+09, 3.331308e+09, 2.252832e-07, 1.940938e-07, 1.653789e-10, 6.100761e-10, 2.957801e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.238169e-01, 3.238169e-01, 0.000000e+00, 0.000000e+00, 1.333159e-09, 4.978350e-01, 3.905487e-02, 3.937182e-08, 5.950205e-09, 3.267644e-10, 2.281055e-15, 2.838280e-16, 2.370181e-16, 1.760209e-15, 2.089146e-19, 2.374192e-16, 7.916515e-19, 5.447207e-16, 4.079879e+00, 3.060309e+09, 3.060309e+09, 2.128988e-07, 1.777869e-07, 1.567064e-10, 5.938163e-10, 2.953273e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.265574e-01, 3.265574e-01, 0.000000e+00, 0.000000e+00, 1.446431e-09, 4.978117e-01, 3.907687e-02, 4.265413e-08, 6.439407e-09, 3.535725e-10, 2.286156e-15, 2.928815e-16, 2.370183e-16, 1.756256e-15, 2.158034e-19, 2.374233e-16, 8.374896e-19, 5.597165e-16, 4.090905e+00, 2.828275e+09, 2.828275e+09, 2.024856e-07, 1.638642e-07, 1.491971e-10, 5.790040e-10, 2.948922e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.289734e-01, 3.289734e-01, 0.000000e+00, 0.000000e+00, 1.554083e-09, 4.977913e-01, 3.909775e-02, 4.576737e-08, 6.902933e-09, 3.789857e-10, 2.291368e-15, 3.016725e-16, 2.370185e-16, 1.752677e-15, 2.222230e-19, 2.374273e-16, 8.799551e-19, 5.737483e-16, 4.100638e+00, 2.638622e+09, 2.638622e+09, 1.941161e-07, 1.525134e-07, 1.429930e-10, 5.662214e-10, 2.944976e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.313015e-01, 3.313015e-01, 0.000000e+00, 0.000000e+00, 1.665242e-09, 4.977717e-01, 3.911927e-02, 4.897601e-08, 7.380212e-09, 4.051649e-10, 2.297072e-15, 3.109166e-16, 2.370188e-16, 1.749137e-15, 2.287331e-19, 2.374316e-16, 9.228093e-19, 5.880367e-16, 4.110036e+00, 2.468131e+09, 2.468131e+09, 1.867096e-07, 1.423330e-07, 1.373573e-10, 5.541592e-10, 2.941074e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.334841e-01, 3.334841e-01, 0.000000e+00, 0.000000e+00, 1.776512e-09, 4.977533e-01, 3.914078e-02, 5.218197e-08, 7.856663e-09, 4.313104e-10, 2.303067e-15, 3.203190e-16, 2.370192e-16, 1.745729e-15, 2.351392e-19, 2.374360e-16, 9.647993e-19, 6.021558e-16, 4.118871e+00, 2.318516e+09, 2.318516e+09, 1.803078e-07, 1.334183e-07, 1.323601e-10, 5.430863e-10, 2.937327e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.355413e-01, 3.355413e-01, 0.000000e+00, 0.000000e+00, 1.888041e-09, 4.977360e-01, 3.916230e-02, 5.538976e-08, 8.332983e-09, 4.574599e-10, 2.309328e-15, 3.298754e-16, 2.370195e-16, 1.742433e-15, 2.414581e-19, 2.374406e-16, 1.006066e-18, 6.161408e-16, 4.127228e+00, 2.185984e+09, 2.185984e+09, 1.747183e-07, 1.255373e-07, 1.278882e-10, 5.328622e-10, 2.933716e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.393543e-01, 3.393543e-01, 0.000000e+00, 0.000000e+00, 2.113180e-09, 4.977041e-01, 3.920566e-02, 6.184885e-08, 9.290957e-09, 5.100835e-10, 2.322622e-15, 3.495113e-16, 2.370204e-16, 1.736090e-15, 2.539320e-19, 2.374499e-16, 1.087155e-18, 6.439195e-16, 4.142812e+00, 1.960464e+09, 1.960464e+09, 1.653959e-07, 1.121629e-07, 1.201658e-10, 5.144640e-10, 2.926814e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 3.410370e-01, 3.410370e-01, 0.000000e+00, 0.000000e+00, 2.220701e-09, 4.976901e-01, 3.922632e-02, 6.492624e-08, 9.746881e-09, 5.351424e-10, 2.329236e-15, 3.590288e-16, 2.370208e-16, 1.733186e-15, 2.597681e-19, 2.374544e-16, 1.124949e-18, 6.569946e-16, 4.149737e+00, 1.868661e+09, 1.868661e+09, 1.616736e-07, 1.067324e-07, 1.169757e-10, 5.065737e-10, 2.923683e+01, nan, 1.370000e+00
