pdk, model, L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.470319e-01, 2.470319e-01, 0.000000e+00, 0.000000e+00, 1.109909e-09, 4.252888e-01, 3.955918e-02, 3.317686e-08, 4.727433e-09, 2.948288e-10, 2.333250e-15, 2.680613e-16, 2.569855e-16, 1.808204e-15, 2.769518e-19, 2.577295e-16, 7.477110e-19, 5.192918e-16, 3.764587e+00, 3.391799e+09, 3.391799e+09, 2.415165e-07, 2.315375e-07, 2.495267e-10, 6.736690e-10, 2.989153e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.501978e-01, 2.501978e-01, 0.000000e+00, 0.000000e+00, 1.221008e-09, 4.252590e-01, 3.958035e-02, 3.644026e-08, 5.185973e-09, 3.227127e-10, 2.336135e-15, 2.752824e-16, 2.569823e-16, 1.803870e-15, 2.855860e-19, 2.577261e-16, 8.170563e-19, 5.336048e-16, 3.783575e+00, 3.098731e+09, 3.098731e+09, 2.254551e-07, 2.104674e-07, 2.338937e-10, 6.691656e-10, 2.984441e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.530948e-01, 2.530948e-01, 0.000000e+00, 0.000000e+00, 1.332202e-09, 4.252318e-01, 3.960150e-02, 3.969934e-08, 5.643344e-09, 3.505197e-10, 2.339587e-15, 2.827960e-16, 2.569798e-16, 1.799812e-15, 2.940581e-19, 2.577244e-16, 8.835636e-19, 5.476510e-16, 3.800648e+00, 2.852906e+09, 2.852906e+09, 2.122771e-07, 1.928985e-07, 2.207308e-10, 6.632354e-10, 2.979979e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.557601e-01, 2.557601e-01, 0.000000e+00, 0.000000e+00, 1.443260e-09, 4.252070e-01, 3.962259e-02, 4.294769e-08, 6.098694e-09, 3.782000e-10, 2.343514e-15, 2.905468e-16, 2.569778e-16, 1.795990e-15, 3.023652e-19, 2.577238e-16, 9.475506e-19, 5.614385e-16, 3.816128e+00, 2.644103e+09, 2.644103e+09, 2.013129e-07, 1.780538e-07, 2.095016e-10, 6.565351e-10, 2.975742e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.582317e-01, 2.582317e-01, 0.000000e+00, 0.000000e+00, 1.554338e-09, 4.251842e-01, 3.964366e-02, 4.619026e-08, 6.552760e-09, 4.058000e-10, 2.347852e-15, 2.985138e-16, 2.569762e-16, 1.792362e-15, 3.105322e-19, 2.577243e-16, 1.009463e-18, 5.750173e-16, 3.830305e+00, 2.464268e+09, 2.464268e+09, 1.920521e-07, 1.653284e-07, 1.997843e-10, 6.494490e-10, 2.971700e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.605360e-01, 2.605360e-01, 0.000000e+00, 0.000000e+00, 1.665428e-09, 4.251629e-01, 3.966468e-02, 4.942710e-08, 7.005584e-09, 4.333230e-10, 2.352547e-15, 3.066710e-16, 2.569750e-16, 1.788901e-15, 3.185699e-19, 2.577256e-16, 1.069572e-18, 5.884107e-16, 3.843386e+00, 2.307747e+09, 2.307747e+09, 1.841395e-07, 1.542997e-07, 1.912841e-10, 6.422207e-10, 2.967832e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.626943e-01, 2.626943e-01, 0.000000e+00, 0.000000e+00, 1.776524e-09, 4.251431e-01, 3.968568e-02, 5.265832e-08, 7.457213e-09, 4.607730e-10, 2.357553e-15, 3.149968e-16, 2.569740e-16, 1.785583e-15, 3.264876e-19, 2.577275e-16, 1.128096e-18, 6.016382e-16, 3.855529e+00, 2.170266e+09, 2.170266e+09, 1.773108e-07, 1.446499e-07, 1.837789e-10, 6.350022e-10, 2.964121e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.647243e-01, 2.647243e-01, 0.000000e+00, 0.000000e+00, 1.887624e-09, 4.251246e-01, 3.970665e-02, 5.588409e-08, 7.907697e-09, 4.881534e-10, 2.362836e-15, 3.234735e-16, 2.569733e-16, 1.782390e-15, 3.342942e-19, 2.577301e-16, 1.185216e-18, 6.147162e-16, 3.866866e+00, 2.048537e+09, 2.048537e+09, 1.713655e-07, 1.361359e-07, 1.770979e-10, 6.278877e-10, 2.960553e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.684551e-01, 2.684551e-01, 0.000000e+00, 0.000000e+00, 2.109829e-09, 4.250907e-01, 3.974849e-02, 6.231999e-08, 8.805424e-09, 5.427188e-10, 2.374114e-15, 3.408208e-16, 2.569724e-16, 1.776321e-15, 3.496029e-19, 2.577364e-16, 1.295809e-18, 6.404780e-16, 3.887518e+00, 1.842575e+09, 1.842575e+09, 1.615395e-07, 1.217977e-07, 1.657020e-10, 6.141773e-10, 2.953793e+01, nan, 1.370000e+00
tsmc28, 1v8_mac, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.000000e-06, 1.000000e-06, 2.701785e-01, 2.701785e-01, 0.000000e+00, 0.000000e+00, 2.220933e-09, 4.250751e-01, 3.976936e-02, 6.553048e-08, 9.252755e-09, 5.699098e-10, 2.380062e-15, 3.496673e-16, 2.569722e-16, 1.773422e-15, 3.571179e-19, 2.577401e-16, 1.349513e-18, 6.531841e-16, 3.896991e+00, 1.754664e+09, 1.754664e+09, 1.574416e-07, 1.157046e-07, 1.607963e-10, 6.076332e-10, 2.950583e+01, nan, 1.370000e+00
